YEAR,MOVEMENT,PLAYER_ID,PLAYER,RATING
2020,0,27141,J.B. Holmes,8.8
2020,0,27958,Ryan Blaum,8.4
2020,0,36689,Brooks Koepka,8.3
2020,0,37454,Whee Kim,8.0
2020,0,30911,Tommy Fleetwood,7.7
2020,1,23541,Ben Crane,7.0
2018,0,29289,S.Y. Noh,9.2
2018,0,55573,John VanDerLaan,9.2
2018,0,24155,Ryan Hogue,9.0
2018,0,29378,Daisuke Kataoka,9.0
2018,0,26418,Adam Bland,8.9
2018,0,51766,Wyndham Clark,8.9
2018,0,1320,Bob Estes,8.9
2018,0,29772,Michael Lorenzo-Vera,8.8
2018,0,48887,Matt Wallace,8.8
2018,0,39953,Chase Seiffert,8.7
2018,0,20160,Charlie Wi,8.7
2018,0,30750,Tommy Gainey,8.6
2018,0,47574,Scott Strohmeyer,8.6
2018,0,52144,Braden Thornberry,8.6
2018,0,28089,Jason Day,8.5
2018,0,39954,Cody Gribble,8.5
2018,0,33461,Morgan Hoffmann,8.5
2018,0,29222,Billy Hurley III,8.5
2018,0,25240,D.A. Points,8.5
2018,0,50092,Zach Wright,8.5
2018,0,24846,Ricky Barnes,8.4
2018,0,23541,Ben Crane,8.4
2018,0,31416,Derek Fathauer,8.4
2018,0,55413,Luis Gagne,8.4
2018,0,25396,Kevin Na,8.4
2018,0,25834,Daniel Summerhays,8.4
2018,0,33448,Justin Thomas,8.4
2018,1,21407,Arjun Atwal,8.3
2018,1,34021,Bud Cauley,8.3
2018,1,46567,Paul Dunne,8.3
2018,1,32698,Bobby Gates,8.3
2018,1,46550,Brandon Hagy,8.3
2018,1,24024,Zach Johnson,8.3
2018,1,39975,Michael Kim,8.3
2018,1,36852,Jim Knous,8.3
2018,1,28237,Rory McIlroy,8.3
2018,1,24449,Parker McLachlin,8.3
2018,1,39537,Chris Naegel,8.3
2018,1,35947,John Oda,8.3
2018,1,26476,Chez Reavie,8.3
2018,1,36699,Patrick Rodgers,8.3
2018,1,29223,Sam Saunders,8.3
2018,1,28114,Dawie van der Walt,8.3
2018,1,30261,Ryan Yip,8.3
2018,3,49403,Grady Brame,8.2
2018,3,25364,Paul Casey,8.2
2018,3,20472,Alex Cejka,8.2
2018,3,20593,Greg Chalmers,8.2
2018,3,34099,Harris English,8.2
2018,3,29725,Tony Finau,8.2
2018,3,35532,Tom Hoge,8.2
2018,3,27974,Sung Kang,8.2
2018,3,29926,Danny Lee,8.2
2018,3,34466,Peter Malnati,8.2
2018,3,34360,Patrick Reed,8.2
2018,3,25562,Andres Romero,8.2
2018,-24,22405,Justin Rose,8.2
2018,18,29221,Webb Simpson,8.2
2018,-16,35891,Cameron Smith,8.2
2018,3,22582,Kyle Thompson,8.2
2018,3,39480,T.J. Vogel,8.2
2018,3,36685,Cameron Wilson,8.2
2018,0,20098,Stuart Appleby,8.1
2018,0,23048,Eric Axley,8.1
2018,0,27958,Ryan Blaum,8.1
2018,0,48084,Wesley Bryan,8.1
2018,0,19846,Brian Gay,8.1
2018,0,47989,Sam Horsfield,8.1
2018,0,30925,Dustin Johnson,8.1
2018,0,37455,Si Woo Kim,8.1
2018,0,36689,Brooks Koepka,8.1
2018,0,31420,Anirban Lahiri,8.1
2018,-34,1810,Phil Mickelson,8.1
2018,0,22046,Geoff Ogilvy,8.1
2018,0,27942,Rob Oppenheim,8.1
2018,0,32876,Martin Piller,8.1
2018,0,27649,Brandt Snedeker,8.1
2018,0,51600,Jimmy Stanger,8.1
2018,0,37249,Ryuko Tokimatsu,8.1
2018,0,29454,Bernd Wiesberger,8.1
2018,0,26497,Casey Wittenberg,8.1
2018,3,40009,Dominic Bozzelli,8.0
2018,3,29479,Scott Brown,8.0
2018,3,1139,Olin Browne,8.0
2018,3,29268,Bronson Burgoon,8.0
2018,3,33974,Dean Burmester,8.0
2018,3,47504,Sam Burns,8.0
2018,3,26499,Rafa Cabrera Bello,8.0
2018,3,32367,Jorge Campillo,8.0
2018,3,46435,Austin Cook,8.0
2018,3,39436,Joshua Creel,8.0
2018,3,52308,Chris Crisologo,8.0
2018,3,34076,Joel Dahmen,8.0
2018,36,47959,Bryson DeChambeau,8.0
2018,3,27436,Graham DeLaet,8.0
2018,3,46402,Talor Gooch,8.0
2018,3,46439,Will Grimmer,8.0
2018,3,27141,J.B. Holmes,8.0
2018,3,35461,Beau Hossler,8.0
2018,3,26300,Matt Jones,8.0
2018,3,39384,Alex Kang,8.0
2018,3,37454,Whee Kim,8.0
2018,-19,32839,Hideki Matsuyama,8.0
2018,3,48822,Sebastián Muñoz,8.0
2018,3,34213,Grayson Murray,8.0
2018,3,27349,Alex Noren,8.0
2018,3,23320,Ryan Palmer,8.0
2018,3,48153,Matthieu Pavon,8.0
2018,3,49771,J.T. Poston,8.0
2018,3,27556,Ted Potter Jr.,8.0
2018,3,24138,Ian Poulter,8.0
2018,3,34358,Jonathan Randolph,8.0
2018,-19,48081,Xander Schauffele,8.0
2018,3,46501,Ollie Schniederjans,8.0
2018,3,27963,Chris Stroud,8.0
2018,3,25632,Jimmy Walker,8.0
2018,36,8793,Tiger Woods,8.0
2018,0,40058,Zac Blair,7.9
2018,0,24507,Jason Bohn,7.9
2018,0,12510,Chad Campbell,7.9
2018,0,23983,Luke Donald,7.9
2018,0,28307,Matt Every,7.9
2018,-33,30911,Tommy Fleetwood,7.9
2018,0,31646,Emiliano Grillo,7.9
2018,0,35421,Brandon Harkins,7.9
2018,0,20766,Padraig Harrington,7.9
2018,0,34363,Tyrrell Hatton,7.9
2018,0,29420,Billy Horschel,7.9
2018,0,29461,Jamie Lovemark,7.9
2018,0,52330,Dylan Meyer,7.9
2018,0,46601,Trey Mullinax,7.9
2018,0,45486,Joaquin Niemann,7.9
2018,0,24140,Sean O'Hair,7.9
2018,0,29908,C.T. Pan,7.9
2018,0,24361,Pat Perez,7.9
2018,0,23621,Rory Sabbatini,7.9
2018,0,26331,Charl Schwartzel,7.9
2018,0,34046,Jordan Spieth,7.9
2018,0,34431,Robert Streb,7.9
2018,0,32333,Kevin Tway,7.9
2018,0,26951,Johnson Wagner,7.9
2018,0,25804,Bubba Watson,7.9
2018,0,21878,Mark Wilson,7.9
2018,-55,49964,Aaron Wise,7.9
2018,2,30978,Kiradech Aphibarnrat,7.8
2018,2,19803,Ryan Armour,7.8
2018,2,27895,Jonas Blixt,7.8
2018,2,33141,Keegan Bradley,7.8
2018,2,54926,George Cunningham,7.8
2018,2,45157,Cam Davis,7.8
2018,2,55412,Mickey DeMorat,7.8
2018,2,37273,Derek Ernst,7.8
2018,2,40098,Matt Fitzpatrick,7.8
2018,2,32102,Rickie Fowler,7.8
2018,2,29970,Dylan Frittelli,7.8
2018,2,10809,Jim Furyk,7.8
2018,2,29974,Branden Grace,7.8
2018,2,33399,Adam Hadwin,7.8
2018,2,12782,Tim Herron,7.8
2018,2,12716,Charley Hoffman,7.8
2018,2,30926,Chris Kirk,7.8
2018,2,35879,Kelly Kraft,7.8
2018,2,27936,Martin Laird,7.8
2018,2,33410,Andrew Landry,7.8
2018,2,34409,David Lingmerth,7.8
2018,2,1706,Davis Love III,7.8
2018,2,24781,Hunter Mahan,7.8
2018,2,33413,Ben Martin,7.8
2018,2,55421,Chip McDaniel,7.8
2018,2,51394,A.J. McInerney,7.8
2018,2,32640,Troy Merritt,7.8
2018,-27,25198,Francesco Molinari,7.8
2018,2,28593,Jesse Mueller,7.8
2018,2,46046,Scottie Scheffler,7.8
2018,2,39327,Ben Silverman,7.8
2018,-27,30110,Kyle Stanley,7.8
2018,2,45478,Julian Suri,7.8
2018,2,28132,Tyrone Van Aswegen,7.8
2018,2,37189,Harold Varner III,7.8
