YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,LOW RND
2024,1,0,51977,Max Greyserman,60
2024,2,0,52666,Sami Valimaki,61
2024,3,0,52955,Ludvig Åberg,62
2024,3,0,32070,Rafael Campos,62
2024,3,0,47591,Eric Cole,62
2024,3,0,45157,Cam Davis,62
2024,3,0,50762,Alejandro Del Rey,62
2024,3,0,47079,Harrison Endycott,62
2024,3,0,25900,Lucas Glover,62
2024,3,0,54591,Ben Griffin,62
2024,3,0,27644,Brian Harman,62
2024,3,0,34098,Russell Henley,62
2024,3,0,35532,Tom Hoge,62
2024,3,0,29420,Billy Horschel,62
2024,3,0,24024,Zach Johnson,62
2024,3,0,55182,Tom Kim,62
2024,3,0,33204,Shane Lowry,62
2024,3,0,52215,Robert MacIntyre,62
2024,3,0,32839,Hideki Matsuyama,62
2024,3,0,51997,Andrew Novak,62
2024,3,0,48153,Matthieu Pavon,62
2024,3,0,33448,Justin Thomas,62
2024,3,0,58168,Davis Thompson,62
2024,3,0,57366,Cameron Young,62
2024,25,0,57330,Matthis Besard,63
2024,25,0,56630,Akshay Bhatia,63
2024,25,0,33141,Keegan Bradley,63
2024,25,0,48084,Wesley Bryan,63
2024,25,0,66743,Luke Clanton,63
2024,25,0,51766,Wyndham Clark,63
2024,25,0,33653,Thomas Detry,63
2024,25,0,51349,Nico Echavarria,63
2024,25,0,57362,Austin Eckroat,63
2024,25,0,54628,Lee Hodges,63
2024,25,0,52686,Rasmus Hojgaard,63
2024,25,0,35461,Beau Hossler,63
2024,25,0,39971,Sungjae Im,63
2024,25,0,36799,Stephan Jaeger,63
2024,25,0,34587,Chan Kim,63
2024,25,0,47420,Jake Knapp,63
2024,25,0,36884,Ben Kohles,63
2024,25,0,23108,Matt Kuchar,63
2024,25,0,40162,Justin Lower,63
2024,25,0,47993,Denny McCarthy,63
2024,25,0,46442,Maverick McNealy,63
2024,25,0,39546,Keith Mitchell,63
2024,25,0,50525,Collin Morikawa,63
2024,25,0,40250,Taylor Pendrith,63
2024,25,0,28252,Seamus Power,63
2024,25,0,48081,Xander Schauffele,63
2024,25,0,46046,Scottie Scheffler,63
2024,25,0,46340,Alex Smalley,63
2024,25,0,27214,Kevin Streelman,63
2024,25,0,40115,Adam Svensson,63
2024,25,0,25493,Nick Taylor,63
2024,25,0,51634,Sahith Theegala,63
2024,25,0,57364,Michael Thorbjornsen,63
2024,25,0,40006,Erik van Rooyen,63
2024,25,0,27064,Jhonattan Vegas,63
2024,25,0,51894,Vince Whaley,63
2024,25,0,52513,Carson Young,63
2024,25,0,45242,Kevin Yu,63
2024,25,0,55454,Carl Yuan,63
2024,64,0,33948,Byeong Hun An,64
2024,64,0,45522,Christiaan Bezuidenhout,64
2024,64,0,40058,Zac Blair,64
2024,64,0,34255,Joseph Bramlett,64
2024,64,0,47504,Sam Burns,64
2024,64,0,35450,Patrick Cantlay,64
2024,64,0,34076,Joel Dahmen,64
2024,64,0,47959,Bryson DeChambeau,64
2024,64,0,51680,Alistair Docherty,64
2024,64,0,29725,Tony Finau,64
2024,64,0,54576,Patrick Fishburn,64
2024,64,0,30911,Tommy Fleetwood,64
2024,64,0,32102,Rickie Fowler,64
2024,64,0,52375,Doug Ghim,64
2024,64,0,59095,Chris Gotterup,64
2024,64,0,60767,Blaine Hale Jr.,64
2024,64,0,57975,Harry Hall,64
2024,64,0,12716,Charley Hoffman,64
2024,64,0,35506,Mackenzie Hughes,64
2024,64,0,50188,S.H. Kim,64
2024,64,0,37455,Si Woo Kim,64
2024,64,0,37250,Romain Langasque,64
2024,64,0,32791,K.H. Lee,64
2024,64,0,46837,Yuxin Lin,64
2024,64,0,59141,Matt McCarty,64
2024,64,0,46113,Ryan McCormick,64
2024,64,0,28237,Rory McIlroy,64
2024,64,0,34213,Grayson Murray,64
2024,64,0,36871,Matt NeSmith,64
2024,64,0,29908,C.T. Pan,64
2024,64,0,47679,Victor Perez,64
2024,64,0,57900,Chandler Phillips,64
2024,64,0,46414,Aaron Rai,64
2024,64,0,37275,Sam Ryder,64
2024,64,0,24502,Adam Scott,64
2024,64,0,47888,Taiga Semikawa,64
2024,64,0,40181,Clément Sordet,64
2024,64,0,50484,Hayden Springer,64
2024,64,0,48119,Ben Taylor,64
