YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
2024,0,34256,Andrew Putnam,56.82%,75,132,30.0
2024,0,39324,J.J. Spaun,56.76%,63,111,21.0
2024,0,33204,Shane Lowry,56.73%,59,104,40.0
2024,0,60004,Jacob Bridgeman,56.60%,60,106,36.0
2024,0,34046,Jordan Spieth,56.49%,74,131,30.0
2024,0,50493,Justin Suh,56.47%,48,85,30.0
2024,0,32791,K.H. Lee,56.41%,66,117,29.0
2024,0,32070,Rafael Campos,56.34%,40,71,6.0
2024,0,49947,Taylor Moore,56.29%,85,151,49.0
2024,0,52374,Brandon Wu,56.25%,54,96,38.0
2024,0,50525,Collin Morikawa,56.15%,73,130,29.0
2024,0,36871,Matt NeSmith,56.12%,55,98,28.0
2024,0,40006,Erik van Rooyen,56.04%,51,91,28.0
2024,0,49771,J.T. Poston,56.03%,79,141,50.0
2024,0,55708,Hayden Buckley,56.00%,56,100,26.0
2024,0,24024,Zach Johnson,56.00%,42,75,25.0
2024,0,37275,Sam Ryder,55.96%,61,109,33.0
2024,0,33653,Thomas Detry,55.56%,65,117,31.0
2024,0,34587,Chan Kim,55.45%,61,110,21.0
2024,0,54591,Ben Griffin,55.32%,78,141,32.0
2024,0,12716,Charley Hoffman,55.28%,68,123,39.0
2024,0,51977,Max Greyserman,55.21%,53,96,32.0
2024,0,31646,Emiliano Grillo,55.17%,64,116,46.0
2024,0,39546,Keith Mitchell,54.87%,62,113,37.0
2024,0,36801,Mark Hubbard,54.79%,80,146,44.0
2024,0,55182,Tom Kim,54.61%,77,141,45.0
2024,0,35506,Mackenzie Hughes,54.48%,79,145,48.0
2024,0,47347,Adam Schenk,54.41%,74,136,49.0
2024,0,33486,Roger Sloan,54.35%,50,92,26.0
2024,0,55789,Taylor Montgomery,54.05%,40,74,32.0
2024,0,57362,Austin Eckroat,53.95%,82,152,50.0
2024,0,37212,Paul Barjon,53.85%,42,78,30.0
2024,0,51634,Sahith Theegala,53.79%,78,145,29.0
2024,0,28775,Nate Lashley,53.76%,50,93,13.0
2024,0,48117,Kurt Kitayama,53.57%,60,112,32.0
2024,0,25493,Nick Taylor,53.54%,68,127,41.0
2024,0,52955,Ludvig Åberg,53.47%,54,101,26.0
2024,0,52666,Sami Valimaki,53.41%,47,88,31.0
2024,0,57366,Cameron Young,53.24%,74,139,38.0
2024,0,35532,Tom Hoge,53.22%,91,171,53.0
2024,0,48119,Ben Taylor,53.19%,50,94,36.0
2024,0,27770,Camilo Villegas,53.13%,51,96,43.0
