YEAR,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 5 AVG,TOTAL PAR
2024,0,33399,Adam Hadwin,-102,4.61,1310.0
2024,0,45609,Tyler Duncan,-101,4.58,1210.0
2024,0,25900,Lucas Glover,-101,4.67,1510.0
2024,0,27349,Alex Noren,-101,4.57,1180.0
2024,0,52372,Cameron Champ,-100,4.5,995.0
2024,0,32366,Kevin Chappell,-100,4.47,940.0
2024,0,47663,Kevin Dougherty,-100,4.55,1120.0
2024,0,50497,Adrien Dumont de Chassart,-100,4.61,1270.0
2024,0,33204,Shane Lowry,-100,4.56,1140.0
2024,0,30927,Brendon Todd,-100,4.67,1510.0
2024,0,29936,Ryan Fox,-99,4.59,1210.0
2024,0,34563,Chesson Hadley,-99,4.58,1170.0
2024,0,47420,Jake Knapp,-99,4.6,1235.0
2024,0,59095,Chris Gotterup,-98,4.59,1200.0
2024,0,32839,Hideki Matsuyama,-98,4.59,1190.0
2024,0,24502,Adam Scott,-98,4.54,1070.0
2024,0,51894,Vince Whaley,-98,4.62,1280.0
2024,0,47483,Will Zalatoris,-98,4.56,1120.0
2024,0,36884,Ben Kohles,-97,4.66,1440.0
2024,0,28237,Rory McIlroy,-96,4.57,1110.0
2024,0,47679,Victor Perez,-96,4.56,1090.0
2024,0,51890,Greyson Sigg,-96,4.63,1290.0
2024,0,40098,Matt Fitzpatrick,-95,4.58,1140.0
2024,0,31646,Emiliano Grillo,-95,4.64,1320.0
2024,0,30926,Chris Kirk,-95,4.63,1290.0
2024,0,33653,Thomas Detry,-94,4.57,1100.0
2024,0,32102,Rickie Fowler,-94,4.64,1320.0
2024,0,39977,Max Homa,-94,4.64,1310.0
2024,0,28775,Nate Lashley,-94,4.63,1270.0
2024,0,26476,Chez Reavie,-94,4.61,1210.0
2024,0,37212,Paul Barjon,-93,4.52,975.0
2024,0,45522,Christiaan Bezuidenhout,-93,4.63,1265.0
2024,0,55708,Hayden Buckley,-93,4.62,1220.0
2024,0,36871,Matt NeSmith,-93,4.63,1250.0
2024,0,25493,Nick Taylor,-93,4.66,1350.0
2024,0,51766,Wyndham Clark,-92,4.6,1150.0
2024,0,46441,Robby Shelton,-92,4.65,1300.0
2024,0,32333,Kevin Tway,-92,4.52,960.0
2024,0,27644,Brian Harman,-91,4.66,1330.0
2024,0,32070,Rafael Campos,-90,4.56,1030.0
2024,0,32757,Patton Kizzire,-90,4.58,1070.0
2024,0,34256,Andrew Putnam,-90,4.67,1350.0
2024,0,47983,Chad Ramey,-90,4.68,1410.0
2024,0,33408,Tyson Alexander,-89,4.65,1280.0
2024,0,52514,Trace Crowe,-89,4.63,1190.0
2024,0,46113,Ryan McCormick,-89,4.6,1125.0
2024,0,26596,Ryan Moore,-89,4.64,1220.0
2024,0,40058,Zac Blair,-88,4.68,1360.0
2024,0,50095,Austin Smotherman,-88,4.51,895.0
2024,0,55454,Carl Yuan,-88,4.61,1125.0
2024,0,34098,Russell Henley,-87,4.63,1160.0
2024,0,22371,Aaron Baddeley,-86,4.68,1340.0
2024,0,27936,Martin Laird,-84,4.66,1220.0
2024,0,48119,Ben Taylor,-84,4.6,1060.0
2024,0,30911,Tommy Fleetwood,-83,4.63,1130.0
2024,0,46717,Viktor Hovland,-83,4.55,930.0
2024,0,48084,Wesley Bryan,-80,4.52,840.0
2024,0,23108,Matt Kuchar,-80,4.67,1220.0
2024,0,34046,Jordan Spieth,-80,4.63,1075.0
2024,0,59442,Parker Coody,-78,4.6,970.0
2024,0,28420,Ryan Brehm,-77,4.64,1080.0
2024,0,38991,Alejandro Tosti,-76,4.67,1160.0
2024,0,22405,Justin Rose,-75,4.59,910.0
2024,0,33486,Roger Sloan,-75,4.68,1190.0
2024,0,52666,Sami Valimaki,-74,4.64,1040.0
2024,0,32367,Jorge Campillo,-73,4.55,820.0
2024,0,49960,Sepp Straka,-73,4.7,1230.0
2024,0,29535,Brice Garnett,-72,4.53,770.0
2024,0,48153,Matthieu Pavon,-72,4.66,1060.0
2024,0,34021,Bud Cauley,-66,4.63,880.0
2024,0,23320,Ryan Palmer,-66,4.56,750.0
2024,0,60767,Blaine Hale Jr.,-65,4.66,970.0
2024,0,29908,C.T. Pan,-65,4.65,935.0
2024,0,33968,Thorbjørn Olesen,-64,4.58,770.0
2024,0,34466,Peter Malnati,-61,4.75,1220.0
2024,0,29221,Webb Simpson,-61,4.62,800.0
2024,0,27649,Brandt Snedeker,-60,4.71,1040.0
2024,0,27770,Camilo Villegas,-55,4.73,1020.0
2024,0,27330,Josh Teater,-54,4.72,960.0
2024,0,51070,Vincent Norrman,-53,4.65,765.0
2024,0,55789,Taylor Montgomery,-52,4.74,985.0
2024,0,24024,Zach Johnson,-51,4.68,800.0
2024,0,47806,Raul Pereda,-51,4.71,865.0
2024,0,52453,Nicolai Højgaard,-50,4.73,940.0
2024,0,56149,Wilson Furr,-48,4.76,1015.0
2024,0,29478,Kevin Kisner,-47,4.74,900.0
2024,0,35617,Martin Trainer,-46,4.7,770.0
2024,0,34374,Erik Barnes,-43,4.78,980.0
2023,0,36799,Stephan Jaeger,-176,4.54,1910.0
2023,0,47591,Eric Cole,-168,4.56,1930.0
2023,0,39971,Sungjae Im,-167,4.47,1570.0
2023,0,58168,Davis Thompson,-165,4.48,1590.0
2023,0,28775,Nate Lashley,-161,4.54,1760.0
2023,0,51766,Wyndham Clark,-160,4.51,1620.0
2023,0,35449,Adam Long,-159,4.58,1880.0
2023,0,40115,Adam Svensson,-159,4.57,1870.0
2023,0,54421,Garrick Higgo,-158,4.54,1735.0
2023,0,54783,Dylan Wu,-156,4.56,1760.0
2023,0,56762,Will Gordon,-152,4.58,1800.0
2023,0,54591,Ben Griffin,-152,4.6,1880.0
2023,0,32791,K.H. Lee,-152,4.55,1680.0
2023,0,57975,Harry Hall,-149,4.55,1650.0
2023,0,47988,Nick Hardy,-148,4.6,1860.0
2023,0,35461,Beau Hossler,-148,4.59,1790.0
2023,0,34256,Andrew Putnam,-147,4.57,1720.0
2023,0,40250,Taylor Pendrith,-146,4.56,1660.0
2023,0,39067,MJ Daffue,-145,4.58,1730.0
2023,0,47347,Adam Schenk,-145,4.6,1800.0
2023,0,32757,Patton Kizzire,-144,4.56,1630.0
2023,0,46340,Alex Smalley,-144,4.59,1770.0
2023,0,55789,Taylor Montgomery,-143,4.56,1640.0
2023,0,46046,Scottie Scheffler,-143,4.46,1320.0
2023,0,50188,S.H. Kim,-140,4.62,1850.0
2023,0,32333,Kevin Tway,-139,4.58,1640.0
2023,0,52375,Doug Ghim,-138,4.55,1550.0
2023,0,46414,Aaron Rai,-138,4.58,1630.0
2023,0,23108,Matt Kuchar,-136,4.51,1390.0
2023,0,32102,Rickie Fowler,-135,4.55,1490.0
2023,0,40162,Justin Lower,-134,4.64,1840.0
2023,0,51070,Vincent Norrman,-134,4.51,1380.0
2023,0,45157,Cam Davis,-133,4.51,1350.0
2023,0,52374,Brandon Wu,-133,4.63,1810.0
2023,0,47128,Richy Werenski,-132,4.6,1660.0
2023,0,33948,Byeong Hun An,-131,4.6,1650.0
2023,0,30927,Brendon Todd,-131,4.59,1600.0
2023,0,31577,Tano Goya,-130,4.58,1550.0
2023,0,31646,Emiliano Grillo,-130,4.63,1780.0
2023,0,54628,Lee Hodges,-130,4.61,1680.0
2023,0,36801,Mark Hubbard,-130,4.65,1865.0
2023,0,55182,Tom Kim,-130,4.53,1370.0
2023,0,37275,Sam Ryder,-130,4.64,1810.0
2023,0,55893,Sam Stevens,-129,4.63,1720.0
2023,0,51634,Sahith Theegala,-129,4.62,1700.0
2023,0,33413,Ben Martin,-128,4.62,1670.0
2023,0,36699,Patrick Rodgers,-127,4.6,1585.0
2023,0,29725,Tony Finau,-126,4.52,1300.0
2023,0,49771,J.T. Poston,-126,4.57,1460.0
2023,0,35506,Mackenzie Hughes,-125,4.57,1440.0
2023,0,51890,Greyson Sigg,-125,4.63,1690.0
2023,0,37338,Zecheng Dou,-124,4.61,1600.0
2023,0,50525,Collin Morikawa,-124,4.5,1230.0
2023,0,39324,J.J. Spaun,-124,4.61,1580.0
2023,0,56630,Akshay Bhatia,-123,4.55,1370.0
2023,0,35450,Patrick Cantlay,-123,4.44,1100.0
2023,0,36326,David Lipsky,-123,4.63,1660.0
2023,0,45609,Tyler Duncan,-122,4.6,1520.0
2023,0,57366,Cameron Young,-122,4.54,1340.0
2023,0,34466,Peter Malnati,-121,4.63,1620.0
2023,0,49947,Taylor Moore,-121,4.62,1590.0
2023,0,50095,Austin Smotherman,-121,4.63,1615.0
2023,0,25493,Nick Taylor,-121,4.58,1430.0
2023,0,27644,Brian Harman,-120,4.56,1360.0
2023,0,46970,Jon Rahm,-120,4.46,1120.0
