YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
2024,0,54576,Patrick Fishburn,74.21%,935,1260,-0.28
2024,0,50095,Austin Smotherman,73.17%,698,954,-0.26
2024,0,46046,Scottie Scheffler,73.16%,935,1278,-0.37
2024,0,52375,Doug Ghim,72.65%,1190,1638,-0.28
2024,0,35310,Lanto Griffin,72.53%,940,1296,-0.28
2024,0,27064,Jhonattan Vegas,72.30%,937,1296,-0.31
2024,0,32757,Patton Kizzire,71.95%,803,1116,-0.3
2024,0,30163,Henrik Norlander,71.72%,852,1188,-0.29
2024,0,46414,Aaron Rai,71.58%,1108,1548,-0.28
2024,0,45242,Kevin Yu,71.54%,940,1314,-0.27
2024,0,51890,Greyson Sigg,71.49%,978,1368,-0.22
2024,0,40026,Daniel Berger,71.20%,974,1368,-0.29
2024,0,51997,Andrew Novak,71.15%,1063,1494,-0.31
2024,0,29535,Brice Garnett,71.06%,614,864,-0.27
2024,0,34076,Joel Dahmen,71.04%,1138,1602,-0.26
2024,0,51696,Rico Hoey,70.90%,1072,1512,-0.31
2024,0,39324,J.J. Spaun,70.90%,1021,1440,-0.3
2024,0,34587,Chan Kim,70.69%,1018,1440,-0.29
2024,0,46340,Alex Smalley,70.65%,941,1332,-0.29
2024,0,36871,Matt NeSmith,70.60%,915,1296,-0.23
2024,0,34021,Bud Cauley,70.58%,686,972,-0.25
2024,0,47988,Nick Hardy,70.50%,1104,1566,-0.28
2024,0,51287,Ryo Hisatsune,70.44%,1065,1512,-0.28
2024,0,39546,Keith Mitchell,70.44%,1027,1458,-0.31
2024,0,60067,Joe Highsmith,70.32%,886,1260,-0.32
2024,0,39997,Corey Conners,70.31%,1101,1566,-0.3
2024,0,32333,Kevin Tway,70.28%,759,1080,-0.29
2024,0,39975,Michael Kim,70.16%,1023,1458,-0.32
2024,0,39327,Ben Silverman,70.09%,984,1404,-0.28
2024,0,51349,Nico Echavarria,70.08%,1110,1584,-0.32
2024,0,55893,Sam Stevens,70.01%,1235,1764,-0.29
2024,0,36884,Ben Kohles,70.00%,1071,1530,-0.26
2024,0,27139,David Skinns,69.99%,1033,1476,-0.26
2024,0,59143,Mac Meissner,69.98%,907,1296,-0.3
2024,0,28775,Nate Lashley,69.97%,932,1332,-0.25
2024,0,48081,Xander Schauffele,69.97%,995,1422,-0.33
2024,0,34255,Joseph Bramlett,69.91%,1057,1512,-0.28
2024,0,36699,Patrick Rodgers,69.83%,1257,1800,-0.29
2024,0,40006,Erik van Rooyen,69.83%,993,1422,-0.32
2024,0,54591,Ben Griffin,69.79%,1407,2016,-0.3
2024,0,48084,Wesley Bryan,69.78%,628,900,-0.34
2024,0,48867,Matti Schmid,69.73%,979,1404,-0.31
2024,0,40162,Justin Lower,69.59%,1215,1746,-0.3
2024,0,52513,Carson Young,69.57%,1077,1548,-0.3
2024,0,35461,Beau Hossler,69.54%,1064,1530,-0.31
2024,0,48887,Matt Wallace,69.53%,801,1152,-0.28
2024,0,27936,Martin Laird,69.37%,899,1296,-0.27
2024,0,50484,Hayden Springer,69.21%,897,1296,-0.31
2024,0,48319,Tom Whitney,69.20%,847,1224,-0.27
2024,0,25900,Lucas Glover,69.12%,1157,1674,-0.29
2024,0,26476,Chez Reavie,69.12%,846,1224,-0.25
2024,0,29725,Tony Finau,68.99%,981,1422,-0.3
2024,0,34256,Andrew Putnam,68.92%,980,1422,-0.27
2024,0,48117,Kurt Kitayama,68.85%,979,1422,-0.29
2024,0,26596,Ryan Moore,68.83%,892,1296,-0.24
2024,0,47663,Kevin Dougherty,68.82%,768,1116,-0.26
2024,0,47983,Chad Ramey,68.81%,1028,1494,-0.28
2024,0,59836,Pierceson Coody,68.66%,964,1404,-0.31
2024,0,58168,Davis Thompson,68.64%,1112,1620,-0.3
2024,0,51977,Max Greyserman,68.54%,950,1386,-0.33
2024,0,47679,Victor Perez,68.52%,888,1296,-0.28
2024,0,46113,Ryan McCormick,68.49%,752,1098,-0.27
2024,0,34563,Chesson Hadley,68.43%,813,1188,-0.29
2024,0,60004,Jacob Bridgeman,68.38%,960,1404,-0.34
2024,0,27330,Josh Teater,68.38%,640,936,-0.23
2024,0,32070,Rafael Campos,68.33%,738,1080,-0.28
2024,0,52372,Cameron Champ,68.32%,701,1026,-0.27
2024,0,36326,David Lipsky,68.28%,848,1242,-0.28
2024,0,27349,Alex Noren,68.28%,848,1242,-0.27
2024,0,32366,Kevin Chappell,68.25%,688,1008,-0.3
2024,0,51070,Vincent Norrman,68.25%,602,882,-0.19
2024,0,36801,Mark Hubbard,68.18%,1215,1782,-0.31
2024,0,52955,Ludvig Åberg,68.15%,920,1350,-0.33
2024,0,54628,Lee Hodges,68.13%,1116,1638,-0.26
2024,0,54783,Dylan Wu,68.13%,981,1440,-0.29
2024,0,27214,Kevin Streelman,68.12%,846,1242,-0.29
2024,0,27129,Luke List,67.97%,942,1386,-0.3
2024,0,46442,Maverick McNealy,67.93%,1125,1656,-0.33
2024,0,28252,Seamus Power,67.88%,1173,1728,-0.29
2024,0,54421,Garrick Higgo,67.86%,965,1422,-0.3
