YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST OF APPR SHOT,TOTAL HOLES
2024,1,0,48084,Wesley Bryan,160.4,3614497.0,626
2024,2,0,54421,Garrick Higgo,162.9,6584073.0,1123
2024,2,0,33486,Roger Sloan,162.9,5665745.0,966
2024,2,0,27214,Kevin Streelman,162.9,5971206.0,1018
2024,5,0,59836,Pierceson Coody,163.9,6503180.0,1102
2024,5,0,27770,Camilo Villegas,163.9,4631678.0,785
2024,7,0,50497,Adrien Dumont de Chassart,164.0,6098249.0,1033
2024,8,0,50493,Justin Suh,164.3,6489762.0,1097
2024,8,0,35617,Martin Trainer,164.3,4324530.0,731
2024,10,0,55893,Sam Stevens,164.6,8467409.0,1429
2024,11,0,23108,Matt Kuchar,164.7,7080434.0,1194
2024,12,0,34076,Joel Dahmen,164.8,7749193.0,1306
2024,12,0,56149,Wilson Furr,164.8,4858573.0,819
2024,12,0,39327,Ben Silverman,164.8,7550252.0,1273
2024,15,0,47988,Nick Hardy,165.4,8108041.0,1362
2024,16,0,34466,Peter Malnati,165.5,7233563.0,1214
2024,17,0,34374,Erik Barnes,165.6,4660879.0,782
2024,17,0,32366,Kevin Chappell,165.6,4364966.0,732
2024,17,0,36871,Matt NeSmith,165.6,6599903.0,1107
2024,17,0,47983,Chad Ramey,165.6,7346801.0,1232
2024,17,0,47995,Davis Riley,165.6,7405549.0,1242
2024,17,0,27330,Josh Teater,165.6,4048280.0,679
2024,23,0,54576,Patrick Fishburn,165.7,5988791.0,1004
2024,23,0,12716,Charley Hoffman,165.7,6527737.0,1094
2024,23,0,32757,Patton Kizzire,165.7,5643361.0,946
2024,23,0,50484,Hayden Springer,165.7,5957734.0,999
2024,27,0,59095,Chris Gotterup,165.8,7013335.0,1175
2024,28,0,60767,Blaine Hale Jr.,165.9,4074082.0,682
2024,29,0,59143,Mac Meissner,166.0,6954839.0,1164
2024,29,0,48699,Callum Tarren,166.0,6197736.0,1037
2024,29,0,48119,Ben Taylor,166.0,5759661.0,964
2024,32,0,46113,Ryan McCormick,166.1,5036045.0,842
2024,32,0,39546,Keith Mitchell,166.1,8112555.0,1357
2024,32,0,45242,Kevin Yu,166.1,7066204.0,1182
2024,35,0,39975,Michael Kim,166.2,6706071.0,1121
2024,36,0,27936,Martin Laird,166.3,6183873.0,1033
2024,36,0,55454,Carl Yuan,166.3,5748441.0,960
2024,38,0,46442,Maverick McNealy,166.4,8489006.0,1417
