YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,RATING
2021,1,0,27349,Alex Noren,8.9
2021,2,0,33605,Gunn Charoenkul,8.8
2021,2,0,34363,Tyrrell Hatton,8.8
2021,4,0,22371,Aaron Baddeley,8.5
2021,5,0,49310,David Gazzolo,8.3
2021,5,0,49481,Tae Hee Lee,8.3
2021,5,0,26476,Chez Reavie,8.3
2021,8,0,23788,D.J. Trahan,8.2
2021,9,0,40009,Dominic Bozzelli,7.8
2021,9,0,26951,Johnson Wagner,7.8
2021,11,0,36871,Matthew NeSmith,7.7
2021,11,0,37189,Harold Varner III,7.7
2021,11,0,48887,Matt Wallace,7.7
2021,14,0,36799,Stephan Jaeger,7.6
2021,14,0,52215,Robert MacIntyre,7.6
2021,14,0,29908,C.T. Pan,7.6
2021,14,0,6527,Steve Stricker,7.6
2021,18,0,46550,Brandon Hagy,7.5
2021,18,0,47988,Nick Hardy,7.5
2021,18,0,32791,K.H. Lee,7.5
2021,21,0,19803,Ryan Armour,7.4
2021,21,0,37212,Paul Barjon,7.4
2021,21,0,52375,Doug Ghim,7.4
2021,21,0,35532,Tom Hoge,7.4
2021,21,0,35461,Beau Hossler,7.4
2021,21,0,37250,Romain Langasque,7.4
2021,21,0,25198,Francesco Molinari,7.4
2021,21,0,25818,Scott Piercy,7.4
2021,21,0,48081,Xander Schauffele,7.4
2021,21,0,26331,Charl Schwartzel,7.4
2021,31,0,45526,Abraham Ancer,7.3
2021,31,0,21209,Sergio Garcia,7.3
2021,31,0,21961,Charles Howell III,7.3
2021,31,0,34174,John Huh,7.3
2021,31,0,27330,Josh Teater,7.3
2021,36,0,35450,Patrick Cantlay,7.2
2021,36,0,27644,Brian Harman,7.2
2021,36,0,30925,Dustin Johnson,7.2
2021,36,0,25396,Kevin Na,7.2
2021,36,0,26341,Wade Ormsby,7.2
2021,36,0,28252,Seamus Power,7.2
2021,36,0,23621,Rory Sabbatini,7.2
2021,36,0,28114,Dawie van der Walt,7.2
2021,36,0,10423,Mike Weir,7.2
2021,36,0,54783,Dylan Wu,7.2
2021,46,0,32070,Rafael Campos,7.1
2021,46,0,49298,Kramer Hickok,7.1
2021,46,0,32757,Patton Kizzire,7.1
2021,46,0,23108,Matt Kuchar,7.1
2021,46,0,22056,Cameron Percy,7.1
2021,46,0,47347,Adam Schenk,7.1
2021,46,0,46340,Alex Smalley,7.1
2021,46,0,30927,Brendon Todd,7.1
2021,54,0,34374,Erik Barnes,7.0
2021,54,0,28420,Ryan Brehm,7.0
2021,54,0,29479,Scott Brown,7.0
2021,54,0,20229,Stewart Cink,7.0
2021,54,0,27554,Scott Harrington,7.0
2021,54,0,39975,Michael Kim,7.0
2021,54,0,27129,Luke List,7.0
2021,54,0,35449,Adam Long,7.0
2021,54,0,33204,Shane Lowry,7.0
2021,54,0,56781,Isaiah Salinda,7.0
2021,64,0,57975,Harry Hall,6.9
2021,64,0,27408,Martin Kaymer,6.9
2021,64,0,23802,Brad Kennedy,6.9
2021,64,0,26328,Shaun Norris,6.9
2021,64,0,24138,Ian Poulter,6.9
2021,64,0,33419,Cameron Tringale,6.9
2021,64,0,8793,Tiger Woods,6.9
2021,64,0,36698,Andy Zhang,6.9
2021,72,0,34021,Bud Cauley,6.8
2021,72,0,10809,Jim Furyk,6.8
2021,72,0,36514,Yuki Inamori,6.8
2021,72,0,37455,Si Woo Kim,6.8
2021,72,0,36326,David Lipsky,6.8
2021,72,0,40042,Tyler McCumber,6.8
2021,72,0,58381,Kyle Mendoza,6.8
2021,72,0,52330,Dylan Meyer,6.8
2021,72,0,29289,S.Y. Noh,6.8
2021,72,0,46970,Jon Rahm,6.8
2021,72,0,24502,Adam Scott,6.8
2021,72,0,27963,Chris Stroud,6.8
2021,84,0,46402,Talor Gooch,6.7
2021,84,0,33597,Harry Higgs,6.7
2021,84,0,26300,Matt Jones,6.7
2021,84,0,46442,Maverick McNealy,6.7
2021,84,0,25863,Rod Perry,6.7
2021,84,0,29425,Andrew Svoboda,6.7
2021,84,0,49964,Aaron Wise,6.7
2021,84,0,56278,Matthew Wolff,6.7
2021,92,0,29970,Dylan Frittelli,6.6
2021,92,0,32662,Michael Gligic,6.6
2021,92,0,36801,Mark Hubbard,6.6
2021,92,0,37187,Tain Lee,6.6
2021,92,0,26329,Louis Oosthuizen,6.6
2021,92,0,45847,JC Ritchie,6.6
2021,92,0,20645,John Senden,6.6
2021,92,0,34431,Robert Streb,6.6
2021,92,0,32139,Danny Willett,6.6
2021,101,0,39058,Lucas Herbert,6.5
2021,101,0,29420,Billy Horschel,6.5
2021,101,0,26420,Richard Johnson,6.5
2021,101,0,26851,Marc Leishman,6.5
2021,101,0,33413,Ben Martin,6.5
2021,101,0,32839,Hideki Matsuyama,6.5
2021,101,0,25572,Graeme McDowell,6.5
2021,101,0,39834,Guido Migliozzi,6.5
2021,101,0,35891,Cameron Smith,6.5
2021,101,0,30110,Kyle Stanley,6.5
2021,111,0,40058,Zac Blair,6.4
2021,111,0,45836,Richard Bland,6.4
2021,111,0,24494,Erik Compton,6.4
2021,111,0,28237,Rory McIlroy,6.4
2021,111,0,47127,David Pastore,6.4
2021,111,0,47529,Mito Pereira,6.4
2021,111,0,27649,Brandt Snedeker,6.4
2021,111,0,30692,Scott Stallings,6.4
2021,119,0,33948,Byeong Hun An,6.3
2021,119,0,40026,Daniel Berger,6.3
2021,119,0,47504,Sam Burns,6.3
2021,119,0,32366,Kevin Chappell,6.3
2021,119,0,30911,Tommy Fleetwood,6.3
2021,119,0,28938,Justin Harding,6.3
2021,119,0,33490,Bo Hoag,6.3
2021,119,0,30852,Ryo Ishikawa,6.3
2021,119,0,24024,Zach Johnson,6.3
2021,119,0,29478,Kevin Kisner,6.3
2021,119,0,47993,Denny McCarthy,6.3
2021,119,0,30163,Henrik Norlander,6.3
2021,119,0,37157,Renato Paratore,6.3
2021,119,0,21528,Henrik Stenson,6.3
2021,119,0,40006,Erik van Rooyen,6.3
2021,134,0,45157,Cam Davis,6.2
2021,134,0,28089,Jason Day,6.2
2021,134,0,25686,Jason Dufner,6.2
2021,134,0,29725,Tony Finau,6.2
2021,134,0,23353,J.J. Henry,6.2
2021,134,0,34409,David Lingmerth,6.2
2021,134,0,34466,Peter Malnati,6.2
2021,134,0,39546,Keith Mitchell,6.2
2021,134,0,24361,Pat Perez,6.2
2021,134,0,34046,Jordan Spieth,6.2
2021,134,0,33418,Shawn Stefani,6.2
2021,134,0,25632,Jimmy Walker,6.2
2021,146,0,57362,Austin Eckroat,6.1
2021,146,0,34099,Harris English,6.1
2021,146,0,25900,Lucas Glover,6.1
2021,146,0,12716,Charley Hoffman,6.1
2021,146,0,35506,Mackenzie Hughes,6.1
2021,146,0,30944,Jason Kokrak,6.1
2021,146,0,35104,Tom Lewis,6.1
2021,146,0,50525,Collin Morikawa,6.1
2021,146,0,45486,Joaquin Niemann,6.1
2021,146,0,27942,Rob Oppenheim,6.1
2021,146,0,23320,Ryan Palmer,6.1
2021,146,0,46414,Aaron Rai,6.1
2021,146,0,39324,J.J. Spaun,6.1
2021,146,0,54314,Tyler Strafaci,6.1
2021,146,0,25493,Nick Taylor,6.1
2021,146,0,51894,Vince Whaley,6.1
2021,162,0,32448,James Hahn,6.0
2021,162,0,34098,Russell Henley,6.0
2021,162,0,47917,Takumi Kanaya,6.0
2021,162,0,32816,Satoshi Kodaira,6.0
2021,162,0,27936,Martin Laird,6.0
2021,162,0,1810,Phil Mickelson,6.0
2021,162,0,23814,Edoardo Molinari,6.0
2021,162,0,34264,Hudson Swafford,6.0
2021,170,0,33120,Mark Anderson,5.9
2021,170,0,8075,Jerry Kelly,5.9
2021,170,0,49766,Hank Lebioda,5.9
2021,170,0,49771,J.T. Poston,5.9
2021,170,0,34360,Patrick Reed,5.9
2021,170,0,39953,Chase Seiffert,5.9
2021,170,0,23325,Vaughn Taylor,5.9
2021,170,0,33448,Justin Thomas,5.9
2021,170,0,32333,Kevin Tway,5.9
2021,170,0,35181,Daniel van Tonder,5.9
2021,170,0,20396,Lee Westwood,5.9
2021,181,0,45522,Christiaan Bezuidenhout,5.8
2021,181,0,52372,Cameron Champ,5.8
2021,181,0,39997,Corey Conners,5.8
2021,181,0,47334,Sam Fidone,5.8
2021,181,0,29974,Branden Grace,5.8
2021,181,0,26758,David Hearn,5.8
2021,181,0,54421,Garrick Higgo,5.8
2021,181,0,39977,Max Homa,5.8
2021,181,0,39971,Sungjae Im,5.8
2021,181,0,30926,Chris Kirk,5.8
2021,181,0,35230,Nelson Ledesma,5.8
2021,181,0,26596,Ryan Moore,5.8
2021,181,0,34256,Andrew Putnam,5.8
2021,181,0,46646,Antoine Rozner,5.8
2021,181,0,37275,Sam Ryder,5.8
2021,181,0,35225,Brandon Stone,5.8
2021,181,0,32150,Michael Thompson,5.8
2021,181,0,52666,Sami Valimaki,5.8
2021,181,0,47483,Will Zalatoris,5.8
2021,200,0,48084,Wesley Bryan,5.7
2021,200,0,24925,Jonathan Byrd,5.7
2021,200,0,34656,Mikumu Horikawa,5.7
2021,200,0,46046,Scottie Scheffler,5.7
2021,200,0,31569,Jason Scrivener,5.7
2021,200,0,49960,Sepp Straka,5.7
2021,206,0,20593,Greg Chalmers,5.6
2021,206,0,47056,Rikuya Hoshino,5.6
2021,206,0,46717,Viktor Hovland,5.6
2021,206,0,34500,Ryosuke Kinoshita,5.6
2021,206,0,27214,Kevin Streelman,5.6
2021,211,0,33141,Keegan Bradley,5.5
2021,211,0,34255,Joseph Bramlett,5.5
2021,211,0,29268,Bronson Burgoon,5.5
2021,211,0,27974,Sung Kang,5.5
2021,211,0,55182,Tom Kim,5.5
2021,211,0,31420,Anirban Lahiri,5.5
2021,211,0,46732,Rick Lamb,5.5
2021,211,0,58693,George Markham,5.5
2021,211,0,47995,Davis Riley,5.5
2021,211,0,54364,Stephen Stallings Jr.,5.5
2021,211,0,31560,Brian Stuard,5.5
2021,211,0,27770,Camilo Villegas,5.5
2021,211,0,25349,Tim Wilkinson,5.5
2021,224,0,30978,Kiradech Aphibarnrat,5.4
2021,224,0,25364,Paul Casey,5.4
2021,224,0,24358,Robert Garrigus,5.4
2021,224,0,50188,S.H. Kim,5.4
2021,224,0,35879,Kelly Kraft,5.4
2021,224,0,28775,Nate Lashley,5.4
2021,224,0,29484,Peter Uihlein,5.4
2021,224,0,25804,Bubba Watson,5.4
2021,232,0,56676,John Augenstein,5.3
2021,232,0,39067,MJ Daffue,5.3
2021,232,0,40098,Matt Fitzpatrick,5.3
2021,232,0,31646,Emiliano Grillo,5.3
2021,232,0,36689,Brooks Koepka,5.3
2021,232,0,48822,Sebastián Muñoz,5.3
2021,232,0,36699,Patrick Rodgers,5.3
2021,232,0,32254,Xinjun Zhang,5.3
2021,240,0,24846,Ricky Barnes,5.2
2021,240,0,26499,Rafa Cabrera Bello,5.2
2021,240,0,56762,Will Gordon,5.2
2021,240,0,32640,Troy Merritt,5.2
2021,240,0,27064,Jhonattan Vegas,5.2
2021,245,0,35310,Lanto Griffin,5.1
2021,245,0,47137,Trevor Simsby,5.1
2021,245,0,10381,Curtis Thompson,5.1
2021,245,0,58168,Davis Thompson,5.1
2021,245,0,27095,Nick Watney,5.1
2021,245,0,31323,Gary Woodland,5.1
2021,251,0,24507,Jason Bohn,5.0
2021,251,0,32618,Rhein Gibson,5.0
2021,251,0,24140,Sean O'Hair,5.0
2021,251,0,33667,Carlos Ortiz,5.0
2021,251,0,51395,Trey Shirley,5.0
2021,251,0,29221,Webb Simpson,5.0
