YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,NUMBER OF TIMES,ATTEMPTS,AVG RTP SCORE
2024,0,40058,Zac Blair,32.5,107,329,+1.68
2024,0,40026,Daniel Berger,35.0,84,240,+1.07
2024,0,36801,Mark Hubbard,35.2,137,389,+1.82
2024,0,52374,Brandon Wu,36.5,124,340,+2.10
2024,0,45609,Tyler Duncan,37.8,99,262,+1.82
2024,0,27330,Josh Teater,38.1,77,202,+2.60
2024,0,32640,Troy Merritt,38.2,108,283,+0.65
2024,0,47663,Kevin Dougherty,38.5,109,283,+1.74
2024,0,47988,Nick Hardy,38.5,161,418,+1.12
2024,0,39997,Corey Conners,38.9,144,370,+1.32
2024,0,30911,Tommy Fleetwood,39.3,97,247,+1.13
2024,0,47483,Will Zalatoris,39.3,119,303,+1.09
2024,0,32757,Patton Kizzire,39.5,107,271,+1.59
2024,0,50493,Justin Suh,39.8,127,319,+1.18
2024,0,51696,Rico Hoey,40.6,138,340,+0.65
2024,0,33653,Thomas Detry,40.7,146,359,+0.68
2024,0,50525,Collin Morikawa,40.9,110,269,+1.09
2024,0,51287,Ryo Hisatsune,41.1,136,331,+0.96
2024,0,47993,Denny McCarthy,41.1,161,392,+1.24
2024,0,37378,Min Woo Lee,41.2,138,335,+1.23
2024,0,24502,Adam Scott,41.3,142,344,+0.85
2024,0,54576,Patrick Fishburn,41.4,125,302,+0.96
2024,0,37212,Paul Barjon,41.5,108,260,+2.13
2024,0,35532,Tom Hoge,41.9,208,496,+1.01
2024,0,33486,Roger Sloan,41.9,116,277,+0.52
2024,0,51766,Wyndham Clark,42.0,146,348,+1.10
2024,0,12716,Charley Hoffman,42.0,153,364,+1.44
2024,0,46717,Viktor Hovland,42.1,115,273,-0.52
2024,0,48117,Kurt Kitayama,42.1,152,361,+0.46
2024,0,55182,Tom Kim,42.2,141,334,+1.35
2024,0,32102,Rickie Fowler,42.5,147,346,+1.70
2024,0,28089,Jason Day,42.7,129,302,+0.70
2024,0,32839,Hideki Matsuyama,42.7,149,349,+0.60
2024,0,48699,Callum Tarren,42.8,164,383,+2.26
2024,0,24024,Zach Johnson,42.9,84,196,+1.07
2024,0,51070,Vincent Norrman,43.0,110,256,+2.82
2024,0,49771,J.T. Poston,43.0,156,363,+1.99
2024,0,39324,J.J. Spaun,43.0,163,379,+0.43
2024,0,59095,Chris Gotterup,43.1,183,425,+0.05
2024,0,54591,Ben Griffin,43.5,216,497,E
2024,0,50484,Hayden Springer,43.6,139,319,+0.94
2024,0,28237,Rory McIlroy,43.9,137,312,+0.07
2024,0,30163,Henrik Norlander,43.9,98,223,E
2024,0,54421,Garrick Higgo,44.0,160,364,+1.25
2024,0,22405,Justin Rose,44.0,118,268,+2.37
2024,0,34046,Jordan Spieth,44.0,133,302,+1.28
2024,0,51634,Sahith Theegala,44.0,205,466,+0.34
2024,0,45242,Kevin Yu,44.0,157,357,+0.64
2024,0,59836,Pierceson Coody,44.4,161,363,+0.68
2024,0,39327,Ben Silverman,44.4,158,356,-0.51
2024,0,31323,Gary Woodland,44.5,185,416,+0.76
2024,0,29478,Kevin Kisner,44.6,108,242,+2.31
2024,0,47347,Adam Schenk,44.6,193,433,+0.88
2024,0,34021,Bud Cauley,44.7,117,262,+0.51
2024,0,48081,Xander Schauffele,44.7,156,349,+0.77
2024,0,46340,Alex Smalley,44.7,143,320,+1.47
2024,0,35617,Martin Trainer,44.7,114,255,+1.58
2024,0,51977,Max Greyserman,44.8,167,373,+0.66
2024,0,46442,Maverick McNealy,44.8,188,420,-0.05
2024,0,49947,Taylor Moore,45.0,215,478,+0.33
