YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
2024,1,0,37275,Sam Ryder,"37' 1""",111,4114.583,-6.00
2024,2,0,30926,Chris Kirk,"39' 6""",106,4185.25,-2.00
2024,3,0,51890,Greyson Sigg,"40' 2""",103,4134.417,+8.00
2024,4,0,32640,Troy Merritt,"40' 5""",115,4648.0,+12.00
2024,5,0,34587,Chan Kim,"41' 2""",106,4361.667,+4.00
2024,6,0,46340,Alex Smalley,"41' 4""",133,5493.833,+11.00
2024,6,0,50493,Justin Suh,"41' 4""",127,5249.583,+7.00
2024,8,0,34255,Joseph Bramlett,"41' 6""",149,6177.417,-3.00
2024,8,0,32366,Kevin Chappell,"41' 6""",89,3695.75,+3.00
2024,10,0,39971,Sungjae Im,"41' 7""",133,5528.667,-3.00
2024,11,0,52453,Nicolai Højgaard,"41' 8""",91,3794.917,+15.00
2024,12,0,27349,Alex Noren,"41' 9""",95,3963.917,-4.00
2024,13,0,48117,Kurt Kitayama,"41' 10""",150,6280.167,-6.00
2024,14,0,57900,Chandler Phillips,"42' 0""",142,5967.583,+7.00
2024,15,0,32839,Hideki Matsuyama,"42' 1""",134,5636.333,+5.00
2024,16,0,23108,Matt Kuchar,"42' 2""",97,4092.5,+10.00
2024,17,0,39546,Keith Mitchell,"42' 3""",143,6040.75,+7.00
2024,18,0,34466,Peter Malnati,"42' 5""",137,5814.833,+21.00
2024,19,0,34563,Chesson Hadley,"42' 6""",112,4762.833,+10.00
2024,20,0,47591,Eric Cole,"42' 9""",179,7647.833,+8.00
2024,20,0,52514,Trace Crowe,"42' 9""",90,3847.0,+6.00
2024,22,0,39975,Michael Kim,"42' 11""",128,5493.417,+6.00
2024,23,0,34374,Erik Barnes,"43' 1""",74,3190.167,+10.00
2024,23,0,12716,Charley Hoffman,"43' 1""",148,6381.417,+11.00
2024,23,0,52666,Sami Valimaki,"43' 1""",109,4700.333,+11.00
2024,26,0,25900,Lucas Glover,"43' 2""",111,4793.333,-1.00
