YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
2024,33,0,40162,Justin Lower,15.32%,124,19.0
2024,33,0,49771,J.T. Poston,15.32%,124,19.0
2024,35,0,48887,Matt Wallace,15.29%,85,13.0
2024,36,0,27644,Brian Harman,15.25%,118,18.0
2024,37,0,39977,Max Homa,15.24%,105,16.0
2024,37,0,47993,Denny McCarthy,15.24%,105,16.0
2024,39,0,28775,Nate Lashley,15.22%,92,14.0
2024,40,0,48867,Matti Schmid,15.04%,113,17.0
2024,41,0,29420,Billy Horschel,15.00%,100,15.0
2024,41,0,24024,Zach Johnson,15.00%,60,9.0
2024,41,0,54783,Dylan Wu,15.00%,100,15.0
2024,44,0,27349,Alex Noren,14.94%,87,13.0
2024,44,0,27214,Kevin Streelman,14.94%,87,13.0
2024,46,0,47591,Eric Cole,14.93%,134,20.0
2024,47,0,39975,Michael Kim,14.81%,108,16.0
2024,48,0,55789,Taylor Montgomery,14.71%,68,10.0
2024,49,0,55182,Tom Kim,14.68%,109,16.0
2024,49,0,40006,Erik van Rooyen,14.68%,109,16.0
2024,51,0,40058,Zac Blair,14.66%,116,17.0
2024,52,0,51997,Andrew Novak,14.60%,137,20.0
2024,53,0,51634,Sahith Theegala,14.53%,117,17.0
2024,54,0,52374,Brandon Wu,14.43%,97,14.0
2024,55,0,29725,Tony Finau,14.41%,111,16.0
2024,56,0,60004,Jacob Bridgeman,14.29%,77,11.0
2024,57,0,46442,Maverick McNealy,14.16%,113,16.0
2024,57,0,52513,Carson Young,14.16%,113,16.0
2024,59,0,24502,Adam Scott,14.13%,92,13.0
2024,59,0,57366,Cameron Young,14.13%,92,13.0
2024,61,0,40250,Taylor Pendrith,13.93%,122,17.0
2024,62,0,27649,Brandt Snedeker,13.89%,72,10.0
2024,63,0,36699,Patrick Rodgers,13.82%,152,21.0
2024,64,0,51766,Wyndham Clark,13.79%,87,12.0
2024,65,0,32070,Rafael Campos,13.64%,66,9.0
2024,66,0,48153,Matthieu Pavon,13.58%,81,11.0
2024,67,0,55893,Sam Stevens,13.48%,141,19.0
