YEAR,MOVEMENT,PLAYER_ID,PLAYER,TOTAL
2024,0,48081,Xander Schauffele,56
2024,0,46046,Scottie Scheffler,44
2024,0,39997,Corey Conners,30
2024,0,50525,Collin Morikawa,17
2024,0,46414,Aaron Rai,14
2024,0,27644,Brian Harman,13
2024,0,51696,Rico Hoey,13
2024,0,34098,Russell Henley,12
2024,0,51977,Max Greyserman,11
2024,0,40250,Taylor Pendrith,11
2024,0,34360,Patrick Reed,11
2024,0,58168,Davis Thompson,11
2024,0,35506,Mackenzie Hughes,10
2024,0,47504,Sam Burns,9
2024,0,35310,Lanto Griffin,9
2024,0,39971,Sungjae Im,9
2024,0,24502,Adam Scott,9
2024,0,33974,Dean Burmester,8
2024,0,36689,Brooks Koepka,8
2024,0,57366,Cameron Young,8
2024,0,25203,SSP Chawrasia,7
2024,0,40098,Matt Fitzpatrick,7
2024,0,34656,Mikumu Horikawa,7
2024,0,47420,Jake Knapp,7
2024,0,55893,Sam Stevens,7
2024,0,33448,Justin Thomas,7
2024,0,40026,Daniel Berger,6
2024,0,34255,Joseph Bramlett,6
2024,0,35450,Patrick Cantlay,6
2024,0,25364,Paul Casey,6
2024,0,57362,Austin Eckroat,6
2024,0,25900,Lucas Glover,6
2024,0,60067,Joe Highsmith,6
2024,0,49481,Tae Hee Lee,6
2024,0,2190,Doug Tewell,6
2024,0,51634,Sahith Theegala,6
2024,0,51894,Vince Whaley,6
2024,0,28697,Gaganjeet Bhullar,5
2024,0,33141,Keegan Bradley,5
2024,0,28089,Jason Day,5
2024,0,31646,Emiliano Grillo,5
2024,0,29420,Billy Horschel,5
2024,0,35461,Beau Hossler,5
2024,0,30957,Max Kieffer,5
2024,0,1682,Wayne Levi,5
2024,0,32839,Hideki Matsuyama,5
2024,0,46442,Maverick McNealy,5
2024,0,26341,Wade Ormsby,5
2024,0,24361,Pat Perez,5
2024,0,23497,Tag Ridings,5
2024,0,36699,Patrick Rodgers,5
2024,0,52955,Ludvig Åberg,4
2024,0,33948,Byeong Hun An,4
2024,0,45522,Christiaan Bezuidenhout,4
2024,0,51349,Nico Echavarria,4
2024,0,34099,Harris English,4
2024,0,29725,Tony Finau,4
2024,0,54576,Patrick Fishburn,4
2024,0,28500,Martin Flores,4
2024,0,32102,Rickie Fowler,4
2024,0,29936,Ryan Fox,4
2024,0,54591,Ben Griffin,4
2024,0,57975,Harry Hall,4
2024,0,54421,Garrick Higgo,4
2024,0,51287,Ryo Hisatsune,4
2024,0,36801,Mark Hubbard,4
2024,0,55955,Matthew Jordan,4
2024,0,39975,Michael Kim,4
2024,0,47993,Denny McCarthy,4
2024,0,27349,Alex Noren,4
2024,0,48153,Matthieu Pavon,4
2024,0,22056,Cameron Percy,4
2024,0,49771,J.T. Poston,4
2024,0,45847,JC Ritchie,4
2024,0,34541,Poom Saksansin,4
2024,0,23481,Marcel Siem,4
2024,0,40006,Erik van Rooyen,4
2024,0,48887,Matt Wallace,4
2024,0,52513,Carson Young,4
2024,0,33408,Tyson Alexander,3
2024,0,45526,Abraham Ancer,3
2024,0,20098,Stuart Appleby,3
2024,0,30996,Mark Baldwin,3
2024,0,56630,Akshay Bhatia,3
2024,0,57259,Daniel Brown,3
2024,0,32367,Jorge Campillo,3
2024,0,32366,Kevin Chappell,3
2024,0,66743,Luke Clanton,3
2024,0,24494,Erik Compton,3
2024,0,59866,Nick Dunlap,3
2024,0,30911,Tommy Fleetwood,3
2024,0,30736,Oscar Fraustro,3
2024,0,10117,Bob Heintz,3
2024,0,39058,Lucas Herbert,3
2024,0,49298,Kramer Hickok,3
2024,0,52686,Rasmus Hojgaard,3
2024,0,46717,Viktor Hovland,3
2024,0,21961,Charles Howell III,3
2024,0,32775,Shugo Imahira,3
