YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
2024,0,47959,Bryson DeChambeau,18.90%,6993000,37000000
2024,0,46046,Scottie Scheffler,10.54%,29228357,277400000
2024,0,48081,Xander Schauffele,5.85%,18385320,314200000
2024,0,59141,Matt McCarty,4.60%,1366340,29700000
2024,0,32839,Hideki Matsuyama,4.10%,11257969,274800000
2024,0,28237,Rory McIlroy,4.07%,10893790,267500000
2024,0,51766,Wyndham Clark,3.59%,10901416,303300000
2024,0,52955,Ludvig Åberg,3.45%,9833547,285100000
2024,0,33974,Dean Burmester,3.39%,576727,17000000
2024,0,54218,Yuta Sugiura,3.13%,266050,8500000
2024,0,51680,Alistair Docherty,2.66%,356000,13400000
2024,0,50525,Collin Morikawa,2.66%,8383572,315700000
2024,0,51634,Sahith Theegala,2.44%,8474215,347100000
2024,0,33204,Shane Lowry,2.31%,6095881,263400000
2024,0,37250,Romain Langasque,2.27%,590850,26000000
2024,0,35891,Cameron Smith,2.25%,831096,37000000
2024,0,52215,Robert MacIntyre,2.23%,5400384,242100000
2024,0,33141,Keegan Bradley,2.20%,6879455,312800000
2024,0,34360,Patrick Reed,2.19%,437587,20000000
2024,0,35450,Patrick Cantlay,2.18%,6279965,288300000
2024,0,21209,Sergio Garcia,2.05%,409279,20000000
2024,0,47504,Sam Burns,2.03%,6185830,305100000
2024,0,29420,Billy Horschel,2.01%,5037278,251100000
2024,0,46414,Aaron Rai,2.00%,4613515,230300000
2024,0,39335,Kevin Roy,1.99%,166740,8400000
2024,0,48153,Matthieu Pavon,1.98%,5254412,265700000
2024,0,51977,Max Greyserman,1.95%,4297356,220300000
2024,0,29725,Tony Finau,1.89%,5706467,302200000
2024,0,30926,Chris Kirk,1.89%,6061136,321100000
2024,0,40250,Taylor Pendrith,1.88%,4797854,254600000
2024,0,33948,Byeong Hun An,1.86%,5871643,315800000
2024,0,24502,Adam Scott,1.85%,4753172,257000000
2024,0,46717,Viktor Hovland,1.84%,4616727,251000000
2024,0,34363,Tyrrell Hatton,1.83%,1191868,65300000
2024,0,33448,Justin Thomas,1.83%,5223561,285100000
2024,0,39971,Sungjae Im,1.81%,6286205,348100000
2024,0,39262,Alvaro Ortiz,1.79%,145125,8100000
2024,0,34098,Russell Henley,1.76%,5080969,288500000
2024,0,45523,Thriston Lawrence,1.76%,896350,51000000
2024,0,60369,Sam Bairstow,1.75%,139740,8000000
2024,0,46442,Maverick McNealy,1.73%,4708358,272100000
2024,0,56630,Akshay Bhatia,1.69%,5344905,315900000
2024,0,59018,Ryan Gerard,1.68%,120600,7200000
2024,0,45522,Christiaan Bezuidenhout,1.67%,5026363,300800000
2024,0,58168,Davis Thompson,1.61%,4420940,273900000
2024,0,30911,Tommy Fleetwood,1.59%,4609158,289600000
2024,0,27644,Brian Harman,1.57%,5201770,330300000
2024,0,27349,Alex Noren,1.55%,3649210,235900000
2024,0,57362,Austin Eckroat,1.54%,5054871,327600000
2024,0,49771,J.T. Poston,1.53%,5271598,344200000
2024,0,47483,Will Zalatoris,1.52%,4569320,300300000
2024,0,55955,Matthew Jordan,1.50%,390883,26000000
2024,0,58359,Mitchell Schow,1.48%,59000,4000000
2024,0,36799,Stephan Jaeger,1.47%,4732554,322600000
2024,0,50762,Alejandro Del Rey,1.45%,130800,9000000
2024,0,35706,Niklas Norgaard,1.45%,130800,9000000
2024,0,50584,Connor Syme,1.45%,130800,9000000
2024,0,33653,Thomas Detry,1.44%,3614669,250200000
2024,0,63454,Johnny Keefer,1.44%,86515,6000000
2024,0,66583,Taisei Shimizu,1.43%,121210,8500000
2024,0,57364,Michael Thorbjornsen,1.43%,1281590,89900000
2024,0,51349,Nico Echavarria,1.40%,3583634,255500000
2024,0,49960,Sepp Straka,1.39%,4601079,331000000
2024,0,46970,Jon Rahm,1.38%,509033,37000000
2024,0,28089,Jason Day,1.35%,4117518,306000000
2024,0,35532,Tom Hoge,1.32%,4841123,367900000
2024,0,57259,Daniel Brown,1.31%,341293,26000000
2024,0,34213,Grayson Murray,1.31%,2471532,188800000
2024,0,37455,Si Woo Kim,1.30%,4526733,348200000
2024,0,57366,Cameron Young,1.29%,4057224,314700000
2024,0,45242,Kevin Yu,1.29%,3285759,254800000
2024,0,37378,Min Woo Lee,1.27%,2611021,204800000
2024,0,45157,Cam Davis,1.26%,4039533,321100000
2024,0,55182,Tom Kim,1.25%,4124968,330600000
2024,0,39997,Corey Conners,1.23%,4061539,330600000
2024,0,39977,Max Homa,1.20%,3843467,321600000
2024,0,45734,John Catlin,1.19%,202700,17000000
2024,0,47993,Denny McCarthy,1.19%,4022193,338900000
2024,0,40098,Matt Fitzpatrick,1.18%,3705463,315200000
2024,0,27064,Jhonattan Vegas,1.17%,2309280,197500000
2024,0,48640,Johannes Veerman,1.16%,93000,8000000
2024,0,33399,Adam Hadwin,1.15%,4052108,353800000
2024,0,35506,Mackenzie Hughes,1.15%,3769962,328600000
2024,0,47420,Jake Knapp,1.14%,3102773,272100000
2024,0,51950,Max McGreevy,1.12%,189918,17000000
2024,0,22405,Justin Rose,1.12%,3058683,274300000
2024,0,58696,Peter Kuest,1.11%,336100,30200000
2024,0,32344,Lukas Nemecz,1.11%,88632,8000000
2024,0,34371,Adrien Saddier,1.10%,87800,8000000
2024,0,32757,Patton Kizzire,1.09%,1908579,175600000
2024,0,35296,Haotong Li,1.09%,97650,9000000
2024,0,51997,Andrew Novak,1.08%,2507992,231500000
2024,0,35461,Beau Hossler,1.05%,2607962,248800000
2024,0,36801,Mark Hubbard,1.04%,2757076,265000000
2024,0,36689,Brooks Koepka,1.03%,381643,37000000
2024,0,47679,Victor Perez,1.02%,2068163,203400000
2024,0,32070,Rafael Campos,1.01%,1857846,183700000
2024,0,34099,Harris English,1.01%,3402062,338300000
2024,0,54576,Patrick Fishburn,1.00%,1928584,193600000
2024,0,52375,Doug Ghim,1.00%,2435308,244700000
2024,0,54591,Ben Griffin,.97%,3459847,355600000
2024,0,40006,Erik van Rooyen,.97%,2572256,266100000
2024,0,59866,Nick Dunlap,.96%,2930385,305800000
2024,0,57737,Jayden Schaper,.95%,76000,8000000
2024,0,39546,Keith Mitchell,.94%,2340999,249300000
2024,0,25493,Nick Taylor,.94%,3249358,347000000
2024,0,56100,Ren Yonezawa,.94%,79560,8500000
2024,0,48052,Max Rottluff,.93%,74400,8000000
2024,0,36699,Patrick Rodgers,.92%,3247174,354700000
2024,0,60065,Ryan Hall,.90%,68020,7600000
2024,0,40162,Justin Lower,.90%,2418975,268700000
2024,0,51696,Rico Hoey,.89%,1792875,201200000
2024,0,27129,Luke List,.89%,2637149,297700000
2024,0,47591,Eric Cole,.88%,3726147,421300000
2024,0,54190,Richard Mansell,.88%,228568,26000000
2024,0,28252,Seamus Power,.88%,3033654,345700000
2024,0,34046,Jordan Spieth,.88%,2732591,311900000
2024,0,29908,C.T. Pan,.87%,1801097,208000000
2024,0,40026,Daniel Berger,.86%,1665242,192600000
2024,0,25900,Lucas Glover,.86%,2876201,333700000
2024,0,12716,Charley Hoffman,.86%,1805659,211100000
2024,0,29535,Brice Garnett,.85%,1340330,157100000
2024,0,52453,Nicolai Højgaard,.85%,1741996,205800000
2024,0,30957,Max Kieffer,.85%,111050,13000000
2024,0,33199,Matteo Manassero,.85%,221020,26000000
2024,0,39113,Shubhankar Sharma,.85%,221817,26000000
2024,0,36824,Paul Peterson,.84%,63460,7600000
2024,0,57975,Harry Hall,.83%,1779095,215600000
2024,0,51661,Nick Bachem,.82%,73350,9000000
2024,0,46646,Antoine Rozner,.82%,73350,9000000
2024,0,48117,Kurt Kitayama,.81%,2474411,305100000
2024,0,59143,Mac Meissner,.81%,1456769,180900000
