YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
2024,1,0,52514,Trace Crowe,3,23
2024,1,0,35461,Beau Hossler,3,31
2024,3,0,51349,Nico Echavarria,2,34
2024,3,0,34587,Chan Kim,2,48
2024,3,0,29478,Kevin Kisner,2,34
2024,3,0,34466,Peter Malnati,2,29
2024,3,0,26596,Ryan Moore,2,44
2024,3,0,34256,Andrew Putnam,2,28
2024,3,0,29221,Webb Simpson,2,27
2024,3,0,27770,Camilo Villegas,2,29
2024,11,0,33408,Tyson Alexander,1,31
2024,11,0,40058,Zac Blair,1,36
2024,11,0,33141,Keegan Bradley,1,27
2024,11,0,34255,Joseph Bramlett,1,53
2024,11,0,47504,Sam Burns,1,19
2024,11,0,34021,Bud Cauley,1,24
2024,11,0,51766,Wyndham Clark,1,21
2024,11,0,39997,Corey Conners,1,35
2024,11,0,30911,Tommy Fleetwood,1,24
2024,11,0,32102,Rickie Fowler,1,32
2024,11,0,29535,Brice Garnett,1,30
2024,11,0,25900,Lucas Glover,1,27
2024,11,0,59095,Chris Gotterup,1,39
2024,11,0,51977,Max Greyserman,1,27
2024,11,0,60767,Blaine Hale Jr.,1,26
2024,11,0,12716,Charley Hoffman,1,32
2024,11,0,30926,Chris Kirk,1,31
2024,11,0,32757,Patton Kizzire,1,32
2024,11,0,23108,Matt Kuchar,1,23
2024,11,0,28775,Nate Lashley,1,36
2024,11,0,59143,Mac Meissner,1,26
2024,11,0,49771,J.T. Poston,1,30
2024,11,0,26476,Chez Reavie,1,27
2024,11,0,47995,Davis Riley,1,30
2024,11,0,22405,Justin Rose,1,27
2024,11,0,37275,Sam Ryder,1,39
2024,11,0,47347,Adam Schenk,1,44
2024,11,0,48867,Matti Schmid,1,38
2024,11,0,46441,Robby Shelton,1,34
2024,11,0,51890,Greyson Sigg,1,35
2024,11,0,33486,Roger Sloan,1,28
2024,11,0,50484,Hayden Springer,1,34
2024,11,0,33448,Justin Thomas,1,20
2024,11,0,35617,Martin Trainer,1,25
2024,11,0,52666,Sami Valimaki,1,29
2024,11,0,31323,Gary Woodland,1,41
2024,11,0,52513,Carson Young,1,45
2023,1,0,25900,Lucas Glover,3,47
2023,2,0,33653,Thomas Detry,2,26
2023,2,0,34098,Russell Henley,2,34
2023,2,0,32839,Hideki Matsuyama,2,34
2023,2,0,47993,Denny McCarthy,2,35
2023,2,0,32640,Troy Merritt,2,52
2023,2,0,46601,Trey Mullinax,2,37
2023,2,0,29289,S.Y. Noh,2,21
2023,9,0,40058,Zac Blair,1,31
2023,9,0,33141,Keegan Bradley,1,20
2023,9,0,47591,Eric Cole,1,27
2023,9,0,49453,Trevor Cone,1,43
2023,9,0,46435,Austin Cook,1,36
2023,9,0,45157,Cam Davis,1,49
2023,9,0,37338,Zecheng Dou,1,44
2023,9,0,25686,Jason Dufner,1,55
2023,9,0,29535,Brice Garnett,1,25
2023,9,0,52375,Doug Ghim,1,46
2023,9,0,35310,Lanto Griffin,1,26
2023,9,0,33399,Adam Hadwin,1,28
2023,9,0,27554,Scott Harrington,1,33
2023,9,0,39058,Lucas Herbert,1,17
2023,9,0,31557,Jim Herman,1,46
2023,9,0,49298,Kramer Hickok,1,53
2023,9,0,35461,Beau Hossler,1,27
2023,9,0,24024,Zach Johnson,1,24
2023,9,0,50188,S.H. Kim,1,41
2023,9,0,30926,Chris Kirk,1,23
2023,9,0,48117,Kurt Kitayama,1,33
2023,9,0,32757,Patton Kizzire,1,38
2023,9,0,36326,David Lipsky,1,47
2023,9,0,35449,Adam Long,1,33
2023,9,0,40162,Justin Lower,1,39
2023,9,0,39546,Keith Mitchell,1,37
2023,9,0,26596,Ryan Moore,1,24
2023,9,0,49947,Taylor Moore,1,33
2023,9,0,28252,Seamus Power,1,23
2023,9,0,47983,Chad Ramey,1,44
2023,9,0,53165,Doc Redman,1,46
2023,9,0,47995,Davis Riley,1,45
2023,9,0,36699,Patrick Rodgers,1,34
2023,9,0,39335,Kevin Roy,1,35
2023,9,0,48867,Matti Schmid,1,26
2023,9,0,24502,Adam Scott,1,19
2023,9,0,46441,Robby Shelton,1,29
2023,9,0,46340,Alex Smalley,1,52
2023,9,0,55893,Sam Stevens,1,36
2023,9,0,34431,Robert Streb,1,34
2023,9,0,58168,Davis Thompson,1,40
2023,9,0,48887,Matt Wallace,1,41
2023,9,0,47128,Richy Werenski,1,25
2023,9,0,32139,Danny Willett,1,24
2023,9,0,31323,Gary Woodland,1,54
2022,1,0,27129,Luke List,3,57
2022,1,0,47995,Davis Riley,3,37
2022,3,0,39436,Joshua Creel,2,19
2022,3,0,34076,Joel Dahmen,2,40
2022,3,0,25900,Lucas Glover,2,58
2022,3,0,27974,Sung Kang,2,40
2022,3,0,23108,Matt Kuchar,2,24
2022,3,0,34466,Peter Malnati,2,36
2022,3,0,29221,Webb Simpson,2,26
2022,3,0,34264,Hudson Swafford,2,31
2022,3,0,25493,Nick Taylor,2,43
2022,3,0,32150,Michael Thompson,2,35
2022,3,0,27770,Camilo Villegas,2,20
2022,14,0,34255,Joseph Bramlett,1,45
2022,14,0,24925,Jonathan Byrd,1,17
2022,14,0,39997,Corey Conners,1,33
2022,14,0,32102,Rickie Fowler,1,21
2022,14,0,46550,Brandon Hagy,1,44
2022,14,0,34098,Russell Henley,1,31
2022,14,0,39058,Lucas Herbert,1,11
2022,14,0,49298,Kramer Hickok,1,47
2022,14,0,54628,Lee Hodges,1,52
2022,14,0,12716,Charley Hoffman,1,27
2022,14,0,36801,Mark Hubbard,1,21
2022,14,0,34174,John Huh,1,30
2022,14,0,37455,Si Woo Kim,1,42
2022,14,0,29478,Kevin Kisner,1,27
2022,14,0,36884,Ben Kohles,1,22
2022,14,0,28775,Nate Lashley,1,24
2022,14,0,29926,Danny Lee,1,21
2022,14,0,40162,Justin Lower,1,26
2022,14,0,32839,Hideki Matsuyama,1,24
2022,14,0,28237,Rory McIlroy,1,28
2022,14,0,46601,Trey Mullinax,1,27
2022,14,0,29908,C.T. Pan,1,37
2022,14,0,49771,J.T. Poston,1,36
2022,14,0,34256,Andrew Putnam,1,41
2022,14,0,46414,Aaron Rai,1,31
2022,14,0,26476,Chez Reavie,1,42
2022,14,0,47856,Seth Reeves,1,29
2022,14,0,36699,Patrick Rodgers,1,33
2022,14,0,34610,Matthias Schwab,1,26
2022,14,0,33486,Roger Sloan,1,37
2022,14,0,34046,Jordan Spieth,1,31
2022,14,0,33448,Justin Thomas,1,23
2022,14,0,37189,Harold Varner III,1,27
2022,14,0,27095,Nick Watney,1,48
2022,14,0,45540,Jared Wolfe,1,29
2021,1,0,49964,Aaron Wise,3,64
2021,2,0,34255,Joseph Bramlett,2,35
2021,2,0,25900,Lucas Glover,2,52
2021,2,0,34098,Russell Henley,2,36
2021,2,0,22056,Cameron Percy,2,35
2021,2,0,37275,Sam Ryder,2,33
2021,2,0,33486,Roger Sloan,2,37
2021,8,0,52372,Cameron Champ,1,41
2021,8,0,45157,Cam Davis,1,51
2021,8,0,29970,Dylan Frittelli,1,33
2021,8,0,28679,Fabián Gómez,1,16
2021,8,0,34563,Chesson Hadley,1,28
2021,8,0,33399,Adam Hadwin,1,38
2021,8,0,27554,Scott Harrington,1,36
2021,8,0,35461,Beau Hossler,1,30
