YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),TOTAL STROKES
2024,0,46046,Scottie Scheffler,"18' 10""",5093.417,271
2024,0,34098,Russell Henley,"19' 3""",5161.583,268
2024,0,50525,Collin Morikawa,"19' 11""",5319.75,267
2024,0,55182,Tom Kim,"20' 0""",6545.833,327
2024,0,25900,Lucas Glover,"20' 5""",6345.0,311
2024,0,37455,Si Woo Kim,"21' 0""",7189.0,342
2024,0,40058,Zac Blair,"21' 1""",6932.083,329
2024,0,31646,Emiliano Grillo,"21' 2""",7571.417,358
2024,0,46414,Aaron Rai,"21' 3""",5494.833,259
2024,0,36884,Ben Kohles,"21' 4""",6081.083,285
2024,0,34256,Andrew Putnam,"21' 7""",7349.583,341
2024,0,25493,Nick Taylor,"21' 9""",8214.75,378
2024,0,27644,Brian Harman,"21' 10""",7421.333,340
2024,0,39997,Corey Conners,"21' 11""",8050.083,367
2024,0,40098,Matt Fitzpatrick,"22' 0""",6668.833,303
2024,0,29908,C.T. Pan,"22' 1""",5905.75,267
2024,0,39971,Sungjae Im,"22' 2""",8395.083,379
2024,0,24024,Zach Johnson,"22' 2""",4323.0,195
2024,0,30163,Henrik Norlander,"22' 6""",4922.0,219
2024,0,39327,Ben Silverman,"22' 7""",7974.583,353
2024,0,47993,Denny McCarthy,"22' 8""",8741.333,386
2024,0,57362,Austin Eckroat,"22' 11""",7312.083,319
2024,0,30911,Tommy Fleetwood,"23' 0""",5614.583,244
2024,0,52513,Carson Young,"23' 0""",6853.583,298
2024,0,29535,Brice Garnett,"23' 1""",3944.083,171
2024,0,33399,Adam Hadwin,"23' 1""",7889.167,342
2024,0,29420,Billy Horschel,"23' 1""",7761.417,336
2024,0,46717,Viktor Hovland,"23' 1""",6226.667,270
2024,0,26596,Ryan Moore,"23' 1""",5938.833,257
2024,0,35450,Patrick Cantlay,"23' 2""",6984.083,301
2024,0,52375,Doug Ghim,"23' 2""",7860.0,339
2024,0,40026,Daniel Berger,"23' 4""",5513.0,236
2024,0,27349,Alex Noren,"23' 5""",6896.417,295
2024,0,45522,Christiaan Bezuidenhout,"23' 6""",9145.75,389
2024,0,30927,Brendon Todd,"23' 6""",8707.833,370
2024,0,33204,Shane Lowry,"23' 7""",6554.333,278
2024,0,49771,J.T. Poston,"23' 7""",8491.583,360
2024,0,23108,Matt Kuchar,"23' 8""",7487.833,316
2024,0,40115,Adam Svensson,"23' 8""",10862.167,459
2024,0,36801,Mark Hubbard,"23' 9""",9204.667,388
2024,0,49960,Sepp Straka,"23' 11""",6328.667,265
2024,0,54628,Lee Hodges,"24' 1""",8965.083,372
2024,0,47983,Chad Ramey,"24' 1""",7925.417,329
2024,0,30926,Chris Kirk,"24' 3""",7457.5,307
2024,0,27214,Kevin Streelman,"24' 5""",6849.75,281
2024,0,26476,Chez Reavie,"24' 8""",6109.25,248
2024,0,28775,Nate Lashley,"24' 9""",7079.833,286
2024,0,35532,Tom Hoge,"24' 10""",12158.667,489
2024,0,28237,Rory McIlroy,"24' 10""",7486.833,301
2024,0,35310,Lanto Griffin,"24' 11""",7483.0,300
2024,0,52955,Ludvig Åberg,"25' 0""",8290.333,332
2024,0,45609,Tyler Duncan,"25' 0""",6472.167,259
2024,0,28252,Seamus Power,"25' 0""",10085.0,404
2024,0,51696,Rico Hoey,"25' 1""",8429.25,336
2024,0,46442,Maverick McNealy,"25' 2""",10422.25,414
2024,0,51287,Ryo Hisatsune,"25' 3""",8402.417,333
2024,0,34076,Joel Dahmen,"25' 4""",8230.25,325
2024,0,34099,Harris English,"25' 4""",9191.083,363
2024,0,48319,Tom Whitney,"25' 4""",6178.333,244
2024,0,48117,Kurt Kitayama,"25' 6""",9137.167,358
2024,0,40162,Justin Lower,"25' 6""",11636.667,456
2024,0,27649,Brandt Snedeker,"25' 6""",6945.25,272
2024,0,33141,Keegan Bradley,"25' 7""",8973.417,351
