YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
2024,1,0,51349,Nico Echavarria,100.00%,1,1
2024,1,0,27644,Brian Harman,100.00%,1,1
2024,1,0,32839,Hideki Matsuyama,100.00%,1,1
2024,1,0,46442,Maverick McNealy,100.00%,1,1
2024,1,0,47347,Adam Schenk,100.00%,1,1
2023,1,0,48084,Wesley Bryan,100.00%,24,24
2023,1,0,28089,Jason Day,100.00%,42,42
2023,1,0,32662,Michael Gligic,100.00%,33,33
2023,1,0,39058,Lucas Herbert,100.00%,15,15
2023,1,0,31557,Jim Herman,100.00%,32,32
2023,1,0,52453,Nicolai Hojgaard,100.00%,9,9
2023,1,0,32816,Satoshi Kodaira,100.00%,22,22
2023,1,0,34466,Peter Malnati,100.00%,51,51
2023,1,0,30692,Scott Stallings,100.00%,25,25
2023,1,0,31323,Gary Woodland,100.00%,39,39
2023,11,0,48119,Ben Taylor,98.00%,49,50
2023,12,0,35532,Tom Hoge,97.83%,45,46
2023,13,0,34363,Tyrrell Hatton,97.73%,43,44
2023,13,0,33597,Harry Higgs,97.73%,43,44
2023,15,0,47079,Harrison Endycott,97.50%,39,40
2023,15,0,29725,Tony Finau,97.50%,39,40
2023,15,0,34098,Russell Henley,97.50%,39,40
2023,18,0,22371,Aaron Baddeley,97.44%,38,39
2023,18,0,39975,Michael Kim,97.44%,38,39
2023,20,0,56630,Akshay Bhatia,97.22%,35,36
2023,20,0,48081,Xander Schauffele,97.22%,35,36
2023,22,0,33399,Adam Hadwin,96.97%,32,33
2023,22,0,35879,Kelly Kraft,96.97%,32,33
2023,24,0,46601,Trey Mullinax,96.77%,30,31
2023,25,0,33141,Keegan Bradley,96.67%,29,30
2023,26,0,28237,Rory McIlroy,96.30%,26,27
2023,27,0,47591,Eric Cole,96.23%,51,53
2023,27,0,54421,Garrick Higgo,96.23%,51,53
2023,29,0,39954,Cody Gribble,96.15%,25,26
2023,30,0,27644,Brian Harman,96.08%,49,51
2023,31,0,26596,Ryan Moore,95.92%,47,49
2023,32,0,35449,Adam Long,95.83%,46,48
2023,33,0,39971,Sungjae Im,95.65%,44,46
2023,33,0,23108,Matt Kuchar,95.65%,44,46
2023,35,0,49960,Sepp Straka,95.56%,43,45
2023,36,0,24140,Sean O'Hair,95.45%,21,22
2023,36,0,34610,Matthias Schwab,95.45%,42,44
2023,38,0,37338,Zecheng Dou,95.35%,41,43
2023,39,0,29420,Billy Horschel,95.24%,20,21
2023,40,0,27349,Alex Noren,95.12%,39,41
2023,40,0,48699,Callum Tarren,95.12%,39,41
2023,42,0,40162,Justin Lower,95.08%,58,61
2023,43,0,55182,Tom Kim,94.87%,37,39
2023,43,0,36326,David Lipsky,94.87%,37,39
2023,45,0,52955,Ludvig Åberg,94.74%,18,19
2023,45,0,47504,Sam Burns,94.74%,36,38
2023,45,0,47993,Denny McCarthy,94.74%,54,57
2023,45,0,34046,Jordan Spieth,94.74%,36,38
2023,49,0,54591,Ben Griffin,94.64%,53,56
2023,50,0,51349,Nico Echavarria,94.59%,35,37
2023,51,0,34076,Joel Dahmen,94.44%,51,54
2023,51,0,57975,Harry Hall,94.44%,34,36
2023,53,0,40006,Erik van Rooyen,94.29%,33,35
2023,54,0,32757,Patton Kizzire,94.12%,32,34
2023,54,0,49947,Taylor Moore,94.12%,48,51
2023,54,0,54783,Dylan Wu,94.12%,32,34
2023,57,0,46435,Austin Cook,93.88%,46,49
2023,58,0,35506,Mackenzie Hughes,93.75%,30,32
2023,58,0,27936,Martin Laird,93.75%,30,32
2023,58,0,46442,Maverick McNealy,93.75%,30,32
2023,58,0,37275,Sam Ryder,93.75%,45,48
2023,58,0,46340,Alex Smalley,93.75%,45,48
2023,58,0,40115,Adam Svensson,93.75%,45,48
2023,64,0,39997,Corey Conners,93.55%,29,31
2023,65,0,27554,Scott Harrington,93.48%,43,46
2023,65,0,36871,Matt NeSmith,93.48%,43,46
2023,65,0,52513,Carson Young,93.48%,43,46
2023,68,0,45522,Christiaan Bezuidenhout,93.33%,42,45
2023,68,0,33204,Shane Lowry,93.33%,14,15
2023,70,0,46717,Viktor Hovland,93.18%,41,44
2023,70,0,36799,Stephan Jaeger,93.18%,41,44
2023,72,0,35461,Beau Hossler,93.10%,54,58
2023,72,0,23320,Ryan Palmer,93.10%,27,29
2023,74,0,33948,Byeong Hun An,92.98%,53,57
2023,75,0,31577,Tano Goya,92.86%,39,42
