YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2024,1,0,27644,Brian Harman,"4' 7""",4.583,1,-2
2024,2,0,34374,Erik Barnes,"35' 8""",71.25,2,-2
2024,3,0,33399,Adam Hadwin,"37' 4""",37.333,1,-1
2024,4,0,30926,Chris Kirk,"41' 5""",41.417,1,-1
2024,5,0,34098,Russell Henley,"43' 11""",43.917,1,E
2024,6,0,23108,Matt Kuchar,"50' 0""",100.0,2,-1
2024,7,0,39546,Keith Mitchell,"51' 6""",360.25,7,-3
2024,8,0,33948,Byeong Hun An,"52' 11""",211.583,4,-4
2024,9,0,47983,Chad Ramey,"54' 6""",54.5,1,-1
2024,10,0,59836,Pierceson Coody,"56' 8""",56.667,1,+1
2024,11,0,54783,Dylan Wu,"57' 10""",346.917,6,-5
2024,12,0,55454,Carl Yuan,"58' 7""",117.083,2,E
2024,13,0,40026,Daniel Berger,"60' 6""",181.5,3,-1
2024,14,0,29908,C.T. Pan,"60' 7""",60.583,1,-1
2024,15,0,60767,Blaine Hale Jr.,"61' 8""",61.667,1,-2
2024,16,0,52453,Nicolai Højgaard,"61' 11""",185.833,3,E
2024,17,0,39997,Corey Conners,"62' 9""",439.25,7,-6
2024,18,0,52375,Doug Ghim,"65' 9""",131.5,2,-1
2024,19,0,24502,Adam Scott,"67' 7""",405.5,6,-3
2024,20,0,35310,Lanto Griffin,"68' 5""",136.75,2,-1
2024,21,0,52514,Trace Crowe,"69' 5""",485.833,7,-4
2024,22,0,34099,Harris English,"70' 10""",496.083,7,-3
2024,23,0,35450,Patrick Cantlay,"73' 1""",292.417,4,-2
2024,24,0,26596,Ryan Moore,"73' 3""",879.25,12,-8
2024,25,0,23320,Ryan Palmer,"73' 7""",294.333,4,E
2024,26,0,39971,Sungjae Im,"74' 0""",74.0,1,-1
2024,27,0,25493,Nick Taylor,"75' 5""",603.167,8,-4
2024,28,0,55182,Tom Kim,"76' 2""",380.833,5,-2
2024,29,0,33653,Thomas Detry,"76' 3""",381.417,5,-3
2024,30,0,51696,Rico Hoey,"76' 4""",534.167,7,-3
2024,31,0,47663,Kevin Dougherty,"76' 9""",537.5,7,-5
2024,32,0,40058,Zac Blair,"77' 4""",463.917,6,-2
2024,33,0,36799,Stephan Jaeger,"77' 11""",545.417,7,-3
2024,34,0,25900,Lucas Glover,"78' 7""",235.667,3,-1
2024,34,0,28237,Rory McIlroy,"78' 7""",393.083,5,-3
2024,36,0,48867,Matti Schmid,"78' 9""",708.667,9,-3
2024,37,0,46113,Ryan McCormick,"80' 0""",320.083,4,E
2024,37,0,27770,Camilo Villegas,"80' 0""",239.917,3,-2
2024,39,0,59095,Chris Gotterup,"80' 5""",402.167,5,-1
2024,40,0,54576,Patrick Fishburn,"80' 7""",483.667,6,-2
2024,41,0,47806,Raul Pereda,"80' 8""",564.75,7,-4
2024,42,0,27064,Jhonattan Vegas,"81' 2""",486.917,6,-2
2024,43,0,34587,Chan Kim,"81' 5""",244.167,3,-3
2024,44,0,36326,David Lipsky,"81' 11""",327.5,4,-1
2024,45,0,34563,Chesson Hadley,"82' 1""",246.25,3,-1
2024,46,0,33408,Tyson Alexander,"82' 7""",660.5,8,-5
2024,47,0,46717,Viktor Hovland,"83' 3""",333.0,4,-3
2024,48,0,39975,Michael Kim,"83' 7""",585.333,7,-3
2024,49,0,35461,Beau Hossler,"83' 10""",670.333,8,-5
2024,50,0,36884,Ben Kohles,"84' 0""",168.0,2,-2
2024,51,0,46442,Maverick McNealy,"84' 9""",932.0,11,-3
2024,52,0,50095,Austin Smotherman,"84' 11""",169.75,2,E
2024,53,0,50188,S.H. Kim,"85' 4""",1194.5,14,-10
2024,54,0,51977,Max Greyserman,"85' 6""",769.5,9,-5
2024,55,0,57362,Austin Eckroat,"85' 9""",257.167,3,-2
