YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
2024,0,31323,Gary Woodland,"2' 5""",143.917,59,177
2024,0,28089,Jason Day,"2' 6""",162.75,65,32
2024,0,49771,J.T. Poston,"2' 6""",172.25,69,83
2024,0,59836,Pierceson Coody,"2' 7""",134.333,52,168
2024,0,54576,Patrick Fishburn,"2' 7""",116.5,45,61
2024,0,51977,Max Greyserman,"2' 7""",153.417,59,46
2024,0,35506,Mackenzie Hughes,"2' 7""",227.5,88,15
2024,0,51997,Andrew Novak,"2' 7""",172.667,66,34
2024,0,46414,Aaron Rai,"2' 7""",153.917,60,30
2024,0,59095,Chris Gotterup,"2' 8""",173.417,66,109
2024,0,23108,Matt Kuchar,"2' 8""",189.083,71,78
2024,0,50525,Collin Morikawa,"2' 8""",227.833,85,9
2024,0,51894,Vince Whaley,"2' 8""",133.417,50,44
2024,0,33408,Tyson Alexander,"2' 9""",158.917,57,134
2024,0,47504,Sam Burns,"2' 9""",180.417,66,70
2024,0,32366,Kevin Chappell,"2' 9""",136.333,49,114
2024,0,25900,Lucas Glover,"2' 9""",210.5,77,101
2024,0,33204,Shane Lowry,"2' 9""",196.833,71,106
2024,0,27139,David Skinns,"2' 9""",169.833,62,129
2024,0,33448,Justin Thomas,"2' 9""",194.917,71,45
2024,0,22371,Aaron Baddeley,"2' 10""",184.667,66,16
2024,0,33141,Keegan Bradley,"2' 10""",202.917,72,151
2024,0,29478,Kevin Kisner,"2' 10""",118.667,42,153
2024,0,47347,Adam Schenk,"2' 10""",260.0,93,93
2024,0,52513,Carson Young,"2' 10""",215.25,75,109
2024,0,47483,Will Zalatoris,"2' 10""",186.5,65,64
2024,0,40098,Matt Fitzpatrick,"2' 11""",168.167,57,53
2024,0,55182,Tom Kim,"2' 11""",176.0,61,124
2024,0,55789,Taylor Montgomery,"2' 11""",158.167,55,54
2024,0,27349,Alex Noren,"2' 11""",138.333,48,3
2024,0,23320,Ryan Palmer,"2' 11""",112.333,38,107
2024,0,50095,Austin Smotherman,"2' 11""",130.25,45,94
2024,0,39324,J.J. Spaun,"2' 11""",244.667,83,131
2024,0,45242,Kevin Yu,"2' 11""",159.667,54,84
2024,0,56630,Akshay Bhatia,"3' 0""",261.75,87,52
2024,0,34021,Bud Cauley,"3' 0""",152.917,51,8
2024,0,29535,Brice Garnett,"3' 0""",126.583,42,69
2024,0,35461,Beau Hossler,"3' 0""",205.667,68,34
2024,0,32757,Patton Kizzire,"3' 0""",163.583,55,80
2024,0,32791,K.H. Lee,"3' 0""",179.5,60,87
2024,0,46442,Maverick McNealy,"3' 0""",246.0,82,10
2024,0,33968,Thorbjørn Olesen,"3' 0""",124.333,42,149
2024,0,47679,Victor Perez,"3' 0""",174.5,58,90
2024,0,47995,Davis Riley,"3' 0""",248.917,82,137
2024,0,46441,Robby Shelton,"3' 0""",240.0,79,88
2024,0,51890,Greyson Sigg,"3' 0""",149.25,50,13
2024,0,54783,Dylan Wu,"3' 0""",218.0,73,96
2024,0,45609,Tyler Duncan,"3' 1""",164.333,54,81
2024,0,52375,Doug Ghim,"3' 1""",247.25,81,41
2024,0,57975,Harry Hall,"3' 1""",273.833,88,40
2024,0,34587,Chan Kim,"3' 1""",210.5,68,19
2024,0,32640,Troy Merritt,"3' 1""",243.167,78,120
2024,0,29908,C.T. Pan,"3' 1""",183.417,59,36
2024,0,34256,Andrew Putnam,"3' 1""",217.833,70,42
2024,0,26476,Chez Reavie,"3' 1""",155.667,50,81
2024,0,55893,Sam Stevens,"3' 1""",277.417,89,33
2024,0,58168,Davis Thompson,"3' 1""",279.417,90,68
2024,0,52955,Ludvig Åberg,"3' 2""",223.75,71,21
2024,0,51349,Nico Echavarria,"3' 2""",203.0,64,123
2024,0,32102,Rickie Fowler,"3' 2""",202.667,64,117
2024,0,29420,Billy Horschel,"3' 2""",194.167,61,28
2024,0,39975,Michael Kim,"3' 2""",204.5,65,132
2024,0,47420,Jake Knapp,"3' 2""",198.75,63,170
2024,0,46046,Scottie Scheffler,"3' 2""",188.583,60,5
2024,0,27649,Brandt Snedeker,"3' 2""",144.833,46,154
2024,0,25493,Nick Taylor,"3' 2""",272.167,86,74
2024,0,34374,Erik Barnes,"3' 3""",131.583,40,147
2024,0,40058,Zac Blair,"3' 3""",315.417,98,31
2024,0,32070,Rafael Campos,"3' 3""",122.5,38,103
2024,0,52514,Trace Crowe,"3' 3""",230.583,71,142
2024,0,34076,Joel Dahmen,"3' 3""",248.083,77,115
2024,0,34098,Russell Henley,"3' 3""",233.333,71,11
2024,0,51696,Rico Hoey,"3' 3""",212.833,65,86
2024,0,39977,Max Homa,"3' 3""",271.083,84,43
2024,0,50188,S.H. Kim,"3' 3""",307.333,95,97
2024,0,37455,Si Woo Kim,"3' 3""",291.417,90,27
2024,0,47993,Denny McCarthy,"3' 3""",263.583,81,6
2024,0,36699,Patrick Rodgers,"3' 3""",262.083,80,75
2024,0,32333,Kevin Tway,"3' 3""",121.583,37,91
2024,0,40026,Daniel Berger,"3' 4""",165.0,50,158
2024,0,34255,Joseph Bramlett,"3' 4""",212.167,63,65
2024,0,51766,Wyndham Clark,"3' 4""",154.417,46,85
2024,0,33653,Thomas Detry,"3' 4""",288.333,87,75
2024,0,57362,Austin Eckroat,"3' 4""",299.667,90,146
2024,0,54591,Ben Griffin,"3' 4""",270.167,82,23
2024,0,33399,Adam Hadwin,"3' 4""",208.5,62,164
2024,0,30926,Chris Kirk,"3' 4""",250.667,76,92
2024,0,27129,Luke List,"3' 4""",210.5,63,156
2024,0,32839,Hideki Matsuyama,"3' 4""",254.667,77,2
2024,0,39546,Keith Mitchell,"3' 4""",263.5,79,78
2024,0,47806,Raul Pereda,"3' 4""",157.583,47,62
2024,0,40115,Adam Svensson,"3' 4""",322.417,96,58
2024,0,30927,Brendon Todd,"3' 4""",337.083,100,50
2024,0,28420,Ryan Brehm,"3' 5""",170.0,50,178
2024,0,48084,Wesley Bryan,"3' 5""",154.667,45,102
2024,0,55708,Hayden Buckley,"3' 5""",257.833,76,126
2024,0,32367,Jorge Campillo,"3' 5""",144.75,42,59
2024,0,45157,Cam Davis,"3' 5""",274.75,81,136
2024,0,29725,Tony Finau,"3' 5""",244.417,71,122
2024,0,36799,Stephan Jaeger,"3' 5""",244.917,71,88
2024,0,52215,Robert MacIntyre,"3' 5""",296.0,86,14
2024,0,28237,Rory McIlroy,"3' 5""",271.667,79,17
2024,0,59143,Mac Meissner,"3' 5""",207.167,60,38
2024,0,26596,Ryan Moore,"3' 5""",255.917,75,47
2024,0,49947,Taylor Moore,"3' 5""",272.417,80,73
2024,0,28252,Seamus Power,"3' 5""",279.667,82,20
2024,0,48867,Matti Schmid,"3' 5""",290.333,85,117
2024,0,33486,Roger Sloan,"3' 5""",184.167,54,48
2024,0,34046,Jordan Spieth,"3' 5""",252.167,74,173
2024,0,51634,Sahith Theegala,"3' 5""",230.5,68,66
2024,0,40006,Erik van Rooyen,"3' 5""",213.917,63,141
2024,0,27770,Camilo Villegas,"3' 5""",122.333,36,182
2024,0,48887,Matt Wallace,"3' 5""",153.083,45,71
2024,0,55454,Carl Yuan,"3' 5""",245.417,71,111
2024,0,37212,Paul Barjon,"3' 6""",147.667,42,183
2024,0,52372,Cameron Champ,"3' 6""",113.0,32,135
2024,0,31646,Emiliano Grillo,"3' 6""",303.25,86,127
2024,0,27936,Martin Laird,"3' 6""",169.333,48,63
2024,0,37378,Min Woo Lee,"3' 6""",194.583,55,166
2024,0,36871,Matt NeSmith,"3' 6""",236.75,68,150
2024,0,30163,Henrik Norlander,"3' 6""",206.25,59,4
2024,0,48081,Xander Schauffele,"3' 6""",245.0,70,1
2024,0,29221,Webb Simpson,"3' 6""",194.167,55,66
2024,0,50484,Hayden Springer,"3' 6""",223.583,64,72
2024,0,48119,Ben Taylor,"3' 6""",160.167,46,172
2024,0,47591,Eric Cole,"3' 7""",423.333,119,56
2024,0,50497,Adrien Dumont de Chassart,"3' 7""",203.083,57,162
2024,0,59866,Nick Dunlap,"3' 7""",285.5,80,169
2024,0,30911,Tommy Fleetwood,"3' 7""",224.25,62,7
2024,0,54421,Garrick Higgo,"3' 7""",239.667,67,160
2024,0,24024,Zach Johnson,"3' 7""",184.917,52,55
2024,0,48117,Kurt Kitayama,"3' 7""",278.583,78,37
2024,0,40250,Taylor Pendrith,"3' 7""",221.0,61,104
2024,0,33948,Byeong Hun An,"3' 8""",218.917,60,117
2024,0,60004,Jacob Bridgeman,"3' 8""",183.25,50,60
2024,0,34099,Harris English,"3' 8""",312.917,85,24
2024,0,60067,Joe Highsmith,"3' 8""",216.75,59,140
2024,0,51287,Ryo Hisatsune,"3' 8""",265.25,72,108
2024,0,52453,Nicolai Højgaard,"3' 8""",144.5,39,155
2024,0,22405,Justin Rose,"3' 8""",252.083,69,39
2024,0,24502,Adam Scott,"3' 8""",239.75,66,49
2024,0,27214,Kevin Streelman,"3' 8""",251.417,69,159
2024,0,59442,Parker Coody,"3' 9""",179.667,48,51
2024,0,27644,Brian Harman,"3' 9""",291.5,77,57
2024,0,46113,Ryan McCormick,"3' 9""",195.833,52,152
2024,0,46340,Alex Smalley,"3' 9""",270.833,72,145
2024,0,57366,Cameron Young,"3' 9""",324.417,87,99
2024,0,47988,Nick Hardy,"3' 10""",286.25,74,137
2024,0,57900,Chandler Phillips,"3' 10""",429.917,111,29
2024,0,47983,Chad Ramey,"3' 10""",292.083,76,125
2024,0,37275,Sam Ryder,"3' 10""",267.583,70,163
2024,0,39327,Ben Silverman,"3' 10""",273.417,72,18
