YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF PUTTS,# OF HOLES
2024,0,47504,Sam Burns,1.543,2028,1314
2024,0,55789,Taylor Montgomery,1.544,1501,972
2024,0,50525,Collin Morikawa,1.544,2196,1422
2024,0,45522,Christiaan Bezuidenhout,1.548,2117,1368
2024,0,47993,Denny McCarthy,1.548,2424,1566
2024,0,34098,Russell Henley,1.55,2037,1314
2024,0,35506,Mackenzie Hughes,1.55,2650,1710
2024,0,28089,Jason Day,1.551,1926,1242
2024,0,57975,Harry Hall,1.556,2240,1440
2024,0,35450,Patrick Cantlay,1.557,1822,1170
2024,0,33653,Thomas Detry,1.56,1881,1206
2024,0,47591,Eric Cole,1.562,3009,1926
2024,0,51766,Wyndham Clark,1.564,1886,1206
2024,0,57900,Chandler Phillips,1.564,2336,1494
2024,0,50188,S.H. Kim,1.567,2962,1890
2024,0,39971,Sungjae Im,1.568,2455,1566
2024,0,22371,Aaron Baddeley,1.57,2063,1314
2024,0,30927,Brendon Todd,1.571,2800,1782
2024,0,46442,Maverick McNealy,1.572,2603,1656
2024,0,48081,Xander Schauffele,1.572,2235,1422
2024,0,40098,Matt Fitzpatrick,1.574,2012,1278
2024,0,46046,Scottie Scheffler,1.574,2011,1278
2024,0,51977,Max Greyserman,1.576,2185,1386
2024,0,37455,Si Woo Kim,1.576,2496,1584
2024,0,28237,Rory McIlroy,1.577,1959,1242
2024,0,40250,Taylor Pendrith,1.578,2159,1368
2024,0,29420,Billy Horschel,1.58,2161,1368
2024,0,32839,Hideki Matsuyama,1.581,2106,1332
2024,0,24502,Adam Scott,1.581,2020,1278
2024,0,33448,Justin Thomas,1.582,1908,1206
2024,0,60004,Jacob Bridgeman,1.584,2224,1404
2024,0,27644,Brian Harman,1.584,2481,1566
2024,0,52215,Robert MacIntyre,1.584,2053,1296
2024,0,29221,Webb Simpson,1.584,1454,918
2024,0,56630,Akshay Bhatia,1.585,2454,1548
2024,0,34099,Harris English,1.585,2653,1674
2024,0,22405,Justin Rose,1.586,1741,1098
2024,0,59866,Nick Dunlap,1.587,1914,1206
