YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
2024,1,0,51890,Greyson Sigg,68.75%,88,128
2024,2,0,30911,Tommy Fleetwood,68.57%,72,105
2024,3,0,39327,Ben Silverman,67.72%,107,158
2024,4,0,33448,Justin Thomas,67.62%,71,105
2024,5,0,32839,Hideki Matsuyama,67.50%,81,120
2024,6,0,30163,Henrik Norlander,66.00%,66,100
2024,7,0,27349,Alex Noren,65.81%,77,117
2024,8,0,50525,Collin Morikawa,65.69%,90,137
2024,9,0,26596,Ryan Moore,65.54%,97,148
2024,10,0,28252,Seamus Power,65.22%,120,184
2024,11,0,52955,Ludvig Åberg,65.13%,99,152
2024,12,0,39971,Sungjae Im,65.00%,117,180
2024,13,0,54591,Ben Griffin,64.76%,136,210
2024,14,0,57975,Harry Hall,64.46%,107,166
2024,15,0,35506,Mackenzie Hughes,64.29%,135,210
2024,16,0,46046,Scottie Scheffler,64.00%,48,75
2024,17,0,47993,Denny McCarthy,63.69%,107,168
2024,18,0,34098,Russell Henley,63.64%,84,132
2024,19,0,34099,Harris English,63.13%,101,160
2024,20,0,32367,Jorge Campillo,63.03%,75,119
2024,21,0,28237,Rory McIlroy,62.88%,83,132
2024,21,0,48081,Xander Schauffele,62.88%,83,132
2024,23,0,22371,Aaron Baddeley,62.83%,120,191
2024,24,0,52215,Robert MacIntyre,62.76%,91,145
2024,25,0,54576,Patrick Fishburn,62.39%,73,117
2024,26,0,33968,Thorbjørn Olesen,62.11%,59,95
2024,27,0,36799,Stephan Jaeger,62.02%,80,129
2024,28,0,47806,Raul Pereda,62.00%,93,150
2024,29,0,45609,Tyler Duncan,61.90%,78,126
2024,30,0,51977,Max Greyserman,61.82%,102,165
2024,31,0,32102,Rickie Fowler,61.72%,79,128
2024,32,0,34587,Chan Kim,61.69%,95,154
2024,33,0,24502,Adam Scott,61.68%,66,107
2024,34,0,29535,Brice Garnett,61.64%,45,73
2024,34,0,59143,Mac Meissner,61.64%,90,146
2024,36,0,45522,Christiaan Bezuidenhout,61.35%,100,163
2024,37,0,40058,Zac Blair,61.29%,95,155
2024,38,0,46414,Aaron Rai,61.15%,85,139
2024,39,0,25493,Nick Taylor,61.08%,113,185
2024,40,0,51349,Nico Echavarria,61.05%,105,172
2024,41,0,27936,Martin Laird,61.03%,83,136
2024,42,0,59442,Parker Coody,60.83%,73,120
2024,43,0,32333,Kevin Tway,60.74%,82,135
2024,44,0,55789,Taylor Montgomery,60.66%,74,122
2024,45,0,57900,Chandler Phillips,60.51%,118,195
2024,46,0,40162,Justin Lower,60.34%,105,174
2024,46,0,51634,Sahith Theegala,60.34%,108,179
2024,48,0,49960,Sepp Straka,60.33%,73,121
2024,49,0,55893,Sam Stevens,60.30%,120,199
2024,50,0,29221,Webb Simpson,60.29%,82,136
2024,51,0,36884,Ben Kohles,60.14%,89,148
2024,52,0,36801,Mark Hubbard,59.88%,103,172
2024,53,0,45242,Kevin Yu,59.86%,88,147
2024,54,0,29908,C.T. Pan,59.80%,61,102
2024,55,0,24024,Zach Johnson,59.77%,52,87
2024,56,0,27214,Kevin Streelman,59.74%,92,154
2024,57,0,46340,Alex Smalley,59.72%,86,144
2024,58,0,40098,Matt Fitzpatrick,59.70%,80,134
2024,59,0,32640,Troy Merritt,59.63%,96,161
2024,60,0,35461,Beau Hossler,59.60%,90,151
2024,61,0,28775,Nate Lashley,59.57%,84,141
2024,62,0,39977,Max Homa,59.56%,109,183
2024,63,0,46442,Maverick McNealy,59.50%,119,200
2024,64,0,23320,Ryan Palmer,59.41%,60,101
2024,65,0,51696,Rico Hoey,59.39%,98,165
2024,66,0,54628,Lee Hodges,59.38%,114,192
2024,67,0,30926,Chris Kirk,59.32%,70,118
2024,68,0,35532,Tom Hoge,58.94%,122,207
2024,69,0,23108,Matt Kuchar,58.86%,93,158
2024,70,0,33204,Shane Lowry,58.82%,70,119
2024,71,0,22405,Justin Rose,58.78%,77,131
2024,72,0,50095,Austin Smotherman,58.76%,57,97
2024,73,0,47679,Victor Perez,58.73%,74,126
2024,74,0,60067,Joe Highsmith,58.65%,78,133
2024,75,0,48117,Kurt Kitayama,58.62%,68,116
2024,76,0,12716,Charley Hoffman,58.59%,75,128
