YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
2024,1,0,45522,Christiaan Bezuidenhout,48.41%,183,378
2024,2,0,22371,Aaron Baddeley,47.22%,187,396
2024,3,0,50525,Collin Morikawa,46.56%,176,378
2024,4,0,51894,Vince Whaley,45.45%,180,396
2024,5,0,33653,Thomas Detry,45.32%,155,342
2024,6,0,34099,Harris English,45.30%,212,468
2024,7,0,57975,Harry Hall,45.17%,187,414
2024,8,0,50188,S.H. Kim,45.16%,252,558
2024,9,0,57366,Cameron Young,44.97%,170,378
2024,10,0,57900,Chandler Phillips,44.91%,194,432
2024,11,0,51766,Wyndham Clark,44.72%,161,360
2024,12,0,35506,Mackenzie Hughes,44.44%,208,468
2024,12,0,37275,Sam Ryder,44.44%,208,468
2024,14,0,30927,Brendon Todd,44.25%,223,504
2024,15,0,54591,Ben Griffin,44.10%,254,576
2024,16,0,34466,Peter Malnati,44.02%,206,468
2024,17,0,52215,Robert MacIntyre,43.96%,182,414
2024,18,0,46441,Robby Shelton,43.52%,188,432
2024,19,0,46046,Scottie Scheffler,43.21%,140,324
2024,20,0,51634,Sahith Theegala,43.11%,194,450
2024,21,0,47995,Davis Riley,43.06%,186,432
2024,22,0,47993,Denny McCarthy,42.82%,185,432
2024,23,0,37455,Si Woo Kim,42.75%,177,414
2024,24,0,47504,Sam Burns,42.50%,153,360
2024,25,0,35450,Patrick Cantlay,42.48%,130,306
2024,26,0,39977,Max Homa,42.42%,168,396
2024,26,0,40250,Taylor Pendrith,42.42%,168,396
2024,28,0,33399,Adam Hadwin,42.36%,183,432
2024,29,0,47420,Jake Knapp,42.33%,160,378
2024,30,0,28089,Jason Day,42.11%,144,342
2024,30,0,32839,Hideki Matsuyama,42.11%,144,342
2024,32,0,46442,Maverick McNealy,42.00%,189,450
2024,33,0,40098,Matt Fitzpatrick,41.94%,151,360
2024,34,0,48084,Wesley Bryan,41.83%,128,306
2024,34,0,52453,Nicolai Højgaard,41.83%,128,306
2024,36,0,33448,Justin Thomas,41.81%,143,342
2024,37,0,40006,Erik van Rooyen,41.79%,173,414
2024,38,0,40058,Zac Blair,41.67%,195,468
2024,38,0,47591,Eric Cole,41.67%,240,576
2024,40,0,55893,Sam Stevens,41.56%,202,486
2024,41,0,34098,Russell Henley,41.52%,142,342
2024,42,0,49771,J.T. Poston,41.44%,179,432
2024,43,0,48081,Xander Schauffele,41.39%,149,360
2024,44,0,31646,Emiliano Grillo,41.30%,171,414
2024,45,0,50493,Justin Suh,41.24%,193,468
2024,46,0,26596,Ryan Moore,41.20%,178,432
2024,47,0,45157,Cam Davis,41.16%,163,396
2024,48,0,47806,Raul Pereda,41.11%,148,360
2024,49,0,52514,Trace Crowe,41.01%,155,378
2024,50,0,60004,Jacob Bridgeman,40.97%,177,432
2024,50,0,32367,Jorge Campillo,40.97%,118,288
2024,50,0,46717,Viktor Hovland,40.97%,118,288
2024,50,0,36799,Stephan Jaeger,40.97%,177,432
2024,50,0,55789,Taylor Montgomery,40.97%,118,288
2024,55,0,34374,Erik Barnes,40.94%,140,342
2024,56,0,32102,Rickie Fowler,40.91%,162,396
2024,57,0,48867,Matti Schmid,40.89%,184,450
2024,58,0,47983,Chad Ramey,40.81%,191,468
2024,59,0,47347,Adam Schenk,40.80%,213,522
2024,60,0,33948,Byeong Hun An,40.74%,154,378
2024,61,0,51977,Max Greyserman,40.66%,161,396
2024,62,0,34587,Chan Kim,40.51%,175,432
2024,63,0,35532,Tom Hoge,40.48%,204,504
2024,63,0,46113,Ryan McCormick,40.48%,153,378
2024,65,0,26476,Chez Reavie,40.44%,182,450
2024,66,0,29908,C.T. Pan,40.43%,131,324
2024,67,0,59095,Chris Gotterup,40.34%,167,414
2024,67,0,51997,Andrew Novak,40.34%,167,414
2024,69,0,52513,Carson Young,40.33%,196,486
2024,70,0,23108,Matt Kuchar,40.28%,174,432
2024,71,0,39971,Sungjae Im,40.22%,181,450
2024,72,0,52666,Sami Valimaki,40.21%,152,378
2024,73,0,28237,Rory McIlroy,40.12%,130,324
2024,73,0,28252,Seamus Power,40.12%,195,486
2024,75,0,27644,Brian Harman,40.10%,166,414
2024,76,0,24502,Adam Scott,40.06%,137,342
2024,77,0,32791,K.H. Lee,40.00%,180,450
2024,78,0,59866,Nick Dunlap,39.95%,151,378
2024,78,0,60767,Blaine Hale Jr.,39.95%,151,378
2024,80,0,55182,Tom Kim,39.90%,158,396
2024,80,0,30926,Chris Kirk,39.90%,158,396
2024,80,0,59143,Mac Meissner,39.90%,158,396
2024,83,0,34563,Chesson Hadley,39.86%,165,414
2024,83,0,27649,Brandt Snedeker,39.86%,165,414
2024,85,0,56630,Akshay Bhatia,39.78%,179,450
2024,85,0,35461,Beau Hossler,39.78%,179,450
2024,85,0,58168,Davis Thompson,39.78%,179,450
2024,88,0,56149,Wilson Furr,39.68%,150,378
2024,89,0,29535,Brice Garnett,39.58%,114,288
