YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
2024,1,0,33141,Keegan Bradley,"130' 0""","80480' 8""",619
2024,2,0,33948,Byeong Hun An,"125' 0""","78242' 7""",626
2024,3,0,52955,Ludvig Åberg,"124' 10""","69150' 0""",554
2024,4,0,60767,Blaine Hale Jr.,"123' 1""","49733' 9""",404
2024,5,0,47995,Davis Riley,"122' 0""","80904' 2""",663
2024,6,0,37378,Min Woo Lee,"121' 0""","56736' 0""",469
2024,7,0,33653,Thomas Detry,"120' 7""","69105' 6""",573
2024,8,2,32366,Kevin Chappell,"120' 2""","51665' 4""",430
2024,8,0,32102,Rickie Fowler,"120' 2""","64526' 4""",537
2024,10,-1,48867,Matti Schmid,"119' 11""","63312' 10""",528
2024,11,0,56149,Wilson Furr,"119' 6""","51879' 7""",434
2024,12,1,50484,Hayden Springer,"119' 1""","66684' 4""",560
2024,13,-1,28089,Jason Day,"118' 8""","63709' 5""",537
2024,14,-1,59143,Mac Meissner,"118' 7""","69615' 8""",587
2024,15,0,52666,Sami Valimaki,"118' 4""","60702' 2""",513
2024,16,2,55893,Sam Stevens,"117' 9""","90644' 4""",770
2024,17,-1,40250,Taylor Pendrith,"117' 8""","86593' 0""",736
2024,18,-1,59095,Chris Gotterup,"117' 4""","67226' 8""",573
2024,19,0,48084,Wesley Bryan,"116' 8""","44926' 9""",385
2024,20,0,29221,Webb Simpson,"116' 2""","48454' 8""",417
2024,21,0,36799,Stephan Jaeger,"115' 4""","85791' 2""",744
2024,22,0,51766,Wyndham Clark,"115' 3""","55901' 4""",485
2024,22,0,34587,Chan Kim,"115' 3""","70892' 3""",615
2024,24,0,39546,Keith Mitchell,"114' 11""","87112' 5""",758
2024,25,0,57366,Cameron Young,"114' 8""","76235' 0""",665
2024,26,0,55708,Hayden Buckley,"114' 4""","69515' 1""",608
2024,27,5,52372,Cameron Champ,"114' 0""","42969' 2""",377
2024,27,1,27330,Josh Teater,"114' 0""","46610' 9""",409
2024,29,-2,34255,Joseph Bramlett,"113' 10""","73099' 9""",642
2024,29,0,35506,Mackenzie Hughes,"113' 10""","90730' 8""",797
2024,31,-2,22405,Justin Rose,"113' 8""","53297' 4""",469
2024,32,-1,29725,Tony Finau,"113' 3""","71917' 1""",635
2024,33,-1,47504,Sam Burns,"113' 0""","65064' 4""",576
2024,33,-1,45157,Cam Davis,"113' 0""","67013' 9""",593
2024,35,0,51890,Greyson Sigg,"112' 11""","74396' 4""",659
2024,36,-1,28237,Rory McIlroy,"112' 9""","47248' 10""",419
2024,37,0,58168,Davis Thompson,"112' 5""","79124' 6""",704
2024,38,0,33408,Tyson Alexander,"112' 1""","64213' 2""",573
2024,38,0,47663,Kevin Dougherty,"112' 1""","57731' 7""",515
2024,40,0,47591,Eric Cole,"111' 3""","99151' 3""",891
2024,41,0,30911,Tommy Fleetwood,"111' 2""","59255' 1""",533
2024,42,0,50497,Adrien Dumont de Chassart,"111' 1""","63110' 2""",568
2024,43,0,54421,Garrick Higgo,"110' 10""","67955' 3""",613
2024,44,0,51696,Rico Hoey,"110' 4""","64873' 1""",588
