YEAR,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 4 AVG,TOTAL PAR
2024,0,46046,Scottie Scheffler,-94,3.88,3240.0
2024,0,48081,Xander Schauffele,-66,3.92,3512.0
2024,0,54591,Ben Griffin,-47,3.96,4972.0
2024,0,46442,Maverick McNealy,-46,3.95,4080.0
2024,0,60004,Jacob Bridgeman,-43,3.95,3464.0
2024,0,52375,Doug Ghim,-39,3.96,3968.0
2024,0,25900,Lucas Glover,-39,3.96,3992.0
2024,0,34256,Andrew Putnam,-37,3.96,3552.0
2024,0,30163,Henrik Norlander,-32,3.95,2784.0
2024,0,39971,Sungjae Im,-29,3.97,3920.0
2024,0,51894,Vince Whaley,-29,3.96,3200.0
2024,0,52955,Ludvig Åberg,-28,3.97,3232.0
2024,0,50525,Collin Morikawa,-28,3.97,3400.0
2024,0,27349,Alex Noren,-28,3.96,3112.0
2024,0,35461,Beau Hossler,-27,3.97,3792.0
2024,0,32757,Patton Kizzire,-26,3.96,2768.0
2024,0,46414,Aaron Rai,-26,3.97,3816.0
2024,0,51997,Andrew Novak,-24,3.97,3652.0
2024,0,57900,Chandler Phillips,-24,3.97,3684.0
2024,0,39327,Ben Silverman,-24,3.97,3416.0
2024,0,52513,Carson Young,-24,3.97,3808.0
2024,0,51287,Ryo Hisatsune,-23,3.98,3744.0
2024,0,40250,Taylor Pendrith,-23,3.97,3400.0
2024,0,32839,Hideki Matsuyama,-22,3.97,3184.0
2024,0,47504,Sam Burns,-21,3.97,3336.0
2024,0,36801,Mark Hubbard,-21,3.98,4424.0
2024,0,48084,Wesley Bryan,-20,3.96,2128.0
2024,0,34587,Chan Kim,-20,3.98,3496.0
2024,0,40026,Daniel Berger,-19,3.98,3448.0
2024,0,51977,Max Greyserman,-18,3.98,3436.0
2024,0,34098,Russell Henley,-18,3.98,3176.0
2024,0,40162,Justin Lower,-18,3.98,4268.0
2024,0,52215,Robert MacIntyre,-18,3.98,3240.0
2024,0,45522,Christiaan Bezuidenhout,-17,3.98,3448.0
2024,0,51766,Wyndham Clark,-17,3.98,3040.0
2024,0,28089,Jason Day,-17,3.98,3128.0
2024,0,33486,Roger Sloan,-16,3.98,2872.0
2024,0,51349,Nico Echavarria,-14,3.99,3928.0
2024,0,58168,Davis Thompson,-14,3.99,4040.0
2024,0,57975,Harry Hall,-13,3.99,3496.0
2024,0,51696,Rico Hoey,-13,3.99,3648.0
2024,0,33204,Shane Lowry,-13,3.98,3176.0
2024,0,34076,Joel Dahmen,-12,3.99,3924.0
2024,0,28237,Rory McIlroy,-12,3.98,2960.0
2024,0,39546,Keith Mitchell,-11,3.99,3608.0
2024,0,54576,Patrick Fishburn,-10,3.99,3040.0
2024,0,47983,Chad Ramey,-10,3.99,3632.0
