YEAR,MOVEMENT,PLAYER_ID,PLAYER,MONEY
2012,0,27895,Jonas Blixt,$1262294
2012,0,32334,Charlie Beljan,$949250
2012,0,26596,Ryan Moore,$810000
2012,0,30750,Tommy Gainey,$736045
2012,0,23638,Brendon de Jonge,$700787
2012,0,30944,Jason Kokrak,$472890
2012,0,24358,Robert Garrigus,$453087
2012,0,1948,Tim Petrovic,$440000
2012,0,2206,David Toms,$432000
2012,0,28307,Matt Every,$422520
2012,0,33122,Russell Knox,$347850
2012,0,25632,Jimmy Walker,$309375
2012,0,21961,Charles Howell III,$308216
2012,0,10809,Jim Furyk,$272000
2012,0,19846,Brian Gay,$270218
2012,0,12782,Tim Herron,$259665
2012,0,23548,Bill Lunde,$245839
2012,0,6567,Vijay Singh,$238347
2012,0,28475,Jeff Overton,$236913
2012,0,27060,John Mallinger,$236362
2012,0,30692,Scott Stallings,$229087
2012,0,28089,Jason Day,$224920
2012,0,25457,Alexandre Rocha,$215056
2012,0,1706,Davis Love III,$214819
2012,0,27330,Josh Teater,$204575
2012,0,23788,D.J. Trahan,$201911
2012,0,29910,Blake Adams,$199000
2012,0,26289,Boo Weekley,$187637
2012,0,35139,Richard Lee,$180975
2012,0,20691,Greg Owen,$169738
2012,0,20160,Charlie Wi,$165087
2012,0,32150,Michael Thompson,$164500
2012,0,25818,Scott Piercy,$156375
2012,0,24507,Jason Bohn,$151577
2012,0,31323,Gary Woodland,$149541
2012,0,22961,David Mathis,$148928
2012,0,20574,Mathew Goggin,$148769
2012,0,28500,Martin Flores,$146175
2012,0,34360,Patrick Reed,$145487
2012,0,8075,Jerry Kelly,$144591
2012,0,33120,Mark Anderson,$135056
2012,0,12510,Chad Campbell,$134971
2012,0,27770,Camilo Villegas,$134010
2012,0,29518,Brendan Steele,$130260
2012,0,27214,Kevin Streelman,$127087
2012,0,20850,Daniel Chopra,$125311
2012,0,34099,Harris English,$123354
2012,0,6036,Scott Dunlap,$121954
2012,0,31401,Zack Miller,$114360
2012,0,8725,Tom Gillis,$112800
2012,0,21951,Joey Snyder III,$112800
2012,0,27095,Nick Watney,$112500
2012,0,23800,Bryce Molder,$106000
2012,0,24140,Sean O'Hair,$101203
2012,0,12652,Cameron Beckman,$95920
2012,0,29926,Danny Lee,$95050
2012,0,22293,Heath Slocum,$93982
2012,0,21407,Arjun Atwal,$92000
2012,0,21878,Mark Wilson,$92000
2012,0,23320,Ryan Palmer,$89407
2012,0,30711,Colt Knost,$88545
2012,0,1724,Jeff Maggert,$83748
2012,0,26300,Matt Jones,$82992
2012,0,26476,Chez Reavie,$81242
2012,0,25274,Steven Bowditch,$80100
2012,0,22621,Ben Curtis,$77679
2012,0,20104,Ken Duke,$76682
2012,0,29476,Kyle Reifers,$74058
2012,0,6522,Ernie Els,$72500
2012,0,32698,Bobby Gates,$72500
2012,0,34174,John Huh,$72500
2012,0,21528,Henrik Stenson,$72004
2012,0,25834,Daniel Summerhays,$68376
2012,0,29420,Billy Horschel,$68353
2012,0,29479,Scott Brown,$66414
2012,0,22348,Nick O'Hern,$61117
2012,0,20848,Ángel Cabrera,$57787
2012,0,27064,Jhonattan Vegas,$56928
2012,0,32200,Roberto Castro,$55600
2012,0,28455,Will Claxton,$54768
2012,0,19970,Robert Karlsson,$53160
2012,0,34021,Bud Cauley,$52964
2012,0,23325,Vaughn Taylor,$52810
2012,0,21350,Ryuji Imada,$49305
2012,0,25240,D.A. Points,$45071
2012,0,10860,Justin Leonard,$44753
2012,0,27302,Garth Mulroy,$44618
2012,0,20229,Stewart Cink,$43328
2012,0,31558,J.J. Killeen,$43256
2012,0,23718,Nathan Green,$42578
2012,0,22913,John Rollins,$41068
2012,0,1320,Bob Estes,$39487
2012,0,25396,Kevin Na,$39487
2012,0,21753,Brian Davis,$38911
2012,0,26758,David Hearn,$38663
2012,0,20098,Stuart Appleby,$38595
2012,0,20127,Chris Riley,$38267
2012,0,24940,Edward Loar,$37291
2012,0,32366,Kevin Chappell,$36561
2012,0,30926,Chris Kirk,$36259
2012,0,27933,John Merrick,$35922
2012,0,20572,Rod Pampling,$34135
2012,0,27644,Brian Harman,$33172
2012,0,20623,Gavin Coles,$33148
2012,0,1797,Rocco Mediate,$32826
2012,0,26287,Roland Thatcher,$31255
2012,0,26679,Kevin Stadler,$29250
2012,0,1766,Billy Mayfair,$28755
2012,0,24494,Erik Compton,$27810
2012,0,20436,Garrett Willis,$26095
2012,0,20070,Matt Bettencourt,$25540
2012,0,24846,Ricky Barnes,$25425
2012,0,23452,Nicolas Colsaerts,$24125
2012,0,27797,Derek Lamely,$23735
2012,0,23541,Ben Crane,$22550
2012,0,23409,James Driscoll,$22550
2012,0,6621,Joe Durant,$22550
2012,0,23621,Rory Sabbatini,$22550
2012,0,28093,Miguel Angel Carballo,$21448
2012,0,37273,Derek Ernst,$20000
2012,0,27141,J.B. Holmes,$19295
2012,0,24490,George McNeill,$18922
2012,0,25562,Andres Romero,$18922
2012,0,25892,Steve Wheatcroft,$18922
2012,0,6034,Marco Dawson,$17701
2012,0,20095,Carl Paulson,$16943
2012,0,23204,Gary Christian,$16735
2012,0,20472,Alex Cejka,$15892
2012,0,6251,Chris DiMarco,$15772
2012,0,35450,Patrick Cantlay,$12842
2012,0,11032,Frank Lickliter II,$12842
2012,0,28118,Peter Tomasulo,$12826
2012,0,23542,Tommy Biershenk,$11857
2012,0,26668,Marc Turnesa,$11857
2012,0,31202,William McGirt,$11248
2012,0,35879,Kelly Kraft,$10850
2012,0,1941,Tom Pernice Jr.,$10622
2012,0,27556,Ted Potter Jr.,$10622
2012,0,6004,Stephen Ames,$10450
2012,0,23903,Stephen Gangluff,$10450
2012,0,27963,Chris Stroud,$10340
2012,0,33419,Cameron Tringale,$10340
2012,0,24024,Zach Johnson,$10240
2012,0,1473,Todd Hamilton,$9900
2012,0,28308,Troy Kelly,$9720
2012,0,22548,Patrick Sheehan,$9212
2012,0,36690,Hunter Hamrick,$9000
2012,0,29222,Billy Hurley III,$8920
2012,0,1249,John Daly,$8910
2012,0,10505,Shane Bertsch,$8836
2012,0,22582,Kyle Thompson,$8640
2012,0,37340,Chase Wright,$8360
2012,0,10885,Robert Allenby,$7120
2011,0,23800,Bryce Molder,$1085533
2011,0,25396,Kevin Na,$869500
2011,0,23983,Luke Donald,$846000
2011,0,23541,Ben Crane,$817533
2011,0,29221,Webb Simpson,$579110
2011,0,20498,Briny Baird,$575629
2011,0,10860,Justin Leonard,$518400
2011,0,27095,Nick Watney,$475200
2011,0,34021,Bud Cauley,$404000
2011,0,22378,Trevor Immelman,$385330
2011,0,26758,David Hearn,$339683
2011,0,22913,John Rollins,$327110
2011,0,27974,Sung Kang,$321900
2011,0,27466,Spencer Levin,$319149
2011,0,22348,Nick O'Hern,$310370
2011,0,32150,Michael Thompson,$303401
2011,0,28087,Kris Blanks,$303033
2011,0,6643,Paul Goydos,$274212
2011,0,1941,Tom Pernice Jr.,$267441
2011,0,32366,Kevin Chappell,$259819
2011,0,30750,Tommy Gainey,$255200
2011,0,1766,Billy Mayfair,$242085
2011,0,29420,Billy Horschel,$235371
