YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE EARLY RDS.
2024,0,35450,Patrick Cantlay,67.38,539,8
2024,0,46046,Scottie Scheffler,67.5,540,8
2024,0,52955,Ludvig Åberg,67.54,878,13
2024,0,48081,Xander Schauffele,67.55,743,11
2024,0,29725,Tony Finau,67.75,813,12
2024,0,39546,Keith Mitchell,67.77,881,13
2024,0,28237,Rory McIlroy,67.78,610,9
2024,0,51766,Wyndham Clark,68.0,884,13
2024,0,39997,Corey Conners,68.0,748,11
2024,0,33399,Adam Hadwin,68.0,544,8
2024,0,49771,J.T. Poston,68.0,544,8
2024,0,45522,Christiaan Bezuidenhout,68.08,817,12
2024,0,36699,Patrick Rodgers,68.08,817,12
2024,0,47679,Victor Perez,68.15,886,13
2024,0,32839,Hideki Matsuyama,68.17,818,12
2024,0,37455,Si Woo Kim,68.31,888,13
2024,0,39971,Sungjae Im,68.36,752,11
2024,0,35532,Tom Hoge,68.37,1299,19
2024,0,57366,Cameron Young,68.4,684,10
2024,0,51349,Nico Echavarria,68.47,1027,15
2024,0,27936,Martin Laird,68.5,685,10
2024,0,51634,Sahith Theegala,68.53,1302,19
2024,0,34255,Joseph Bramlett,68.56,1097,16
2024,0,48117,Kurt Kitayama,68.56,617,9
2024,0,51894,Vince Whaley,68.56,1234,18
2024,0,39975,Michael Kim,68.57,1440,21
2024,0,50525,Collin Morikawa,68.58,823,12
2024,0,35461,Beau Hossler,68.6,1029,15
2024,0,36801,Mark Hubbard,68.63,1647,24
2024,0,34021,Bud Cauley,68.64,755,11
2024,0,48084,Wesley Bryan,68.67,618,9
2024,0,54591,Ben Griffin,68.68,1717,25
2024,0,31646,Emiliano Grillo,68.69,893,13
2024,0,47504,Sam Burns,68.7,687,10
2024,0,60004,Jacob Bridgeman,68.71,1168,17
2024,0,30926,Chris Kirk,68.71,481,7
2024,0,34587,Chan Kim,68.73,1031,15
2024,0,32333,Kevin Tway,68.73,756,11
2024,0,48887,Matt Wallace,68.73,756,11
2024,0,28089,Jason Day,68.75,825,12
2024,0,34098,Russell Henley,68.8,344,5
2024,0,57900,Chandler Phillips,68.8,1376,20
2024,0,51977,Max Greyserman,68.83,826,12
2024,0,33448,Justin Thomas,68.86,482,7
2024,0,52375,Doug Ghim,68.87,1584,23
2024,0,40058,Zac Blair,68.89,1240,18
2024,0,27644,Brian Harman,68.9,1378,20
2024,0,59866,Nick Dunlap,68.92,896,13
2024,0,24502,Adam Scott,68.92,827,12
2024,0,58168,Davis Thompson,68.94,1241,18
2024,0,33653,Thomas Detry,69.0,690,10
2024,0,57975,Harry Hall,69.0,1725,25
2024,0,47993,Denny McCarthy,69.0,759,11
2024,0,34256,Andrew Putnam,69.0,552,8
2024,0,52513,Carson Young,69.0,1173,17
2024,0,54421,Garrick Higgo,69.06,1174,17
2024,0,51890,Greyson Sigg,69.06,1174,17
2024,0,30911,Tommy Fleetwood,69.13,553,8
2024,0,59836,Pierceson Coody,69.14,968,14
2024,0,47983,Chad Ramey,69.17,415,6
2024,0,33141,Keegan Bradley,69.18,761,11
2024,0,39327,Ben Silverman,69.2,692,10
2024,0,39324,J.J. Spaun,69.2,346,5
2024,0,55893,Sam Stevens,69.21,1315,19
2024,0,28775,Nate Lashley,69.25,1385,20
2024,0,27064,Jhonattan Vegas,69.25,1108,16
2024,0,35506,Mackenzie Hughes,69.27,1039,15
2024,0,40250,Taylor Pendrith,69.27,1039,15
2024,0,33968,Thorbjørn Olesen,69.29,485,7
2024,0,34046,Jordan Spieth,69.31,901,13
2024,0,54576,Patrick Fishburn,69.33,1040,15
2024,0,47988,Nick Hardy,69.33,416,6
2024,0,36799,Stephan Jaeger,69.33,832,12
2024,0,27349,Alex Noren,69.33,624,9
2024,0,29420,Billy Horschel,69.35,1179,17
