YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
2024,1,0,46046,Scottie Scheffler,67.72,2641,39
2024,2,0,48081,Xander Schauffele,68.37,2940,43
2024,3,0,50525,Collin Morikawa,68.95,2896,42
2024,4,0,51997,Andrew Novak,68.96,3448,50
2024,5,0,46414,Aaron Rai,69.04,3383,49
2024,6,0,34587,Chan Kim,69.06,3522,51
2024,7,0,35450,Patrick Cantlay,69.19,2560,37
2024,8,0,36801,Mark Hubbard,69.23,3946,57
2024,9,0,30163,Henrik Norlander,69.24,2631,38
2024,10,0,39327,Ben Silverman,69.28,3256,47
2024,10,0,50095,Austin Smotherman,69.28,2009,29
2024,10,0,55893,Sam Stevens,69.28,3949,57
2024,13,0,60004,Jacob Bridgeman,69.29,3534,51
2024,13,0,27064,Jhonattan Vegas,69.29,3118,45
2024,15,0,51696,Rico Hoey,69.3,3673,53
2024,16,0,52375,Doug Ghim,69.32,3882,56
2024,17,0,52955,Ludvig Åberg,69.33,2773,40
2024,18,0,35461,Beau Hossler,69.34,3675,53
2024,19,0,57900,Chandler Phillips,69.35,3606,52
2024,20,0,32333,Kevin Tway,69.36,2497,36
2024,21,0,29725,Tony Finau,69.38,3122,45
2024,22,0,51977,Max Greyserman,69.4,3331,48
2024,22,0,51634,Sahith Theegala,69.4,3470,50
2024,24,0,35532,Tom Hoge,69.41,4095,59
2024,25,0,47504,Sam Burns,69.42,2985,43
2024,25,0,35310,Lanto Griffin,69.42,2985,43
2024,27,0,39997,Corey Conners,69.43,3055,44
2024,27,0,39546,Keith Mitchell,69.43,3680,53
2024,29,0,40006,Erik van Rooyen,69.51,3406,49
2024,30,0,46442,Maverick McNealy,69.52,3754,54
2024,31,0,54591,Ben Griffin,69.56,4730,68
2024,31,0,33448,Justin Thomas,69.56,2852,41
2024,31,0,48887,Matt Wallace,69.56,2852,41
2024,34,0,40162,Justin Lower,69.58,4175,60
2024,35,0,33653,Thomas Detry,69.59,2853,41
2024,36,0,40250,Taylor Pendrith,69.6,3271,47
2024,37,0,27349,Alex Noren,69.61,2854,41
2024,37,0,50484,Hayden Springer,69.61,3411,49
2024,39,0,51894,Vince Whaley,69.62,3272,47
2024,40,0,32839,Hideki Matsuyama,69.64,2716,39
2024,41,0,48084,Wesley Bryan,69.65,2368,34
2024,41,0,45242,Kevin Yu,69.65,3552,51
2024,43,0,57975,Harry Hall,69.67,3414,49
2024,43,0,39975,Michael Kim,69.67,3971,57
2024,45,0,56630,Akshay Bhatia,69.68,3693,53
2024,45,0,34021,Bud Cauley,69.68,2369,34
2024,45,0,58168,Davis Thompson,69.68,3693,53
2024,48,0,60067,Joe Highsmith,69.69,3415,49
2024,49,0,33204,Shane Lowry,69.72,2719,39
2024,50,0,54576,Patrick Fishburn,69.73,3417,49
2024,51,0,48867,Matti Schmid,69.74,3696,53
2024,52,0,51349,Nico Echavarria,69.8,4118,59
2024,53,0,35506,Mackenzie Hughes,69.81,3630,52
2024,54,0,50188,S.H. Kim,69.83,4539,65
2024,54,0,28237,Rory McIlroy,69.83,2514,36
2024,56,0,52215,Robert MacIntyre,69.86,3423,49
2024,56,0,57366,Cameron Young,69.86,2934,42
2024,58,0,29936,Ryan Fox,69.87,3214,46
2024,58,0,55182,Tom Kim,69.87,3284,47
2024,60,0,59836,Pierceson Coody,69.88,3564,51
2024,60,0,27936,Martin Laird,69.88,3424,49
2024,62,0,45522,Christiaan Bezuidenhout,69.89,3215,46
2024,62,0,34255,Joseph Bramlett,69.89,3844,55
2024,62,0,47983,Chad Ramey,69.89,3914,56
2024,62,0,52513,Carson Young,69.89,3984,57
2024,66,0,29908,C.T. Pan,69.9,2726,39
2024,67,0,52514,Trace Crowe,69.91,3216,46
2024,67,0,39971,Sungjae Im,69.91,3705,53
2024,67,0,32757,Patton Kizzire,69.91,3146,45
2024,67,0,36699,Patrick Rodgers,69.91,3985,57
2024,71,0,34076,Joel Dahmen,69.93,3916,56
2024,71,0,28252,Seamus Power,69.93,3846,55
2024,73,0,57362,Austin Eckroat,69.94,3707,53
2024,73,0,49771,J.T. Poston,69.94,3567,51
2024,75,0,37378,Min Woo Lee,69.95,2728,39
2024,76,0,40026,Daniel Berger,69.96,3568,51
2024,76,0,40058,Zac Blair,69.96,3848,55
2024,76,0,54783,Dylan Wu,69.96,3708,53
2024,79,0,29420,Billy Horschel,69.98,3149,45
2024,79,0,37455,Si Woo Kim,69.98,3499,50
2024,81,0,12716,Charley Hoffman,70.0,3150,45
2024,82,0,27644,Brian Harman,70.02,3221,46
2024,82,0,36799,Stephan Jaeger,70.02,3571,51
2024,84,0,24024,Zach Johnson,70.03,2451,35
2024,85,0,30927,Brendon Todd,70.05,3923,56
2024,86,0,32367,Jorge Campillo,70.06,2242,32
2024,86,0,34563,Chesson Hadley,70.06,3433,49
2024,88,0,28089,Jason Day,70.07,2873,41
2024,88,0,48117,Kurt Kitayama,70.07,3083,44
2024,90,0,59143,Mac Meissner,70.09,3294,47
2024,91,0,33948,Byeong Hun An,70.1,2944,42
2024,92,0,54421,Garrick Higgo,70.11,3786,54
2024,92,0,24502,Adam Scott,70.11,2664,38
2024,92,0,49960,Sepp Straka,70.11,3225,46
2024,92,0,50493,Justin Suh,70.11,3856,55
2024,96,0,23108,Matt Kuchar,70.12,3576,51
2024,96,0,34256,Andrew Putnam,70.12,3576,51
2024,98,0,46441,Robby Shelton,70.14,3577,51
2024,99,0,51890,Greyson Sigg,70.16,3859,55
2024,100,0,47988,Nick Hardy,70.19,3790,54
2024,100,0,28775,Nate Lashley,70.19,3720,53
2024,102,0,51287,Ryo Hisatsune,70.2,3861,55
2024,102,0,26596,Ryan Moore,70.2,3580,51
2024,102,0,27139,David Skinns,70.2,3861,55
2024,105,0,36884,Ben Kohles,70.21,3932,56
2024,105,0,27214,Kevin Streelman,70.21,3370,48
2024,107,0,26476,Chez Reavie,70.23,3722,53
2024,107,0,33486,Roger Sloan,70.23,3301,47
2024,109,0,39324,J.J. Spaun,70.24,3582,51
2024,110,0,34099,Harris English,70.25,3653,52
2024,110,0,29535,Brice Garnett,70.25,2248,32
2024,110,0,32791,K.H. Lee,70.25,3864,55
2024,110,0,49947,Taylor Moore,70.25,3934,56
2024,114,0,47591,Eric Cole,70.27,4708,67
2024,114,0,46340,Alex Smalley,70.27,3935,56
