YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
2024,1,0,46414,Aaron Rai,87.73%,1044,1190
2024,2,0,51890,Greyson Sigg,87.55%,921,1052
2024,3,0,40026,Daniel Berger,87.24%,923,1058
2024,4,0,54576,Patrick Fishburn,87.11%,845,970
2024,5,0,26596,Ryan Moore,86.75%,864,996
2024,6,0,52513,Carson Young,86.55%,1030,1190
2024,7,0,52375,Doug Ghim,86.25%,1085,1258
2024,8,0,46046,Scottie Scheffler,86.22%,857,994
2024,9,0,32757,Patton Kizzire,86.11%,744,864
2024,10,0,51696,Rico Hoey,85.91%,1000,1164
2024,11,0,28775,Nate Lashley,85.77%,880,1026
2024,12,0,30911,Tommy Fleetwood,85.71%,852,994
2024,13,0,36884,Ben Kohles,85.67%,1010,1179
2024,14,0,50525,Collin Morikawa,85.57%,943,1102
2024,15,0,32640,Troy Merritt,85.53%,881,1030
2024,16,0,37275,Sam Ryder,85.51%,891,1042
2024,17,0,26476,Chez Reavie,85.49%,807,944
2024,18,0,34076,Joel Dahmen,85.36%,1055,1236
2024,19,0,34587,Chan Kim,85.24%,941,1104
2024,20,0,50095,Austin Smotherman,85.23%,629,738
2024,21,0,36801,Mark Hubbard,85.20%,1169,1372
2024,22,0,30163,Henrik Norlander,85.19%,782,918
2024,23,0,25900,Lucas Glover,85.15%,1107,1300
2024,24,0,51287,Ryo Hisatsune,85.03%,988,1162
2024,25,0,27064,Jhonattan Vegas,85.01%,845,994
2024,26,0,40058,Zac Blair,85.00%,969,1140
2024,27,0,46340,Alex Smalley,84.95%,875,1030
2024,28,0,45609,Tyler Duncan,84.94%,829,976
2024,28,0,34256,Andrew Putnam,84.94%,936,1102
2024,30,0,34098,Russell Henley,84.89%,871,1026
2024,31,0,39327,Ben Silverman,84.79%,914,1078
2024,31,0,49960,Sepp Straka,84.79%,914,1078
2024,33,0,48319,Tom Whitney,84.75%,800,944
2024,34,0,32333,Kevin Tway,84.61%,709,838
2024,35,0,29535,Brice Garnett,84.58%,565,668
2024,36,0,60067,Joe Highsmith,84.57%,822,972
2024,37,0,35310,Lanto Griffin,84.50%,845,1000
2024,38,0,27330,Josh Teater,84.49%,610,722
2024,39,0,47983,Chad Ramey,84.41%,969,1148
2024,40,0,29908,C.T. Pan,84.35%,690,818
2024,41,0,27349,Alex Noren,84.34%,808,958
2024,42,0,23320,Ryan Palmer,84.20%,485,576
2024,43,0,33204,Shane Lowry,84.18%,825,980
2024,44,0,34021,Bud Cauley,84.13%,631,750
2024,45,0,52372,Cameron Champ,84.10%,661,786
2024,45,0,32366,Kevin Chappell,84.10%,656,780
2024,47,0,57362,Austin Eckroat,84.05%,1054,1254
2024,48,0,51349,Nico Echavarria,83.91%,1027,1224
2024,49,0,32367,Jorge Campillo,83.89%,599,714
2024,50,0,39997,Corey Conners,83.83%,1021,1218
2024,51,0,50484,Hayden Springer,83.77%,836,998
2024,52,0,50493,Justin Suh,83.75%,861,1028
2024,53,0,30926,Chris Kirk,83.73%,906,1082
2024,54,0,27214,Kevin Streelman,83.68%,805,962
2024,55,0,37455,Si Woo Kim,83.66%,1024,1224
2024,55,0,39324,J.J. Spaun,83.66%,927,1108
2024,57,0,36871,Matt NeSmith,83.63%,838,1002
2024,58,0,28252,Seamus Power,83.61%,1117,1336
2024,59,0,55893,Sam Stevens,83.60%,1132,1354
2024,60,0,46717,Viktor Hovland,83.58%,667,798
2024,61,0,47988,Nick Hardy,83.55%,1016,1216
2024,62,0,27644,Brian Harman,83.47%,1015,1216
2024,63,0,48084,Wesley Bryan,83.43%,584,700
2024,63,0,24024,Zach Johnson,83.43%,559,670
2024,65,0,57900,Chandler Phillips,83.39%,954,1144
2024,66,0,40162,Justin Lower,83.37%,1118,1341
2024,67,0,40115,Adam Svensson,83.36%,1242,1490
2024,68,0,56630,Akshay Bhatia,83.33%,1000,1200
2024,69,0,30927,Brendon Todd,83.31%,1148,1378
2024,70,0,48117,Kurt Kitayama,83.24%,914,1098
2024,71,0,55708,Hayden Buckley,83.20%,822,988
2024,72,0,33486,Roger Sloan,83.15%,760,914
2024,73,0,32791,K.H. Lee,83.10%,895,1077
2024,73,0,51997,Andrew Novak,83.10%,949,1142
2024,75,0,39546,Keith Mitchell,83.07%,932,1122
2024,76,0,54628,Lee Hodges,83.02%,1051,1266
2024,77,0,29725,Tony Finau,83.00%,913,1100
2024,78,0,52374,Brandon Wu,82.89%,935,1128
2024,79,0,48887,Matt Wallace,82.88%,736,888
2024,80,0,34099,Harris English,82.87%,1079,1302
2024,80,0,27936,Martin Laird,82.87%,832,1004
2024,82,0,34046,Jordan Spieth,82.86%,812,980
2024,83,0,47663,Kevin Dougherty,82.83%,709,856
2024,84,0,40006,Erik van Rooyen,82.76%,912,1102
2024,85,0,23108,Matt Kuchar,82.74%,839,1014
2024,86,0,54783,Dylan Wu,82.67%,916,1108
2024,87,0,58168,Davis Thompson,82.66%,1030,1246
2024,88,0,60004,Jacob Bridgeman,82.56%,895,1084
2024,89,0,54591,Ben Griffin,82.54%,1281,1552
2024,90,0,48867,Matti Schmid,82.50%,891,1080
2024,91,0,45242,Kevin Yu,82.45%,836,1014
2024,92,0,34563,Chesson Hadley,82.42%,755,916
2024,92,0,54421,Garrick Higgo,82.42%,905,1098
2024,92,0,48081,Xander Schauffele,82.42%,905,1098
2024,95,0,25493,Nick Taylor,82.41%,951,1154
2024,96,0,35461,Beau Hossler,82.37%,972,1180
2024,97,0,39971,Sungjae Im,82.34%,998,1212
2024,98,0,28420,Ryan Brehm,82.29%,683,830
2024,98,0,36326,David Lipsky,82.29%,790,960
2024,100,0,49947,Taylor Moore,82.27%,1132,1376
2024,101,0,31646,Emiliano Grillo,82.24%,977,1188
2024,102,0,51634,Sahith Theegala,82.23%,1064,1294
2024,103,0,33141,Keegan Bradley,82.22%,911,1108
2024,103,0,47679,Victor Perez,82.22%,814,990
2024,105,0,51977,Max Greyserman,82.19%,872,1061
2024,106,0,34255,Joseph Bramlett,82.13%,956,1164
2024,106,0,22405,Justin Rose,82.13%,703,856
2024,108,0,52955,Ludvig Åberg,82.10%,862,1050
2024,109,0,59143,Mac Meissner,82.03%,817,996
2024,110,0,49771,J.T. Poston,81.99%,979,1194
2024,111,0,48153,Matthieu Pavon,81.93%,721,880
