YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 2 PUTTS,TOTAL ROUNDS
2024,0,51070,Vincent Norrman,11.49,563,49
2024,0,50095,Austin Smotherman,11.3,599,53
2024,0,36871,Matt NeSmith,11.28,812,72
2024,0,45609,Tyler Duncan,11.1,777,70
2024,0,54576,Patrick Fishburn,11.06,774,70
2024,0,52375,Doug Ghim,11.01,1002,91
2024,0,40026,Daniel Berger,10.96,833,76
2024,0,47679,Victor Perez,10.93,787,72
2024,0,35310,Lanto Griffin,10.92,786,72
2024,0,52372,Cameron Champ,10.89,621,57
2024,0,27770,Camilo Villegas,10.89,621,57
2024,0,51890,Greyson Sigg,10.86,825,76
2024,0,47988,Nick Hardy,10.85,944,87
2024,0,45242,Kevin Yu,10.81,789,73
2024,0,27139,David Skinns,10.79,885,82
2024,0,28420,Ryan Brehm,10.78,647,60
2024,0,47663,Kevin Dougherty,10.74,666,62
2024,0,39324,J.J. Spaun,10.71,857,80
2024,0,34076,Joel Dahmen,10.7,952,89
2024,0,27214,Kevin Streelman,10.7,738,69
2024,0,54628,Lee Hodges,10.69,973,91
2024,0,54421,Garrick Higgo,10.68,844,79
2024,0,26476,Chez Reavie,10.68,726,68
2024,0,48119,Ben Taylor,10.68,662,62
2024,0,36884,Ben Kohles,10.67,907,85
2024,0,48699,Callum Tarren,10.66,746,70
2024,0,27129,Luke List,10.65,820,77
2024,0,46414,Aaron Rai,10.65,916,86
2024,0,37378,Min Woo Lee,10.64,702,66
2024,0,46340,Alex Smalley,10.64,787,74
2024,0,34021,Bud Cauley,10.61,573,54
2024,0,50497,Adrien Dumont de Chassart,10.61,785,74
2024,0,51287,Ryo Hisatsune,10.61,891,84
2024,0,59143,Mac Meissner,10.61,764,72
2024,0,52453,Nicolai Højgaard,10.6,604,57
2024,0,39997,Corey Conners,10.59,921,87
2024,0,34255,Joseph Bramlett,10.58,889,84
2024,0,34563,Chesson Hadley,10.58,698,66
2024,0,32333,Kevin Tway,10.57,634,60
2024,0,27330,Josh Teater,10.56,549,52
2024,0,27064,Jhonattan Vegas,10.56,760,72
2024,0,32366,Kevin Chappell,10.54,590,56
2024,0,47483,Will Zalatoris,10.52,694,66
2024,0,31323,Gary Woodland,10.5,840,80
2024,0,31646,Emiliano Grillo,10.48,891,85
2024,0,60767,Blaine Hale Jr.,10.48,545,52
2024,0,36326,David Lipsky,10.48,723,69
2024,0,37212,Paul Barjon,10.47,555,53
2024,0,51997,Andrew Novak,10.47,869,83
2024,0,29908,C.T. Pan,10.47,618,59
2024,0,33141,Keegan Bradley,10.46,826,79
2024,0,48319,Tom Whitney,10.46,711,68
2024,0,59442,Parker Coody,10.44,574,55
2024,0,59836,Pierceson Coody,10.44,814,78
2024,0,48117,Kurt Kitayama,10.43,824,79
2024,0,36699,Patrick Rodgers,10.43,1043,100
2024,0,28775,Nate Lashley,10.41,770,74
2024,0,39327,Ben Silverman,10.41,812,78
2024,0,60067,Joe Highsmith,10.4,728,70
2024,0,30163,Henrik Norlander,10.38,685,66
2024,0,49960,Sepp Straka,10.38,799,77
2024,0,25900,Lucas Glover,10.37,964,93
2024,0,23108,Matt Kuchar,10.37,757,73
2024,0,50493,Justin Suh,10.36,767,74
2024,0,40115,Adam Svensson,10.36,1109,107
2024,0,34256,Andrew Putnam,10.35,818,79
2024,0,30911,Tommy Fleetwood,10.34,734,71
2024,0,59095,Chris Gotterup,10.34,734,71
2024,0,29725,Tony Finau,10.33,816,79
2024,0,29936,Ryan Fox,10.33,806,78
2024,0,52513,Carson Young,10.33,888,86
2024,0,51349,Nico Echavarria,10.32,908,88
2024,0,36801,Mark Hubbard,10.32,1022,99
2024,0,39975,Michael Kim,10.32,836,81
2024,0,55708,Hayden Buckley,10.31,732,71
2024,0,51696,Rico Hoey,10.31,866,84
2024,0,57362,Austin Eckroat,10.29,926,90
2024,0,26596,Ryan Moore,10.29,741,72
2024,0,27936,Martin Laird,10.28,740,72
2024,0,48867,Matti Schmid,10.28,802,78
2024,0,29535,Brice Garnett,10.27,493,48
2024,0,32757,Patton Kizzire,10.27,637,62
2024,0,52374,Brandon Wu,10.27,832,81
2024,0,40058,Zac Blair,10.26,841,82
2024,0,33204,Shane Lowry,10.26,718,70
2024,0,40006,Erik van Rooyen,10.24,809,79
2024,0,55893,Sam Stevens,10.23,1003,98
2024,0,32791,K.H. Lee,10.22,797,78
2024,0,39546,Keith Mitchell,10.22,828,81
2024,0,48887,Matt Wallace,10.22,654,64
2024,0,40162,Justin Lower,10.21,990,97
2024,0,33968,Thorbjørn Olesen,10.19,489,48
2024,0,28252,Seamus Power,10.19,978,96
2024,0,46113,Ryan McCormick,10.18,621,61
2024,0,29478,Kevin Kisner,10.17,549,54
