YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
2024,1,0,34076,Joel Dahmen,"28' 11""",1004,29019.083,-105.0
2024,2,0,59143,Mac Meissner,"29' 1""",863,25102.333,-127.0
2024,3,0,48117,Kurt Kitayama,"29' 2""",885,25828.75,-126.0
2024,4,0,48084,Wesley Bryan,"29' 4""",425,12470.75,-34.0
2024,5,0,46046,Scottie Scheffler,"29' 7""",833,24649.0,-203.0
2024,6,0,35532,Tom Hoge,"29' 9""",1177,35043.5,-160.0
2024,6,0,39546,Keith Mitchell,"29' 9""",946,28161.583,-152.0
2024,8,0,32757,Patton Kizzire,"29' 10""",691,20617.333,-104.0
2024,9,0,33948,Byeong Hun An,"30' 0""",768,23049.25,-99.0
2024,9,0,25900,Lucas Glover,"30' 0""",1078,32368.0,-136.0
2024,9,0,39324,J.J. Spaun,"30' 0""",939,28152.25,-134.0
2024,12,0,52453,Nicolai Højgaard,"30' 1""",551,16594.167,-45.0
2024,13,0,57900,Chandler Phillips,"30' 2""",981,29562.833,-156.0
2024,14,0,39975,Michael Kim,"30' 3""",764,23138.25,-110.0
2024,15,0,52375,Doug Ghim,"30' 4""",1099,33368.417,-148.0
2024,16,0,52514,Trace Crowe,"30' 6""",664,20253.583,-78.0
2024,16,0,27064,Jhonattan Vegas,"30' 6""",759,23167.833,-100.0
2024,18,0,32839,Hideki Matsuyama,"30' 7""",807,24714.25,-147.0
2024,18,0,51997,Andrew Novak,"30' 7""",974,29749.5,-156.0
2024,18,0,50095,Austin Smotherman,"30' 7""",492,15047.0,-58.0
2024,21,0,56630,Akshay Bhatia,"30' 8""",1064,32614.0,-152.0
2024,21,0,60004,Jacob Bridgeman,"30' 8""",740,22715.167,-112.0
2024,21,0,46717,Viktor Hovland,"30' 8""",659,20193.833,-91.0
2024,24,0,45522,Christiaan Bezuidenhout,"30' 9""",952,29246.0,-125.0
2024,24,0,29936,Ryan Fox,"30' 9""",818,25132.0,-112.0
2024,24,0,52513,Carson Young,"30' 9""",1037,31929.833,-126.0
2024,27,0,45242,Kevin Yu,"30' 10""",824,25440.417,-102.0
2024,28,0,27214,Kevin Streelman,"30' 11""",759,23446.333,-65.0
2024,29,0,52955,Ludvig Åberg,"31' 0""",861,26682.917,-141.0
2024,29,0,33141,Keegan Bradley,"31' 0""",946,29315.083,-137.0
2024,29,0,34021,Bud Cauley,"31' 0""",659,20449.5,-81.0
2024,32,0,51696,Rico Hoey,"31' 1""",866,26945.083,-127.0
2024,32,0,48319,Tom Whitney,"31' 1""",658,20429.167,-42.0
2024,34,0,56149,Wilson Furr,"31' 2""",563,17559.917,-39.0
2024,34,0,36871,Matt NeSmith,"31' 2""",820,25526.0,-78.0
2024,36,0,47591,Eric Cole,"31' 3""",1183,36921.583,-176.0
2024,36,0,54576,Patrick Fishburn,"31' 3""",705,22048.583,-95.0
2024,36,0,60067,Joe Highsmith,"31' 3""",733,22901.667,-103.0
2024,36,0,12716,Charley Hoffman,"31' 3""",758,23699.417,-90.0
2024,36,0,47420,Jake Knapp,"31' 3""",832,25966.167,-99.0
2024,36,0,33486,Roger Sloan,"31' 3""",703,21949.25,-88.0
2024,42,0,26596,Ryan Moore,"31' 4""",902,28260.833,-69.0
