YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
2024,0,51349,Nico Echavarria,.35%,1,288
2024,0,49771,J.T. Poston,.58%,2,342
2024,0,55454,Carl Yuan,.69%,1,144
2024,0,59143,Mac Meissner,.79%,2,252
2024,0,51894,Vince Whaley,.79%,2,252
2024,0,48119,Ben Taylor,.93%,1,108
2024,0,45522,Christiaan Bezuidenhout,.98%,3,306
2024,0,32366,Kevin Chappell,1.01%,2,198
2024,0,35506,Mackenzie Hughes,1.01%,4,396
2024,0,31646,Emiliano Grillo,1.11%,4,360
2024,0,36326,David Lipsky,1.11%,2,180
2024,0,29908,C.T. Pan,1.11%,2,180
2024,0,47679,Victor Perez,1.11%,3,270
2024,0,39971,Sungjae Im,1.17%,4,342
2024,0,12716,Charley Hoffman,1.19%,3,252
2024,0,30163,Henrik Norlander,1.19%,3,252
2024,0,33141,Keegan Bradley,1.23%,4,324
2024,0,54628,Lee Hodges,1.23%,4,324
2024,0,47504,Sam Burns,1.31%,4,306
2024,0,29420,Billy Horschel,1.31%,4,306
2024,0,30926,Chris Kirk,1.31%,4,306
2024,0,47347,Adam Schenk,1.31%,4,306
2024,0,27644,Brian Harman,1.32%,5,378
2024,0,35450,Patrick Cantlay,1.39%,4,288
2024,0,36799,Stephan Jaeger,1.39%,4,288
2024,0,47993,Denny McCarthy,1.39%,5,360
2024,0,32333,Kevin Tway,1.39%,3,216
2024,0,37378,Min Woo Lee,1.48%,4,270
2024,0,48117,Kurt Kitayama,1.54%,5,324
2024,0,51766,Wyndham Clark,1.59%,4,252
2024,0,54591,Ben Griffin,1.62%,7,432
2024,0,45157,Cam Davis,1.63%,5,306
2024,0,39327,Ben Silverman,1.63%,5,306
2024,0,48081,Xander Schauffele,1.67%,6,360
2024,0,38991,Alejandro Tosti,1.67%,3,180
2024,0,46717,Viktor Hovland,1.71%,4,234
2024,0,27129,Luke List,1.71%,4,234
2024,0,52215,Robert MacIntyre,1.71%,4,234
2024,0,40250,Taylor Pendrith,1.74%,5,288
2024,0,47591,Eric Cole,1.77%,7,396
2024,0,36699,Patrick Rodgers,1.77%,7,396
2024,0,52372,Cameron Champ,1.85%,2,108
2024,0,50497,Adrien Dumont de Chassart,1.85%,4,216
2024,0,34099,Harris English,1.85%,7,378
2024,0,35461,Beau Hossler,1.85%,6,324
2024,0,37455,Si Woo Kim,1.85%,7,378
2024,0,32839,Hideki Matsuyama,1.85%,6,324
2024,0,46442,Maverick McNealy,1.85%,7,378
2024,0,26476,Chez Reavie,1.85%,3,162
2024,0,51890,Greyson Sigg,1.85%,4,216
2024,0,27214,Kevin Streelman,1.85%,4,216
2024,0,27064,Jhonattan Vegas,1.85%,5,270
2024,0,35532,Tom Hoge,1.93%,8,414
2024,0,57362,Austin Eckroat,1.94%,7,360
2024,0,58168,Davis Thompson,1.94%,7,360
2024,0,57366,Cameron Young,1.94%,7,360
2024,0,32102,Rickie Fowler,1.96%,6,306
2024,0,22371,Aaron Baddeley,1.98%,5,252
2024,0,46441,Robby Shelton,1.98%,5,252
2024,0,34046,Jordan Spieth,1.98%,5,252
2024,0,52374,Brandon Wu,1.98%,5,252
2024,0,32640,Troy Merritt,2.02%,4,198
2024,0,50525,Collin Morikawa,2.05%,7,342
2024,0,29535,Brice Garnett,2.08%,3,144
2024,0,51977,Max Greyserman,2.08%,6,288
2024,0,27349,Alex Noren,2.08%,6,288
2024,0,28252,Seamus Power,2.12%,8,378
2024,0,52955,Ludvig Åberg,2.16%,7,324
2024,0,39977,Max Homa,2.16%,7,324
2024,0,28420,Ryan Brehm,2.22%,2,90
2024,0,32367,Jorge Campillo,2.22%,4,180
2024,0,34021,Bud Cauley,2.22%,4,180
2024,0,59836,Pierceson Coody,2.22%,6,270
2024,0,60767,Blaine Hale Jr.,2.22%,2,90
2024,0,32757,Patton Kizzire,2.22%,4,180
2024,0,27139,David Skinns,2.22%,6,270
2024,0,51634,Sahith Theegala,2.27%,9,396
2024,0,33948,Byeong Hun An,2.29%,7,306
2024,0,30911,Tommy Fleetwood,2.29%,7,306
2024,0,57900,Chandler Phillips,2.29%,7,306
2024,0,25493,Nick Taylor,2.29%,7,306
2024,0,33408,Tyson Alexander,2.31%,5,216
2024,0,34466,Peter Malnati,2.31%,5,216
2024,0,26596,Ryan Moore,2.31%,5,216
2024,0,52375,Doug Ghim,2.34%,8,342
2024,0,54421,Garrick Higgo,2.38%,6,252
2024,0,48153,Matthieu Pavon,2.38%,6,252
2024,0,36801,Mark Hubbard,2.42%,10,414
2024,0,49960,Sepp Straka,2.43%,7,288
2024,0,56630,Akshay Bhatia,2.47%,8,324
2024,0,34076,Joel Dahmen,2.47%,8,324
2024,0,51997,Andrew Novak,2.47%,8,324
2024,0,33968,Thorbjørn Olesen,2.47%,4,162
2024,0,48699,Callum Tarren,2.47%,4,162
2024,0,52666,Sami Valimaki,2.47%,4,162
2024,0,25900,Lucas Glover,2.50%,9,360
2024,0,40162,Justin Lower,2.50%,9,360
2024,0,39997,Corey Conners,2.53%,10,396
2024,0,55893,Sam Stevens,2.53%,10,396
2024,0,59866,Nick Dunlap,2.56%,6,234
2024,0,32791,K.H. Lee,2.56%,6,234
2024,0,47483,Will Zalatoris,2.56%,6,234
2024,0,60004,Jacob Bridgeman,2.59%,7,270
2024,0,28237,Rory McIlroy,2.61%,8,306
2024,0,40006,Erik van Rooyen,2.61%,8,306
2024,0,40115,Adam Svensson,2.66%,11,414
2024,0,55708,Hayden Buckley,2.78%,5,180
2024,0,40098,Matt Fitzpatrick,2.78%,8,288
2024,0,60067,Joe Highsmith,2.78%,6,216
2024,0,51287,Ryo Hisatsune,2.78%,8,288
2024,0,24024,Zach Johnson,2.78%,4,144
2024,0,29478,Kevin Kisner,2.78%,3,108
2024,0,55789,Taylor Montgomery,2.78%,5,180
2024,0,49947,Taylor Moore,2.78%,11,396
2024,0,36871,Matt NeSmith,2.78%,5,180
2024,0,34256,Andrew Putnam,2.78%,8,288
2024,0,46414,Aaron Rai,2.78%,10,360
2024,0,46046,Scottie Scheffler,2.78%,9,324
2024,0,50095,Austin Smotherman,2.78%,6,216
2024,0,29725,Tony Finau,2.92%,10,342
2024,0,24502,Adam Scott,2.94%,9,306
2024,0,33653,Thomas Detry,2.96%,8,270
2024,0,33448,Justin Thomas,2.96%,8,270
2024,0,31323,Gary Woodland,2.96%,8,270
2024,0,52514,Trace Crowe,2.99%,7,234
2024,0,23108,Matt Kuchar,2.99%,7,234
2024,0,47995,Davis Riley,2.99%,7,234
2024,0,48887,Matt Wallace,2.99%,7,234
2024,0,45242,Kevin Yu,2.99%,7,234
2024,0,33486,Roger Sloan,3.03%,6,198
2024,0,59442,Parker Coody,3.09%,5,162
2024,0,46113,Ryan McCormick,3.09%,5,162
2024,0,34255,Joseph Bramlett,3.13%,9,288
2024,0,34587,Chan Kim,3.13%,9,288
2024,0,39546,Keith Mitchell,3.13%,9,288
2024,0,52513,Carson Young,3.13%,9,288
2024,0,34374,Erik Barnes,3.17%,4,126
2024,0,40026,Daniel Berger,3.17%,8,252
2024,0,51070,Vincent Norrman,3.17%,4,126
2024,0,22405,Justin Rose,3.24%,7,216
2024,0,57975,Harry Hall,3.27%,10,306
2024,0,47988,Nick Hardy,3.27%,10,306
