YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
2011,0,19846,Brian Gay,20.0,20,1
2011,0,27797,Derek Lamely,23.0,23,1
2011,0,23800,Bryce Molder,23.0,23,1
2011,0,23320,Ryan Palmer,23.0,23,1
2011,0,28087,Kris Blanks,24.0,24,1
2011,0,23638,Brendon de Jonge,24.0,24,1
2011,0,1116,Michael Bradley,25.0,25,1
2011,0,11123,Chris Couch,25.0,25,1
2011,0,25686,Jason Dufner,25.0,25,1
2011,0,9011,David Duval,25.0,25,1
2011,0,26300,Matt Jones,25.0,25,1
2011,0,8075,Jerry Kelly,25.0,25,1
2011,0,29221,Webb Simpson,25.0,25,1
2011,0,20070,Matt Bettencourt,26.0,26,1
2011,0,21753,Brian Davis,26.0,26,1
2011,0,28679,Fabián Gómez,26.0,26,1
2011,0,30926,Chris Kirk,26.0,26,1
2011,0,10860,Justin Leonard,26.0,26,1
2011,0,6515,Shaun Micheel,26.0,26,1
2011,0,24361,Pat Perez,26.0,26,1
2011,0,1948,Tim Petrovic,26.0,26,1
2011,0,12510,Chad Campbell,27.0,27,1
2011,0,24604,Hunter Haas,27.0,27,1
2011,0,21731,Freddie Jacobson,27.0,27,1
2011,0,26881,Jarrod Lyle,27.0,27,1
2011,0,25396,Kevin Na,27.0,27,1
2011,0,2206,David Toms,27.0,27,1
2011,0,20472,Alex Cejka,28.0,28,1
2011,0,32366,Kevin Chappell,28.0,28,1
2011,0,23548,Bill Lunde,28.0,28,1
2011,0,10585,Scott McCarron,28.0,28,1
2011,0,27963,Chris Stroud,28.0,28,1
2011,0,23325,Vaughn Taylor,28.0,28,1
2011,0,27064,Jhonattan Vegas,28.0,28,1
2011,0,33141,Keegan Bradley,29.0,29,1
2011,0,20593,Greg Chalmers,29.0,29,1
2011,0,21961,Charles Howell III,29.0,29,1
2011,0,30711,Colt Knost,29.0,29,1
2011,0,31401,Zack Miller,29.0,29,1
2011,0,28475,Jeff Overton,29.0,29,1
2011,0,25834,Daniel Summerhays,29.0,29,1
2011,0,33419,Cameron Tringale,29.0,29,1
2011,0,21805,Harrison Frazar,30.0,30,1
2011,0,24924,Bill Haas,30.0,30,1
2011,0,23353,J.J. Henry,30.0,30,1
2011,0,6573,Brandt Jobe,30.0,30,1
2011,0,27466,Spencer Levin,30.0,30,1
2011,0,28158,Steve Marino,30.0,30,1
2011,0,25240,D.A. Points,30.0,30,1
2011,0,27214,Kevin Streelman,30.0,30,1
2011,0,31323,Gary Woodland,30.0,30,1
2011,0,6004,Stephen Ames,31.0,31,1
2011,0,27936,Martin Laird,31.0,31,1
2011,0,28486,Michael Putnam,31.0,31,1
2011,0,23788,D.J. Trahan,31.0,31,1
2011,0,21350,Ryuji Imada,32.0,32,1
2011,0,23108,Matt Kuchar,32.0,32,1
2011,0,26679,Kevin Stadler,32.0,32,1
2011,0,30110,Kyle Stanley,32.0,32,1
2011,0,12602,Dean Wilson,32.0,32,1
2011,0,21878,Mark Wilson,32.0,32,1
2011,0,1313,Steve Elkington,33.0,33,1
2011,0,6643,Paul Goydos,33.0,33,1
2011,0,22913,John Rollins,33.0,33,1
2011,0,26289,Boo Weekley,33.0,33,1
2011,0,29910,Blake Adams,34.0,34,1
2010,0,26420,Richard Johnson,22.0,22,1
2010,0,2206,David Toms,23.0,23,1
2010,0,19846,Brian Gay,24.0,24,1
2010,0,24361,Pat Perez,24.0,24,1
2010,0,11123,Chris Couch,25.0,25,1
2010,0,30946,Alex Prugh,25.0,25,1
2010,0,25190,Jeff Quinney,25.0,25,1
2010,0,10423,Mike Weir,25.0,25,1
2010,0,26392,Chris Wilson,25.0,25,1
2010,0,20070,Matt Bettencourt,26.0,26,1
2010,0,23135,Tim Clark,26.0,26,1
2010,0,21961,Charles Howell III,26.0,26,1
2010,0,23108,Matt Kuchar,26.0,26,1
2010,0,32640,Troy Merritt,26.0,26,1
2010,0,26596,Ryan Moore,26.0,26,1
2010,0,25396,Kevin Na,26.0,26,1
2010,0,20572,Rod Pampling,26.0,26,1
2010,0,22946,Henrik Bjornstad,27.0,27,1
2010,0,1116,Michael Bradley,27.0,27,1
2010,0,25720,Chad Collins,27.0,27,1
2010,0,23638,Brendon de Jonge,27.0,27,1
2010,0,1577,Lee Janzen,27.0,27,1
2010,0,24490,George McNeill,27.0,27,1
2010,0,27649,Brandt Snedeker,27.0,27,1
2010,0,8385,Omar Uresti,27.0,27,1
2010,0,20436,Garrett Willis,27.0,27,1
2010,0,24507,Jason Bohn,28.0,28,1
2010,0,20593,Greg Chalmers,28.0,28,1
2010,0,21753,Brian Davis,28.0,28,1
2010,0,27436,Graham DeLaet,28.0,28,1
2010,0,6621,Joe Durant,28.0,28,1
2010,0,1320,Bob Estes,28.0,28,1
2010,0,8725,Tom Gillis,28.0,28,1
2010,0,24924,Bill Haas,28.0,28,1
2010,0,8537,J.P. Hayes,28.0,28,1
2010,0,26300,Matt Jones,28.0,28,1
2010,0,1766,Billy Mayfair,28.0,28,1
2010,0,21949,Joe Ogilvie,28.0,28,1
2010,0,20691,Greg Owen,28.0,28,1
2010,0,20663,Brenden Pappas,28.0,28,1
2010,0,22293,Heath Slocum,28.0,28,1
2010,0,23788,D.J. Trahan,28.0,28,1
2010,0,32617,Jerod Turner,28.0,28,1
2010,0,24846,Ricky Barnes,29.0,29,1
2010,0,25686,Jason Dufner,29.0,29,1
2010,0,1313,Steve Elkington,29.0,29,1
2010,0,21731,Freddie Jacobson,29.0,29,1
2010,0,26679,Kevin Stadler,29.0,29,1
2010,0,23307,Roger Tambellini,29.0,29,1
2010,0,23325,Vaughn Taylor,29.0,29,1
2010,0,25804,Bubba Watson,29.0,29,1
2010,0,28500,Martin Flores,30.0,30,1
2010,0,21350,Ryuji Imada,30.0,30,1
2010,0,27797,Derek Lamely,30.0,30,1
2010,0,28475,Jeff Overton,30.0,30,1
2010,0,23320,Ryan Palmer,30.0,30,1
2010,0,29221,Webb Simpson,30.0,30,1
2010,0,27214,Kevin Streelman,30.0,30,1
2010,0,6595,Kevin Sutherland,30.0,30,1
2010,0,27330,Josh Teater,30.0,30,1
2010,0,23623,Bo Van Pelt,30.0,30,1
2010,0,6251,Chris DiMarco,31.0,31,1
2010,0,6643,Paul Goydos,31.0,31,1
2010,0,27933,John Merrick,31.0,31,1
2010,0,25345,Carl Pettersson,31.0,31,1
2010,0,20645,John Senden,31.0,31,1
2010,0,26882,Michael Sim,31.0,31,1
2010,0,23548,Bill Lunde,33.0,33,1
2010,0,7749,Brett Quigley,34.0,34,1
2010,0,23541,Ben Crane,36.0,36,1
2009,0,12652,Cameron Beckman,23.0,23,1
2009,0,8075,Jerry Kelly,23.0,23,1
2009,0,23108,Matt Kuchar,23.0,23,1
2009,0,1948,Tim Petrovic,23.0,23,1
2009,0,6004,Stephen Ames,24.0,24,1
2009,0,21949,Joe Ogilvie,24.0,24,1
2009,0,24361,Pat Perez,24.0,24,1
2009,0,28780,Nicholas Thompson,24.0,24,1
2009,0,12602,Dean Wilson,24.0,24,1
2009,0,20472,Alex Cejka,25.0,25,1
2009,0,25686,Jason Dufner,25.0,25,1
2009,0,6621,Joe Durant,25.0,25,1
2009,0,24924,Bill Haas,25.0,25,1
2009,0,10860,Justin Leonard,25.0,25,1
2009,0,27060,John Mallinger,25.0,25,1
2009,0,23614,Rich Beem,26.0,26,1
2009,0,19846,Brian Gay,26.0,26,1
2009,0,25900,Lucas Glover,26.0,26,1
2009,0,1707,Steve Lowery,26.0,26,1
2009,0,27933,John Merrick,26.0,26,1
2009,0,1941,Tom Pernice Jr.,26.0,26,1
2009,0,12510,Chad Campbell,27.0,27,1
2009,0,23541,Ben Crane,27.0,27,1
2009,0,6251,Chris DiMarco,27.0,27,1
2009,0,24358,Robert Garrigus,27.0,27,1
2009,0,20574,Mathew Goggin,27.0,27,1
2009,0,26420,Richard Johnson,27.0,27,1
