YEAR,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF HOLES
2024,0,48632,Yuto Katsuragawa,6
2024,0,51977,Max Greyserman,5
2024,0,57975,Harry Hall,5
2024,0,27936,Martin Laird,5
2024,0,39546,Keith Mitchell,5
2024,0,24140,Sean O'Hair,5
2024,0,56630,Akshay Bhatia,4
2024,0,28420,Ryan Brehm,4
2024,0,32070,Rafael Campos,4
2024,0,51349,Nico Echavarria,4
2024,0,29725,Tony Finau,4
2024,0,52375,Doug Ghim,4
2024,0,31646,Emiliano Grillo,4
2024,0,24924,Bill Haas,4
2024,0,60067,Joe Highsmith,4
2024,0,29420,Billy Horschel,4
2024,0,37455,Si Woo Kim,4
2024,0,36884,Ben Kohles,4
2024,0,35879,Kelly Kraft,4
2024,0,28775,Nate Lashley,4
2024,0,36326,David Lipsky,4
2024,0,54190,Richard Mansell,4
2024,0,47993,Denny McCarthy,4
2024,0,28237,Rory McIlroy,4
2024,0,34256,Andrew Putnam,4
2024,0,26476,Chez Reavie,4
2024,0,37275,Sam Ryder,4
2024,0,39327,Ben Silverman,4
2024,0,27963,Chris Stroud,4
2024,0,57364,Michael Thorbjornsen,4
2024,0,30927,Brendon Todd,4
2024,0,52955,Ludvig Åberg,3
2024,0,33408,Tyson Alexander,3
2024,0,51661,Nick Bachem,3
2024,0,48001,Zach Bauchou,3
2024,0,59652,Sam Bennett,3
2024,0,40026,Daniel Berger,3
2024,0,45522,Christiaan Bezuidenhout,3
2024,0,34310,Alexander Björk,3
2024,0,60004,Jacob Bridgeman,3
2024,0,47504,Sam Burns,3
2024,0,35450,Patrick Cantlay,3
2024,0,52372,Cameron Champ,3
2024,0,51766,Wyndham Clark,3
2024,0,47591,Eric Cole,3
2024,0,59836,Pierceson Coody,3
2024,0,52514,Trace Crowe,3
2024,0,47959,Bryson DeChambeau,3
2024,0,33653,Thomas Detry,3
2024,0,50497,Adrien Dumont de Chassart,3
2024,0,57362,Austin Eckroat,3
2024,0,40098,Matt Fitzpatrick,3
2024,0,37066,Grant Forrest,3
2024,0,56149,Wilson Furr,3
2024,0,25900,Lucas Glover,3
2024,0,56762,Will Gordon,3
2024,0,34563,Chesson Hadley,3
2024,0,60767,Blaine Hale Jr.,3
2024,0,60065,Ryan Hall,3
2024,0,33597,Harry Higgs,3
2024,0,52453,Nicolai Højgaard,3
2024,0,35461,Beau Hossler,3
2024,0,46717,Viktor Hovland,3
2024,0,36799,Stephan Jaeger,3
2024,0,46879,Naoyuki Kataoka,3
2024,0,34587,Chan Kim,3
2024,0,39975,Michael Kim,3
2024,0,50188,S.H. Kim,3
