YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
2024,0,46414,Aaron Rai,73.45%,758,1032,-0.21
2024,0,29535,Brice Garnett,70.59%,420,595,-0.2
2024,0,36884,Ben Kohles,70.50%,712,1010,-0.16
2024,0,50525,Collin Morikawa,70.18%,673,959,-0.24
2024,0,49960,Sepp Straka,69.63%,642,922,-0.16
2024,0,40026,Daniel Berger,69.51%,579,833,-0.18
2024,0,25900,Lucas Glover,69.37%,745,1074,-0.23
2024,0,30911,Tommy Fleetwood,69.31%,621,896,-0.2
2024,0,52513,Carson Young,69.15%,706,1021,-0.21
2024,0,26596,Ryan Moore,69.05%,609,882,-0.16
2024,0,30927,Brendon Todd,68.96%,853,1237,-0.15
2024,0,34098,Russell Henley,68.85%,619,899,-0.23
2024,0,57362,Austin Eckroat,67.83%,736,1085,-0.18
2024,0,27644,Brian Harman,67.48%,743,1101,-0.2
2024,0,52375,Doug Ghim,67.46%,734,1088,-0.22
2024,0,34076,Joel Dahmen,66.77%,673,1008,-0.19
2024,0,24024,Zach Johnson,66.61%,399,599,-0.19
2024,0,54628,Lee Hodges,66.58%,793,1191,-0.2
2024,0,46046,Scottie Scheffler,66.51%,576,866,-0.34
2024,0,40058,Zac Blair,66.47%,682,1026,-0.13
2024,0,36801,Mark Hubbard,66.47%,807,1214,-0.23
2024,0,26476,Chez Reavie,66.41%,514,774,-0.18
2024,0,30163,Henrik Norlander,66.08%,448,678,-0.24
2024,0,37455,Si Woo Kim,66.02%,715,1083,-0.2
2024,0,45609,Tyler Duncan,65.63%,508,774,-0.15
2024,0,33204,Shane Lowry,65.61%,559,852,-0.23
2024,0,34256,Andrew Putnam,65.48%,683,1043,-0.18
2024,0,49771,J.T. Poston,65.40%,707,1081,-0.24
2024,0,28252,Seamus Power,65.29%,805,1233,-0.24
2024,0,28775,Nate Lashley,65.11%,556,854,-0.15
2024,0,40115,Adam Svensson,65.06%,903,1388,-0.2
2024,0,55708,Hayden Buckley,64.98%,540,831,-0.17
2024,0,30926,Chris Kirk,64.89%,610,940,-0.19
2024,0,23108,Matt Kuchar,64.76%,601,928,-0.19
2024,0,34587,Chan Kim,64.51%,627,972,-0.22
2024,0,55182,Tom Kim,64.41%,648,1006,-0.21
2024,0,29908,C.T. Pan,64.34%,507,788,-0.21
2024,0,39997,Corey Conners,64.19%,699,1089,-0.24
2024,0,56630,Akshay Bhatia,64.14%,703,1096,-0.21
2024,0,31646,Emiliano Grillo,64.12%,688,1073,-0.19
2024,0,51349,Nico Echavarria,63.90%,616,964,-0.19
2024,0,34099,Harris English,63.85%,696,1090,-0.22
2024,0,51890,Greyson Sigg,63.82%,582,912,-0.15
2024,0,39971,Sungjae Im,63.69%,700,1099,-0.21
2024,0,47983,Chad Ramey,63.33%,601,949,-0.17
2024,0,32640,Troy Merritt,63.25%,506,800,-0.16
2024,0,37275,Sam Ryder,63.24%,523,827,-0.19
2024,0,57900,Chandler Phillips,63.13%,649,1028,-0.24
2024,0,51287,Ryo Hisatsune,63.05%,604,958,-0.2
2024,0,33141,Keegan Bradley,62.88%,625,994,-0.25
2024,0,40098,Matt Fitzpatrick,62.88%,542,862,-0.2
2024,0,39327,Ben Silverman,62.86%,616,980,-0.2
2024,0,34046,Jordan Spieth,62.74%,549,875,-0.23
2024,0,27349,Alex Noren,62.73%,520,829,-0.2
2024,0,27214,Kevin Streelman,62.71%,496,791,-0.19
2024,0,48319,Tom Whitney,62.70%,432,689,-0.16
2024,0,22405,Justin Rose,62.67%,465,742,-0.19
2024,0,59143,Mac Meissner,62.49%,558,893,-0.23
2024,0,32757,Patton Kizzire,62.30%,456,732,-0.24
2024,0,47993,Denny McCarthy,62.27%,685,1100,-0.24
2024,0,32791,K.H. Lee,62.26%,579,930,-0.25
2024,0,50095,Austin Smotherman,62.17%,327,526,-0.21
2024,0,25493,Nick Taylor,62.14%,655,1054,-0.2
2024,0,33399,Adam Hadwin,62.01%,612,987,-0.2
2024,0,29478,Kevin Kisner,61.96%,404,652,-0.09
2024,0,27649,Brandt Snedeker,61.92%,444,717,-0.12
2024,0,48153,Matthieu Pavon,61.90%,455,735,-0.15
2024,0,51696,Rico Hoey,61.89%,570,921,-0.24
2024,0,23320,Ryan Palmer,61.84%,303,490,-0.13
2024,0,58168,Davis Thompson,61.80%,681,1102,-0.24
2024,0,36871,Matt NeSmith,61.74%,531,860,-0.19
2024,0,33486,Roger Sloan,61.71%,456,739,-0.22
2024,0,34021,Bud Cauley,61.65%,434,704,-0.2
2024,0,32102,Rickie Fowler,61.63%,583,946,-0.17
2024,0,47504,Sam Burns,61.56%,567,921,-0.31
2024,0,50493,Justin Suh,61.55%,525,853,-0.18
2024,0,29420,Billy Horschel,61.54%,568,923,-0.19
2024,0,28089,Jason Day,61.48%,506,823,-0.24
2024,0,52666,Sami Valimaki,61.26%,476,777,-0.18
2024,0,52955,Ludvig Åberg,61.21%,565,923,-0.27
2024,0,36799,Stephan Jaeger,61.07%,615,1007,-0.24
2024,0,28237,Rory McIlroy,60.98%,525,861,-0.25
2024,0,48081,Xander Schauffele,60.92%,580,952,-0.3
2024,0,46442,Maverick McNealy,60.75%,664,1093,-0.25
2024,0,46717,Viktor Hovland,60.58%,441,728,-0.24
2024,0,52374,Brandon Wu,60.55%,525,867,-0.17
2024,0,45157,Cam Davis,60.54%,600,991,-0.24
2024,0,52372,Cameron Champ,60.51%,406,671,-0.19
2024,0,36326,David Lipsky,60.45%,483,799,-0.22
2024,0,39324,J.J. Spaun,60.36%,606,1004,-0.26
2024,0,48867,Matti Schmid,60.32%,520,862,-0.24
2024,0,54783,Dylan Wu,60.27%,578,959,-0.19
2024,0,45522,Christiaan Bezuidenhout,60.06%,600,999,-0.24
2024,0,35532,Tom Hoge,60.02%,755,1258,-0.23
