YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SPIN SPEED,TOTAL ATTEMPTS
2024,0,46414,Aaron Rai,3115.4,2339661,751
2024,0,47347,Adam Schenk,2917.6,2290314,785
2024,1,33653,Thomas Detry,2909.8,1667315,573
2024,3,29725,Tony Finau,2894.0,1837661,635
2024,-2,31323,Gary Woodland,2885.4,1575440,546
2024,0,40058,Zac Blair,2867.1,2353885,821
2024,-2,36801,Mark Hubbard,2864.5,2417610,844
2024,1,22371,Aaron Baddeley,2822.6,1628643,577
2024,3,40115,Adam Svensson,2809.1,2609665,929
2024,3,37275,Sam Ryder,2803.5,1771784,632
2024,4,48153,Matthieu Pavon,2800.4,1464616,523
2024,2,34256,Andrew Putnam,2793.7,1916508,686
2024,-2,47420,Jake Knapp,2775.6,1815217,654
2024,-4,34099,Harris English,2771.2,1715347,619
2024,4,33204,Shane Lowry,2765.7,1695393,613
2024,6,37378,Min Woo Lee,2755.7,1292423,469
2024,-9,32333,Kevin Tway,2753.6,1126213,409
2024,0,33486,Roger Sloan,2753.0,1671077,607
2024,-2,50493,Justin Suh,2738.5,1615715,590
2024,7,39997,Corey Conners,2725.2,1932141,709
2024,7,59866,Nick Dunlap,2724.6,1452221,533
2024,7,39971,Sungjae Im,2722.9,2061253,757
2024,7,51766,Wyndham Clark,2718.2,1318341,485
2024,9,27349,Alex Noren,2714.0,1329879,490
2024,10,32367,Jorge Campillo,2709.6,972744,359
2024,10,24502,Adam Scott,2709.1,1555033,574
2024,10,39327,Ben Silverman,2705.0,2164006,800
2024,-7,52374,Brandon Wu,2686.6,1738259,647
2024,-9,35506,Mackenzie Hughes,2685.6,2140415,797
2024,18,48867,Matti Schmid,2684.2,1417232,528
2024,11,36871,Matt NeSmith,2672.0,1571142,588
2024,21,22405,Justin Rose,2662.3,1248602,469
2024,14,52514,Trace Crowe,2661.3,1604790,603
2024,10,29478,Kevin Kisner,2660.5,1271698,478
2024,-9,52372,Cameron Champ,2660.3,1002939,377
2024,18,23320,Ryan Palmer,2658.4,1034134,389
2024,-13,54576,Patrick Fishburn,2654.2,1319160,497
2024,12,38991,Alejandro Tosti,2653.2,1586618,598
2024,7,27139,David Skinns,2652.8,1551911,585
2024,11,47988,Nick Hardy,2643.0,2029825,768
2024,-16,50484,Hayden Springer,2641.5,1479249,560
2024,-10,33399,Adam Hadwin,2641.2,1759067,666
2024,14,33968,Thorbjørn Olesen,2638.1,902221,342
2024,14,34098,Russell Henley,2635.1,1691751,642
2024,7,24024,Zach Johnson,2634.6,1204001,457
2024,13,39977,Max Homa,2630.1,1462325,556
2024,8,34466,Peter Malnati,2627.1,1880982,716
2024,-25,48699,Callum Tarren,2625.2,1454376,554
2024,-4,25900,Lucas Glover,2622.3,1930006,736
2024,13,28252,Seamus Power,2617.0,1865913,713
2024,-20,50497,Adrien Dumont de Chassart,2615.9,1485852,568
2024,8,27129,Luke List,2612.5,1575349,603
2024,12,57366,Cameron Young,2609.6,1735390,665
2024,-38,55789,Taylor Montgomery,2605.3,984793,378
2024,15,30911,Tommy Fleetwood,2596.4,1383859,533
2024,15,32102,Rickie Fowler,2596.1,1394101,537
2024,15,35450,Patrick Cantlay,2595.7,1419825,547
2024,16,34046,Jordan Spieth,2593.8,1577053,608
2024,16,45157,Cam Davis,2593.2,1537779,593
2024,6,30927,Brendon Todd,2590.7,2129519,822
2024,1,54783,Dylan Wu,2589.9,1737798,671
2024,2,27649,Brandt Snedeker,2589.8,1489140,575
2024,-20,60067,Joe Highsmith,2588.1,1521802,588
2024,-25,33408,Tyson Alexander,2586.4,1481996,573
2024,12,51696,Rico Hoey,2586.4,1520825,588
2024,-25,35310,Lanto Griffin,2584.6,1328485,514
2024,-18,27936,Martin Laird,2584.5,1400810,542
2024,9,52215,Robert MacIntyre,2583.4,1488017,576
2024,9,56630,Akshay Bhatia,2583.1,2030305,786
2024,10,47483,Will Zalatoris,2581.0,1269844,492
2024,-31,54421,Garrick Higgo,2574.8,1578369,613
2024,-34,45242,Kevin Yu,2573.6,1569920,610
2024,11,40250,Taylor Pendrith,2573.3,1893934,736
2024,-18,46442,Maverick McNealy,2572.3,1867502,726
2024,10,59442,Parker Coody,2570.9,1218606,474
2024,-9,55708,Hayden Buckley,2566.5,1560460,608
2024,11,59095,Chris Gotterup,2560.0,1466864,573
2024,2,36884,Ben Kohles,2557.1,1718364,672
2024,13,40098,Matt Fitzpatrick,2544.2,1432408,563
2024,7,47663,Kevin Dougherty,2542.4,1309345,515
2024,12,29420,Billy Horschel,2541.6,1685073,663
2024,1,28420,Ryan Brehm,2540.4,1163501,458
2024,-15,49947,Taylor Moore,2537.1,2001784,789
2024,11,47504,Sam Burns,2535.4,1460390,576
2024,11,51070,Vincent Norrman,2533.0,1104400,436
2024,11,46046,Scottie Scheffler,2532.6,1519560,600
2024,13,48081,Xander Schauffele,2529.5,1236930,489
2024,-54,35617,Martin Trainer,2527.0,962804,381
2024,-28,34255,Joseph Bramlett,2524.8,1620936,642
2024,12,32839,Hideki Matsuyama,2523.8,1438575,570
2024,15,27064,Jhonattan Vegas,2520.2,1290344,512
2024,16,52453,Nicolai Højgaard,2507.1,990310,395
2024,5,39546,Keith Mitchell,2503.8,1897870,758
2024,17,37455,Si Woo Kim,2503.2,1990027,795
2024,-13,54628,Lee Hodges,2500.7,1793029,717
2024,8,29221,Webb Simpson,2498.8,1042005,417
2024,-24,52955,Ludvig Åberg,2497.1,1383412,554
2024,16,31646,Emiliano Grillo,2497.1,1688057,676
2024,-9,47993,Denny McCarthy,2495.1,1856355,744
2024,16,47679,Victor Perez,2493.0,1211612,486
2024,-12,47591,Eric Cole,2490.0,2221104,892
2024,-33,51894,Vince Whaley,2488.8,1358891,546
2024,7,26476,Chez Reavie,2483.8,1418232,571
2024,14,47995,Davis Riley,2481.6,1645330,663
2024,-19,50188,S.H. Kim,2478.9,1960809,791
2024,17,52666,Sami Valimaki,2470.6,1267420,513
2024,5,39324,J.J. Spaun,2470.5,1702143,689
2024,16,33141,Keegan Bradley,2470.3,1529111,619
2024,18,28237,Rory McIlroy,2465.9,1035693,420
2024,11,32640,Troy Merritt,2464.5,1537874,624
2024,17,28089,Jason Day,2462.9,1322584,537
2024,-33,30163,Henrik Norlander,2459.3,1030435,419
2024,-22,58168,Davis Thompson,2458.9,1731094,704
2024,5,47983,Chad Ramey,2456.0,1562011,636
2024,-1,59836,Pierceson Coody,2455.4,1517466,618
2024,-13,51349,Nico Echavarria,2451.3,1605592,655
2024,-16,57900,Chandler Phillips,2447.7,1816191,742
2024,-9,56149,Wilson Furr,2441.6,1059658,434
2024,-20,40026,Daniel Berger,2439.3,1451371,595
2024,-3,27330,Josh Teater,2437.1,996769,409
2024,12,55182,Tom Kim,2436.4,1668924,685
2024,12,59143,Mac Meissner,2436.3,1430123,587
2024,-3,60004,Jacob Bridgeman,2436.0,1429940,587
2024,11,57975,Harry Hall,2434.8,1575311,647
2024,-31,54591,Ben Griffin,2433.1,1710479,703
2024,4,27214,Kevin Streelman,2428.3,1325837,546
2024,-1,27644,Brian Harman,2426.7,2038430,840
2024,10,25493,Nick Taylor,2426.0,1715211,707
2024,-14,57362,Austin Eckroat,2425.8,1749029,721
2024,11,29936,Ryan Fox,2423.1,1473220,608
2024,12,33948,Byeong Hun An,2420.3,1515102,626
2024,0,48119,Ben Taylor,2411.0,1142816,474
2024,-11,36699,Patrick Rodgers,2409.6,2178256,904
2024,13,50525,Collin Morikawa,2407.0,1355160,563
2024,15,45522,Christiaan Bezuidenhout,2402.6,1580897,658
2024,0,60767,Blaine Hale Jr.,2402.0,970424,404
2024,-32,32366,Kevin Chappell,2398.5,1031369,430
2024,-9,37212,Paul Barjon,2398.4,952178,397
2024,-32,32757,Patton Kizzire,2397.9,1225348,511
2024,12,51977,Max Greyserman,2389.5,1233005,516
2024,-10,34374,Erik Barnes,2386.8,1050202,440
2024,-17,49771,J.T. Poston,2386.6,1801865,755
2024,11,51634,Sahith Theegala,2385.4,1884486,790
2024,11,35461,Beau Hossler,2385.3,1908222,800
2024,-1,30926,Chris Kirk,2382.4,1586663,666
2024,10,40006,Erik van Rooyen,2379.6,1615760,679
2024,2,32070,Rafael Campos,2373.4,1051417,443
2024,11,12716,Charley Hoffman,2370.4,1322697,558
2024,2,46113,Ryan McCormick,2359.8,1010004,428
2024,-13,52513,Carson Young,2359.7,1665976,706
2024,2,55454,Carl Yuan,2353.2,1218974,518
2024,5,26596,Ryan Moore,2349.9,1572057,669
2024,8,36799,Stephan Jaeger,2348.7,1747406,744
2024,8,46717,Viktor Hovland,2348.5,1169566,498
