YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
2024,0,52372,Cameron Champ,0.883,43.268,49
2024,0,46046,Scottie Scheffler,0.816,50.593,62
2024,0,47663,Kevin Dougherty,0.766,38.282,50
2024,0,28237,Rory McIlroy,0.73,45.271,62
2024,0,37378,Min Woo Lee,0.69,40.709,59
2024,0,54576,Patrick Fishburn,0.616,34.483,56
2024,0,39546,Keith Mitchell,0.615,46.748,76
2024,0,27064,Jhonattan Vegas,0.611,37.245,61
2024,0,51696,Rico Hoey,0.586,39.233,67
2024,0,48081,Xander Schauffele,0.557,38.436,69
2024,0,38991,Alejandro Tosti,0.547,33.36,61
2024,0,45242,Kevin Yu,0.539,35.574,66
2024,0,46717,Viktor Hovland,0.507,26.347,52
2024,0,52955,Ludvig Åberg,0.502,33.125,66
2024,0,34046,Jordan Spieth,0.5,31.472,63
2024,0,48117,Kurt Kitayama,0.446,31.195,70
2024,0,55893,Sam Stevens,0.433,34.645,80
2024,0,51766,Wyndham Clark,0.42,26.018,62
2024,0,50525,Collin Morikawa,0.417,28.767,69
2024,0,52375,Doug Ghim,0.413,32.666,79
2024,0,39997,Corey Conners,0.411,32.071,78
2024,0,33948,Byeong Hun An,0.404,26.65,66
2024,0,46442,Maverick McNealy,0.391,30.909,79
2024,0,40026,Daniel Berger,0.385,23.112,60
2024,0,57366,Cameron Young,0.375,26.991,72
2024,0,34255,Joseph Bramlett,0.355,25.587,72
2024,0,46340,Alex Smalley,0.352,20.74,59
2024,0,51634,Sahith Theegala,0.35,29.791,85
2024,0,39971,Sungjae Im,0.344,27.202,79
2024,0,57362,Austin Eckroat,0.333,25.954,78
2024,0,24502,Adam Scott,0.321,19.933,62
2024,0,36799,Stephan Jaeger,0.309,22.537,73
2024,0,32839,Hideki Matsuyama,0.306,19.603,64
2024,0,46414,Aaron Rai,0.303,22.701,75
2024,0,30911,Tommy Fleetwood,0.302,19.319,64
2024,0,52513,Carson Young,0.301,22.293,74
2024,0,52215,Robert MacIntyre,0.288,18.168,63
2024,0,37455,Si Woo Kim,0.28,21.85,78
2024,0,58168,Davis Thompson,0.28,22.368,80
2024,0,34076,Joel Dahmen,0.278,20.275,73
2024,0,40006,Erik van Rooyen,0.278,19.479,70
2024,0,50484,Hayden Springer,0.269,15.046,56
2024,0,30926,Chris Kirk,0.266,17.828,67
2024,0,47504,Sam Burns,0.265,17.519,66
