YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST. (FT),TOT BIRDIE PUTTS MADE,LONGEST MADE (FT),SHORTEST MADE (FT)
2024,0,31646,Emiliano Grillo,"9' 7""",2600.5,272,"57' 9""","1"""
2024,0,35461,Beau Hossler,"9' 7""",2994.417,312,"72' 0""","4"""
2024,0,51997,Andrew Novak,"9' 7""",2884.417,301,"64' 6""","1"""
2024,0,33968,Thorbjørn Olesen,"9' 7""",1422.0,149,"44' 10""","2"""
2024,0,36699,Patrick Rodgers,"9' 7""",3277.5,343,"72' 9""","2"""
2024,0,48867,Matti Schmid,"9' 7""",2354.167,245,"49' 2""","1"""
2024,0,25493,Nick Taylor,"9' 7""",2659.25,277,"48' 0""","1"""
2024,0,52666,Sami Valimaki,"9' 7""",1963.75,205,"53' 7""","1"""
2024,0,54783,Dylan Wu,"9' 7""",2583.5,269,"74' 1""","3"""
2024,0,59836,Pierceson Coody,"9' 6""",2268.333,239,"56' 11""","1"""
2024,0,32102,Rickie Fowler,"9' 6""",2422.667,256,"43' 10""","1"""
2024,0,30927,Brendon Todd,"9' 6""",2970.833,313,"66' 7""","2"""
2024,0,51894,Vince Whaley,"9' 6""",1975.0,207,"56' 10""","1"""
2024,0,48084,Wesley Bryan,"9' 5""",1265.083,134,"38' 3""","7"""
2024,0,28089,Jason Day,"9' 5""",2222.417,236,"53' 11""","1"""
2024,0,29725,Tony Finau,"9' 5""",2695.167,285,"47' 0""","1"""
2024,0,54628,Lee Hodges,"9' 5""",2786.667,295,"75' 9""","3"""
2024,0,35506,Mackenzie Hughes,"9' 5""",2895.167,307,"69' 4""","1"""
2024,0,28775,Nate Lashley,"9' 5""",2033.5,215,"41' 5""","5"""
2024,0,55789,Taylor Montgomery,"9' 5""",1519.417,162,"47' 5""","5"""
2024,0,26596,Ryan Moore,"9' 5""",2029.917,216,"44' 4""","3"""
2024,0,47347,Adam Schenk,"9' 5""",2713.5,289,"58' 4""","3"""
2024,0,33408,Tyson Alexander,"9' 4""",2006.167,215,"52' 4""","1"""
2024,0,34374,Erik Barnes,"9' 4""",1274.5,136,"61' 4""","8"""
2024,0,60004,Jacob Bridgeman,"9' 4""",2318.417,249,"50' 10""","1"""
2024,0,56149,Wilson Furr,"9' 4""",1469.583,157,"51' 2""","2"""
2024,0,27644,Brian Harman,"9' 4""",2828.583,303,"62' 1""","2"""
2024,0,34098,Russell Henley,"9' 4""",2255.667,241,"44' 0""","1"""
2024,0,35532,Tom Hoge,"9' 4""",3498.167,374,"63' 6""","3"""
2024,0,27129,Luke List,"9' 4""",2255.833,241,"54' 0""","1"""
2024,0,32839,Hideki Matsuyama,"9' 4""",2371.167,255,"73' 10""","2"""
2024,0,59143,Mac Meissner,"9' 4""",2291.417,246,"57' 11""","2"""
2024,0,40250,Taylor Pendrith,"9' 4""",2798.167,299,"55' 1""","1"""
2024,0,47806,Raul Pereda,"9' 4""",867.5,93,"59' 3""","5"""
2024,0,50095,Austin Smotherman,"9' 4""",1305.667,140,"62' 2""","1"""
2024,0,34046,Jordan Spieth,"9' 4""",2345.0,252,"54' 8""","1"""
2024,0,52372,Cameron Champ,"9' 3""",1558.917,168,"58' 6""","1"""
2024,0,30911,Tommy Fleetwood,"9' 3""",2103.75,228,"56' 8""","1"""
2024,0,36326,David Lipsky,"9' 3""",1910.25,206,"67' 3""","6"""
2024,0,32640,Troy Merritt,"9' 3""",1958.083,211,"42' 8""","3"""
2024,0,39324,J.J. Spaun,"9' 3""",2642.833,285,"72' 7""","3"""
2024,0,32070,Rafael Campos,"9' 2""",1453.667,159,"40' 5""","5"""
2024,0,34563,Chesson Hadley,"9' 2""",1982.583,216,"67' 4""","1"""
2024,0,51696,Rico Hoey,"9' 2""",2411.0,262,"43' 2""","1"""
2024,0,39977,Max Homa,"9' 2""",2340.5,256,"63' 7""","1"""
2024,0,32757,Patton Kizzire,"9' 2""",2032.25,221,"56' 2""","3"""
2024,0,46046,Scottie Scheffler,"9' 2""",2752.083,301,"45' 2""","1"""
2024,0,50484,Hayden Springer,"9' 2""",1983.083,216,"43' 11""","1"""
2024,0,48699,Callum Tarren,"9' 2""",1680.25,184,"45' 4""","1"""
2024,0,48119,Ben Taylor,"9' 2""",1545.75,168,"65' 7""","1"""
2024,0,27330,Josh Teater,"9' 2""",1099.0,120,"48' 7""","1"""
2024,0,32367,Jorge Campillo,"9' 1""",1334.25,147,"48' 9""","4"""
2024,0,51766,Wyndham Clark,"9' 1""",2399.833,264,"39' 5""","3"""
2024,0,52375,Doug Ghim,"9' 1""",2681.417,296,"53' 9""","1"""
2024,0,25900,Lucas Glover,"9' 1""",2700.083,297,"45' 1""","6"""
2024,0,35310,Lanto Griffin,"9' 1""",2022.75,222,"56' 0""","2"""
2024,0,33399,Adam Hadwin,"9' 1""",2452.333,269,"43' 2""","4"""
2024,0,60767,Blaine Hale Jr.,"9' 1""",1182.833,130,"47' 8""","3"""
2024,0,37275,Sam Ryder,"9' 1""",2259.583,249,"46' 10""","3"""
2024,0,38991,Alejandro Tosti,"9' 1""",2172.833,240,"47' 6""","5"""
2024,0,39997,Corey Conners,"9' 0""",2769.5,309,"56' 5""","5"""
2024,0,52453,Nicolai Højgaard,"9' 0""",1344.333,150,"55' 10""","4"""
2024,0,34587,Chan Kim,"9' 0""",2424.583,270,"48' 0""","1"""
2024,0,51070,Vincent Norrman,"9' 0""",1175.25,131,"50' 11""","4"""
2024,0,57900,Chandler Phillips,"9' 0""",2710.417,301,"68' 2""","1"""
2024,0,22405,Justin Rose,"9' 0""",1694.417,189,"48' 3""","1"""
2024,0,48081,Xander Schauffele,"9' 0""",2601.583,288,"58' 0""","1"""
2024,0,40026,Daniel Berger,"8' 11""",1988.417,224,"52' 11""","1"""
2024,0,56630,Akshay Bhatia,"8' 11""",2692.0,303,"39' 10""","1"""
2024,0,33141,Keegan Bradley,"8' 11""",2396.167,269,"49' 2""","3"""
2024,0,34021,Bud Cauley,"8' 11""",1571.833,177,"44' 3""","1"""
2024,0,54421,Garrick Higgo,"8' 11""",1954.917,220,"57' 0""","1"""
2024,0,28237,Rory McIlroy,"8' 11""",2247.75,251,"43' 8""","1"""
2024,0,46414,Aaron Rai,"8' 11""",2583.167,289,"63' 10""","6"""
2024,0,24502,Adam Scott,"8' 11""",2174.5,244,"34' 9""","1"""
2024,0,47504,Sam Burns,"8' 10""",2456.0,278,"47' 7""","3"""
2024,0,59866,Nick Dunlap,"8' 10""",2273.0,258,"56' 7""","6"""
2024,0,57362,Austin Eckroat,"8' 10""",2551.917,289,"46' 10""","1"""
2024,0,55182,Tom Kim,"8' 10""",2487.667,281,"49' 8""","1"""
2024,0,27349,Alex Noren,"8' 10""",1896.75,214,"38' 6""","1"""
2024,0,27064,Jhonattan Vegas,"8' 10""",2185.333,247,"44' 6""","1"""
2024,0,48887,Matt Wallace,"8' 10""",1967.0,222,"44' 2""","1"""
2024,0,22371,Aaron Baddeley,"8' 9""",1630.583,186,"43' 1""","4"""
2024,0,45609,Tyler Duncan,"8' 9""",1507.833,172,"43' 10""","1"""
2024,0,57975,Harry Hall,"8' 9""",2571.583,294,"57' 1""","3"""
2024,0,47988,Nick Hardy,"8' 9""",2571.5,293,"49' 7""","1"""
2024,0,36799,Stephan Jaeger,"8' 9""",2573.0,293,"37' 3""","1"""
2024,0,49960,Sepp Straka,"8' 9""",2144.583,244,"49' 2""","4"""
2024,0,45242,Kevin Yu,"8' 9""",2121.833,243,"60' 8""","2"""
2024,0,28420,Ryan Brehm,"8' 8""",1275.0,147,"46' 2""","2"""
2024,0,45157,Cam Davis,"8' 8""",2380.75,276,"58' 9""","3"""
2024,0,29535,Brice Garnett,"8' 8""",1400.667,161,"36' 2""","4"""
2024,0,12716,Charley Hoffman,"8' 8""",2090.0,242,"44' 0""","1"""
2024,0,37455,Si Woo Kim,"8' 8""",2553.917,296,"40' 2""","3"""
2024,0,34466,Peter Malnati,"8' 8""",1867.917,215,"40' 5""","2"""
2024,0,46442,Maverick McNealy,"8' 8""",2732.0,314,"67' 0""","5"""
2024,0,58168,Davis Thompson,"8' 8""",2666.0,309,"44' 3""","5"""
2024,0,57366,Cameron Young,"8' 8""",2396.417,276,"38' 9""","4"""
2024,0,37378,Min Woo Lee,"8' 7""",1883.583,220,"64' 1""","1"""
2024,0,50525,Collin Morikawa,"8' 7""",2495.75,290,"41' 10""","1"""
2024,0,46340,Alex Smalley,"8' 7""",1859.5,216,"36' 8""","1"""
2024,0,31323,Gary Woodland,"8' 7""",2297.25,267,"65' 1""","1"""
2024,0,33948,Byeong Hun An,"8' 6""",2308.333,272,"54' 9""","1"""
2024,0,34255,Joseph Bramlett,"8' 6""",2271.667,268,"47' 10""","3"""
2024,0,52514,Trace Crowe,"8' 6""",1844.667,218,"37' 9""","3"""
2024,0,36801,Mark Hubbard,"8' 6""",2880.75,338,"44' 2""","2"""
2024,0,50188,S.H. Kim,"8' 6""",2961.0,348,"48' 10""","3"""
2024,0,47995,Davis Riley,"8' 6""",2259.583,265,"55' 3""","1"""
2024,0,27770,Camilo Villegas,"8' 6""",1219.25,143,"47' 9""","3"""
2024,0,47663,Kevin Dougherty,"8' 5""",1475.5,175,"39' 10""","4"""
2024,0,47420,Jake Knapp,"8' 5""",2184.0,260,"42' 9""","1"""
2024,0,40115,Adam Svensson,"8' 5""",2834.75,338,"36' 1""","1"""
2024,0,37212,Paul Barjon,"8' 4""",1184.25,142,"45' 0""","1"""
2024,0,55708,Hayden Buckley,"8' 4""",1672.167,200,"52' 3""","5"""
2024,0,33448,Justin Thomas,"8' 4""",1901.083,228,"42' 5""","1"""
2024,0,47591,Eric Cole,"8' 3""",3087.75,376,"50' 4""","1"""
2024,0,60067,Joe Highsmith,"8' 3""",1880.333,228,"40' 2""","3"""
2024,0,55454,Carl Yuan,"8' 3""",1450.083,175,"47' 11""","4"""
2024,0,30926,Chris Kirk,"8' 2""",2117.417,259,"38' 2""","1"""
2024,0,59095,Chris Gotterup,"8' 1""",1944.167,241,"50' 4""","3"""
2024,0,30163,Henrik Norlander,"8' 1""",1573.0,195,"47' 10""","1"""
2024,0,59442,Parker Coody,"8' 0""",1173.667,147,"28' 8""","1"""
2024,0,48319,Tom Whitney,"7' 11""",1410.917,178,"35' 7""","4"""
2024,0,39546,Keith Mitchell,"7' 10""",2510.75,322,"44' 11""","1"""
2024,0,48117,Kurt Kitayama,"7' 7""",2078.0,274,"37' 5""","2"""
2023,0,24024,Zach Johnson,"11' 7""",1982.417,171,"56' 3""","3"""
2023,0,53165,Doc Redman,"11' 3""",2641.917,235,"57' 7""","5"""
2023,0,27974,Sung Kang,"11' 1""",1194.083,108,"47' 0""","2"""
2023,0,27963,Chris Stroud,"11' 1""",1448.917,131,"57' 8""","8"""
2023,0,55708,Hayden Buckley,"11' 0""",2378.917,217,"71' 5""","1"""
2023,0,31560,Brian Stuard,"10' 11""",1693.583,155,"47' 8""","4"""
2023,0,30163,Henrik Norlander,"10' 10""",2343.75,217,"93' 4""","2"""
2023,0,48119,Ben Taylor,"10' 10""",3192.417,295,"65' 6""","3"""
2023,0,32448,James Hahn,"10' 8""",2428.833,228,"61' 8""","2"""
2023,0,35901,Paul Haley II,"10' 8""",2339.167,220,"67' 6""","4"""
2023,0,27936,Martin Laird,"10' 8""",2534.083,237,"53' 11""","5"""
2023,0,31202,William McGirt,"10' 8""",1400.25,131,"67' 1""","2"""
2023,0,25493,Nick Taylor,"10' 8""",3050.417,287,"67' 9""","4"""
2023,0,29289,S.Y. Noh,"10' 7""",1739.083,164,"45' 10""","4"""
2023,0,33141,Keegan Bradley,"10' 6""",2867.417,273,"60' 0""","3"""
2023,0,34409,David Lingmerth,"10' 6""",1910.667,182,"51' 10""","2"""
2023,0,52513,Carson Young,"10' 6""",2854.25,271,"51' 4""","5"""
2023,0,54628,Lee Hodges,"10' 5""",3007.0,288,"51' 5""","3"""
2023,0,40162,Justin Lower,"10' 5""",3071.25,294,"56' 6""","8"""
2023,0,22405,Justin Rose,"10' 5""",2075.583,200,"34' 1""","4"""
2023,0,27095,Nick Watney,"10' 5""",1624.917,156,"69' 4""","8"""
2023,0,22371,Aaron Baddeley,"10' 4""",2082.5,201,"52' 10""","2"""
2023,0,39954,Cody Gribble,"10' 4""",1765.333,171,"56' 11""","3"""
2023,0,47988,Nick Hardy,"10' 4""",3376.75,327,"61' 3""","1"""
2023,0,49947,Taylor Moore,"10' 4""",2903.917,281,"60' 2""","2"""
2023,0,34610,Matthias Schwab,"10' 4""",2570.917,248,"54' 3""","2"""
2023,0,30927,Brendon Todd,"10' 3""",3317.667,323,"57' 8""","5"""
2023,0,45522,Christiaan Bezuidenhout,"10' 2""",2642.75,260,"54' 1""","2"""
2023,0,46435,Austin Cook,"10' 2""",1672.25,165,"63' 5""","4"""
2023,0,57362,Austin Eckroat,"10' 2""",2623.167,259,"80' 8""","2"""
2023,0,29535,Brice Garnett,"10' 2""",2230.583,220,"52' 4""","4"""
2023,0,54591,Ben Griffin,"10' 2""",3401.417,334,"68' 4""","2"""
2023,0,34098,Russell Henley,"10' 2""",2739.667,269,"52' 11""","4"""
2023,0,49298,Kramer Hickok,"10' 2""",2487.333,245,"53' 6""","3"""
2023,0,58696,Peter Kuest,"10' 2""",1681.333,166,"47' 8""","1"""
2023,0,34256,Andrew Putnam,"10' 2""",3109.667,305,"44' 4""","4"""
2023,0,27214,Kevin Streelman,"10' 2""",2885.333,283,"61' 2""","3"""
2023,0,34076,Joel Dahmen,"10' 1""",2461.0,245,"51' 11""","3"""
2023,0,34099,Harris English,"10' 1""",2842.333,282,"79' 5""","7"""
2023,0,31577,Tano Goya,"10' 1""",2521.5,250,"73' 1""","4"""
2023,0,33597,Harry Higgs,"10' 1""",1914.167,190,"57' 5""","6"""
2023,0,39977,Max Homa,"10' 1""",3275.75,326,"57' 7""","1"""
2023,0,32816,Satoshi Kodaira,"10' 1""",1610.667,160,"45' 4""","2"""
2023,0,32333,Kevin Tway,"10' 1""",2585.25,257,"56' 0""","1"""
2023,0,19803,Ryan Armour,"10' 0""",2137.583,213,"80' 8""","4"""
2023,0,47504,Sam Burns,"10' 0""",2758.0,276,"57' 1""","2"""
2023,0,32366,Kevin Chappell,"10' 0""",1256.583,126,"43' 0""","4"""
2023,0,34563,Chesson Hadley,"10' 0""",2888.667,290,"51' 0""","2"""
2023,0,33122,Russell Knox,"10' 0""",2775.417,278,"44' 9""","5"""
2023,0,54783,Dylan Wu,"10' 0""",3109.0,311,"47' 9""","2"""
2023,0,20229,Stewart Cink,"9' 11""",2239.917,225,"62' 6""","6"""
2023,0,35310,Lanto Griffin,"9' 11""",1453.333,146,"47' 5""","6"""
2023,0,46442,Maverick McNealy,"9' 11""",1622.583,164,"43' 8""","2"""
2023,0,36699,Patrick Rodgers,"9' 11""",2837.0,286,"60' 4""","3"""
2023,0,51634,Sahith Theegala,"9' 11""",3272.5,329,"56' 8""","1"""
2023,0,32139,Danny Willett,"9' 11""",1582.167,160,"42' 8""","6"""
2023,0,56762,Will Gordon,"9' 10""",3300.5,335,"46' 0""","3"""
2023,0,31557,Jim Herman,"9' 10""",1797.083,183,"41' 9""","3"""
2023,0,33204,Shane Lowry,"9' 10""",1903.167,193,"72' 9""","1"""
2023,0,27349,Alex Noren,"9' 10""",2475.833,251,"54' 6""","2"""
2023,0,47347,Adam Schenk,"9' 10""",3435.417,348,"71' 1""","2"""
2023,0,34431,Robert Streb,"9' 10""",1870.75,191,"48' 9""","3"""
2023,0,50493,Justin Suh,"9' 10""",3521.25,357,"56' 6""","3"""
2023,0,34255,Joseph Bramlett,"9' 9""",2412.417,248,"69' 8""","2"""
2023,0,29970,Dylan Frittelli,"9' 9""",1800.917,184,"57' 8""","1"""
2023,0,52375,Doug Ghim,"9' 9""",2632.917,271,"64' 4""","1"""
2023,0,33410,Andrew Landry,"9' 9""",1967.583,202,"51' 0""","2"""
2023,0,34466,Peter Malnati,"9' 9""",2441.75,250,"41' 2""","3"""
2023,0,55789,Taylor Montgomery,"9' 9""",3296.083,337,"77' 1""","4"""
2023,0,50525,Collin Morikawa,"9' 9""",2402.167,247,"61' 8""","1"""
2023,0,40115,Adam Svensson,"9' 9""",3827.25,393,"59' 4""","2"""
2023,0,47993,Denny McCarthy,"9' 8""",3135.167,323,"56' 3""","2"""
2023,0,48699,Callum Tarren,"9' 8""",2872.167,296,"44' 7""","2"""
2023,0,51349,Nico Echavarria,"9' 7""",1578.417,165,"52' 9""","2"""
2023,0,30911,Tommy Fleetwood,"9' 7""",2427.833,253,"70' 6""","3"""
2023,0,31646,Emiliano Grillo,"9' 7""",3065.833,319,"48' 0""","4"""
2023,0,34363,Tyrrell Hatton,"9' 7""",2580.167,270,"47' 9""","2"""
2023,0,35532,Tom Hoge,"9' 7""",3310.333,346,"53' 5""","1"""
2023,0,26596,Ryan Moore,"9' 7""",2232.0,233,"54' 1""","2"""
2023,0,36871,Matt NeSmith,"9' 7""",2789.0,290,"43' 10""","2"""
2023,0,49771,J.T. Poston,"9' 7""",3226.667,338,"53' 8""","1"""
2023,0,28252,Seamus Power,"9' 7""",2126.25,222,"65' 8""","7"""
2023,0,47983,Chad Ramey,"9' 7""",3244.083,338,"49' 7""","1"""
2023,0,50095,Austin Smotherman,"9' 7""",2837.667,296,"45' 8""","2"""
2023,0,52374,Brandon Wu,"9' 7""",2915.0,305,"50' 7""","3"""
2023,0,52955,Ludvig Åberg,"9' 6""",1876.667,197,"52' 1""","5"""
2023,0,33653,Thomas Detry,"9' 6""",2266.0,238,"50' 5""","4"""
2023,0,29725,Tony Finau,"9' 6""",2859.583,302,"59' 3""","3"""
2023,0,32102,Rickie Fowler,"9' 6""",3090.75,326,"49' 2""","1"""
2023,0,57975,Harry Hall,"9' 6""",2743.167,289,"49' 3""","3"""
2023,0,27644,Brian Harman,"9' 6""",2752.917,291,"55' 6""","4"""
2023,0,49766,Hank Lebioda,"9' 6""",1250.25,132,"34' 2""","4"""
2023,0,47128,Richy Werenski,"9' 6""",2348.167,248,"45' 3""","2"""
2023,0,52411,Kyle Westmoreland,"9' 6""",1739.25,183,"79' 4""","2"""
2023,0,28420,Ryan Brehm,"9' 5""",2000.0,212,"56' 3""","2"""
2023,0,55182,Tom Kim,"9' 5""",3003.75,319,"69' 6""","1"""
2023,0,28775,Nate Lashley,"9' 5""",2931.417,311,"47' 5""","2"""
2023,0,32791,K.H. Lee,"9' 5""",2742.417,290,"67' 5""","1"""
2023,0,36326,David Lipsky,"9' 5""",2627.833,280,"58' 11""","4"""
2023,0,35449,Adam Long,"9' 5""",2831.75,302,"55' 10""","6"""
2023,0,46970,Jon Rahm,"9' 5""",2413.083,257,"40' 10""","5"""
2023,0,37275,Sam Ryder,"9' 5""",3259.5,345,"61' 5""","2"""
2023,0,48081,Xander Schauffele,"9' 5""",2487.167,263,"43' 11""","3"""
2023,0,45609,Tyler Duncan,"9' 4""",2544.833,273,"48' 0""","1"""
2023,0,25900,Lucas Glover,"9' 4""",2774.5,297,"34' 9""","4"""
2023,0,29420,Billy Horschel,"9' 4""",1733.583,185,"42' 2""","1"""
2023,0,39975,Michael Kim,"9' 4""",2204.083,236,"39' 2""","3"""
2023,0,35879,Kelly Kraft,"9' 4""",2421.667,259,"45' 6""","3"""
2023,0,33413,Ben Martin,"9' 4""",2810.083,302,"56' 3""","2"""
2023,0,32640,Troy Merritt,"9' 4""",2266.417,242,"35' 8""","3"""
2023,0,51890,Greyson Sigg,"9' 4""",2820.25,303,"38' 5""","1"""
2023,0,40058,Zac Blair,"9' 3""",2090.333,225,"48' 10""","5"""
2023,0,32662,Michael Gligic,"9' 3""",1494.5,162,"40' 0""","6"""
2023,0,35506,Mackenzie Hughes,"9' 3""",2247.0,244,"44' 8""","2"""
2023,0,30926,Chris Kirk,"9' 3""",2608.167,282,"52' 3""","7"""
2023,0,51997,Andrew Novak,"9' 3""",2168.0,235,"56' 11""","3"""
2023,0,26476,Chez Reavie,"9' 3""",2584.083,280,"44' 3""","3"""
2023,0,46340,Alex Smalley,"9' 3""",3009.833,326,"62' 5""","3"""
2023,0,39997,Corey Conners,"9' 2""",2662.083,291,"38' 3""","2"""
2023,0,45157,Cam Davis,"9' 2""",2783.583,304,"48' 2""","2"""
2023,0,47079,Harrison Endycott,"9' 2""",2139.083,233,"43' 5""","2"""
2023,0,50188,S.H. Kim,"9' 2""",3251.5,356,"48' 3""","3"""
2023,0,23108,Matt Kuchar,"9' 2""",2471.25,269,"60' 11""","4"""
2023,0,27129,Luke List,"9' 2""",2815.667,306,"60' 9""","1"""
2023,0,51491,Brandon Matthews,"9' 2""",1205.833,131,"70' 7""","3"""
2023,0,39546,Keith Mitchell,"9' 2""",2519.833,276,"50' 2""","1"""
2023,0,40250,Taylor Pendrith,"9' 2""",2500.917,273,"47' 2""","1"""
2023,0,48867,Matti Schmid,"9' 2""",1856.25,202,"47' 11""","3"""
2023,0,24502,Adam Scott,"9' 2""",2033.667,222,"62' 0""","2"""
2023,0,30692,Scott Stallings,"9' 2""",1994.25,217,"56' 11""","4"""
2023,0,48887,Matt Wallace,"9' 2""",2121.25,231,"41' 1""","1"""
2023,0,28089,Jason Day,"9' 1""",2177.917,240,"43' 1""","1"""
2023,0,33399,Adam Hadwin,"9' 1""",2757.0,304,"52' 5""","3"""
2023,0,52453,Nicolai Hojgaard,"9' 1""",1264.25,139,"46' 11""","9"""
2023,0,35461,Beau Hossler,"9' 1""",2787.917,308,"47' 5""","2"""
2023,0,32839,Hideki Matsuyama,"9' 1""",2504.25,275,"50' 5""","4"""
2023,0,39067,MJ Daffue,"9' 0""",2476.417,275,"82' 6""","5"""
2023,0,25686,Jason Dufner,"9' 0""",2147.25,238,"39' 10""","6"""
2023,0,59018,Ryan Gerard,"9' 0""",1612.75,179,"41' 9""","3"""
2023,0,27554,Scott Harrington,"9' 0""",1758.75,195,"40' 7""","3"""
2023,0,36799,Stephan Jaeger,"9' 0""",3731.833,415,"46' 6""","2"""
2023,0,36724,Augusto Núñez,"9' 0""",1672.667,185,"50' 9""","4"""
2023,0,29908,C.T. Pan,"9' 0""",1272.75,141,"42' 7""","2"""
2023,0,22056,Cameron Percy,"9' 0""",1305.917,145,"60' 2""","3"""
2023,0,25818,Scott Piercy,"9' 0""",2322.0,259,"52' 11""","2"""
2023,0,46414,Aaron Rai,"9' 0""",2883.333,321,"43' 11""","5"""
2023,0,46046,Scottie Scheffler,"9' 0""",2853.833,318,"51' 0""","1"""
2023,0,39324,J.J. Spaun,"9' 0""",2684.75,298,"37' 0""","1"""
2023,0,55893,Sam Stevens,"9' 0""",2631.333,292,"53' 3""","1"""
