YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. TO IMPACT,TOTAL ATTEMPTS
2024,-47,55454,Carl Yuan,292.8,119183.5,407
2024,34,47483,Will Zalatoris,292.8,130600.6,446
2024,44,54576,Patrick Fishburn,292.7,121771.1,416
2024,33,52215,Robert MacIntyre,292.5,147115.9,503
2024,39,27129,Luke List,292.4,161106.4,551
2024,-21,47988,Nick Hardy,292.1,193975.0,664
2024,-51,48084,Wesley Bryan,291.8,99209.7,340
2024,36,46046,Scottie Scheffler,291.8,161661.6,554
2024,41,47420,Jake Knapp,291.7,170369.8,584
2024,43,33408,Tyson Alexander,291.6,139375.9,478
2024,-56,32366,Kevin Chappell,291.3,106621.2,366
2024,46,50497,Adrien Dumont de Chassart,291.1,148437.3,510
2024,32,34587,Chan Kim,291.0,146975.5,505
2024,44,48699,Callum Tarren,290.9,130612.0,449
2024,31,40006,Erik van Rooyen,290.8,175621.4,604
2024,51,51894,Vince Whaley,290.8,121245.6,417
2024,40,60067,Joe Highsmith,290.7,143598.3,494
2024,30,30911,Tommy Fleetwood,290.3,134692.7,464
2024,30,39977,Max Homa,290.3,136137.0,469
2024,42,39975,Michael Kim,290.1,155788.1,537
2024,45,29221,Webb Simpson,290.1,91084.6,314
2024,29,35461,Beau Hossler,289.9,198266.8,684
2024,29,59143,Mac Meissner,289.9,135387.9,467
2024,-55,34099,Harris English,289.8,164614.5,568
2024,37,36699,Patrick Rodgers,289.7,231438.7,799
2024,28,48153,Matthieu Pavon,289.5,139844.8,483
2024,28,51634,Sahith Theegala,289.5,205804.9,711
2024,-70,34374,Erik Barnes,289.3,111085.6,384
2024,-43,57362,Austin Eckroat,289.3,184853.5,639
2024,45,48887,Matt Wallace,289.2,134165.9,464
2024,-38,35506,Mackenzie Hughes,289.1,205261.8,710
2024,26,33204,Shane Lowry,289.0,164429.1,569
2024,26,52666,Sami Valimaki,289.0,133805.1,463
2024,28,32102,Rickie Fowler,288.9,140106.5,485
2024,31,33968,Thorbjørn Olesen,288.7,76219.5,264
2024,32,29420,Billy Horschel,288.6,159881.3,554
2024,-41,47591,Eric Cole,288.5,223299.0,774
2024,32,59442,Parker Coody,288.5,105578.1,366
2024,-56,30926,Chris Kirk,288.3,172973.4,600
2024,30,12716,Charley Hoffman,288.2,136305.4,473
2024,30,56630,Akshay Bhatia,288.1,188718.3,655
2024,30,34563,Chesson Hadley,288.1,154109.1,535
2024,34,52514,Trace Crowe,287.9,156032.5,542
2024,29,22405,Justin Rose,287.8,120866.6,420
2024,29,57975,Harry Hall,287.7,153070.3,532
2024,-81,32070,Rafael Campos,287.6,107556.3,374
2024,36,50095,Austin Smotherman,287.5,100056.5,348
2024,-83,35617,Martin Trainer,287.5,98899.2,344
2024,26,39997,Corey Conners,287.3,170062.4,592
2024,-67,39324,J.J. Spaun,287.3,166941.9,581
2024,-71,50493,Justin Suh,287.3,151719.1,528
2024,-81,60004,Jacob Bridgeman,287.1,144120.9,502
2024,25,32839,Hideki Matsuyama,286.6,138127.7,482
2024,-65,51997,Andrew Novak,286.2,168277.3,588
2024,-82,55708,Hayden Buckley,286.1,151087.1,528
2024,-78,36871,Matt NeSmith,286.1,147917.6,517
2024,-65,54591,Ben Griffin,285.9,165249.4,578
2024,26,33399,Adam Hadwin,285.7,165683.4,580
2024,20,50525,Collin Morikawa,285.6,133666.6,468
2024,-92,27139,David Skinns,285.5,135594.0,475
2024,-102,27330,Josh Teater,285.4,91910.1,322
2024,-81,46340,Alex Smalley,285.3,128083.5,449
2024,-88,32757,Patton Kizzire,285.2,131181.9,460
2024,16,32367,Jorge Campillo,285.1,82119.5,288
2024,16,39971,Sungjae Im,285.0,195193.2,685
2024,19,34466,Peter Malnati,284.9,174368.4,612
2024,15,28252,Seamus Power,284.7,175399.8,616
2024,-90,45609,Tyler Duncan,284.4,139934.7,492
2024,-101,27214,Kevin Streelman,284.4,122878.6,432
2024,18,46442,Maverick McNealy,284.2,176516.8,621
2024,14,27349,Alex Noren,284.1,114227.3,402
2024,-80,49960,Sepp Straka,284.1,146885.1,517
2024,-79,47347,Adam Schenk,284.0,184292.9,649
2024,19,51287,Ryo Hisatsune,283.6,155697.1,549
2024,21,34021,Bud Cauley,283.5,122776.1,433
2024,15,47983,Chad Ramey,283.4,159290.4,562
2024,17,54628,Lee Hodges,283.2,175878.1,621
2024,14,33486,Roger Sloan,283.1,144083.6,509
2024,9,23320,Ryan Palmer,283.0,89716.3,317
2024,10,40098,Matt Fitzpatrick,282.8,137168.8,485
2024,-79,54783,Dylan Wu,282.1,164187.4,582
2024,19,40026,Daniel Berger,282.0,152587.0,541
