YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL VERT. LAUNCH ANGLE,TOTAL ATTEMPTS
2024,0,33141,Keegan Bradley,13.17,8150.98,619
2024,0,48084,Wesley Bryan,13.12,5052.7,385
2024,0,51890,Greyson Sigg,13.03,8588.59,659
2024,0,26476,Chez Reavie,13.01,7426.02,571
2024,0,45609,Tyler Duncan,12.76,7398.19,580
2024,0,32366,Kevin Chappell,12.45,5352.73,430
2024,0,52666,Sami Valimaki,12.44,6381.5,513
2024,0,59143,Mac Meissner,12.34,7242.32,587
2024,1,47995,Davis Riley,12.33,8174.32,663
2024,-2,23108,Matt Kuchar,12.32,8228.6,668
2024,1,60767,Blaine Hale Jr.,12.25,4948.82,404
2024,-1,29535,Brice Garnett,12.23,5126.05,419
2024,0,34021,Bud Cauley,12.17,6219.45,511
2024,2,32102,Rickie Fowler,12.17,6532.89,537
2024,1,34587,Chan Kim,12.16,7478.41,615
2024,-2,24024,Zach Johnson,12.13,5544.05,457
2024,0,32640,Troy Merritt,12.1,7549.13,624
2024,-1,29221,Webb Simpson,12.06,5030.92,417
2024,0,33948,Byeong Hun An,12.05,7546.39,626
2024,0,36326,David Lipsky,12.04,6656.4,553
2024,0,28089,Jason Day,12.01,6449.06,537
2024,-1,49960,Sepp Straka,12.0,7139.69,595
2024,0,27649,Brandt Snedeker,11.97,6882.66,575
2024,0,27330,Josh Teater,11.93,4880.88,409
2024,0,36799,Stephan Jaeger,11.88,8838.92,744
2024,0,47806,Raul Pereda,11.82,4596.9,389
2024,0,55708,Hayden Buckley,11.81,7180.91,608
2024,0,30926,Chris Kirk,11.72,7805.54,666
2024,1,55893,Sam Stevens,11.69,9001.24,770
2024,-1,39975,Michael Kim,11.67,7246.1,621
2024,1,27644,Brian Harman,11.58,9730.88,840
2024,-1,51287,Ryo Hisatsune,11.55,7692.74,666
2024,0,40162,Justin Lower,11.54,8409.55,729
2024,0,52375,Doug Ghim,11.48,8367.63,729
2024,1,22405,Justin Rose,11.48,5383.57,469
2024,0,39546,Keith Mitchell,11.46,8688.46,758
2024,1,29908,C.T. Pan,11.33,6004.84,530
2024,-1,47591,Eric Cole,11.3,10079.98,892
2024,2,35461,Beau Hossler,11.21,8970.3,800
2024,-1,58168,Davis Thompson,11.2,7882.66,704
2024,-1,54591,Ben Griffin,11.18,7861.88,703
2024,0,45157,Cam Davis,11.16,6615.97,593
2024,1,46717,Viktor Hovland,11.08,5519.19,498
2024,-1,52955,Ludvig Åberg,11.07,6131.44,554
2024,3,32367,Jorge Campillo,11.05,3966.69,359
2024,0,27214,Kevin Streelman,11.04,6027.07,546
2024,3,57975,Harry Hall,11.02,7127.32,647
2024,1,46113,Ryan McCormick,11.01,4713.75,428
2024,-5,57900,Chandler Phillips,10.99,8155.97,742
2024,1,47983,Chad Ramey,10.97,6979.89,636
2024,-5,50095,Austin Smotherman,10.95,4205.71,384
2024,2,57362,Austin Eckroat,10.91,7864.9,721
2024,0,48887,Matt Wallace,10.91,5627.49,516
2024,2,29478,Kevin Kisner,10.9,5209.74,478
2024,3,28775,Nate Lashley,10.9,6693.89,614
2024,3,12716,Charley Hoffman,10.88,6072.07,558
2024,-2,51349,Nico Echavarria,10.87,7121.7,655
2024,0,56149,Wilson Furr,10.87,4716.46,434
2024,-5,32757,Patton Kizzire,10.87,5555.03,511
2024,1,37455,Si Woo Kim,10.85,8627.8,795
2024,1,48867,Matti Schmid,10.85,5731.2,528
2024,-2,50484,Hayden Springer,10.83,6063.56,560
2024,0,50525,Collin Morikawa,10.82,6093.82,563
2024,2,29420,Billy Horschel,10.8,7161.45,663
2024,-1,55454,Carl Yuan,10.8,5592.64,518
2024,-1,35506,Mackenzie Hughes,10.77,8584.73,797
2024,3,23320,Ryan Palmer,10.7,4163.91,389
2024,0,46441,Robby Shelton,10.7,7169.29,670
2024,3,30911,Tommy Fleetwood,10.69,5695.73,533
2024,4,47504,Sam Burns,10.66,6138.93,576
2024,4,45522,Christiaan Bezuidenhout,10.65,7004.97,658
2024,-3,50497,Adrien Dumont de Chassart,10.65,6051.83,568
2024,4,31646,Emiliano Grillo,10.65,7201.41,676
2024,-5,51997,Andrew Novak,10.64,7552.14,710
2024,-4,49771,J.T. Poston,10.64,8036.88,755
2024,-3,34076,Joel Dahmen,10.62,8223.1,774
2024,0,34374,Erik Barnes,10.58,4655.55,440
2024,0,33399,Adam Hadwin,10.51,6999.76,666
2024,1,33653,Thomas Detry,10.45,5988.28,573
2024,1,51696,Rico Hoey,10.45,6145.22,588
2024,1,46046,Scottie Scheffler,10.45,6271.86,600
2024,-3,52513,Carson Young,10.44,7369.97,706
2024,2,51634,Sahith Theegala,10.42,8229.11,790
2024,-1,54628,Lee Hodges,10.4,7458.06,717
2024,1,39324,J.J. Spaun,10.38,7153.4,689
2024,-3,47993,Denny McCarthy,10.36,7706.87,744
2024,0,50493,Justin Suh,10.35,6106.27,590
2024,3,33968,Thorbjørn Olesen,10.29,3518.08,342
2024,3,40250,Taylor Pendrith,10.29,7571.36,736
2024,-2,34099,Harris English,10.28,6360.69,619
2024,-1,50188,S.H. Kim,10.28,8133.81,791
2024,1,34563,Chesson Hadley,10.27,6254.4,609
2024,-3,33408,Tyson Alexander,10.26,5879.36,573
2024,0,40006,Erik van Rooyen,10.22,6940.27,679
2024,0,47483,Will Zalatoris,10.22,5030.12,492
2024,1,28237,Rory McIlroy,10.21,4289.24,420
2024,1,33204,Shane Lowry,10.2,6254.75,613
2024,1,48153,Matthieu Pavon,10.2,5332.25,523
2024,-5,30927,Brendon Todd,10.19,8377.52,822
2024,0,57366,Cameron Young,10.18,6772.89,665
2024,-1,60067,Joe Highsmith,10.13,5954.43,588
2024,0,56630,Akshay Bhatia,10.1,7940.43,786
2024,2,32839,Hideki Matsuyama,10.07,5739.89,570
2024,2,27349,Alex Noren,10.07,4932.61,490
2024,2,33448,Justin Thomas,10.07,4714.67,468
2024,2,35532,Tom Hoge,10.04,8069.01,804
2024,-5,34255,Joseph Bramlett,10.03,6436.88,642
2024,1,51977,Max Greyserman,10.01,5162.61,516
2024,-7,54421,Garrick Higgo,10.0,6127.32,613
2024,0,40058,Zac Blair,9.97,8181.83,821
2024,1,48117,Kurt Kitayama,9.96,4304.01,432
2024,0,33486,Roger Sloan,9.95,6036.72,607
2024,-2,52514,Trace Crowe,9.94,5995.55,603
2024,-1,48319,Tom Whitney,9.94,5226.74,526
2024,0,34046,Jordan Spieth,9.91,6023.68,608
2024,0,35450,Patrick Cantlay,9.88,5406.97,547
2024,-1,47988,Nick Hardy,9.86,7570.75,768
2024,0,36871,Matt NeSmith,9.78,5748.06,588
2024,0,37212,Paul Barjon,9.76,3876.1,397
2024,1,47663,Kevin Dougherty,9.74,5016.06,515
2024,-1,36801,Mark Hubbard,9.74,8219.0,844
2024,1,32070,Rafael Campos,9.73,4311.56,443
2024,-1,27129,Luke List,9.73,5869.23,603
2024,1,54783,Dylan Wu,9.7,6508.87,671
2024,2,59095,Chris Gotterup,9.68,5547.77,573
2024,-2,35617,Martin Trainer,9.65,3677.33,381
2024,-1,59836,Pierceson Coody,9.63,5953.66,618
2024,1,40026,Daniel Berger,9.62,5726.63,595
2024,-1,36884,Ben Kohles,9.6,6451.18,672
2024,0,46340,Alex Smalley,9.58,5038.66,526
2024,1,55182,Tom Kim,9.53,6528.52,685
2024,1,39977,Max Homa,9.52,5292.42,556
2024,-1,45242,Kevin Yu,9.52,5806.84,610
2024,1,51766,Wyndham Clark,9.39,4556.52,485
2024,0,34256,Andrew Putnam,9.39,6441.06,686
2024,1,37378,Min Woo Lee,9.37,4393.4,469
2024,1,32791,K.H. Lee,9.35,5742.54,614
2024,1,29725,Tony Finau,9.34,5933.54,635
2024,-3,27936,Martin Laird,9.33,5059.14,542
2024,0,26596,Ryan Moore,9.28,6205.54,669
2024,1,39997,Corey Conners,9.24,6549.95,709
2024,-1,49947,Taylor Moore,9.2,7257.95,789
2024,0,25493,Nick Taylor,9.18,6487.58,707
2024,0,39327,Ben Silverman,9.1,7277.7,800
2024,0,52453,Nicolai Højgaard,9.09,3590.84,395
2024,0,37275,Sam Ryder,9.07,5729.25,632
2024,0,48119,Ben Taylor,8.97,4249.89,474
2024,0,28420,Ryan Brehm,8.93,4089.17,458
2024,0,34098,Russell Henley,8.91,5717.05,642
2024,0,59866,Nick Dunlap,8.9,4745.1,533
2024,1,36699,Patrick Rodgers,8.79,7946.27,904
