YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2024,0,46046,Scottie Scheffler,"12' 4""",787.667,64,-0.44
2024,0,51766,Wyndham Clark,"12' 6""",836.75,67,-0.30
2024,0,33141,Keegan Bradley,"12' 9""",982.917,77,-0.23
2024,0,50484,Hayden Springer,"12' 11""",955.833,74,-0.09
2024,0,34021,Bud Cauley,"13' 0""",726.167,56,-0.39
2024,0,27770,Camilo Villegas,"13' 8""",862.667,63,-0.24
2024,0,51894,Vince Whaley,"13' 8""",831.333,61,-0.18
2024,0,33968,Thorbjørn Olesen,"13' 9""",535.417,39,-0.10
2024,0,59866,Nick Dunlap,"13' 10""",900.083,65,-0.22
2024,0,32839,Hideki Matsuyama,"13' 10""",789.083,57,-0.14
2024,0,29725,Tony Finau,"13' 11""",850.167,61,-0.20
2024,0,45522,Christiaan Bezuidenhout,"14' 0""",1248.25,89,-0.12
2024,0,34098,Russell Henley,"14' 0""",1134.417,81,-0.32
2024,0,39977,Max Homa,"14' 1""",888.0,63,-0.16
2024,0,37455,Si Woo Kim,"14' 2""",992.333,70,-0.16
2024,0,30927,Brendon Todd,"14' 5""",1456.333,101,-0.27
2024,0,52955,Ludvig Åberg,"14' 6""",1046.417,72,-0.08
2024,0,57975,Harry Hall,"14' 6""",1351.833,93,-0.20
2024,0,59143,Mac Meissner,"14' 7""",1198.167,82,-0.16
2024,0,48084,Wesley Bryan,"14' 8""",794.083,54,-0.04
2024,0,51696,Rico Hoey,"14' 8""",1072.917,73,-0.26
2024,0,22405,Justin Rose,"14' 9""",678.5,46,-0.28
2024,0,33486,Roger Sloan,"14' 9""",1133.083,77,-0.32
2024,0,39546,Keith Mitchell,"14' 11""",1612.0,108,-0.16
2024,0,45157,Cam Davis,"15' 1""",1251.333,83,-0.11
2024,0,46442,Maverick McNealy,"15' 1""",1686.083,112,-0.23
2024,0,24502,Adam Scott,"15' 1""",812.75,54,-0.20
2024,0,34076,Joel Dahmen,"15' 2""",1803.833,119,-0.19
2024,0,51890,Greyson Sigg,"15' 2""",998.333,66,-0.21
2024,0,50095,Austin Smotherman,"15' 2""",515.167,34,-0.18
2024,0,40058,Zac Blair,"15' 3""",1406.667,92,-0.15
2024,0,55182,Tom Kim,"15' 3""",1115.25,73,-0.14
2024,0,49960,Sepp Straka,"15' 3""",900.333,59,-0.25
2024,0,59442,Parker Coody,"15' 4""",735.167,48,+0.02
2024,0,30926,Chris Kirk,"15' 4""",1243.667,81,-0.25
2024,0,52375,Doug Ghim,"15' 5""",1323.583,86,-0.16
