YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 280-300,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
2024,1,0,29535,Brice Garnett,40.97%,245,598,-0.098
2024,2,0,37455,Si Woo Kim,40.96%,444,1084,-0.151
2024,3,0,36801,Mark Hubbard,39.49%,481,1218,-0.133
2024,4,0,34076,Joel Dahmen,39.13%,396,1012,-0.051
2024,5,0,39327,Ben Silverman,38.78%,380,980,-0.111
2024,6,0,36884,Ben Kohles,38.58%,390,1011,-0.038
2024,7,0,46414,Aaron Rai,38.42%,398,1036,-0.143
2024,8,0,57900,Chandler Phillips,37.98%,392,1032,-0.125
2024,9,0,52513,Carson Young,37.96%,388,1022,-0.103
2024,10,0,33486,Roger Sloan,37.53%,280,746,-0.118
2024,11,0,27644,Brian Harman,37.41%,413,1104,-0.114
2024,12,0,32640,Troy Merritt,37.34%,301,806,-0.113
2024,13,0,23108,Matt Kuchar,37.31%,347,930,-0.043
2024,14,0,28775,Nate Lashley,37.30%,320,858,-0.109
2024,15,0,24024,Zach Johnson,37.17%,223,600,-0.081
2024,16,0,25493,Nick Taylor,37.03%,391,1056,-0.110
2024,17,0,52375,Doug Ghim,36.79%,401,1090,-0.102
2024,18,0,55708,Hayden Buckley,36.57%,305,834,-0.056
2024,18,0,54591,Ben Griffin,36.57%,460,1258,-0.128
2024,20,0,27349,Alex Noren,36.06%,300,832,-0.107
2024,21,0,57362,Austin Eckroat,35.91%,390,1086,-0.036
2024,22,0,40115,Adam Svensson,35.78%,498,1392,-0.100
2024,23,0,50525,Collin Morikawa,35.76%,344,962,-0.078
2024,24,0,22405,Justin Rose,35.75%,266,744,-0.083
2024,25,0,31646,Emiliano Grillo,35.69%,384,1076,-0.044
2024,26,0,51997,Andrew Novak,35.63%,377,1058,-0.080
2024,27,0,46441,Robby Shelton,35.56%,325,914,-0.083
2024,28,0,29420,Billy Horschel,35.45%,329,928,-0.070
2024,28,0,39971,Sungjae Im,35.45%,390,1100,-0.151
2024,30,0,34098,Russell Henley,35.44%,319,900,-0.132
2024,30,0,30163,Henrik Norlander,35.44%,241,680,-0.137
2024,32,0,23320,Ryan Palmer,35.37%,174,492,E
2024,33,0,34466,Peter Malnati,35.28%,333,944,-0.033
2024,34,0,34021,Bud Cauley,35.17%,249,708,-0.072
2024,35,0,54783,Dylan Wu,35.02%,339,968,-0.109
2024,36,0,40162,Justin Lower,34.76%,398,1145,-0.090
2024,37,0,35532,Tom Hoge,34.70%,440,1268,-0.139
2024,38,0,29908,C.T. Pan,34.68%,274,790,-0.029
2024,39,0,36326,David Lipsky,34.49%,278,806,-0.079
2024,40,0,32791,K.H. Lee,34.47%,323,937,-0.077
2024,41,0,54628,Lee Hodges,34.45%,412,1196,-0.044
2024,42,0,55182,Tom Kim,34.42%,347,1008,-0.014
2024,43,0,35461,Beau Hossler,34.40%,377,1096,-0.130
2024,44,0,51349,Nico Echavarria,34.36%,334,972,-0.078
2024,45,0,27649,Brandt Snedeker,34.35%,248,722,-0.048
2024,46,0,32367,Jorge Campillo,34.32%,197,574,-0.056
2024,47,0,60004,Jacob Bridgeman,34.25%,285,832,-0.088
