YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
2024,0,38991,Alejandro Tosti,"44' 11""",151355,281,12612.917,+20.00
2024,0,51894,Vince Whaley,"44' 11""",127312,236,10609.333,+16.00
2024,0,33653,Thomas Detry,"45' 1""",130494,241,10874.5,+16.00
2024,0,54591,Ben Griffin,"45' 1""",188694,349,15724.5,+3.00
2024,0,47806,Raul Pereda,"45' 1""",87657,162,7304.75,+22.00
2024,0,36799,Stephan Jaeger,"45' 2""",132365,244,11030.417,+24.00
2024,0,40250,Taylor Pendrith,"45' 2""",144163,266,12013.583,+12.00
2024,0,47679,Victor Perez,"45' 2""",124621,230,10385.083,+29.00
2024,0,52453,Nicolai Højgaard,"45' 3""",87908,162,7325.667,+19.00
2024,0,36699,Patrick Rodgers,"45' 3""",181493,334,15124.417,+3.00
2024,0,48319,Tom Whitney,"45' 3""",95594,176,7966.167,+36.00
2024,0,34076,Joel Dahmen,"45' 4""",127358,234,10613.167,+25.00
2024,0,26476,Chez Reavie,"45' 4""",98525,181,8210.417,+24.00
2024,0,55708,Hayden Buckley,"45' 5""",99781,183,8315.083,+38.00
2024,0,30163,Henrik Norlander,"45' 5""",83318,153,6943.167,+4.00
2024,0,39327,Ben Silverman,"45' 5""",133533,245,11127.75,E
2024,0,22371,Aaron Baddeley,"45' 6""",124567,228,10380.583,+29.00
2024,0,29936,Ryan Fox,"45' 6""",150032,275,12502.667,+25.00
2024,0,59095,Chris Gotterup,"45' 6""",166966,306,13913.833,-7.00
2024,0,46113,Ryan McCormick,"45' 7""",113222,207,9435.167,+17.00
2024,0,27349,Alex Noren,"45' 7""",111571,204,9297.583,-9.00
2024,0,54576,Patrick Fishburn,"45' 8""",126023,230,10501.917,+7.00
2024,0,24024,Zach Johnson,"45' 8""",78299,143,6524.917,+15.00
2024,0,27064,Jhonattan Vegas,"45' 8""",138742,253,11561.833,+7.00
2024,0,50497,Adrien Dumont de Chassart,"45' 9""",131702,240,10975.167,+46.00
2024,0,57362,Austin Eckroat,"45' 10""",108354,197,9029.5,+30.00
2024,0,58168,Davis Thompson,"45' 10""",145246,264,12103.833,+10.00
2024,0,12716,Charley Hoffman,"45' 11""",139315,253,11609.583,+37.00
2024,0,51766,Wyndham Clark,"46' 0""",131902,239,10991.833,E
2024,0,27936,Martin Laird,"46' 0""",118722,215,9893.5,+8.00
2024,0,27330,Josh Teater,"46' 0""",81671,148,6805.917,+20.00
2024,0,35532,Tom Hoge,"46' 1""",182351,330,15195.917,+17.00
2024,0,33948,Byeong Hun An,"46' 2""",152788,276,12732.333,-9.00
2024,0,51349,Nico Echavarria,"46' 2""",125694,227,10474.5,+26.00
2024,0,36871,Matt NeSmith,"46' 2""",118516,214,9876.333,+25.00
2024,0,47995,Davis Riley,"46' 2""",156720,283,13060.0,+23.00
2024,0,36326,David Lipsky,"46' 4""",110117,198,9176.417,+29.00
2024,0,29908,C.T. Pan,"46' 4""",95572,172,7964.333,+16.00
2024,0,60004,Jacob Bridgeman,"46' 5""",133562,240,11130.167,+9.00
2024,0,27129,Luke List,"46' 5""",144137,259,12011.417,+40.00
2024,0,47483,Will Zalatoris,"46' 5""",115360,207,9613.333,+27.00
2024,0,50188,S.H. Kim,"46' 6""",195924,351,16327.0,+25.00
2024,0,35617,Martin Trainer,"46' 6""",100486,180,8373.833,+11.00
2024,0,34098,Russell Henley,"46' 7""",98453,176,8204.417,+16.00
2024,0,55182,Tom Kim,"46' 7""",121315,217,10109.583,+9.00
2024,0,32791,K.H. Lee,"46' 7""",116305,208,9692.083,+17.00
2024,0,33408,Tyson Alexander,"46' 8""",145145,259,12095.417,+22.00
2024,0,33399,Adam Hadwin,"46' 8""",127078,227,10589.833,+36.00
2024,0,34256,Andrew Putnam,"46' 8""",132114,236,11009.5,+14.00
2024,0,57366,Cameron Young,"46' 8""",138767,248,11563.917,+5.00
2024,0,27770,Camilo Villegas,"46' 10""",107251,191,8937.583,+25.00
2024,0,47663,Kevin Dougherty,"46' 11""",118272,210,9856.0,+13.00
2024,0,59143,Mac Meissner,"46' 11""",127776,227,10648.0,+22.00
2024,0,54783,Dylan Wu,"46' 11""",142500,253,11875.0,+1.00
2024,0,29478,Kevin Kisner,"47' 1""",97170,172,8097.5,+33.00
2024,0,34466,Peter Malnati,"47' 2""",152323,269,12693.583,+45.00
2024,0,59442,Parker Coody,"47' 3""",111676,197,9306.333,+23.00
2024,0,46442,Maverick McNealy,"47' 3""",165078,291,13756.5,+12.00
2024,0,24502,Adam Scott,"47' 3""",125791,222,10482.583,-1.00
2024,0,52372,Cameron Champ,"47' 4""",106766,188,8897.167,+14.00
2024,0,28089,Jason Day,"47' 4""",113650,200,9470.833,-3.00
2024,0,49771,J.T. Poston,"47' 6""",134502,236,11208.5,+24.00
2024,0,45609,Tyler Duncan,"47' 8""",100141,175,8345.083,+22.00
2024,0,37378,Min Woo Lee,"47' 8""",127081,222,10590.083,+11.00
2024,0,49947,Taylor Moore,"47' 8""",185423,324,15451.917,-2.00
2024,0,48119,Ben Taylor,"47' 8""",130333,228,10861.083,+17.00
2024,0,32102,Rickie Fowler,"47' 9""",126004,220,10500.333,+18.00
2024,0,52215,Robert MacIntyre,"47' 9""",139860,244,11655.0,-5.00
2024,0,51287,Ryo Hisatsune,"47' 10""",122290,213,10190.833,+22.00
2024,0,29535,Brice Garnett,"47' 11""",62066,108,5172.167,+17.00
2024,0,46441,Robby Shelton,"47' 11""",134666,234,11222.167,+20.00
2024,0,40006,Erik van Rooyen,"47' 11""",146057,254,12171.417,+14.00
2024,0,33141,Keegan Bradley,"48' 0""",121529,211,10127.417,+27.00
2024,0,32070,Rafael Campos,"48' 0""",97382,169,8115.167,+18.00
2024,0,59836,Pierceson Coody,"48' 0""",145756,253,12146.333,+30.00
2024,0,45157,Cam Davis,"48' 0""",144683,251,12056.917,+35.00
2024,0,51070,Vincent Norrman,"48' 0""",92189,160,7682.417,+25.00
2024,0,35506,Mackenzie Hughes,"48' 1""",201817,350,16818.083,+5.00
2024,0,40115,Adam Svensson,"48' 1""",183370,318,15280.833,+23.00
2024,0,60067,Joe Highsmith,"48' 2""",132935,230,11077.917,+28.00
2024,0,27649,Brandt Snedeker,"48' 3""",116927,202,9743.917,+31.00
2024,0,30927,Brendon Todd,"48' 4""",147808,255,12317.333,+14.00
2024,0,28420,Ryan Brehm,"48' 5""",105740,182,8811.667,+29.00
2024,0,47993,Denny McCarthy,"48' 5""",148251,255,12354.25,+20.00
2024,0,48887,Matt Wallace,"48' 5""",130079,224,10839.917,+8.00
2024,0,33486,Roger Sloan,"48' 7""",117084,201,9757.0,+19.00
2024,0,51634,Sahith Theegala,"48' 8""",183335,314,15277.917,-3.00
2024,0,45522,Christiaan Bezuidenhout,"48' 9""",135802,232,11316.833,+36.00
2024,0,29420,Billy Horschel,"48' 9""",136856,234,11404.667,+10.00
2024,0,59866,Nick Dunlap,"48' 11""",135608,231,11300.667,+32.00
2024,0,39977,Max Homa,"48' 11""",152555,260,12712.917,+32.00
2024,0,25493,Nick Taylor,"48' 11""",144430,246,12035.833,+12.00
2024,0,23320,Ryan Palmer,"49' 1""",85337,145,7111.417,+14.00
2024,0,29221,Webb Simpson,"49' 2""",109084,185,9090.333,+27.00
2024,0,48081,Xander Schauffele,"49' 3""",140758,238,11729.833,E
2024,0,47347,Adam Schenk,"49' 4""",171625,290,14302.083,+27.00
2024,0,40098,Matt Fitzpatrick,"49' 5""",122194,206,10182.833,+21.00
2024,0,54628,Lee Hodges,"49' 6""",153379,258,12781.583,+47.00
2024,0,32333,Kevin Tway,"49' 7""",103576,174,8631.333,+19.00
2024,0,36884,Ben Kohles,"49' 9""",113345,190,9445.417,+48.00
2024,0,30911,Tommy Fleetwood,"49' 10""",96874,162,8072.833,+18.00
2024,0,51977,Max Greyserman,"49' 11""",141465,236,11788.75,-9.00
2024,0,47420,Jake Knapp,"49' 11""",154435,258,12869.583,+24.00
2024,0,28252,Seamus Power,"49' 11""",158618,265,13218.167,+20.00
2024,0,46414,Aaron Rai,"49' 11""",102970,172,8580.833,+6.00
2024,0,50525,Collin Morikawa,"50' 0""",102569,171,8547.417,+23.00
2024,0,26596,Ryan Moore,"50' 2""",109485,182,9123.75,+16.00
2024,0,55789,Taylor Montgomery,"50' 5""",136195,225,11349.583,+12.00
2024,0,34021,Bud Cauley,"50' 10""",112169,184,9347.417,+11.00
2024,0,22405,Justin Rose,"51' 2""",105615,172,8801.25,+22.00
2024,0,56630,Akshay Bhatia,"51' 7""",151576,245,12631.333,+15.00
2024,0,34099,Harris English,"52' 5""",145257,231,12104.75,+24.00
2024,0,49960,Sepp Straka,"53' 4""",110666,173,9222.167,+18.00
2023,0,39067,MJ Daffue,"38' 10""",144932,311,12077.667,+1.00
2023,0,32366,Kevin Chappell,"39' 0""",77202,165,6433.5,+1.00
2023,0,27974,Sung Kang,"39' 1""",72717,155,6059.75,+11.00
2023,0,39335,Kevin Roy,"39' 7""",106787,225,8898.917,+19.00
2023,0,24140,Sean O'Hair,"40' 6""",54407,112,4533.917,+6.00
2023,0,52955,Ludvig Åberg,"40' 7""",75554,155,6296.167,+6.00
2023,0,48084,Wesley Bryan,"40' 7""",65204,134,5433.667,+4.00
2023,0,46717,Viktor Hovland,"40' 9""",116978,239,9748.167,E
2023,0,30926,Chris Kirk,"40' 11""",128197,261,10683.083,+22.00
2023,0,48867,Matti Schmid,"41' 0""",104880,213,8740.0,-6.00
2023,0,19803,Ryan Armour,"41' 4""",88261,178,7355.083,+28.00
2023,0,39971,Sungjae Im,"41' 4""",148373,299,12364.417,+23.00
2023,0,25900,Lucas Glover,"41' 5""",123161,248,10263.417,+17.00
2023,0,33122,Russell Knox,"41' 7""",144343,289,12028.583,+43.00
2023,0,28237,Rory McIlroy,"41' 9""",135179,270,11264.917,+2.00
2023,0,46046,Scottie Scheffler,"41' 9""",136241,272,11353.417,-6.00
2023,0,46340,Alex Smalley,"41' 10""",176610,352,14717.5,+20.00
2023,0,49453,Trevor Cone,"41' 11""",144866,288,12072.167,+3.00
2023,0,22056,Cameron Percy,"41' 11""",85536,170,7128.0,-1.00
2023,0,25686,Jason Dufner,"42' 0""",133576,265,11131.333,+23.00
2023,0,30163,Henrik Norlander,"42' 0""",122582,243,10215.167,+18.00
2023,0,27214,Kevin Streelman,"42' 1""",170619,338,14218.25,+25.00
2023,0,51491,Brandon Matthews,"42' 4""",109216,215,9101.333,+21.00
2023,0,33141,Keegan Bradley,"42' 6""",114319,224,9526.583,+20.00
2023,0,29725,Tony Finau,"42' 6""",127496,250,10624.667,+7.00
2023,0,34563,Chesson Hadley,"42' 7""",152280,298,12690.0,+23.00
2023,0,39997,Corey Conners,"42' 9""",136054,265,11337.833,+11.00
2023,0,39975,Michael Kim,"42' 9""",143642,280,11970.167,+29.00
2023,0,47995,Davis Riley,"42' 9""",131367,256,10947.25,+23.00
2023,0,27129,Luke List,"42' 10""",178447,347,14870.583,+6.00
2023,0,27644,Brian Harman,"43' 0""",119277,231,9939.75,+2.00
2023,0,25818,Scott Piercy,"43' 0""",141882,275,11823.5,+18.00
2023,0,34610,Matthias Schwab,"43' 0""",158414,307,13201.167,+37.00
2023,0,55893,Sam Stevens,"43' 0""",159431,309,13285.917,+4.00
2023,0,45242,Kevin Yu,"43' 0""",94996,184,7916.333,+19.00
2023,0,55454,Carl Yuan,"43' 0""",153738,298,12811.5,+19.00
2023,0,54591,Ben Griffin,"43' 1""",196400,380,16366.667,+11.00
2023,0,34363,Tyrrell Hatton,"43' 1""",120913,234,10076.083,E
2023,0,51414,Brent Grant,"43' 2""",109752,212,9146.0,+37.00
2023,0,35879,Kelly Kraft,"43' 2""",144643,279,12053.583,+25.00
2023,0,51890,Greyson Sigg,"43' 2""",158078,305,13173.167,+30.00
2023,0,49766,Hank Lebioda,"43' 3""",83639,161,6969.917,+26.00
2023,0,26476,Chez Reavie,"43' 4""",152861,294,12738.417,+36.00
2023,0,53165,Doc Redman,"43' 4""",127818,246,10651.5,+24.00
2023,0,35450,Patrick Cantlay,"43' 5""",107758,207,8979.833,+2.00
2023,0,30927,Brendon Todd,"43' 5""",135409,260,11284.083,+21.00
2023,0,34076,Joel Dahmen,"43' 6""",128412,246,10701.0,+26.00
2023,0,23108,Matt Kuchar,"43' 7""",138994,266,11582.833,+16.00
2023,0,33410,Andrew Landry,"43' 7""",111816,214,9318.0,+36.00
2023,0,33204,Shane Lowry,"43' 7""",92564,177,7713.667,+12.00
2023,0,34098,Russell Henley,"43' 8""",99576,190,8298.0,+25.00
2023,0,48699,Callum Tarren,"43' 8""",204022,389,17001.833,+13.00
2023,0,39546,Keith Mitchell,"43' 9""",134333,256,11194.417,+32.00
2023,0,31560,Brian Stuard,"43' 9""",99662,190,8305.167,+32.00
2023,0,35617,Martin Trainer,"43' 9""",92327,176,7693.917,+7.00
2023,0,52513,Carson Young,"43' 10""",130980,249,10915.0,+30.00
2023,0,40162,Justin Lower,"43' 11""",158510,301,13209.167,+41.00
2023,0,37275,Sam Ryder,"43' 11""",188611,358,15717.583,+30.00
2023,0,31323,Gary Woodland,"43' 11""",151276,287,12606.333,+22.00
2023,0,52374,Brandon Wu,"43' 11""",174466,331,14538.833,+42.00
2023,0,40058,Zac Blair,"44' 2""",110201,208,9183.417,+36.00
2023,0,36871,Matt NeSmith,"44' 3""",160872,303,13406.0,+38.00
2023,0,32333,Kevin Tway,"44' 3""",199256,375,16604.667,+17.00
2023,0,52375,Doug Ghim,"44' 4""",128307,241,10692.25,+16.00
2023,0,31646,Emiliano Grillo,"44' 4""",162893,306,13574.417,+26.00
2023,0,23320,Ryan Palmer,"44' 4""",117481,221,9790.083,+23.00
2023,0,27963,Chris Stroud,"44' 4""",83505,157,6958.75,+12.00
2023,0,33448,Justin Thomas,"44' 4""",137790,259,11482.5,-1.00
2023,0,29970,Dylan Frittelli,"44' 5""",152962,287,12746.833,+57.00
2023,0,32448,James Hahn,"44' 5""",124646,234,10387.167,+19.00
2023,0,22405,Justin Rose,"44' 5""",100690,189,8390.833,+14.00
2023,0,39324,J.J. Spaun,"44' 5""",148099,278,12341.583,+31.00
2023,0,35901,Paul Haley II,"44' 6""",130250,244,10854.167,+53.00
2023,0,33597,Harry Higgs,"44' 6""",138908,260,11575.667,+34.00
2023,0,32640,Troy Merritt,"44' 6""",114911,215,9575.917,+25.00
2023,0,40098,Matt Fitzpatrick,"44' 7""",125703,235,10475.25,+8.00
2023,0,12716,Charley Hoffman,"44' 7""",121965,228,10163.75,+35.00
2023,0,47591,Eric Cole,"44' 8""",254466,475,21205.5,+7.00
2023,0,28775,Nate Lashley,"44' 8""",153184,286,12765.333,+26.00
2023,0,51997,Andrew Novak,"44' 8""",137628,257,11469.0,+19.00
2023,0,52411,Kyle Westmoreland,"44' 9""",165264,308,13772.0,+48.00
2023,0,37338,Zecheng Dou,"44' 10""",187600,349,15633.333,+53.00
2023,0,39954,Cody Gribble,"44' 10""",107544,200,8962.0,+24.00
2023,0,32839,Hideki Matsuyama,"44' 10""",135124,251,11260.333,+23.00
2023,0,59018,Ryan Gerard,"44' 11""",102370,190,8530.833,+11.00
2023,0,24925,Jonathan Byrd,"45' 0""",76202,141,6350.167,+10.00
2023,0,46970,Jon Rahm,"45' 0""",124144,230,10345.333,+19.00
2023,0,27095,Nick Watney,"45' 0""",135042,250,11253.5,+45.00
2023,0,33399,Adam Hadwin,"45' 1""",151020,279,12585.0,+23.00
2023,0,54628,Lee Hodges,"45' 1""",172599,319,14383.25,+28.00
2023,0,32791,K.H. Lee,"45' 2""",171193,316,14266.083,+10.00
2023,0,28089,Jason Day,"45' 3""",111875,206,9322.917,+14.00
2023,0,24024,Zach Johnson,"45' 3""",96603,178,8050.25,+25.00
2023,0,32757,Patton Kizzire,"45' 3""",179726,331,14977.167,+37.00
2023,0,26596,Ryan Moore,"45' 3""",110220,203,9185.0,+24.00
2023,0,30692,Scott Stallings,"45' 3""",136359,251,11363.25,+10.00
2023,0,57975,Harry Hall,"45' 4""",182779,336,15231.583,+12.00
2023,0,35461,Beau Hossler,"45' 5""",201004,369,16750.333,+8.00
2023,0,25493,Nick Taylor,"45' 5""",156914,288,13076.167,+30.00
2023,0,47988,Nick Hardy,"45' 6""",199415,365,16617.917,+31.00
2023,0,27554,Scott Harrington,"45' 6""",147922,271,12326.833,+29.00
2023,0,34431,Robert Streb,"45' 6""",140994,258,11749.5,+19.00
2023,0,47079,Harrison Endycott,"45' 7""",137841,252,11486.75,+27.00
2023,0,56762,Will Gordon,"45' 8""",184129,336,15344.083,+36.00
2023,0,47983,Chad Ramey,"45' 9""",179469,327,14955.75,+33.00
2023,0,51349,Nico Echavarria,"45' 10""",115472,210,9622.667,+43.00
2023,0,46441,Robby Shelton,"45' 10""",185758,338,15479.833,+29.00
2023,0,54783,Dylan Wu,"45' 10""",162277,295,13523.083,+29.00
2023,0,46601,Trey Mullinax,"45' 11""",157077,285,13089.75,+24.00
2023,0,29221,Webb Simpson,"45' 11""",94153,171,7846.083,+19.00
2023,0,33948,Byeong Hun An,"46' 0""",220662,400,18388.5,+28.00
2023,0,50525,Collin Morikawa,"46' 0""",96102,174,8008.5,+28.00
2023,0,48119,Ben Taylor,"46' 0""",222890,404,18574.167,+35.00
2023,0,32102,Rickie Fowler,"46' 1""",156378,283,13031.5,+21.00
2023,0,49298,Kramer Hickok,"46' 1""",164921,298,13743.417,+38.00
2023,0,36801,Mark Hubbard,"46' 1""",180713,327,15059.417,+29.00
2023,0,27936,Martin Laird,"46' 1""",126120,228,10510.0,+21.00
2023,0,49947,Taylor Moore,"46' 1""",175393,317,14616.083,+29.00
2023,0,34255,Joseph Bramlett,"46' 2""",168948,305,14079.0,+25.00
2023,0,35506,Mackenzie Hughes,"46' 2""",174945,316,14578.75,+19.00
2023,0,20229,Stewart Cink,"46' 3""",153710,277,12809.167,+24.00
2023,0,51766,Wyndham Clark,"46' 3""",193803,349,16150.25,+11.00
2023,0,58696,Peter Kuest,"46' 3""",75524,136,6293.667,-2.00
2023,0,49960,Sepp Straka,"46' 3""",130988,236,10915.667,+21.00
2023,0,32139,Danny Willett,"46' 3""",112705,203,9392.083,+33.00
2023,0,32816,Satoshi Kodaira,"46' 4""",60091,108,5007.583,+10.00
2023,0,33413,Ben Martin,"46' 4""",163995,295,13666.25,+18.00
2023,0,36724,Augusto Núñez,"46' 4""",140055,252,11671.25,-5.00
2023,0,40250,Taylor Pendrith,"46' 4""",198646,357,16553.833,+14.00
2023,0,45157,Cam Davis,"46' 6""",175684,315,14640.333,+8.00
2023,0,40115,Adam Svensson,"46' 6""",208000,373,17333.333,+39.00
2023,0,36699,Patrick Rodgers,"46' 7""",214017,383,17834.75,+48.00
2023,0,34409,David Lingmerth,"46' 9""",111144,198,9262.0,+44.00
2023,0,51950,Max McGreevy,"46' 9""",151564,270,12630.333,+61.00
2023,0,51070,Vincent Norrman,"46' 10""",144889,258,12074.083,+16.00
2023,0,47347,Adam Schenk,"46' 10""",231697,412,19308.083,+16.00
2023,0,58967,Trevor Werbylo,"46' 10""",150557,268,12546.417,+19.00
2023,0,34466,Peter Malnati,"46' 11""",204513,363,17042.75,+34.00
2023,0,48887,Matt Wallace,"46' 11""",153199,272,12766.583,+25.00
2023,0,47128,Richy Werenski,"46' 11""",162598,289,13549.833,+42.00
2023,0,52453,Nicolai Hojgaard,"47' 0""",88480,157,7373.333,+12.00
2023,0,40006,Erik van Rooyen,"47' 0""",136595,242,11382.917,+30.00
2023,0,56630,Akshay Bhatia,"47' 1""",114607,203,9550.583,+21.00
2023,0,31577,Tano Goya,"47' 1""",144628,256,12052.333,+21.00
2023,0,36326,David Lipsky,"47' 1""",163818,290,13651.5,+31.00
2023,0,55182,Tom Kim,"47' 2""",131770,233,10980.833,+23.00
2023,0,50095,Austin Smotherman,"47' 2""",173260,306,14438.333,+48.00
2023,0,25632,Jimmy Walker,"47' 2""",189132,334,15761.0,+21.00
2023,0,57366,Cameron Young,"47' 2""",136473,241,11372.75,+37.00
2023,0,28252,Seamus Power,"47' 3""",125265,221,10438.75,+14.00
2023,0,47993,Denny McCarthy,"47' 4""",174444,307,14537.0,+29.00
2023,0,29289,S.Y. Noh,"47' 4""",103874,183,8656.167,+27.00
2023,0,37455,Si Woo Kim,"47' 5""",142811,251,11900.917,+34.00
2023,0,35532,Tom Hoge,"47' 6""",175699,308,14641.583,+19.00
2023,0,55789,Taylor Montgomery,"47' 6""",200496,352,16708.0,+23.00
2023,0,22371,Aaron Baddeley,"47' 8""",141935,248,11827.917,+8.00
2023,0,33653,Thomas Detry,"47' 8""",144152,252,12012.667,+17.00
2023,0,58168,Davis Thompson,"47' 8""",200365,350,16697.083,+52.00
2023,0,28420,Ryan Brehm,"47' 9""",190366,332,15863.833,+24.00
2023,0,50188,S.H. Kim,"47' 9""",218380,381,18198.333,+7.00
2023,0,54421,Garrick Higgo,"47' 10""",197916,345,16493.0,+22.00
2023,0,29420,Billy Horschel,"47' 10""",98180,171,8181.667,+26.00
2023,0,33408,Tyson Alexander,"47' 11""",175857,306,14654.75,+44.00
2023,0,31557,Jim Herman,"47' 11""",111042,193,9253.5,+36.00
2023,0,36799,Stephan Jaeger,"47' 11""",252310,439,21025.833,+11.00
2023,0,34046,Jordan Spieth,"47' 11""",140251,244,11687.583,+18.00
2023,0,24502,Adam Scott,"48' 0""",123295,214,10274.583,+6.00
2023,0,27349,Alex Noren,"48' 1""",174914,303,14576.167,+32.00
2023,0,52372,Cameron Champ,"48' 2""",133552,231,11129.333,+18.00
2023,0,50493,Justin Suh,"48' 2""",184249,319,15354.083,+35.00
2023,0,55708,Hayden Buckley,"48' 3""",118085,204,9840.417,+26.00
2023,0,29908,C.T. Pan,"48' 3""",79938,138,6661.5,+18.00
2023,0,46435,Austin Cook,"48' 4""",107829,186,8985.75,+18.00
2023,0,57362,Austin Eckroat,"48' 6""",146108,251,12175.667,+32.00
2023,0,34099,Harris English,"48' 7""",161942,278,13495.167,+27.00
2023,0,35310,Lanto Griffin,"48' 9""",91211,156,7600.917,+22.00
