YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
2024,0,32640,Troy Merritt,"39' 6""",84869,179,7072.417,+6.00
2024,0,37275,Sam Ryder,"40' 2""",99673,207,8306.083,+11.00
2024,0,39546,Keith Mitchell,"40' 3""",149158,309,12429.833,+14.00
2024,0,50484,Hayden Springer,"40' 4""",113363,234,9446.917,E
2024,0,50493,Justin Suh,"40' 8""",98180,201,8181.667,+12.00
2024,0,34563,Chesson Hadley,"41' 1""",110475,224,9206.25,+1.00
2024,0,34587,Chan Kim,"41' 2""",112648,228,9387.333,+1.00
2024,0,47504,Sam Burns,"41' 6""",97173,195,8097.75,+5.00
2024,0,48117,Kurt Kitayama,"41' 9""",123223,246,10268.583,-1.00
2024,0,57900,Chandler Phillips,"42' 0""",135028,268,11252.333,+30.00
2024,0,34255,Joseph Bramlett,"42' 1""",150000,297,12500.0,+5.00
2024,0,60767,Blaine Hale Jr.,"42' 1""",86405,171,7200.417,+19.00
2024,0,30926,Chris Kirk,"42' 1""",95872,190,7989.333,+5.00
2024,0,51890,Greyson Sigg,"42' 1""",101581,201,8465.083,+19.00
2024,0,52666,Sami Valimaki,"42' 2""",103783,205,8648.583,+26.00
2024,0,32366,Kevin Chappell,"42' 3""",74532,147,6211.0,+9.00
2024,0,39971,Sungjae Im,"42' 3""",133932,264,11161.0,+8.00
2024,0,46340,Alex Smalley,"42' 7""",111490,218,9290.833,+17.00
2024,0,39324,J.J. Spaun,"42' 8""",134736,263,11228.0,+22.00
2024,0,25900,Lucas Glover,"42' 10""",107873,210,8989.417,+10.00
2024,0,35310,Lanto Griffin,"43' 0""",113937,221,9494.75,+18.00
2024,0,34374,Erik Barnes,"43' 3""",88305,170,7358.75,+24.00
2024,0,52514,Trace Crowe,"43' 3""",100108,193,8342.333,+17.00
2024,0,55893,Sam Stevens,"43' 4""",158478,305,13206.5,-9.00
2024,0,29725,Tony Finau,"43' 5""",129117,248,10759.75,-12.00
2024,0,33204,Shane Lowry,"43' 5""",80761,155,6730.083,+11.00
2024,0,55454,Carl Yuan,"43' 5""",103167,198,8597.25,+28.00
2024,0,47988,Nick Hardy,"43' 7""",155889,298,12990.75,+16.00
2024,0,39975,Michael Kim,"43' 7""",131848,252,10987.333,+24.00
2024,0,39997,Corey Conners,"43' 8""",127907,244,10658.917,+6.00
2024,0,46046,Scottie Scheffler,"43' 8""",92188,176,7682.333,-9.00
2024,0,27214,Kevin Streelman,"43' 8""",101582,194,8465.167,+13.00
2024,0,54421,Garrick Higgo,"43' 9""",125500,239,10458.333,+12.00
2024,0,23108,Matt Kuchar,"43' 10""",106733,203,8894.417,+15.00
2024,0,40026,Daniel Berger,"43' 11""",88061,167,7338.417,+16.00
2024,0,48084,Wesley Bryan,"43' 11""",75866,144,6322.167,-9.00
2024,0,32367,Jorge Campillo,"43' 11""",89525,170,7460.417,+8.00
2024,0,52375,Doug Ghim,"43' 11""",121657,231,10138.083,-1.00
2024,0,37455,Si Woo Kim,"43' 11""",121278,230,10106.5,+7.00
2024,0,28237,Rory McIlroy,"43' 11""",110712,210,9226.0,-5.00
2024,0,33448,Justin Thomas,"43' 11""",120258,228,10021.5,+3.00
2024,0,56149,Wilson Furr,"44' 0""",100238,190,8353.167,+17.00
2024,0,28775,Nate Lashley,"44' 0""",115665,219,9638.75,+8.00
2024,0,32839,Hideki Matsuyama,"44' 0""",125082,237,10423.5,+13.00
2024,0,48867,Matti Schmid,"44' 0""",126806,240,10567.167,+24.00
2024,0,50095,Austin Smotherman,"44' 1""",73059,138,6088.25,+9.00
2024,0,52955,Ludvig Åberg,"44' 2""",114433,216,9536.083,+7.00
2024,0,34046,Jordan Spieth,"44' 2""",101713,192,8476.083,-2.00
2024,0,45242,Kevin Yu,"44' 2""",135782,256,11315.167,+15.00
2024,0,40058,Zac Blair,"44' 3""",109342,206,9111.833,+9.00
2024,0,31646,Emiliano Grillo,"44' 3""",122759,231,10229.917,+24.00
2024,0,33968,Thorbjørn Olesen,"44' 3""",88100,166,7341.667,-5.00
2024,0,46717,Viktor Hovland,"44' 4""",97310,183,8109.167,-4.00
2024,0,37212,Paul Barjon,"44' 5""",94849,178,7904.083,+16.00
2024,0,35461,Beau Hossler,"44' 5""",149722,281,12476.833,+12.00
2024,0,51997,Andrew Novak,"44' 5""",148287,278,12357.25,+22.00
2024,0,48153,Matthieu Pavon,"44' 5""",80509,151,6709.083,E
2024,0,57975,Harry Hall,"44' 7""",148655,278,12387.917,-16.00
2024,0,40162,Justin Lower,"44' 7""",160923,301,13410.25,+14.00
2024,0,47983,Chad Ramey,"44' 7""",114920,215,9576.667,+17.00
2024,0,52513,Carson Young,"44' 7""",113481,212,9456.75,+25.00
2024,0,35450,Patrick Cantlay,"44' 8""",104972,196,8747.667,E
2024,0,27644,Brian Harman,"44' 8""",121646,227,10137.167,+23.00
2024,0,51696,Rico Hoey,"44' 8""",127007,237,10583.917,+18.00
2024,0,27139,David Skinns,"44' 9""",157197,293,13099.75,+26.00
2024,0,31323,Gary Woodland,"44' 9""",153581,286,12798.417,+23.00
2024,0,52374,Brandon Wu,"44' 9""",113298,211,9441.5,+14.00
2024,0,36801,Mark Hubbard,"44' 10""",144268,268,12022.333,+29.00
2024,0,32757,Patton Kizzire,"44' 10""",100577,187,8381.417,+4.00
2024,0,48699,Callum Tarren,"44' 10""",150570,280,12547.5,+31.00
2024,0,47591,Eric Cole,"44' 11""",199251,370,16604.25,+37.00
