YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF CUTS
2024,1,0,39997,Corey Conners,23
2024,2,0,48081,Xander Schauffele,22
2024,3,0,46046,Scottie Scheffler,19
2024,4,0,50525,Collin Morikawa,17
2024,5,0,46414,Aaron Rai,14
2024,6,0,27644,Brian Harman,13
2024,6,0,51696,Rico Hoey,13
2024,8,0,34098,Russell Henley,12
2024,9,0,51977,Max Greyserman,11
2024,9,0,40250,Taylor Pendrith,11
2024,9,0,58168,Davis Thompson,11
2024,12,0,35506,Mackenzie Hughes,10
2024,13,0,47504,Sam Burns,9
2024,13,0,35310,Lanto Griffin,9
2024,13,0,39971,Sungjae Im,9
2024,13,0,24502,Adam Scott,9
2024,17,0,57366,Cameron Young,8
2024,18,0,40098,Matt Fitzpatrick,7
2024,18,0,47420,Jake Knapp,7
2024,18,0,55893,Sam Stevens,7
2024,18,0,33448,Justin Thomas,7
2024,22,0,40026,Daniel Berger,6
2024,22,0,34255,Joseph Bramlett,6
2024,22,0,35450,Patrick Cantlay,6
2024,22,0,57362,Austin Eckroat,6
2024,22,0,25900,Lucas Glover,6
2024,22,0,60067,Joe Highsmith,6
2024,22,0,51634,Sahith Theegala,6
2024,22,0,51894,Vince Whaley,6
2024,30,0,33141,Keegan Bradley,5
2024,30,0,28089,Jason Day,5
2024,30,0,31646,Emiliano Grillo,5
2024,30,0,29420,Billy Horschel,5
2024,30,0,35461,Beau Hossler,5
2024,30,0,32839,Hideki Matsuyama,5
2024,30,0,46442,Maverick McNealy,5
2024,30,0,36699,Patrick Rodgers,5
2024,38,0,52955,Ludvig Åberg,4
2024,38,0,33948,Byeong Hun An,4
2024,38,0,45522,Christiaan Bezuidenhout,4
2024,38,0,51349,Nico Echavarria,4
2024,38,0,34099,Harris English,4
2024,38,0,29725,Tony Finau,4
2024,38,0,54576,Patrick Fishburn,4
2024,38,0,32102,Rickie Fowler,4
2024,38,0,29936,Ryan Fox,4
2024,38,0,54591,Ben Griffin,4
2024,38,0,57975,Harry Hall,4
2024,38,0,54421,Garrick Higgo,4
2024,38,0,51287,Ryo Hisatsune,4
2024,38,0,36801,Mark Hubbard,4
2024,38,0,39975,Michael Kim,4
2024,38,0,36689,Brooks Koepka,4
2024,38,0,47993,Denny McCarthy,4
2024,38,0,27349,Alex Noren,4
2024,38,0,48153,Matthieu Pavon,4
2024,38,0,49771,J.T. Poston,4
