YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
2024,0,46046,Scottie Scheffler,4.88,366,75
2024,0,57975,Harry Hall,4.52,375,83
2024,0,39546,Keith Mitchell,4.49,382,85
2024,0,60004,Jacob Bridgeman,4.43,363,82
2024,0,47504,Sam Burns,4.42,340,77
2024,0,60067,Joe Highsmith,4.39,325,74
2024,0,51977,Max Greyserman,4.37,354,81
2024,0,39975,Michael Kim,4.36,371,85
2024,0,40250,Taylor Pendrith,4.35,344,79
2024,0,48084,Wesley Bryan,4.34,217,50
2024,0,32757,Patton Kizzire,4.34,282,65
2024,0,50525,Collin Morikawa,4.34,343,79
2024,0,48081,Xander Schauffele,4.33,359,83
2024,0,52514,Trace Crowe,4.32,307,71
2024,0,40162,Justin Lower,4.32,436,101
2024,0,59866,Nick Dunlap,4.31,306,71
2024,0,12716,Charley Hoffman,4.29,313,73
2024,0,46717,Viktor Hovland,4.28,244,57
2024,0,57900,Chandler Phillips,4.28,372,87
2024,0,39971,Sungjae Im,4.26,388,91
2024,0,51766,Wyndham Clark,4.25,302,71
2024,0,29725,Tony Finau,4.25,353,83
2024,0,46442,Maverick McNealy,4.24,403,95
2024,0,37275,Sam Ryder,4.24,335,79
2024,0,51349,Nico Echavarria,4.23,389,92
2024,0,35532,Tom Hoge,4.23,444,105
2024,0,27064,Jhonattan Vegas,4.23,317,75
2024,0,52513,Carson Young,4.23,381,90
2024,0,35461,Beau Hossler,4.22,376,89
2024,0,34587,Chan Kim,4.21,354,84
2024,0,50484,Hayden Springer,4.21,316,75
2024,0,33948,Byeong Hun An,4.2,315,75
2024,0,33448,Justin Thomas,4.2,298,71
2024,0,48867,Matti Schmid,4.19,339,81
2024,0,55893,Sam Stevens,4.19,427,102
2024,0,51894,Vince Whaley,4.18,318,76
2024,0,52955,Ludvig Åberg,4.16,312,75
2024,0,51696,Rico Hoey,4.16,362,87
2024,0,59836,Pierceson Coody,4.15,336,81
2024,0,36799,Stephan Jaeger,4.14,344,83
2024,0,51634,Sahith Theegala,4.14,385,93
2024,0,54591,Ben Griffin,4.13,479,116
2024,0,50188,S.H. Kim,4.13,446,108
2024,0,49771,J.T. Poston,4.13,368,89
2024,0,58168,Davis Thompson,4.13,388,94
2024,0,30163,Henrik Norlander,4.12,272,66
2024,0,51997,Andrew Novak,4.12,354,86
2024,0,54576,Patrick Fishburn,4.11,300,73
2024,0,36801,Mark Hubbard,4.11,423,103
2024,0,40006,Erik van Rooyen,4.11,341,83
2024,0,33653,Thomas Detry,4.1,287,70
2024,0,55182,Tom Kim,4.1,336,82
2024,0,30926,Chris Kirk,4.1,332,81
2024,0,39324,J.J. Spaun,4.09,327,80
2024,0,28089,Jason Day,4.08,298,73
