YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,TOTAL HOLES,TOTAL RTP
2024,0,46442,Maverick McNealy,-1.000,1,-1.00
2024,0,51349,Nico Echavarria,E,1,E
2024,0,27644,Brian Harman,E,1,E
2024,0,32839,Hideki Matsuyama,E,1,E
2024,0,47347,Adam Schenk,E,1,E
2023,0,48084,Wesley Bryan,-.208,24,-5.00
2023,0,57975,Harry Hall,-.167,36,-6.00
2023,0,48887,Matt Wallace,-.162,37,-6.00
2023,0,30692,Scott Stallings,-.160,25,-4.00
2023,0,31557,Jim Herman,-.156,32,-5.00
2023,0,32816,Satoshi Kodaira,-.136,22,-3.00
2023,0,31323,Gary Woodland,-.128,39,-5.00
2023,0,54421,Garrick Higgo,-.113,53,-6.00
2023,0,52453,Nicolai Hojgaard,-.111,9,-1.00
2023,0,33141,Keegan Bradley,-.100,30,-3.00
2023,0,27349,Alex Noren,-.098,41,-4.00
2023,0,39997,Corey Conners,-.097,31,-3.00
2023,0,47591,Eric Cole,-.094,53,-5.00
2023,0,37338,Zecheng Dou,-.093,43,-4.00
2023,0,34363,Tyrrell Hatton,-.091,44,-4.00
2023,0,24140,Sean O'Hair,-.091,22,-2.00
2023,0,45522,Christiaan Bezuidenhout,-.089,45,-4.00
2023,0,48081,Xander Schauffele,-.083,36,-3.00
2023,0,46435,Austin Cook,-.082,49,-4.00
2023,0,22405,Justin Rose,-.079,38,-3.00
2023,0,34466,Peter Malnati,-.078,51,-4.00
2023,0,22371,Aaron Baddeley,-.077,39,-3.00
2023,0,39954,Cody Gribble,-.077,26,-2.00
2023,0,55182,Tom Kim,-.077,39,-3.00
2023,0,34098,Russell Henley,-.075,40,-3.00
2023,0,23320,Ryan Palmer,-.069,29,-2.00
2023,0,33597,Harry Higgs,-.068,44,-3.00
2023,0,34610,Matthias Schwab,-.068,44,-3.00
2023,0,39058,Lucas Herbert,-.067,15,-1.00
2023,0,33204,Shane Lowry,-.067,15,-1.00
2023,0,35532,Tom Hoge,-.065,46,-3.00
2023,0,36871,Matt NeSmith,-.065,46,-3.00
2023,0,39335,Kevin Roy,-.063,32,-2.00
2023,0,37275,Sam Ryder,-.063,48,-3.00
2023,0,49947,Taylor Moore,-.059,51,-3.00
2023,0,46441,Robby Shelton,-.057,53,-3.00
2023,0,54591,Ben Griffin,-.054,56,-3.00
2023,0,52955,Ludvig Åberg,-.053,19,-1.00
2023,0,39975,Michael Kim,-.051,39,-2.00
2023,0,36326,David Lipsky,-.051,39,-2.00
2023,0,47079,Harrison Endycott,-.050,40,-2.00
2023,0,56762,Will Gordon,-.049,41,-2.00
2023,0,40162,Justin Lower,-.049,61,-3.00
2023,0,28089,Jason Day,-.048,42,-2.00
2023,0,25900,Lucas Glover,-.048,63,-3.00
2023,0,51634,Sahith Theegala,-.048,42,-2.00
2023,0,27554,Scott Harrington,-.043,46,-2.00
2023,0,39971,Sungjae Im,-.043,46,-2.00
2023,0,40115,Adam Svensson,-.042,48,-2.00
2023,0,47988,Nick Hardy,-.041,49,-2.00
2023,0,26596,Ryan Moore,-.041,49,-2.00
2023,0,47995,Davis Riley,-.041,49,-2.00
2023,0,39977,Max Homa,-.038,26,-1.00
2023,0,28237,Rory McIlroy,-.037,27,-1.00
2023,0,31646,Emiliano Grillo,-.035,57,-2.00
2023,0,35461,Beau Hossler,-.034,58,-2.00
2023,0,46601,Trey Mullinax,-.032,31,-1.00
2023,0,36699,Patrick Rodgers,-.032,63,-2.00
2023,0,46046,Scottie Scheffler,-.031,32,-1.00
2023,0,32662,Michael Gligic,-.030,33,-1.00
2023,0,35879,Kelly Kraft,-.030,33,-1.00
2023,0,32757,Patton Kizzire,-.029,34,-1.00
2023,0,40006,Erik van Rooyen,-.029,35,-1.00
2023,0,56630,Akshay Bhatia,-.028,36,-1.00
2023,0,45157,Cam Davis,-.027,37,-1.00
2023,0,51349,Nico Echavarria,-.027,37,-1.00
2023,0,48117,Kurt Kitayama,-.027,37,-1.00
2023,0,47504,Sam Burns,-.026,38,-1.00
2023,0,34046,Jordan Spieth,-.026,38,-1.00
2023,0,29725,Tony Finau,-.025,40,-1.00
2023,0,48699,Callum Tarren,-.024,41,-1.00
2023,0,32139,Danny Willett,-.024,41,-1.00
2023,0,46717,Viktor Hovland,-.023,44,-1.00
2023,0,49960,Sepp Straka,-.022,45,-1.00
2023,0,35449,Adam Long,-.021,48,-1.00
2023,0,27644,Brian Harman,-.020,51,-1.00
2023,0,46414,Aaron Rai,-.020,49,-1.00
2023,0,48119,Ben Taylor,-.020,50,-1.00
2023,0,34076,Joel Dahmen,-.019,54,-1.00
2023,0,33653,Thomas Detry,-.019,52,-1.00
2023,0,47993,Denny McCarthy,-.018,57,-1.00
2023,0,25493,Nick Taylor,-.018,57,-1.00
2023,0,30927,Brendon Todd,-.018,56,-1.00
2023,0,52374,Brandon Wu,-.018,57,-1.00
2023,0,39067,MJ Daffue,-.017,58,-1.00
2023,0,33948,Byeong Hun An,E,57,E
2023,0,55708,Hayden Buckley,E,40,E
2023,0,20229,Stewart Cink,E,15,E
2023,0,57362,Austin Eckroat,E,39,E
2023,0,29535,Brice Garnett,E,40,E
2023,0,59018,Ryan Gerard,E,29,E
2023,0,34563,Chesson Hadley,E,44,E
2023,0,33399,Adam Hadwin,E,33,E
2023,0,29420,Billy Horschel,E,21,E
2023,0,33122,Russell Knox,E,57,E
2023,0,27936,Martin Laird,E,32,E
2023,0,27129,Luke List,E,41,E
2023,0,51491,Brandon Matthews,E,25,E
2023,0,31202,William McGirt,E,25,E
2023,0,55789,Taylor Montgomery,E,39,E
2023,0,51070,Vincent Norrman,E,40,E
2023,0,51997,Andrew Novak,E,41,E
2023,0,29908,C.T. Pan,E,27,E
2023,0,22056,Cameron Percy,E,31,E
2023,0,28252,Seamus Power,E,39,E
2023,0,53165,Doc Redman,E,37,E
2023,0,58168,Davis Thompson,E,39,E
2023,0,52513,Carson Young,E,46,E
2023,0,50188,S.H. Kim,+.016,62,+1.00
2023,0,47983,Chad Ramey,+.016,62,+1.00
2023,0,51890,Greyson Sigg,+.016,64,+1.00
2023,0,32791,K.H. Lee,+.019,52,+1.00
2023,0,36801,Mark Hubbard,+.020,50,+1.00
2023,0,28420,Ryan Brehm,+.021,47,+1.00
2023,0,46340,Alex Smalley,+.021,48,+1.00
2023,0,23108,Matt Kuchar,+.022,46,+1.00
2023,0,36799,Stephan Jaeger,+.023,44,+1.00
2023,0,51950,Max McGreevy,+.024,42,+1.00
2023,0,34409,David Lingmerth,+.026,39,+1.00
2023,0,32839,Hideki Matsuyama,+.026,38,+1.00
2023,0,36724,Augusto Núñez,+.027,37,+1.00
2023,0,25632,Jimmy Walker,+.028,36,+1.00
2023,0,47347,Adam Schenk,+.029,68,+2.00
2023,0,54783,Dylan Wu,+.029,34,+1.00
2023,0,35506,Mackenzie Hughes,+.031,32,+1.00
2023,0,46442,Maverick McNealy,+.031,32,+1.00
2023,0,32448,James Hahn,+.032,31,+1.00
2023,0,58967,Trevor Werbylo,+.033,30,+1.00
2023,0,40058,Zac Blair,+.034,29,+1.00
2023,0,24925,Jonathan Byrd,+.034,29,+1.00
2023,0,32640,Troy Merritt,+.034,58,+2.00
2023,0,29221,Webb Simpson,+.036,28,+1.00
2023,0,33448,Justin Thomas,+.036,28,+1.00
2023,0,24024,Zach Johnson,+.038,26,+1.00
2023,0,32333,Kevin Tway,+.038,52,+2.00
2023,0,24502,Adam Scott,+.045,22,+1.00
2023,0,54628,Lee Hodges,+.046,65,+3.00
2023,0,48867,Matti Schmid,+.047,43,+2.00
2023,0,31577,Tano Goya,+.048,42,+2.00
2023,0,37455,Si Woo Kim,+.048,42,+2.00
2023,0,45609,Tyler Duncan,+.050,40,+2.00
2023,0,57366,Cameron Young,+.050,40,+2.00
2023,0,52375,Doug Ghim,+.051,39,+2.00
2023,0,28775,Nate Lashley,+.051,59,+3.00
2023,0,50525,Collin Morikawa,+.051,39,+2.00
2023,0,30163,Henrik Norlander,+.053,57,+3.00
2023,0,19803,Ryan Armour,+.054,37,+2.00
2023,0,49453,Trevor Cone,+.054,37,+2.00
2023,0,29970,Dylan Frittelli,+.054,37,+2.00
2023,0,49298,Kramer Hickok,+.054,37,+2.00
2023,0,32102,Rickie Fowler,+.056,36,+2.00
2023,0,25818,Scott Piercy,+.061,49,+3.00
2023,0,25686,Jason Dufner,+.063,48,+3.00
2023,0,31560,Brian Stuard,+.063,32,+2.00
2023,0,39324,J.J. Spaun,+.064,47,+3.00
2023,0,34255,Joseph Bramlett,+.067,30,+2.00
