YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
2024,1,0,35506,Mackenzie Hughes,97.92%,94,96
2024,2,0,46414,Aaron Rai,96.67%,58,60
2024,3,0,31323,Gary Woodland,96.49%,55,57
2024,4,0,55789,Taylor Montgomery,96.15%,50,52
2024,5,0,52215,Robert MacIntyre,96.10%,74,77
2024,6,0,32757,Patton Kizzire,96.08%,49,51
2024,7,0,54783,Dylan Wu,95.77%,68,71
2024,8,0,35617,Martin Trainer,95.35%,41,43
2024,9,0,34374,Erik Barnes,95.24%,40,42
2024,9,0,28089,Jason Day,95.24%,60,63
2024,11,0,27644,Brian Harman,94.59%,70,74
2024,12,0,33141,Keegan Bradley,94.52%,69,73
2024,13,0,52955,Ludvig Åberg,94.44%,68,72
2024,13,0,45609,Tyler Duncan,94.44%,51,54
2024,15,0,50095,Austin Smotherman,93.88%,46,49
2024,16,0,54576,Patrick Fishburn,93.62%,44,47
2024,17,0,29420,Billy Horschel,93.55%,58,62
2024,18,0,22371,Aaron Baddeley,93.44%,57,61
2024,19,0,33968,Thorbjørn Olesen,93.02%,40,43
2024,20,0,59095,Chris Gotterup,92.98%,53,57
2024,21,0,26596,Ryan Moore,92.96%,66,71
2024,22,0,32333,Kevin Tway,92.86%,39,42
2024,23,0,51890,Greyson Sigg,92.73%,51,55
2024,24,0,47993,Denny McCarthy,92.59%,75,81
2024,25,0,46441,Robby Shelton,92.41%,73,79
2024,26,0,52375,Doug Ghim,92.31%,72,78
2024,27,0,51997,Andrew Novak,92.06%,58,63
2024,28,0,32366,Kevin Chappell,92.00%,46,50
2024,29,0,32839,Hideki Matsuyama,91.89%,68,74
2024,30,0,51766,Wyndham Clark,91.49%,43,47
2024,30,0,55893,Sam Stevens,91.49%,86,94
2024,32,0,29478,Kevin Kisner,91.11%,41,45
2024,33,0,51696,Rico Hoey,91.04%,61,67
2024,34,0,49771,J.T. Poston,90.79%,69,76
2024,35,0,24502,Adam Scott,90.77%,59,65
2024,36,0,57975,Harry Hall,90.70%,78,86
2024,37,0,58168,Davis Thompson,90.59%,77,85
2024,38,0,51894,Vince Whaley,90.57%,48,53
2024,39,0,52372,Cameron Champ,90.48%,38,42
2024,39,0,33399,Adam Hadwin,90.48%,57,63
2024,39,0,48887,Matt Wallace,90.48%,38,42
2024,42,0,57900,Chandler Phillips,90.43%,104,115
2024,43,0,60004,Jacob Bridgeman,90.38%,47,52
2024,44,0,33486,Roger Sloan,90.32%,56,62
2024,45,0,47483,Will Zalatoris,90.14%,64,71
2024,46,0,32102,Rickie Fowler,90.00%,63,70
2024,46,0,48081,Xander Schauffele,90.00%,63,70
2024,48,0,30927,Brendon Todd,89.90%,89,99
2024,49,0,47504,Sam Burns,89.86%,62,69
2024,49,0,40098,Matt Fitzpatrick,89.86%,62,69
2024,49,0,27139,David Skinns,89.86%,62,69
