RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,01810,Phil Mickelson,1.818,107.261,94.625,12.640,59
2,0,21209,Sergio Garcia,1.548,86.674,90.983,-4.303,56
3,0,29718,Anthony Kim,1.479,96.120,72.573,23.552,65
4,0,06567,Vijay Singh,1.467,92.447,118.107,-25.656,63
5,0,10885,Robert Allenby,1.407,120.992,132.959,-11.960,86
6,0,10809,Jim Furyk,1.287,96.494,66.094,30.405,75
7,0,27770,Camilo Villegas,1.254,79.006,73.471,5.541,63
8,0,10860,Justin Leonard,1.138,83.049,49.283,33.771,73
9,0,20229,Stewart Cink,1.125,72.019,38.672,33.347,64
10,0,06595,Kevin Sutherland,1.092,96.135,65.966,30.172,88
11,0,01945,Kenny Perry,1.076,99.035,91.528,7.509,92
12,0,20098,Stuart Appleby,1.075,72.000,43.421,28.583,67
13,0,24361,Pat Perez,1.064,84.062,67.662,16.405,79
14,0,06004,Stephen Ames,1.039,68.560,48.586,19.978,66
15,0,24781,Hunter Mahan,1.006,72.414,47.876,24.544,72
16,0,10423,Mike Weir,.926,61.139,50.016,11.128,66
17,0,02223,Bob Tway,.912,51.968,5.114,46.854,57
18,0,06527,Steve Stricker,.908,52.646,28.826,23.823,58
19,0,20766,Padraig Harrington,.905,28.969,30.683,-1.714,32
20,0,12510,Chad Campbell,.901,76.611,62.237,14.378,85
21,0,22371,Aaron Baddeley,.885,53.101,7.361,45.745,60
21,0,24357,K.J. Choi,.885,50.434,22.472,27.966,57
23,0,22348,Nick O'Hern,.884,62.759,38.075,24.688,71
24,0,23541,Ben Crane,.880,66.013,10.155,55.864,75
25,0,24502,Adam Scott,.859,30.064,45.466,-15.398,35
26,0,20574,Mathew Goggin,.826,67.723,57.699,10.030,82
27,0,22046,Geoff Ogilvy,.810,39.673,33.530,6.147,49
28,0,28158,Steve Marino,.767,79.717,63.561,16.160,104
29,0,01226,Fred Couples,.762,38.841,36.635,2.212,51
30,0,22621,Ben Curtis,.761,47.959,27.735,20.228,63
31,0,25345,Carl Pettersson,.754,73.177,21.382,51.798,97
32,0,19846,Brian Gay,.716,61.574,17.645,43.933,86
33,0,23320,Ryan Palmer,.709,42.559,16.786,25.777,60
34,0,20498,Briny Baird,.700,67.199,89.412,-22.211,96
35,0,01142,Bart Bryant,.689,46.166,46.446,-.273,67
36,0,01313,Steve Elkington,.678,49.515,19.205,30.312,73
37,0,01706,Davis Love III,.664,43.131,49.651,-6.514,65
38,0,01553,John Huston,.646,31.657,22.378,9.280,49
39,0,21350,Ryuji Imada,.644,43.825,11.930,31.898,68
40,0,23135,Tim Clark,.641,46.825,41.270,5.558,73
41,0,07867,Woody Austin,.631,55.508,55.285,.229,88
42,0,02239,Scott Verplank,.619,40.245,58.539,-18.287,65
43,0,06522,Ernie Els,.611,21.994,40.303,-18.306,36
43,0,24024,Zach Johnson,.611,43.357,40.611,2.748,71
45,0,21878,Mark Wilson,.610,63.461,16.191,47.277,104
46,0,20104,Ken Duke,.597,62.702,13.647,49.063,105
47,0,21731,Freddie Jacobson,.589,37.722,8.602,29.124,64
48,0,20645,John Senden,.586,48.077,73.742,-25.660,82
49,0,01941,Tom Pernice Jr.,.557,54.611,30.269,24.347,98
50,0,23108,Matt Kuchar,.554,38.763,26.525,12.240,70
51,0,26289,Boo Weekley,.550,35.206,67.093,-31.880,64
52,0,02206,David Toms,.548,30.686,41.476,-10.788,56
53,0,21961,Charles Howell III,.545,47.397,56.417,-9.011,87
54,0,06575,Dudley Hart,.532,35.677,-7.982,43.662,67
55,0,27141,J.B. Holmes,.524,36.141,39.617,-3.472,69
56,0,23788,D.J. Trahan,.523,40.798,72.845,-32.043,78
57,0,25804,Bubba Watson,.518,41.464,72.280,-30.813,80
58,0,01320,Bob Estes,.498,42.820,30.280,12.544,86
59,0,20160,Charlie Wi,.470,41.374,40.125,1.254,88
60,0,06197,Michael Allen,.454,35.396,35.527,-.125,78
61,0,01677,Tom Lehman,.453,17.210,24.432,-7.219,38
62,0,27095,Nick Watney,.452,37.930,43.515,-5.577,84
63,0,25900,Lucas Glover,.431,35.748,44.398,-8.646,83
64,0,07749,Brett Quigley,.426,31.070,23.653,7.421,73
65,0,25190,Jeff Quinney,.415,30.315,-17.453,47.774,73
66,0,24140,Sean O'Hair,.411,27.920,42.456,-14.531,68
67,0,23621,Rory Sabbatini,.405,25.526,33.017,-7.485,63
68,0,24924,Bill Haas,.391,35.152,27.041,8.118,90
69,0,24490,George McNeill,.387,34.799,41.641,-6.837,90
70,0,26695,Michael Letzig,.385,28.474,34.579,-6.098,74
71,0,24138,Ian Poulter,.380,13.696,-4.954,18.653,36
72,0,01928,Corey Pavin,.379,21.216,-33.270,54.489,56
73,0,01766,Billy Mayfair,.377,35.790,57.500,-21.703,95
74,0,27060,John Mallinger,.376,31.567,5.377,26.193,84
75,0,24449,Parker McLachlin,.361,28.493,-6.650,35.147,79
75,0,25396,Kevin Na,.361,32.878,32.390,.494,91
77,0,20157,Retief Goosen,.355,14.898,19.973,-5.072,42
78,0,27214,Kevin Streelman,.346,33.594,41.448,-7.848,97
79,0,08931,Glen Day,.344,19.258,16.406,2.856,56
80,0,12602,Dean Wilson,.341,31.685,-22.166,53.854,93
81,0,20623,Gavin Coles,.328,14.440,4.889,9.553,44
82,0,12782,Tim Herron,.324,28.219,-7.223,35.447,87
83,0,21753,Brian Davis,.305,31.100,39.250,-8.144,102
84,0,22913,John Rollins,.303,23.965,15.685,8.287,79
85,0,25364,Paul Casey,.296,10.659,21.407,-10.746,36
86,0,23325,Vaughn Taylor,.294,27.665,-.850,28.520,94
87,0,24925,Jonathan Byrd,.287,22.126,21.637,.492,77
