RANK,MOVEMENT,PLAYER_ID,PLAYER,ROUNDS
1,0,29221,Webb Simpson,67
2,0,27466,Spencer Levin,65
3,0,29910,Blake Adams,62
4,0,06573,Brandt Jobe,60
5,0,21753,Brian Davis,59
6,0,23638,Brendon de Jonge,58
6,0,21961,Charles Howell III,58
8,0,12510,Chad Campbell,54
8,0,24924,Bill Haas,54
8,0,23108,Matt Kuchar,54
8,0,31202,William McGirt,54
8,0,31323,Gary Woodland,54
13,0,20645,John Senden,53
13,0,33419,Cameron Tringale,53
15,0,24781,Hunter Mahan,52
15,0,25345,Carl Pettersson,52
17,0,01766,Billy Mayfair,51
17,0,27649,Brandt Snedeker,51
19,0,08075,Jerry Kelly,50
19,0,26476,Chez Reavie,50
19,0,22293,Heath Slocum,50
22,0,30750,Tommy Gainey,49
22,0,26758,David Hearn,49
22,0,23548,Bill Lunde,49
22,0,30110,Kyle Stanley,49
22,0,06527,Steve Stricker,49
22,0,02206,David Toms,49
28,0,28087,Kris Blanks,48
28,0,23983,Luke Donald,48
28,0,10809,Jim Furyk,48
31,0,06251,Chris DiMarco,47
31,0,19846,Brian Gay,47
31,0,21350,Ryuji Imada,47
31,0,01948,Tim Petrovic,47
31,0,23623,Bo Van Pelt,47
31,0,25804,Bubba Watson,47
37,0,11123,Chris Couch,46
37,0,24604,Hunter Haas,46
37,0,23353,J.J. Henry,46
37,0,21731,Freddie Jacobson,46
37,0,23800,Bryce Molder,46
37,0,25396,Kevin Na,46
37,0,26679,Kevin Stadler,46
37,0,29518,Brendan Steele,46
37,0,27963,Chris Stroud,46
46,0,22371,Aaron Baddeley,45
46,0,30926,Chris Kirk,45
46,0,22348,Nick O'Hern,45
46,0,23621,Rory Sabbatini,45
46,0,21878,Mark Wilson,45
51,0,32102,Rickie Fowler,44
51,0,24024,Zach Johnson,44
51,0,25240,D.A. Points,44
51,0,27330,Josh Teater,44
51,0,23788,D.J. Trahan,44
51,0,20160,Charlie Wi,44
57,0,27120,Troy Matteson,43
57,0,27933,John Merrick,43
57,0,28475,Jeff Overton,43
57,0,22405,Justin Rose,43
57,0,06567,Vijay Singh,43
57,0,27214,Kevin Streelman,43
57,0,23325,Vaughn Taylor,43
57,0,27095,Nick Watney,43
65,0,24507,Jason Bohn,42
65,0,25274,Steven Bowditch,42
65,0,25686,Jason Dufner,42
65,0,24358,Robert Garrigus,42
65,0,27936,Martin Laird,42
65,0,22961,David Mathis,42
65,0,23497,Tag Ridings,42
72,0,12716,Charley Hoffman,41
