RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL PAR 5 HOLES,TOTAL HOLE OUTS
1,0,21961,Charles Howell III,15,298,3
2,0,27644,Brian Harman,14,315,2
2,0,25632,Jimmy Walker,14,331,1
4,0,23638,Brendon de Jonge,13,370,4
4,0,24358,Robert Garrigus,13,286,1
4,0,27095,Nick Watney,13,303,1
7,0,27895,Jonas Blixt,12,230,4
7,0,33141,Keegan Bradley,12,266,4
7,0,32698,Bobby Gates,12,265,4
7,0,25804,Bubba Watson,12,214,1
11,0,23541,Ben Crane,11,242,1
11,0,20104,Ken Duke,11,319,2
11,0,12716,Charley Hoffman,11,283,4
11,0,29476,Kyle Reifers,11,279,5
11,0,31323,Gary Woodland,11,222,1
16,0,24024,Zach Johnson,10,289,0
16,0,29289,S.Y. Noh,10,315,1
16,0,25818,Scott Piercy,10,301,2
16,0,30110,Kyle Stanley,10,251,1
20,0,21407,Arjun Atwal,9,223,1
20,0,32366,Kevin Chappell,9,271,4
20,0,23409,James Driscoll,9,265,0
20,0,27141,J.B. Holmes,9,272,0
20,0,30926,Chris Kirk,9,279,2
20,0,33122,Russell Knox,9,210,1
20,0,28237,Rory McIlroy,9,164,2
20,0,30692,Scott Stallings,9,247,4
20,0,26951,Johnson Wagner,9,284,1
29,0,29479,Scott Brown,8,194,1
29,0,27436,Graham DeLaet,8,237,0
29,0,30750,Tommy Gainey,8,299,3
29,0,28308,Troy Kelly,8,195,1
29,0,24490,George McNeill,8,275,1
29,0,06567,Vijay Singh,8,302,3
35,0,32334,Charlie Beljan,7,173,2
35,0,20593,Greg Chalmers,7,275,1
35,0,23204,Gary Christian,7,261,2
35,0,21753,Brian Davis,7,292,2
35,0,34099,Harris English,7,305,2
35,0,32102,Rickie Fowler,7,265,1
35,0,27974,Sung Kang,7,229,4
35,0,24940,Edward Loar,7,167,0
35,0,01724,Jeff Maggert,7,247,1
35,0,27120,Troy Matteson,7,304,2
35,0,01797,Rocco Mediate,7,213,0
35,0,26596,Ryan Moore,7,289,1
35,0,24140,Sean O'Hair,7,257,1
35,0,27330,Josh Teater,7,297,1
35,0,32150,Michael Thompson,7,240,0
35,0,23623,Bo Van Pelt,7,260,0
35,0,20160,Charlie Wi,7,275,0
35,0,21878,Mark Wilson,7,250,2
53,0,29910,Blake Adams,6,333,2
53,0,28087,Kris Blanks,6,208,1
53,0,20848,Ángel Cabrera,6,170,0
53,0,28455,Will Claxton,6,299,2
53,0,24494,Erik Compton,6,240,2
53,0,11123,Chris Couch,6,186,0
53,0,20574,Mathew Goggin,6,200,2
53,0,20766,Padraig Harrington,6,189,2
53,0,34174,John Huh,6,303,1
53,0,30852,Ryo Ishikawa,6,156,1
53,0,30925,Dustin Johnson,6,204,3
53,0,30944,Jason Kokrak,6,228,0
53,0,27797,Derek Lamely,6,196,0
53,0,29926,Danny Lee,6,219,2
53,0,27466,Spencer Levin,6,250,3
53,0,27302,Garth Mulroy,6,167,0
53,0,28475,Jeff Overton,6,313,0
53,0,25345,Carl Pettersson,6,274,0
53,0,25562,Andres Romero,6,204,0
53,0,24502,Adam Scott,6,180,0
53,0,20645,John Senden,6,250,0
53,0,29518,Brendan Steele,6,243,2
53,0,30927,Brendon Todd,6,227,1
53,0,25892,Steve Wheatcroft,6,157,1
77,0,28259,Sangmoon Bae,5,242,0
77,0,24846,Ricky Barnes,5,271,0
77,0,23542,Tommy Biershenk,5,231,2
77,0,24925,Jonathan Byrd,5,216,1
77,0,32200,Roberto Castro,5,273,1
77,0,34021,Bud Cauley,5,321,3
77,0,24357,K.J. Choi,5,224,0
77,0,20229,Stewart Cink,5,219,1
77,0,28089,Jason Day,5,168,0
77,0,23983,Luke Donald,5,204,1
77,0,25686,Jason Dufner,5,254,0
77,0,21805,Harrison Frazar,5,165,0
77,0,10809,Jim Furyk,5,257,2
77,0,21209,Sergio Garcia,5,172,1
77,0,12782,Tim Herron,5,262,2
77,0,29420,Billy Horschel,5,171,1
77,0,29222,Billy Hurley III,5,203,1
77,0,26300,Matt Jones,5,167,2
77,0,23108,Matt Kuchar,5,246,0
77,0,31202,William McGirt,5,307,3
77,0,01810,Phil Mickelson,5,261,0
77,0,22046,Geoff Ogilvy,5,245,0
77,0,26329,Louis Oosthuizen,5,190,0
77,0,20572,Rod Pampling,5,262,2
77,0,25240,D.A. Points,5,273,0
77,0,22405,Justin Rose,5,226,1
77,0,29221,Webb Simpson,5,242,2
77,0,27649,Brandt Snedeker,5,246,1
77,0,25834,Daniel Summerhays,5,255,3
77,0,26287,Roland Thatcher,5,162,1
77,0,27064,Jhonattan Vegas,5,239,2
77,0,26289,Boo Weekley,5,217,2
77,0,20396,Lee Westwood,5,168,0
110,0,20098,Stuart Appleby,4,218,1
110,0,12652,Cameron Beckman,4,239,0
110,0,01116,Michael Bradley,4,202,1
110,0,01249,John Daly,4,124,0
110,0,06034,Marco Dawson,4,193,2
110,0,06251,Chris DiMarco,4,255,1
110,0,06522,Ernie Els,4,242,0
110,0,23718,Nathan Green,4,209,0
110,0,24924,Bill Haas,4,254,0
110,0,30711,Colt Knost,4,237,0
110,0,27936,Martin Laird,4,247,1
110,0,24781,Hunter Mahan,4,257,1
110,0,27060,John Mallinger,4,215,1
110,0,22961,David Mathis,4,250,0
110,0,27933,John Merrick,4,239,0
110,0,24361,Pat Perez,4,264,1
