RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
1,0,28237,Rory McIlroy,24.28,236,972,60
2,0,29221,Webb Simpson,23.25,318,1368,32
3,0,24358,Robert Garrigus,22.91,367,1602,7
4,0,27649,Brandt Snedeker,22.65,318,1404,132
5,0,33141,Keegan Bradley,22.60,358,1584,52
6,0,23623,Bo Van Pelt,22.56,337,1494,40
7,0,23541,Ben Crane,22.53,292,1296,105
8,0,25686,Jason Dufner,22.43,331,1476,8
9,0,08793,Tiger Woods,22.39,270,1206,29
10,0,01810,Phil Mickelson,22.36,318,1422,120
11,0,26596,Ryan Moore,22.28,357,1602,61
12,0,25818,Scott Piercy,22.22,380,1710,82
12,0,25804,Bubba Watson,22.22,264,1188,2
14,0,27895,Jonas Blixt,22.07,286,1296,134
15,0,23320,Ryan Palmer,21.95,320,1458,94
16,0,20396,Lee Westwood,21.91,213,972,3
17,0,28475,Jeff Overton,21.78,396,1818,63
18,0,24024,Zach Johnson,21.69,367,1692,101
19,0,24502,Adam Scott,21.65,226,1044,50
20,0,26329,Louis Oosthuizen,21.60,245,1134,15
21,0,06527,Steve Stricker,21.59,272,1260,19
22,0,30926,Chris Kirk,21.54,345,1602,48
23,0,30925,Dustin Johnson,21.48,259,1206,81
24,0,25572,Graeme McDowell,21.40,208,972,67
24,0,25632,Jimmy Walker,21.40,389,1818,116
26,0,28307,Matt Every,21.39,308,1440,68
27,0,23638,Brendon de Jonge,21.35,442,2070,8
28,0,08725,Tom Gillis,21.33,288,1350,129
29,0,27330,Josh Teater,21.27,356,1674,31
30,0,24361,Pat Perez,21.24,302,1422,96
31,0,20645,John Senden,21.23,298,1404,16
32,0,24140,Sean O'Hair,21.16,320,1512,21
33,0,32334,Charlie Beljan,21.05,216,1026,56
33,0,20104,Ken Duke,21.05,394,1872,111
35,0,22405,Justin Rose,21.00,257,1224,1
36,0,12716,Charley Hoffman,20.96,332,1584,61
37,0,19970,Robert Karlsson,20.94,196,936,145
38,0,27141,J.B. Holmes,20.93,324,1548,114
39,0,25345,Carl Pettersson,20.89,346,1656,128
40,0,27936,Martin Laird,20.85,274,1314,89
41,0,21209,Sergio Garcia,20.83,210,1008,99
42,0,20691,Greg Owen,20.80,337,1620,17
42,0,27095,Nick Watney,20.80,352,1692,58
44,0,29910,Blake Adams,20.77,400,1926,78
45,0,27302,Garth Mulroy,20.76,213,1026,95
46,0,28089,Jason Day,20.71,205,990,169
46,0,27770,Camilo Villegas,20.71,287,1386,4
48,0,21528,Henrik Stenson,20.70,190,918,87
49,0,01249,John Daly,20.65,171,828,163
49,0,34174,John Huh,20.65,368,1782,57
51,0,29926,Danny Lee,20.63,260,1260,92
52,0,06567,Vijay Singh,20.59,367,1782,69
53,0,34099,Harris English,20.58,363,1764,27
54,0,28259,Sangmoon Bae,20.56,285,1386,182
54,0,35139,Richard Lee,20.56,248,1206,20
56,0,01706,Davis Love III,20.49,236,1152,97
57,0,23108,Matt Kuchar,20.46,302,1476,86
58,0,23718,Nathan Green,20.45,254,1242,43
59,0,28455,Will Claxton,20.43,364,1782,11
60,0,22913,John Rollins,20.42,283,1386,72
61,0,33120,Mark Anderson,20.40,268,1314,129
62,0,23325,Vaughn Taylor,20.39,290,1422,65
63,0,25240,D.A. Points,20.33,322,1584,55
64,0,29289,S.Y. Noh,20.30,369,1818,33
