RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES/EAGLES,# HOLES
1,0,28237,Rory McIlroy,24.28,236,972
2,0,29221,Webb Simpson,23.25,318,1368
3,0,24358,Robert Garrigus,22.91,367,1602
4,0,27649,Brandt Snedeker,22.65,318,1404
5,0,33141,Keegan Bradley,22.60,358,1584
6,0,23623,Bo Van Pelt,22.56,337,1494
7,0,23541,Ben Crane,22.53,292,1296
8,0,25686,Jason Dufner,22.43,331,1476
9,0,08793,Tiger Woods,22.39,270,1206
10,0,01810,Phil Mickelson,22.36,318,1422
11,0,26596,Ryan Moore,22.28,357,1602
12,0,25818,Scott Piercy,22.22,380,1710
12,0,25804,Bubba Watson,22.22,264,1188
14,0,27895,Jonas Blixt,22.07,286,1296
15,0,23320,Ryan Palmer,21.95,320,1458
16,0,20396,Lee Westwood,21.91,213,972
17,0,28475,Jeff Overton,21.78,396,1818
18,0,24024,Zach Johnson,21.69,367,1692
19,0,24502,Adam Scott,21.65,226,1044
20,0,26329,Louis Oosthuizen,21.60,245,1134
21,0,06527,Steve Stricker,21.59,272,1260
22,0,30926,Chris Kirk,21.54,345,1602
23,0,30925,Dustin Johnson,21.48,259,1206
24,0,25572,Graeme McDowell,21.40,208,972
24,0,25632,Jimmy Walker,21.40,389,1818
26,0,28307,Matt Every,21.39,308,1440
27,0,23638,Brendon de Jonge,21.35,442,2070
28,0,08725,Tom Gillis,21.33,288,1350
29,0,27330,Josh Teater,21.27,356,1674
30,0,24361,Pat Perez,21.24,302,1422
31,0,20645,John Senden,21.23,298,1404
32,0,24140,Sean O'Hair,21.16,320,1512
33,0,32334,Charlie Beljan,21.05,216,1026
33,0,20104,Ken Duke,21.05,394,1872
35,0,22405,Justin Rose,21.00,257,1224
36,0,12716,Charley Hoffman,20.96,332,1584
37,0,19970,Robert Karlsson,20.94,196,936
38,0,27141,J.B. Holmes,20.93,324,1548
39,0,25345,Carl Pettersson,20.89,346,1656
40,0,27936,Martin Laird,20.85,274,1314
41,0,21209,Sergio Garcia,20.83,210,1008
42,0,20691,Greg Owen,20.80,337,1620
42,0,27095,Nick Watney,20.80,352,1692
44,0,29910,Blake Adams,20.77,400,1926
45,0,27302,Garth Mulroy,20.76,213,1026
46,0,28089,Jason Day,20.71,205,990
46,0,27770,Camilo Villegas,20.71,287,1386
48,0,21528,Henrik Stenson,20.70,190,918
49,0,01249,John Daly,20.65,171,828
49,0,34174,John Huh,20.65,368,1782
51,0,29926,Danny Lee,20.63,260,1260
52,0,06567,Vijay Singh,20.59,367,1782
53,0,34099,Harris English,20.58,363,1764
54,0,28259,Sangmoon Bae,20.56,285,1386
54,0,35139,Richard Lee,20.56,248,1206
56,0,01706,Davis Love III,20.49,236,1152
57,0,23108,Matt Kuchar,20.46,302,1476
58,0,23718,Nathan Green,20.45,254,1242
59,0,28455,Will Claxton,20.43,364,1782
60,0,22913,John Rollins,20.42,283,1386
61,0,33120,Mark Anderson,20.40,268,1314
62,0,23325,Vaughn Taylor,20.39,290,1422
63,0,25240,D.A. Points,20.33,322,1584
64,0,29289,S.Y. Noh,20.30,369,1818
65,0,26331,Charl Schwartzel,20.27,197,972
66,0,23983,Luke Donald,20.25,226,1116
67,0,11123,Chris Couch,20.24,215,1062
67,0,30110,Kyle Stanley,20.24,306,1512
69,0,34021,Bud Cauley,20.15,359,1782
70,0,29479,Scott Brown,20.11,228,1134
70,0,27933,John Merrick,20.11,286,1422
72,0,32102,Rickie Fowler,20.08,300,1494
73,0,22621,Ben Curtis,20.07,224,1116
73,0,30750,Tommy Gainey,20.07,354,1764
75,0,29420,Billy Horschel,20.06,213,1062
76,0,20766,Padraig Harrington,20.02,227,1134
77,0,26287,Roland Thatcher,19.92,190,954
78,0,23621,Rory Sabbatini,19.91,301,1512
79,0,23409,James Driscoll,19.88,297,1494
80,0,21753,Brian Davis,19.84,325,1638
80,0,27064,Jhonattan Vegas,19.84,275,1386
82,0,25396,Kevin Na,19.83,282,1422
83,0,32150,Michael Thompson,19.79,285,1440
84,0,28500,Martin Flores,19.77,338,1710
85,0,33419,Cameron Tringale,19.76,313,1584
86,0,22371,Aaron Baddeley,19.75,256,1296
86,0,27644,Brian Harman,19.75,359,1818
86,0,22046,Geoff Ogilvy,19.75,256,1296
86,0,26679,Kevin Stadler,19.75,288,1458
90,0,24846,Ricky Barnes,19.70,312,1584
91,0,27436,Graham DeLaet,19.69,280,1422
92,0,32200,Roberto Castro,19.63,318,1620
93,0,26951,Johnson Wagner,19.57,310,1584
93,0,20160,Charlie Wi,19.57,303,1548
95,0,23548,Bill Lunde,19.55,278,1422
95,0,25834,Daniel Summerhays,19.55,285,1458
97,0,23204,Gary Christian,19.54,306,1566
98,0,24924,Bill Haas,19.52,274,1404
98,0,30692,Scott Stallings,19.52,274,1404
100,0,23542,Tommy Biershenk,19.44,252,1296
100,0,10213,Dicky Pride,19.44,203,1044
102,0,12652,Cameron Beckman,19.41,269,1386
102,0,24494,Erik Compton,19.41,269,1386
104,0,24781,Hunter Mahan,19.38,286,1476
105,0,24138,Ian Poulter,19.35,195,1008
106,0,21961,Charles Howell III,19.33,341,1764
107,0,24925,Jonathan Byrd,19.28,236,1224
107,0,20593,Greg Chalmers,19.28,302,1566
109,0,25562,Andres Romero,19.27,222,1152
110,0,02206,David Toms,19.25,201,1044
111,0,26758,David Hearn,19.18,328,1710
112,0,20574,Mathew Goggin,19.14,217,1134
113,0,33122,Russell Knox,19.12,234,1224
114,0,27214,Kevin Streelman,19.10,306,1602
115,0,32366,Kevin Chappell,19.09,299,1566
116,0,31323,Gary Woodland,19.08,237,1242
117,0,27466,Spencer Levin,19.06,271,1422
118,0,27060,John Mallinger,19.05,240,1260
119,0,31202,William McGirt,19.04,329,1728
120,0,28093,Miguel Angel Carballo,19.00,236,1242
121,0,08075,Jerry Kelly,18.98,287,1512
122,0,20850,Daniel Chopra,18.97,181,954
123,0,30944,Jason Kokrak,18.96,256,1350
124,0,24490,George McNeill,18.95,290,1530
125,0,01724,Jeff Maggert,18.94,283,1494
126,0,12510,Chad Campbell,18.92,286,1512
127,0,06034,Marco Dawson,18.87,197,1044
128,0,21805,Harrison Frazar,18.83,183,972
129,0,32698,Bobby Gates,18.82,288,1530
130,0,20070,Matt Bettencourt,18.79,257,1368
131,0,19846,Brian Gay,18.77,294,1566
132,0,27120,Troy Matteson,18.76,331,1764
133,0,24357,K.J. Choi,18.73,236,1260
133,0,20623,Gavin Coles,18.73,236,1260
135,0,26851,Marc Leishman,18.72,283,1512
136,0,24940,Edward Loar,18.62,191,1026
137,0,23800,Bryce Molder,18.57,264,1422
137,0,26289,Boo Weekley,18.57,234,1260
139,0,27963,Chris Stroud,18.54,287,1548
140,0,06251,Chris DiMarco,18.52,270,1458
140,0,06573,Brandt Jobe,18.52,190,1026
142,0,28087,Kris Blanks,18.46,216,1170
142,0,24604,Hunter Haas,18.46,216,1170
142,0,01797,Rocco Mediate,18.46,226,1224
145,0,10809,Jim Furyk,18.45,279,1512
146,0,06522,Ernie Els,18.38,258,1404
147,0,23788,D.J. Trahan,18.36,228,1242
148,0,24507,Jason Bohn,18.33,254,1386
149,0,27797,Derek Lamely,18.32,211,1152
150,0,01320,Bob Estes,18.30,257,1404
151,0,29478,Kevin Kisner,18.29,214,1170
152,0,24663,Y.E. Yang,18.28,204,1116
153,0,12782,Tim Herron,18.24,289,1584
