RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,21528,Henrik Stenson,1.149,48.250,42
2,0,33448,Justin Thomas,.985,55.176,56
3,0,31646,Emiliano Grillo,.926,50.929,55
4,0,24502,Adam Scott,.846,37.234,44
5,0,32839,Hideki Matsuyama,.759,55.397,73
6,0,30944,Jason Kokrak,.745,55.838,75
7,0,10809,Jim Furyk,.741,42.250,57
8,0,25364,Paul Casey,.706,38.844,55
9,0,39997,Corey Conners,.665,45.915,69
10,0,35450,Patrick Cantlay,.640,36.474,57
11,0,36689,Brooks Koepka,.636,36.896,58
12,0,28237,Rory McIlroy,.633,36.096,57
13,0,26476,Chez Reavie,.625,43.753,70
14,0,29221,Webb Simpson,.613,42.285,69
15,0,46402,Talor Gooch,.604,28.977,48
16,0,26596,Ryan Moore,.596,37.519,63
17,0,23108,Matt Kuchar,.591,39.032,66
18,0,33122,Russell Knox,.585,34.500,59
19,0,33141,Keegan Bradley,.567,37.975,67
20,0,31323,Gary Woodland,.545,35.400,65
21,0,21209,Sergio Garcia,.525,19.960,38
21,0,22405,Justin Rose,.525,25.712,49
23,0,40115,Adam Svensson,.509,27.989,55
24,0,28775,Nate Lashley,.487,26.789,55
25,0,45486,Joaquin Niemann,.484,38.744,80
26,0,48081,Xander Schauffele,.481,25.491,53
27,0,27214,Kevin Streelman,.479,33.031,69
28,0,26851,Marc Leishman,.472,26.895,57
29,0,32200,Roberto Castro,.432,26.770,62
30,0,33418,Shawn Stefani,.421,26.125,62
31,0,33948,Byeong Hun An,.420,25.612,61
32,0,34256,Andrew Putnam,.414,23.211,56
33,0,40098,Matt Fitzpatrick,.409,15.125,37
34,0,46970,Jon Rahm,.405,21.449,53
35,0,24024,Zach Johnson,.398,21.092,53
36,0,12716,Charley Hoffman,.396,18.629,47
37,0,23320,Ryan Palmer,.395,20.120,51
38,0,29725,Tony Finau,.384,24.982,65
39,0,35532,Tom Hoge,.381,27.404,72
40,0,32640,Troy Merritt,.366,20.495,56
41,0,27330,Josh Teater,.361,19.112,53
42,0,34098,Russell Henley,.334,20.353,61
43,0,25900,Lucas Glover,.330,26.770,81
44,0,33419,Cameron Tringale,.327,16.691,51
45,0,30110,Kyle Stanley,.309,17.018,55
45,0,49960,Sepp Straka,.309,17.901,58
47,0,30925,Dustin Johnson,.288,16.143,56
48,0,49766,Hank Lebioda,.281,16.278,58
49,0,23325,Vaughn Taylor,.269,22.059,82
50,0,31560,Brian Stuard,.266,20.487,77
51,0,30692,Scott Stallings,.259,17.632,68
52,0,29478,Kevin Kisner,.257,18.262,71
53,0,32139,Danny Willett,.250,12.505,50
54,0,47959,Bryson DeChambeau,.236,15.588,66
55,0,30911,Tommy Fleetwood,.235,11.773,50
56,0,34563,Chesson Hadley,.231,13.864,60
57,0,34466,Peter Malnati,.225,17.084,76
58,0,49771,J.T. Poston,.223,19.599,88
59,0,30946,Alex Prugh,.222,12.638,57
60,0,27064,Jhonattan Vegas,.219,13.372,61
61,0,34363,Tyrrell Hatton,.218,9.156,42
62,0,26329,Louis Oosthuizen,.208,9.979,48
63,0,24925,Jonathan Byrd,.204,7.331,36
64,0,33410,Andrew Landry,.200,13.032,65
65,0,34021,Bud Cauley,.196,14.490,74
66,0,29970,Dylan Frittelli,.186,12.644,68
67,0,39977,Max Homa,.179,12.331,69
68,0,49303,Anders Albertson,.165,8.595,52
68,0,45157,Cam Davis,.165,9.380,57
70,0,32102,Rickie Fowler,.158,9.980,63
70,0,37275,Sam Ryder,.158,9.482,60
72,0,29926,Danny Lee,.156,11.229,72
73,0,24138,Ian Poulter,.150,6.594,44
74,0,29420,Billy Horschel,.147,10.157,69
74,0,25818,Scott Piercy,.147,10.302,70
76,0,47347,Adam Schenk,.142,11.624,82
77,0,34076,Joel Dahmen,.141,10.735,76
78,0,35449,Adam Long,.138,9.415,68
78,0,34360,Patrick Reed,.138,10.083,73
80,0,46601,Trey Mullinax,.134,8.413,63
81,0,32333,Kevin Tway,.124,8.291,67
82,0,34264,Hudson Swafford,.119,5.571,47
83,0,36852,Jim Knous,.111,4.331,39
84,0,29974,Branden Grace,.110,4.947,45
85,0,23621,Rory Sabbatini,.103,7.824,76
86,0,29223,Sam Saunders,.100,6.681,67
87,0,33486,Roger Sloan,.096,6.718,70
88,0,39324,J.J. Spaun,.094,5.990,64
89,0,37189,Harold Varner III,.093,6.894,74
90,0,25686,Jason Dufner,.091,5.182,57
91,0,26499,Rafa Cabrera Bello,.089,4.292,48
92,0,27649,Brandt Snedeker,.083,6.634,80
93,0,27141,J.B. Holmes,.079,3.807,48
94,0,39971,Sungjae Im,.075,7.478,100
94,0,27936,Martin Laird,.075,5.443,73
96,0,27095,Nick Watney,.071,4.927,69
97,0,48822,Sebastián Muñoz,.054,3.482,64
97,0,29908,C.T. Pan,.054,3.233,60
99,0,25632,Jimmy Walker,.051,2.880,57
100,0,35421,Brandon Harkins,.042,2.929,69
101,0,25198,Francesco Molinari,.040,1.667,42
102,0,39546,Keith Mitchell,.037,2.268,61
103,0,27974,Sung Kang,.036,2.495,70
104,0,35506,Mackenzie Hughes,.032,2.095,66
105,0,32150,Michael Thompson,.018,1.187,65
106,0,45526,Abraham Ancer,.011,.758,71
107,0,26758,David Hearn,.009,.318,34
108,0,33399,Adam Hadwin,.008,.477,62
109,0,40026,Daniel Berger,.007,.405,59
110,0,35891,Cameron Smith,.004,.217,53
111,0,19803,Ryan Armour,-.002,-.145,75
112,0,27129,Luke List,-.005,-.294,55
113,0,32791,K.H. Lee,-.011,-.710,62
114,0,20472,Alex Cejka,-.014,-.545,40
115,0,26951,Johnson Wagner,-.015,-.694,47
116,0,25572,Graeme McDowell,-.016,-.817,50
117,0,29268,Bronson Burgoon,-.033,-1.540,47
118,0,27895,Jonas Blixt,-.039,-2.488,64
119,0,25493,Nick Taylor,-.051,-4.401,86
120,0,25804,Bubba Watson,-.052,-2.613,50
121,0,34431,Robert Streb,-.053,-3.162,60
122,0,01810,Phil Mickelson,-.065,-3.257,50
123,0,37340,Chase Wright,-.069,-3.956,57
124,0,21961,Charles Howell III,-.072,-5.229,73
124,0,33667,Carlos Ortiz,-.072,-5.159,72
126,0,25396,Kevin Na,-.076,-3.323,44
127,0,29479,Scott Brown,-.083,-5.633,68
127,0,28089,Jason Day,-.083,-3.902,47
129,0,24361,Pat Perez,-.085,-3.486,41
129,0,49964,Aaron Wise,-.085,-4.566,54
131,0,46435,Austin Cook,-.095,-5.040,53
132,0,31557,Jim Herman,-.110,-4.196,38
132,0,35732,Wes Roach,-.110,-5.408,49
