RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 5 BIRDIES OR BETTER,PAR 5 HOLES
1,0,33448,Justin Thomas,57.34,125,218
2,0,31323,Gary Woodland,56.13,151,269
3,0,28237,Rory McIlroy,55.05,120,218
3,0,24502,Adam Scott,55.05,109,198
5,0,25804,Bubba Watson,55.00,99,180
6,0,51766,Wyndham Clark,54.91,151,275
7,0,49964,Aaron Wise,54.05,120,222
8,0,36689,Brooks Koepka,54.02,121,224
9,0,47993,Denny McCarthy,53.82,141,262
10,0,24138,Ian Poulter,53.72,101,188
11,0,47959,Bryson DeChambeau,53.18,117,220
12,0,25364,Paul Casey,52.99,124,234
13,0,27129,Luke List,52.94,108,204
14,0,48081,Xander Schauffele,52.89,128,242
15,0,39971,Sungjae Im,52.53,197,375
16,0,32839,Hideki Matsuyama,52.48,148,282
17,0,24924,Bill Haas,52.27,115,220
18,0,46970,Jon Rahm,52.23,117,224
19,0,37455,Si Woo Kim,52.16,145,278
20,0,46402,Talor Gooch,52.07,88,169
21,0,32640,Troy Merritt,52.02,103,198
22,0,48822,Sebastián Muñoz,51.97,132,254
23,0,23108,Matt Kuchar,51.63,127,246
24,0,22405,Justin Rose,51.50,103,200
25,0,27095,Nick Watney,51.49,138,268
26,0,39954,Cody Gribble,51.44,107,208
27,0,30925,Dustin Johnson,51.34,115,224
28,0,27064,Jhonattan Vegas,51.25,123,240
29,0,39977,Max Homa,50.98,130,255
30,0,45157,Cam Davis,50.85,119,234
31,0,33399,Adam Hadwin,50.76,134,264
32,0,39546,Keith Mitchell,50.74,137,270
33,0,34360,Patrick Reed,50.71,142,280
34,0,52372,Cameron Champ,50.41,122,242
35,0,40009,Dominic Bozzelli,50.00,107,214
35,0,35450,Patrick Cantlay,50.00,114,228
35,0,29725,Tony Finau,50.00,132,264
35,0,26300,Matt Jones,50.00,139,278
35,0,26851,Marc Leishman,50.00,116,232
35,0,46601,Trey Mullinax,50.00,117,234
35,0,37275,Sam Ryder,50.00,120,240
42,0,34021,Bud Cauley,49.81,130,261
43,0,32102,Rickie Fowler,49.59,122,246
44,0,28089,Jason Day,49.54,107,216
45,0,34264,Hudson Swafford,49.45,90,182
46,0,23621,Rory Sabbatini,49.35,151,306
47,0,27974,Sung Kang,49.26,134,272
48,0,21209,Sergio Garcia,49.23,64,130
49,0,49766,Hank Lebioda,49.11,110,224
50,0,32139,Danny Willett,49.02,100,204
51,0,29970,Dylan Frittelli,48.86,129,264
52,0,33948,Byeong Hun An,48.61,122,251
53,0,39324,J.J. Spaun,48.47,127,262
54,0,32333,Kevin Tway,48.40,121,250
55,0,47856,Seth Reeves,48.39,105,217
56,0,29221,Webb Simpson,48.23,109,226
