RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS
1,0,25804,Bubba Watson,73.81,124,44
2,0,20848,Ángel Cabrera,70.45,93,39
3,0,36699,Patrick Rodgers,68.46,89,41
4,0,28089,Jason Day,68.09,128,60
5,0,29725,Tony Finau,68.03,200,94
6,0,26331,Charl Schwartzel,67.69,88,42
7,0,30944,Jason Kokrak,66.67,164,82
8,0,27064,Jhonattan Vegas,66.22,149,76
9,0,21209,Sergio Garcia,66.07,74,38
10,0,32334,Charlie Beljan,65.36,117,62
11,0,33667,Carlos Ortiz,65.17,174,93
12,0,33448,Justin Thomas,64.38,197,109
13,0,36689,Brooks Koepka,63.50,127,73
14,0,26300,Matt Jones,62.95,141,83
15,0,29518,Brendan Steele,62.69,163,97
16,0,25274,Steven Bowditch,62.36,169,102
17,0,21961,Charles Howell III,62.19,199,121
18,0,29223,Sam Saunders,61.84,128,79
19,0,27141,J.B. Holmes,61.79,131,81
20,0,28500,Martin Flores,61.67,148,92
21,0,06522,Ernie Els,60.61,80,52
22,0,33461,Morgan Hoffmann,60.28,129,85
23,0,25191,Gonzalo Fernandez-Castaño,60.20,118,78
24,0,34099,Harris English,60.07,161,107
25,0,24502,Adam Scott,60.00,60,40
26,0,24358,Robert Garrigus,59.77,104,70
26,0,30925,Dustin Johnson,59.77,104,70
28,0,21528,Henrik Stenson,59.72,86,58
29,0,31323,Gary Woodland,59.30,102,70
30,0,26851,Marc Leishman,59.26,96,66
31,0,37273,Derek Ernst,59.04,111,77
32,0,40026,Daniel Berger,58.94,155,108
33,0,33141,Keegan Bradley,58.65,122,86
34,0,33486,Roger Sloan,58.54,72,51
35,0,22046,Geoff Ogilvy,58.47,69,49
35,0,34265,Will Wilcox,58.47,69,49
37,0,25562,Andres Romero,58.43,104,74
38,0,22405,Justin Rose,58.23,92,66
39,0,32839,Hideki Matsuyama,57.52,130,96
40,0,39977,Max Homa,57.44,112,83
41,0,12716,Charley Hoffman,57.32,141,105
42,0,25632,Jimmy Walker,57.14,112,84
43,0,29420,Billy Horschel,56.67,136,104
43,0,01810,Phil Mickelson,56.67,102,78
45,0,06567,Vijay Singh,56.54,121,93
46,0,27436,Graham DeLaet,56.47,96,74
47,0,20645,John Senden,56.40,97,75
48,0,29221,Webb Simpson,56.25,108,84
49,0,33418,Shawn Stefani,56.07,157,123
50,0,27644,Brian Harman,56.03,130,102
51,0,26329,Louis Oosthuizen,56.00,84,66
52,0,27936,Martin Laird,55.98,131,103
53,0,22371,Aaron Baddeley,55.94,113,89
54,0,25818,Scott Piercy,55.91,142,112
55,0,27214,Kevin Streelman,55.88,133,105
56,0,26289,Boo Weekley,55.77,116,92
57,0,34264,Hudson Swafford,55.64,143,114
58,0,35541,John Peterson,55.47,137,110
59,0,32102,Rickie Fowler,55.43,102,82
60,0,24140,Sean O'Hair,55.30,146,118
61,0,30692,Scott Stallings,55.23,95,77
62,0,20157,Retief Goosen,54.72,116,96
63,0,28023,Byron Smith,54.40,68,57
64,0,25900,Lucas Glover,54.39,124,104
65,0,34098,Russell Henley,53.96,109,93
66,0,23548,Bill Lunde,53.92,55,47
67,0,34431,Robert Streb,53.74,158,136
68,0,27770,Camilo Villegas,53.36,119,104
69,0,24781,Hunter Mahan,53.21,116,102
70,0,25493,Nick Taylor,53.14,144,127
71,0,20396,Lee Westwood,52.88,55,49
72,0,30736,Oscar Fraustro,52.85,65,58
73,0,34046,Jordan Spieth,52.83,112,100
74,0,22056,Cameron Percy,52.81,94,84
75,0,30852,Ryo Ishikawa,52.79,123,110
76,0,25364,Paul Casey,52.63,90,81
77,0,23621,Rory Sabbatini,51.98,105,97
78,0,29478,Kevin Kisner,51.89,151,140
79,0,35532,Tom Hoge,51.79,101,94
80,0,22892,Jason Gore,51.45,89,84
81,0,30946,Alex Prugh,51.33,116,110
82,0,28259,Sangmoon Bae,51.09,141,135
83,0,32200,Roberto Castro,50.98,52,50
84,0,24494,Erik Compton,50.87,117,113
85,0,34563,Chesson Hadley,50.83,154,149
85,0,34360,Patrick Reed,50.83,122,118
87,0,23320,Ryan Palmer,50.63,81,79
88,0,29720,Andres Gonzales,50.62,123,120
89,0,25345,Carl Pettersson,50.50,152,149
90,0,24924,Bill Haas,50.45,111,109
91,0,23108,Matt Kuchar,50.40,127,125
92,0,34358,Jonathan Randolph,50.29,88,87
93,0,32366,Kevin Chappell,50.00,119,119
93,0,29289,S.Y. Noh,50.00,83,83
93,0,28475,Jeff Overton,50.00,113,113
96,0,28486,Michael Putnam,49.55,111,113
97,0,28307,Matt Every,49.44,88,90
