RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
1,0,29221,Webb Simpson,67.88,2308,34
2,2,30925,Dustin Johnson,68.35,2119,31
3,2,47993,Denny McCarthy,68.59,1509,22
4,2,53165,Doc Redman,68.60,1372,20
5,2,25364,Paul Casey,68.70,1374,20
5,2,25396,Kevin Na,68.70,1374,20
7,-4,40026,Daniel Berger,68.76,1994,29
8,7,33448,Justin Thomas,68.78,2820,41
9,2,27644,Brian Harman,68.79,1307,19
10,-1,47959,Bryson DeChambeau,68.81,2477,36
11,5,34363,Tyrrell Hatton,68.84,1308,19
12,1,29268,Bronson Burgoon,68.85,895,13
13,-1,45526,Abraham Ancer,68.89,1860,27
13,1,35891,Cameron Smith,68.89,1240,18
15,8,48081,Xander Schauffele,68.94,2413,35
16,0,40098,Matt Fitzpatrick,69.06,1243,18
17,1,52375,Doug Ghim,69.10,691,10
18,1,21407,Arjun Atwal,69.17,415,6
19,1,23320,Ryan Palmer,69.18,1522,22
20,5,39971,Sungjae Im,69.22,2838,41
20,1,32757,Patton Kizzire,69.22,623,9
22,7,46970,Jon Rahm,69.25,2493,36
23,-1,24361,Pat Perez,69.27,1039,15
24,1,29535,Brice Garnett,69.30,693,10
25,-2,34360,Patrick Reed,69.36,2497,36
26,1,36689,Brooks Koepka,69.40,1388,20
27,1,33419,Cameron Tringale,69.43,972,14
28,1,30944,Jason Kokrak,69.44,1250,18
29,2,29420,Billy Horschel,69.48,1737,25
30,2,34076,Joel Dahmen,69.50,1529,22
30,16,46046,Scottie Scheffler,69.50,2363,34
32,2,49964,Aaron Wise,69.56,626,9
33,2,35449,Adam Long,69.59,1531,22
34,-1,29725,Tony Finau,69.63,2437,35
35,2,22371,Aaron Baddeley,69.64,975,14
35,1,34099,Harris English,69.64,2298,33
37,1,34098,Russell Henley,69.65,1811,26
37,1,21961,Charles Howell III,69.65,1393,20
39,1,46435,Austin Cook,69.67,627,9
40,1,28775,Nate Lashley,69.71,976,14
40,1,25804,Bubba Watson,69.71,1673,24
42,2,47347,Adam Schenk,69.73,1534,22
43,2,37189,Harold Varner III,69.74,1883,27
44,2,21209,Sergio Garcia,69.75,837,12
44,2,34563,Chesson Hadley,69.75,837,12
44,2,46550,Brandon Hagy,69.75,558,8
