RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,24358,Robert Garrigus,123' 6",7904' 5",64
2,0,27141,J.B. Holmes,115' 9",4628' 9",40
3,0,28780,Nicholas Thompson,114' 1",9924' 4",87
4,0,20766,Padraig Harrington,113' 11",2733' 8",24
5,0,20229,Stewart Cink,112' 4",6180' 5",55
6,0,06567,Vijay Singh,110' 11",6545' 3",59
7,0,22046,Geoff Ogilvy,110' 8",5089' 0",46
8,0,12716,Charley Hoffman,110' 5",9494' 4",86
9,0,23540,Jason Allred,110' 4",4744' 0",43
10,0,29718,Anthony Kim,109' 7",7123' 3",65
11,0,23320,Ryan Palmer,109' 3",4478' 5",41
12,0,21805,Harrison Frazar,109' 1",5128' 9",47
13,0,25364,Paul Casey,108' 11",3268' 4",30
14,0,21878,Mark Wilson,106' 8",1090' 9",104
15,0,20663,Brenden Pappas,105' 2",4205',40
16,0,25632,Jimmy Walker,104' 7",5018' 6",48
17,0,30925,Dustin Johnson,104' 5",6580' 6",63
17,0,06595,Kevin Sutherland,104' 5",8455' 2",81
19,0,01226,Fred Couples,104' 0",3535' 0",34
20,0,23349,Charles Warren,103' 8",6841' 3",66
21,0,20472,Alex Cejka,103' 6",5382' 2",52
22,0,24227,Justin Bolli,103' 5",7030' 0",68
22,0,24361,Pat Perez,103' 5",7448' 6",72
24,0,20848,Ángel Cabrera,102' 4",3172' 3",31
25,0,25562,Andres Romero,102' 1",4183',41
26,0,22913,John Rollins,101' 6",7408' 0",73
27,0,22892,Jason Gore,101' 4",5573' 0",55
28,0,01553,John Huston,101' 2",4451' 5",44
28,0,01706,Davis Love III,101' 2",5463' 0",54
30,0,25594,Travis Perkins,101' 1",2527' 0",25
31,0,26679,Kevin Stadler,101' 0",5654' 2",56
32,0,27120,Troy Matteson,100' 11",8478' 1",84
33,0,01797,Rocco Mediate,100' 10",6556' 7",65
34,0,10885,Robert Allenby,100' 6",7638' 9",76
34,0,27936,Martin Laird,100' 6",7338' 9",73
36,0,28158,Steve Marino,100' 4",8630' 3",86
37,0,23623,Bo Van Pelt,99' 5",7556',76
38,0,25900,Lucas Glover,99' 4",7646' 0",77
39,0,24490,George McNeill,98' 11",8404' 8",85
40,0,28089,Jason Day,98' 8",7005' 7",71
41,0,23157,Richard Johnson,98' 7",5814' 1",59
42,0,24924,Bill Haas,98' 3",8446' 2",86
42,0,01945,Kenny Perry,98' 3",8157' 2",83
44,0,07867,Woody Austin,98' 2",8538' 7",87
45,0,30750,Tommy Gainey,98' 0",3823' 7",39
46,0,24925,Jonathan Byrd,97' 8",7519' 1",77
46,0,11032,Frank Lickliter II,97' 8",8689' 0",89
46,0,06527,Steve Stricker,97' 8",5174',53
49,0,07749,Brett Quigley,97' 7",5855',60
50,0,23125,Brad Elder,97' 4",4574' 9",47
51,0,01766,Billy Mayfair,97' 1",8541' 2",88
52,0,25345,Carl Pettersson,97' 0",8824' 4",91
53,0,20645,John Senden,96' 11",6687' 5",69
54,0,21959,Ted Purdy,96' 9",4159' 3",43
55,0,21949,Joe Ogilvie,96' 6",7723' 0",80
56,0,12782,Tim Herron,96' 5",7228' 6",75
56,0,10733,Kent Jones,96' 5",4722' 5",49
58,0,27649,Brandt Snedeker,96' 1",6627' 9",69
59,0,21209,Sergio Garcia,95' 11",4603',48
59,0,26476,Chez Reavie,95' 11",8632' 3",90
61,0,24781,Hunter Mahan,95' 7",6597' 6",69
62,0,01024,Billy Andrade,95' 5",4674' 3",49
63,0,20105,Jeff Gove,95' 2",3617' 0",38
64,0,01724,Jeff Maggert,94' 9",7298' 3",77
65,0,24357,K.J. Choi,94' 7",5767',61
66,0,26951,Johnson Wagner,94' 6",6048' 7",64
67,0,23541,Ben Crane,94' 5",6800' 4",72
67,0,20382,Stephen Leaney,94' 5",3682' 7",39
69,0,26300,Matt Jones,94' 4",6600',70
70,0,01035,Tommy Armour III,94' 3",5370' 3",57
71,0,27561,Nick Flanagan,94' 2",6782' 0",72
72,0,20378,Mathias Grönberg,94' 1",5834' 0",62
73,0,20850,Daniel Chopra,93' 8",5899' 3",63
74,0,19803,Ryan Armour,93' 7",6084',65
75,0,12660,Jesper Parnevik,93' 3",6619' 9",71
76,0,21753,Brian Davis,93' 2",8947' 5",96
77,0,24502,Adam Scott,93' 1",3164' 1",34
78,0,22582,Kyle Thompson,93' 0",5114',55
79,0,23614,Rich Beem,92' 10",6681' 2",72
80,0,12705,Cliff Kresge,92' 9",6305' 6",68
81,0,24140,Sean O'Hair,92' 8",5650' 9",61
82,0,06522,Ernie Els,92' 6",3515' 2",38
83,0,21633,Steve Allan,92' 4",3785' 7",41
83,0,01941,Tom Pernice Jr.,92' 4",8862' 3",96
83,0,25804,Bubba Watson,92' 4",5723',62
86,0,22293,Heath Slocum,91' 10",8081' 9",88
87,0,23497,Tag Ridings,91' 9",6145' 9",67
88,0,23135,Tim Clark,91' 6",6039' 7",66
89,0,27613,David Lutterus,91' 4",3925' 9",43
90,0,20157,Retief Goosen,91' 3",3376' 1",37
91,0,01473,Todd Hamilton,91' 1",4007' 3",44
92,0,20574,Mathew Goggin,90' 10",5997' 3",66
93,0,23325,Vaughn Taylor,90' 7",7696' 7",85
94,0,27095,Nick Watney,90' 5",6509' 4",72
95,0,06251,Chris DiMarco,90' 3",6498' 9",72
95,0,10809,Jim Furyk,90' 3",7400' 7",82
97,0,27933,John Merrick,90' 2",6221' 2",69
97,0,02206,David Toms,90' 2",4778' 8",53
99,0,22621,Ben Curtis,89' 10",5839' 7",65
99,0,26695,Michael Letzig,89' 10",6017' 6",67
101,0,12602,Dean Wilson,89' 7",7527' 6",84
102,0,12652,Cameron Beckman,89' 5",5367' 4",60
103,0,06012,Greg Kraft,89' 4",3930' 2",44
103,0,22806,Doug LaBelle II,89' 4",3661' 7",41
105,0,26668,Marc Turnesa,89' 3",5977' 2",67
106,0,20098,Stuart Appleby,89' 2",5527' 2",62
107,0,06575,Dudley Hart,89' 1",5611' 3",63
108,0,01577,Lee Janzen,89' 0",5961' 7",67
109,0,08385,Omar Uresti,88' 3",4763' 9",54
110,0,23788,D.J. Trahan,88' 2",6259' 7",71
110,0,10425,Jay Williamson,88' 2",5905',67
112,0,23409,James Driscoll,88' 0",5634' 2",64
112,0,27214,Kevin Streelman,88' 0",7564' 7",86
114,0,26631,Cody Freeman,87' 11",4131' 7",47
114,0,28475,Jeff Overton,87' 11",6418' 4",73
116,0,27770,Camilo Villegas,87' 7",4994' 2",57
117,0,06573,Brandt Jobe,87' 6",3325' 5",38
118,0,01707,Steve Lowery,87' 4",5412' 8",62
118,0,19913,Ron Whittaker,87' 4",3229',37
120,0,20433,Mark Hensby,87' 3",4712',54
120,0,23108,Matt Kuchar,87' 3",5583' 3",64
122,0,23778,Brad Adamonis,87' 2",5926' 3",68
122,0,23797,Brett Rumford,87' 2",4796' 0",55
124,0,23048,Eric Axley,86' 10",7292' 0",84
125,0,01161,Mark Calcavecchia,86' 9",3990' 0",46
126,0,27963,Chris Stroud,86' 8",5458' 3",63
127,0,21350,Ryuji Imada,86' 7",5456' 7",63
127,0,10585,Scott McCarron,86' 7",4330' 2",50
129,0,24912,Will MacKenzie,86' 3",4745' 8",55
129,0,12309,Bob Sowards,86' 3",3622' 1",42
131,0,20498,Briny Baird,86' 1",7318' 6",85
132,0,01810,Phil Mickelson,86' 0",4300' 3",50
133,0,12510,Chad Campbell,85' 11",7560' 4",88
133,0,20634,Peter Lonard,85' 11",6613' 0",77
135,0,01388,Robert Gamez,85' 7",5478' 3",64
136,0,08075,Jerry Kelly,85' 6",6242' 9",73
137,0,08537,J.P. Hayes,85' 2",5110' 9",60
138,0,08931,Glen Day,84' 7",3973' 6",47
139,0,24024,Zach Johnson,84' 6",6168' 1",73
140,0,12826,Paul Claxton,84' 3",3792' 8",45
140,0,22548,Patrick Sheehan,84' 3",7837' 8",93
142,0,01677,Tom Lehman,84' 1",3110' 8",37
142,0,26596,Ryan Moore,84' 1",4539' 8",54
144,0,19846,Brian Gay,84' 0",7053' 2",84
145,0,26500,Alejandro Cañizares,83' 11",3357' 1",40
145,0,02002,John Riegger,83' 11",4531' 6",54
147,0,06034,Marco Dawson,83' 10",3687' 0",44
148,0,06621,Joe Durant,83' 9",6200' 7",74
149,0,25842,Jon Mills,83' 8",4519' 0",54
150,0,10860,Justin Leonard,83' 6",6429' 7",77
150,0,23621,Rory Sabbatini,83' 6",5091',61
150,0,02239,Scott Verplank,83' 6",5846' 1",70
153,0,20443,Jin Park,83' 5",5339',64
153,0,10649,Tom Scherrer,83' 5",3086' 5",37
155,0,27060,John Mallinger,83' 3",6326' 1",76
156,0,10875,Todd Demsey,83' 2",5239',63
157,0,21461,Kenneth Ferrie,83' 0",4565' 7",55
157,0,21731,Freddie Jacobson,83' 0",5145' 7",62
159,0,09011,David Duval,82' 11",2405' 0",29
159,0,06643,Paul Goydos,82' 11",5309' 1",64
161,0,12823,Carlos Franco,82' 9",3640' 1",44
162,0,22348,Nick O'Hern,82' 7",4952',60
163,0,23353,J.J. Henry,82' 6",7098' 2",86
164,0,25349,Tim Wilkinson,82' 2",6001' 2",73
165,0,23718,Nathan Green,81' 8",5469' 2",67
166,0,26289,Boo Weekley,81' 7",5223' 0",64
167,0,24138,Ian Poulter,81' 3",3006' 1",37
168,0,20572,Rod Pampling,81' 0",4942' 7",61
169,0,06090,Jim McGovern,80' 6",4667' 3",58
169,0,24663,Y.E. Yang,80' 6",5633' 4",70
