RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. TO IMPACT,TOTAL ATTEMPTS
1,0,27141,J.B. Holmes,307.9,12622.0,41
2,0,20848,Ángel Cabrera,301.6,8446.1,28
3,0,24358,Robert Garrigus,301.5,18694.5,62
4,0,30925,Dustin Johnson,297.7,15184.8,51
5,0,25804,Bubba Watson,294.0,15580.8,53
6,0,27095,Nick Watney,291.6,20414.0,70
7,0,12716,Charley Hoffman,290.6,24122.8,83
8,0,25594,Travis Perkins,289.9,5797.7,20
9,0,25364,Paul Casey,289.1,8384.9,29
10,0,29718,Anthony Kim,288.6,17893.9,62
10,0,24490,George McNeill,288.6,23091.2,80
12,0,23497,Tag Ridings,288.0,17569.8,61
13,0,06567,Vijay Singh,287.9,16123.5,56
14,0,23540,Jason Allred,287.1,9760.3,34
15,0,23349,Charles Warren,286.7,17773.6,62
16,0,21805,Harrison Frazar,286.2,12878.8,45
17,0,01706,Davis Love III,286.0,15156.1,53
18,0,20850,Daniel Chopra,285.4,15411.9,54
18,0,22892,Jason Gore,285.4,14842.4,52
20,0,24502,Adam Scott,285.2,9126.9,32
21,0,25562,Andres Romero,285.0,11113.6,39
22,0,01226,Fred Couples,284.7,9679.6,34
23,0,25900,Lucas Glover,283.7,20708.0,73
24,0,20229,Stewart Cink,283.5,13610.1,48
24,0,27936,Martin Laird,283.5,19846.1,70
26,0,23157,Richard Johnson,283.3,14730.7,52
27,0,24361,Pat Perez,282.6,20064.1,71
28,0,21633,Steve Allan,282.5,10733.7,38
29,0,27120,Troy Matteson,281.9,21990.0,78
30,0,23320,Ryan Palmer,281.8,10144.3,36
31,0,24924,Bill Haas,281.3,21941.2,78
32,0,22046,Geoff Ogilvy,281.0,12365.7,44
33,0,20663,Brenden Pappas,280.9,10675.0,38
34,0,23409,James Driscoll,280.4,16826.3,60
35,0,20766,Padraig Harrington,280.1,6162.2,22
36,0,28780,Nicholas Thompson,280.0,22116.6,79
37,0,28089,Jason Day,279.3,17593.9,63
37,0,21209,Sergio Garcia,279.3,12567.7,45
39,0,23623,Bo Van Pelt,278.5,20884.9,75
40,0,01810,Phil Mickelson,278.1,12237.0,44
41,0,30750,Tommy Gainey,277.7,9719.5,35
42,0,24140,Sean O'Hair,277.6,15825.4,57
43,0,25632,Jimmy Walker,277.5,12764.5,46
44,0,07867,Woody Austin,277.4,23856.5,86
45,0,06573,Brandt Jobe,277.3,8875.0,32
46,0,01945,Kenny Perry,277.2,21065.5,76
47,0,26300,Matt Jones,277.1,18290.4,66
48,0,09011,David Duval,277.0,6647.1,24
49,0,06527,Steve Stricker,276.8,13840.1,50
50,0,20574,Mathew Goggin,276.6,17976.4,65
50,0,20645,John Senden,276.6,18255.9,66
52,0,06595,Kevin Sutherland,276.5,21839.8,79
53,0,01707,Steve Lowery,276.3,15470.4,56
53,0,27214,Kevin Streelman,276.3,22657.8,82
55,0,26289,Boo Weekley,276.1,16568.3,60
56,0,27561,Nick Flanagan,275.6,17912.6,65
57,0,20378,Mathias Grönberg,275.3,15692.2,57
58,0,01473,Todd Hamilton,275.2,11559.7,42
58,0,28158,Steve Marino,275.2,22569.3,82
60,0,21959,Ted Purdy,275.1,11005.6,40
