RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,01444,Ken Green,50.00,90,180
2,0,06012,Greg Kraft,44.05,111,252
3,0,01378,David Frost,43.70,118,270
4,0,01353,Bruce Fleisher,43.52,141,324
5,0,02185,Lance Ten Broeck,43.27,148,342
6,0,02267,D.A. Weibring,43.21,140,324
6,0,02298,Jim Woodward,43.21,70,162
8,0,06691,Greg Cesario,42.86,54,126
9,0,01755,Dick Mast,42.81,131,306
10,0,02255,Denis Watson,42.22,76,180
11,0,06144,John Dowdall,42.06,53,126
11,0,08553,Lee Porter,42.06,53,126
13,0,01443,Hubert Green,41.98,68,162
14,0,01701,Bob Lohr,41.83,128,306
15,0,01659,Massy Kuramoto,41.41,82,198
16,0,01930,Eddie Pearce,41.27,52,126
17,0,01129,Bill Britton,41.11,111,270
17,0,01846,Jodie Mudd,41.11,74,180
17,0,06589,Jeff Woodland,41.11,111,270
20,0,01557,John Inman,41.05,133,324
21,0,01068,Andy Bean,40.91,81,198
21,0,02223,Bob Tway,40.91,81,198
23,0,06643,Paul Goydos,40.28,145,360
23,0,01682,Wayne Levi,40.28,116,288
25,0,01876,Greg Norman,40.17,94,234
26,0,08759,Tad Rhyan,40.00,72,180
27,0,02007,Larry Rinker,39.90,79,198
28,0,01715,Mark Lye,39.81,86,216
29,0,01475,Donnie Hammond,39.68,150,378
30,0,01235,Ben Crenshaw,39.63,107,270
31,0,06128,Steve Lamontagne,39.51,128,324
32,0,01024,Billy Andrade,39.47,135,342
33,0,02279,Mark Wiebe,39.42,149,378
34,0,01185,Brandel Chamblee,39.26,106,270
34,0,02170,Hal Sutton,39.26,106,270
34,0,02303,Robert Wrenn,39.26,106,270
37,0,02159,Curtis Strange,39.24,113,288
38,0,01096,Phil Blackmar,39.22,120,306
39,0,06566,Jaime Gomez,38.89,105,270
39,0,01533,P.H. Horgan III,38.89,105,270
39,0,01761,Len Mattiace,38.89,112,288
39,0,02322,Richard Zokol,38.89,98,252
43,0,01381,Fred Funk,38.67,174,450
44,0,02225,Howard Twitty,38.60,132,342
45,0,02218,Ted Tryba,38.56,118,306
46,0,08045,Perry Moss,38.54,111,288
46,0,02245,Grant Waite,38.54,111,288
48,0,01388,Robert Gamez,38.52,104,270
49,0,02256,Tom Watson,38.46,90,234
50,0,01736,Roger Maltbie,38.38,76,198
51,0,01329,Brad Faxon,38.33,138,360
52,0,01926,Steve Pate,38.27,124,324
53,0,06197,Michael Allen,38.19,110,288
54,0,06058,John Flannery,38.16,158,414
55,0,01374,Robin Freeman,38.15,103,270
56,0,02214,Kirk Triplett,38.06,137,360
57,0,01385,Jim Gallagher Jr.,38.01,130,342
57,0,02090,Tom Sieckmann,38.01,130,342
59,0,01331,Rick Fehr,37.92,157,414
60,0,06090,Jim McGovern,37.90,191,504
61,0,10195,Tim Conley,37.88,75,198
62,0,05319,Gene Jones,37.78,68,180
63,0,01132,Mark Brooks,37.72,129,342
64,0,01495,Morris Hatalsky,37.70,95,252
65,0,01196,Brian Claar,37.68,156,414
66,0,06044,Scott Gump,37.58,115,306
67,0,06124,Patrick Burke,37.50,81,216
67,0,01408,Kelly Gibson,37.50,135,360
67,0,01934,Dave Peege,37.50,54,144
67,0,02033,Dave Rummells,37.50,81,216
67,0,02294,Willie Wood,37.50,108,288
72,0,01783,Mark McCumber,37.35,121,324
73,0,01203,Russ Cochran,37.30,141,378
73,0,06136,Mike Schuchart,37.30,94,252
75,0,01307,Joel Edwards,37.25,114,306
75,0,01946,Peter Persons,37.25,114,306
77,0,01468,Gary Hallberg,37.22,134,360
77,0,01837,Gil Morgan,37.22,134,360
79,0,06034,Marco Dawson,37.20,154,414
80,0,06006,JC Anderson,37.18,87,234
80,0,02206,David Toms,37.18,87,234
82,0,06086,Russell Beiersdorf,37.04,140,378
82,0,01619,Skip Kendall,37.04,120,324
82,0,01724,Jeff Maggert,37.04,120,324
82,0,06401,Marty Schiene,37.04,60,162
86,0,01823,Larry Mize,36.93,113,306
87,0,01157,Tom Byrum,36.90,93,252
87,0,02111,Mike Smith,36.90,93,252
89,0,01577,Lee Janzen,36.87,146,396
90,0,06332,Neal Lancaster,36.77,139,378
91,0,06575,Dudley Hart,36.73,119,324
92,0,02241,Bobby Wadkins,36.67,66,180
93,0,01313,Steve Elkington,36.62,145,396
94,0,02101,Joey Sindelar,36.51,92,252
95,0,01633,Tom Kite,36.11,91,252
95,0,01797,Rocco Mediate,36.11,143,396
95,0,02099,Scott Simpson,36.11,117,324
95,0,02201,Jim Thorpe,36.11,65,180
99,0,01093,Ronnie Black,35.95,110,306
99,0,06617,Brian Henninger,35.95,110,306
99,0,01968,Nick Price,35.95,110,306
102,0,01098,Jay Don Blake,35.93,97,270
103,0,02242,Lanny Wadkins,35.90,84,234
104,0,01248,Rick Dalpos,35.86,71,198
104,0,01549,Mike Hulbert,35.86,142,396
104,0,01648,Billy Kratzert,35.86,71,198
107,0,01014,Fulton Allem,35.83,129,360
107,0,02049,Gene Sauers,35.83,129,360
109,0,01282,Trevor Dodds,35.71,90,252
110,0,01707,Steve Lowery,35.65,154,432
111,0,01116,Michael Bradley,35.62,109,306
111,0,01226,Fred Couples,35.62,109,306
113,0,01723,Andrew Magee,35.56,96,270
114,0,01550,Ed Humenik,35.49,115,324
114,0,01887,Mark O'Meara,35.49,115,324
116,0,01418,Bill Glasson,35.42,102,288
116,0,10207,Jimmy Johnston,35.42,51,144
118,0,01346,Ed Fiori,35.38,121,342
118,0,01891,David Ogrin,35.38,121,342
120,0,01197,Bobby Clampett,35.35,70,198
121,0,02224,Greg Twiggs,35.29,108,306
122,0,01559,Hale Irwin,35.19,95,270
122,0,01564,David Jackson,35.19,95,270
124,0,01320,Bob Estes,35.10,139,396
125,0,01218,Jeff Cook,35.07,101,288
126,0,01553,John Huston,35.04,164,468
127,0,01569,Peter Jacobsen,34.88,113,324
128,0,01920,Craig Parry,34.81,94,270
128,0,02131,Mike Springer,34.81,94,270
130,0,02135,Mike Standly,34.80,119,342
131,0,01143,Brad Bryant,34.78,144,414
132,0,01288,Ed Dougherty,34.54,143,414
133,0,01945,Kenny Perry,34.50,118,342
134,0,01261,Jay Delsing,34.44,124,360
135,0,01607,Brian Kamm,34.26,111,324
136,0,01361,Dan Forsman,34.17,123,360
137,0,01323,Brad Fabel,34.07,92,270
138,0,01706,Davis Love III,34.06,141,414
139,0,02133,Craig Stadler,34.03,98,288
140,0,01390,Buddy Gardner,33.95,55,162
141,0,01971,Dillard Pruitt,33.92,116,342
142,0,02104,Jeff Sluman,33.82,140,414
143,0,07569,Mark Carnevale,33.66,103,306
143,0,01201,Lennie Clements,33.66,103,306
145,0,01527,Scott Hoch,33.64,109,324
146,0,02146,Payne Stewart,33.59,133,396
147,0,01766,Billy Mayfair,33.57,139,414
148,0,01457,Jay Haas,33.53,169,504
149,0,01072,Chip Beck,33.33,114,342
