RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
1,0,30911,Tommy Fleetwood,$2094455,91239200,118206250
2,0,33293,Thomas Pieters,$2058070,113107000,92700000
3,0,27896,Ross Fisher,$1258083,16775000,109033334
4,0,27349,Alex Noren,$1205516,64995385,55556250
5,0,34363,Tyrrell Hatton,$1103224,69575000,40747437
6,0,27408,Martin Kaymer,$892353,65104572,24130769
7,0,21498,Hideto Tanihara,$816347,10034700,71600000
8,0,29454,Bernd Wiesberger,$769314,48700589,28230769
9,0,35296,Haotong Li,$751972,70672200,4525000
10,0,40098,Matt Fitzpatrick,$687437,33408785,35334936
11,0,20396,Lee Westwood,$581198,28026566,30093269
12,0,23063,Scott Hend,$501635,25159300,25004166
13,0,30163,Henrik Norlander,$498914,49891393
14,0,22000,Chris Wood,$456562,19302034,26354167
15,0,37380,Curtis Luck,$362230,36222987
16,0,35314,Andy Sullivan,$360639,16855600,19208333
17,0,32070,Rafael Campos,$333979,33397856
18,0,39958,Jeunghun Wang,$307605,12398000,18362500
19,0,35174,Matthew Southgate,$281000,28100000
20,0,28300,Joost Luiten,$279237,3107000,24816667
21,0,29484,Peter Uihlein,$272529,27252909
22,0,33968,Thorbjørn Olesen,$257917,5662500,20129167
23,0,46464,Jordan L Smith,$250000,25000000
24,0,24511,Thongchai Jaidee,$246500,6450000,18200000
25,0,28258,K.T. Kim,$236208,4440000,19180769
26,0,27942,Rob Oppenheim,$224190,22419000
27,0,26908,Yuta Ikeda,$222562,12124100,10132143
28,0,49964,Aaron Wise,$209488,20948760
29,0,29939,Fabrizio Zanotti,$187870,537000,18250000
30,0,34587,Chan Kim,$175333,17533300
31,0,45836,Richard Bland,$160000,8800000,7200000
32,0,46441,Robby Shelton,$157512,15751228
33,0,34709,Eddie Pepperell,$156809,15680880
34,0,24459,Richard Sterne,$154950,6420000,9075000
35,0,36521,Young-han Song,$148800,9730000,5150000
36,0,39546,Keith Mitchell,$144900,14490000
37,0,49773,Chase Koepka,$140225,14022500
38,0,30736,Oscar Fraustro,$140000,14000020
39,0,32816,Satoshi Kodaira,$132814,7581425,5700000
40,0,28486,Michael Putnam,$130984,13098385
41,0,47906,Austin Connelly,$128917,12891700
42,0,35225,Brandon Stone,$127818,8219286,4562500
43,0,24083,Marcus Fraser,$107245,1512000,9212500
44,0,28783,Sam Brazel,$107000,0,10700000
45,0,45157,Cam Davis,$98467,9846680
46,0,27899,Rikard Karlberg,$93000,0,9300000
47,0,29531,Richie Ramsay,$88000,8800000
