RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL LATE ROUNDS
1,0,06527,Steve Stricker,69.50,2502,36
2,0,21528,Henrik Stenson,69.54,2712,39
3,0,28500,Martin Flores,69.71,2649,38
4,0,34046,Jordan Spieth,69.74,3487,50
5,0,08793,Tiger Woods,69.86,2515,36
6,0,21961,Charles Howell III,69.89,3215,46
7,0,27436,Graham DeLaet,69.92,3426,49
8,0,22913,John Rollins,69.93,2867,41
9,0,30926,Chris Kirk,69.96,3148,45
10,0,01810,Phil Mickelson,69.98,2939,42
11,0,23621,Rory Sabbatini,70.02,3011,43
12,0,28475,Jeff Overton,70.08,2593,37
13,0,22405,Justin Rose,70.19,3018,43
14,0,26758,David Hearn,70.20,2457,35
14,0,35139,Richard Lee,70.20,2457,35
16,0,24502,Adam Scott,70.25,2529,36
17,0,23108,Matt Kuchar,70.26,3232,46
18,0,25274,Steven Bowditch,70.28,2038,29
19,0,24357,K.J. Choi,70.29,2390,34
20,0,33141,Keegan Bradley,70.34,3306,47
21,0,21209,Sergio Garcia,70.35,2814,40
21,0,24024,Zach Johnson,70.35,3658,52
21,0,27649,Brandt Snedeker,70.35,3236,46
21,0,27963,Chris Stroud,70.35,2814,40
25,0,20098,Stuart Appleby,70.38,2604,37
25,0,34099,Harris English,70.38,3378,48
27,0,20593,Greg Chalmers,70.41,2394,34
27,0,23541,Ben Crane,70.41,2253,32
29,0,24924,Bill Haas,70.42,3662,52
30,0,27214,Kevin Streelman,70.49,3172,45
31,0,23638,Brendon de Jonge,70.51,3596,51
32,0,26300,Matt Jones,70.53,2821,40
32,0,31560,Brian Stuard,70.53,2539,36
34,0,23800,Bryce Molder,70.55,2328,33
35,0,21878,Mark Wilson,70.58,1835,26
36,0,32200,Roberto Castro,70.60,3671,52
37,0,26289,Boo Weekley,70.62,3178,45
38,0,30925,Dustin Johnson,70.65,2614,37
38,0,34360,Patrick Reed,70.65,3038,43
40,0,10809,Jim Furyk,70.66,3109,44
40,0,25632,Jimmy Walker,70.66,3109,44
42,0,01320,Bob Estes,70.68,1979,28
42,0,26679,Kevin Stadler,70.68,2403,34
44,0,28679,Fabián Gómez,70.69,2262,32
