RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,33122,Russell Knox,275,Valspar,1,11 - Par 5
2,0,25900,Lucas Glover,255,John Deere,2,10 - Par 5
3,0,31646,Emiliano Grillo,254,RBC Heritage,2,5 - Par 5 -
4,0,39113,Shubhankar Sharma,250,the Memorial,2,5 - Par 5 -
5,0,33486,Roger Sloan,243,Pebble Beach,2,2 - Par 5 -
6,0,48081,Xander Schauffele,240,TOUR Champ,3,9 - Par 3 -
7,0,34099,Harris English,236,THE PLAYERS,1,11 - Par 5
8,0,26476,Chez Reavie,230,TOUR Champ,2,9 - Par 3 -
9,0,25493,Nick Taylor,221,Texas Open,3,13 - Par 3
10,0,30944,Jason Kokrak,219,Valspar,3,15 - Par 3
11,0,49298,Kramer Hickok,218,RBC Canadian,2,4 - Par 5 -
12,0,12782,Tim Herron,209,3M Open,1,8 - Par 3 -
13,0,33803,Lucas Bjerregaard,206,PGA Champ,4,17 - Par 3
14,0,25198,Francesco Molinari,204,Arnold Palmer,1,7 - Par 3 -
15,0,25240,D.A. Points,204,Arnold Palmer,1,7 - Par 3 -
16,0,20766,Padraig Harrington,202,Byron Nelson,2,13 - Par 4
17,0,23621,Rory Sabbatini,200,U.S. Open,1,12 - Par 3
18,0,33418,Shawn Stefani,200,Byron Nelson,3,11 - Par 4
19,0,24321,Kodai Ichihara,199,U.S. Open,2,2 - Par 4 -
20,0,32333,Kevin Tway,195,WGC-FedEx,4,4 - Par 3 -
21,0,29970,Dylan Frittelli,195,3M Open,3,9 - Par 4 -
22,0,29974,Branden Grace,194,Phoenix Open,2,7 - Par 3 -
23,0,36852,Jim Knous,193,Farmers,4,3 - Par 3 -
24,0,48699,Callum Tarren,193,U.S. Open,1,10 - Par 4
25,0,47347,Adam Schenk,193,Arnold Palmer,3,9 - Par 4 -
26,0,49303,Anders Albertson,191,Barbasol,4,9 - Par 3 -
27,0,26596,Ryan Moore,190,THE PLAYERS,3,5 - Par 4 -
28,0,32757,Patton Kizzire,187,Sentry,1,8 - Par 3 -
29,0,27933,John Merrick,183,Barbasol,2,9 - Par 3 -
30,0,33448,Justin Thomas,180,BMW Champ,3,16 - Par 4
31,0,20229,Stewart Cink,177,Rocket Mortgage,1,12 - Par 4
33,0,45486,Joaquin Niemann,176,Shriners,3,17 - Par 3
34,0,25364,Paul Casey,176,WGC-Mexico,2,14 - Par 4
35,0,35449,Adam Long,175,BMW Champ,2,16 - Par 4
36,0,10809,Jim Furyk,175,NORTHERN TRUST,1,9 - Par 4 -
38,0,28938,Justin Harding,174,WGC-FedEx,2,13 - Par 4
39,0,35879,Kelly Kraft,173,Sony Open,1,7 - Par 3 -
40,0,20472,Alex Cejka,170,Sanderson Farms,2,4 - Par 3 -
41,0,29535,Brice Garnett,169,Wyndham,1,4 - Par 4 -
42,0,37455,Si Woo Kim,167,Texas Open,2,16 - Par 3
43,0,34563,Chesson Hadley,162,Phoenix Open,4,6 - Par 4 -
44,0,39546,Keith Mitchell,162,Sony Open,2,7 - Par 3 -
45,0,27963,Chris Stroud,162,Shriners,1,14 - Par 3
46,0,26329,Louis Oosthuizen,160,BMW Champ,4,9 - Par 4 -
47,0,22371,Aaron Baddeley,158,Safeway Open,2,10 - Par 4
48,0,35376,Roberto Díaz,157,Shriners,2,3 - Par 4 -
50,0,27895,Jonas Blixt,156,RBC Canadian,1,9 - Par 4 -
51,0,28252,Seamus Power,156,THE PLAYERS,3,3 - Par 3 -
52,0,37275,Sam Ryder,154,Safeway Open,2,14 - Par 4
53,0,22405,Justin Rose,153,THE PLAYERS,2,15 - Par 4
54,0,39971,Sungjae Im,152,THE PLAYERS,2,13 - Par 3
55,0,45609,Tyler Duncan,150,Travelers,2,1 - Par 4 -
57,0,46501,Ollie Schniederjans,148,Rocket Mortgage,2,5 - Par 3 -
58,0,27064,Jhonattan Vegas,148,Barbasol,1,8 - Par 5 -
60,0,27141,J.B. Holmes,147,Genesis Open,1,6 - Par 3 -
61,0,45860,Case Cochran,146,Barbasol,2,7 - Par 4 -
64,0,47127,David Pastore,143,Farmers,2,2 - Par 4 -
