RANK,MOVEMENT,PLAYER_ID,PLAYER,HOLE OUTS
1,0,39971,Sungjae Im,25
2,0,29970,Dylan Frittelli,22
3,0,27649,Brandt Snedeker,21
4,0,35449,Adam Long,20
4,0,26476,Chez Reavie,20
4,0,23621,Rory Sabbatini,20
7,0,49771,J.T. Poston,19
7,0,47347,Adam Schenk,19
9,0,25900,Lucas Glover,18
9,0,48822,Sebastián Muñoz,18
9,0,29908,C.T. Pan,18
9,0,34046,Jordan Spieth,18
9,0,37189,Harold Varner III,18
9,0,47128,Richy Werenski,18
15,0,29479,Scott Brown,17
15,0,34099,Harris English,17
15,0,29478,Kevin Kisner,17
15,0,49766,Hank Lebioda,17
15,0,28252,Seamus Power,17
15,0,46501,Ollie Schniederjans,17
15,0,27064,Jhonattan Vegas,17
22,0,39954,Cody Gribble,16
22,0,35532,Tom Hoge,16
22,0,35879,Kelly Kraft,16
22,0,29926,Danny Lee,16
22,0,27129,Luke List,16
22,0,25818,Scott Piercy,16
22,0,30786,Brady Schnell,16
22,0,34431,Robert Streb,16
22,0,31560,Brian Stuard,16
22,0,40115,Adam Svensson,16
32,0,45526,Abraham Ancer,15
32,0,19803,Ryan Armour,15
32,0,45609,Tyler Duncan,15
32,0,30191,Julián Etulain,15
32,0,33399,Adam Hadwin,15
32,0,34098,Russell Henley,15
32,0,49298,Kramer Hickok,15
32,0,37455,Si Woo Kim,15
32,0,36689,Brooks Koepka,15
32,0,32839,Hideki Matsuyama,15
32,0,24361,Pat Perez,15
43,0,27958,Ryan Blaum,14
43,0,46435,Austin Cook,14
43,0,32102,Rickie Fowler,14
43,0,29535,Brice Garnett,14
43,0,35506,Mackenzie Hughes,14
43,0,34466,Peter Malnati,14
43,0,26596,Ryan Moore,14
43,0,37275,Sam Ryder,14
43,0,27963,Chris Stroud,14
52,0,27895,Jonas Blixt,13
52,0,47504,Sam Burns,13
52,0,32200,Roberto Castro,13
52,0,34021,Bud Cauley,13
52,0,29725,Tony Finau,13
52,0,31646,Emiliano Grillo,13
52,0,24924,Bill Haas,13
52,0,39977,Max Homa,13
52,0,47990,Kyle Jones,13
52,0,26300,Matt Jones,13
52,0,39324,J.J. Spaun,13
52,0,30692,Scott Stallings,13
52,0,33448,Justin Thomas,13
65,0,33948,Byeong Hun An,12
65,0,24925,Jonathan Byrd,12
65,0,26499,Rafa Cabrera Bello,12
65,0,52372,Cameron Champ,12
65,0,45157,Cam Davis,12
65,0,27644,Brian Harman,12
65,0,24024,Zach Johnson,12
65,0,27974,Sung Kang,12
65,0,34261,Scott Langley,12
65,0,45486,Joaquin Niemann,12
65,0,26329,Louis Oosthuizen,12
65,0,20572,Rod Pampling,12
65,0,30946,Alex Prugh,12
65,0,32058,José de Jesús Rodríguez,12
65,0,39327,Ben Silverman,12
65,0,33486,Roger Sloan,12
65,0,33418,Shawn Stefani,12
65,0,32150,Michael Thompson,12
65,0,29484,Peter Uihlein,12
84,0,49303,Anders Albertson,11
84,0,22371,Aaron Baddeley,11
84,0,35450,Patrick Cantlay,11
84,0,20472,Alex Cejka,11
84,0,34306,John Chin,11
84,0,47959,Bryson DeChambeau,11
84,0,19846,Brian Gay,11
84,0,28679,Fabián Gómez,11
84,0,29974,Branden Grace,11
84,0,35421,Brandon Harkins,11
84,0,36799,Stephan Jaeger,11
84,0,37454,Whee Kim,11
84,0,33122,Russell Knox,11
84,0,30944,Jason Kokrak,11
84,0,32640,Troy Merritt,11
84,0,24138,Ian Poulter,11
84,0,46970,Jon Rahm,11
84,0,47856,Seth Reeves,11
84,0,36699,Patrick Rodgers,11
84,0,27330,Josh Teater,11
84,0,25632,Jimmy Walker,11
105,0,30978,Kiradech Aphibarnrat,10
105,0,51766,Wyndham Clark,10
105,0,35376,Roberto Díaz,10
105,0,30911,Tommy Fleetwood,10
105,0,46523,Joey Garber,10
105,0,35461,Beau Hossler,10
105,0,39975,Michael Kim,10
105,0,36852,Jim Knous,10
105,0,23108,Matt Kuchar,10
105,0,39546,Keith Mitchell,10
105,0,33667,Carlos Ortiz,10
105,0,34256,Andrew Putnam,10
105,0,35732,Wes Roach,10
105,0,48081,Xander Schauffele,10
105,0,29221,Webb Simpson,10
105,0,27214,Kevin Streelman,10
105,0,25493,Nick Taylor,10
105,0,31323,Gary Woodland,10
105,0,37340,Chase Wright,10
124,0,10809,Jim Furyk,9
124,0,21961,Charles Howell III,9
124,0,30925,Dustin Johnson,9
124,0,27936,Martin Laird,9
124,0,33410,Andrew Landry,9
124,0,28775,Nate Lashley,9
124,0,32791,K.H. Lee,9
124,0,26851,Marc Leishman,9
124,0,47993,Denny McCarthy,9
124,0,25572,Graeme McDowell,9
124,0,25396,Kevin Na,9
124,0,23320,Ryan Palmer,9
124,0,29223,Sam Saunders,9
124,0,30110,Kyle Stanley,9
124,0,33419,Cameron Tringale,9
124,0,32333,Kevin Tway,9
124,0,32139,Danny Willett,9
141,0,40026,Daniel Berger,8
141,0,40009,Dominic Bozzelli,8
141,0,33141,Keegan Bradley,8
141,0,29268,Bronson Burgoon,8
141,0,25364,Paul Casey,8
141,0,25686,Jason Dufner,8
141,0,26758,David Hearn,8
141,0,32757,Patton Kizzire,8
141,0,32816,Satoshi Kodaira,8
141,0,37380,Curtis Luck,8
141,0,46601,Trey Mullinax,8
141,0,27556,Ted Potter Jr.,8
141,0,34360,Patrick Reed,8
