RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,23135,Tim Clark,70.42,50,71,-53,-23.00
2,0,22046,Geoff Ogilvy,70.09,82,117,-86,-14.00
3,0,10809,Jim Furyk,69.89,65,93,-69,-21.00
4,0,26300,Matt Jones,68.69,68,99,-71,-8.00
5,0,10423,Mike Weir,68.67,57,83,-63,-31.00
6,0,06004,Stephen Ames,68.47,76,111,-80,-14.00
7,0,23800,Bryce Molder,68.25,43,63,-46,-19.00
8,0,25396,Kevin Na,67.91,91,134,-101,-19.00
9,0,12602,Dean Wilson,67.90,55,81,-57,-32.00
10,0,24140,Sean O'Hair,67.19,86,128,-92,-5.00
11,0,08075,Jerry Kelly,66.39,81,122,-85,-30.00
12,0,01320,Bob Estes,66.30,61,92,-66,-21.00
13,0,06527,Steve Stricker,65.26,62,95,-66,-45.00
14,0,24502,Adam Scott,65.22,60,92,-63,-2.00
15,0,20766,Padraig Harrington,64.84,59,91,-62,-3.00
16,0,22548,Patrick Sheehan,64.81,35,54,-36,-17.00
17,0,08793,Tiger Woods,64.80,81,125,-89,-10.00
18,0,20157,Retief Goosen,64.36,65,101,-77,-13.00
19,0,27095,Nick Watney,64.20,113,176,-121,-5.00
20,0,21878,Mark Wilson,63.97,87,136,-91,-26.00
21,0,25818,Scott Piercy,63.64,119,187,-124,-1.00
22,0,25632,Jimmy Walker,63.28,81,128,-90,+1.00
23,0,20645,John Senden,63.19,115,182,-127,-25.00
24,0,10585,Scott McCarron,62.89,100,159,-105,-11.00
25,0,20593,Greg Chalmers,62.50,80,128,-84,-18.00
26,0,10860,Justin Leonard,62.04,67,108,-70,-40.00
27,0,23983,Luke Donald,62.03,49,79,-50,-33.00
28,0,10117,Bob Heintz,61.90,39,63,-39,-18.00
29,0,24024,Zach Johnson,61.83,81,131,-93,-35.00
30,0,22405,Justin Rose,61.76,63,102,-65,-6.00
31,0,01945,Kenny Perry,61.70,87,141,-91,-21.00
32,0,21753,Brian Davis,61.69,95,154,-100,-35.00
33,0,24490,George McNeill,61.64,90,146,-97,-4.00
34,0,01226,Fred Couples,61.54,48,78,-51,-9.00
34,0,27963,Chris Stroud,61.54,88,143,-99,-12.00
36,0,01706,Davis Love III,61.40,105,171,-114,-14.00
37,0,20498,Briny Baird,61.34,73,119,-78,-14.00
38,0,25919,Brian Vranesh,61.25,49,80,-53,+3.00
39,0,24663,Y.E. Yang,61.22,90,147,-96,-4.00
