RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,25562,Andres Romero,71.82,130,51,-62,-4
2,0,27936,Martin Laird,71.67,172,68,-102,+3
3,0,24358,Robert Garrigus,71.48,183,73,-89,+9
4,0,08793,Tiger Woods,70.62,125,52,-86,-10
5,0,23497,Tag Ridings,68.24,101,47,-59,-1
6,0,20848,Ángel Cabrera,67.20,84,41,-45,+2
7,0,24781,Hunter Mahan,66.92,178,88,-99,-1
8,0,01810,Phil Mickelson,66.85,119,59,-74,+8
9,0,29718,Anthony Kim,66.23,153,78,-91,-8
10,0,25804,Bubba Watson,66.08,150,77,-70,-10
11,0,27095,Nick Watney,66.03,173,89,-107,-5
12,0,24925,Jonathan Byrd,65.37,202,107,-123,-10
13,0,23788,D.J. Trahan,65.03,199,107,-116,-17
14,0,30925,Dustin Johnson,64.90,159,86,-89,+8
15,0,21209,Sergio Garcia,64.24,97,54,-53,E
16,0,12716,Charley Hoffman,64.22,210,117,-124,-1
17,0,23621,Rory Sabbatini,63.92,163,92,-92,-3
18,0,27770,Camilo Villegas,63.64,140,80,-76,-2
19,0,23349,Charles Warren,63.26,136,79,-81,-2
20,0,20574,Mathew Goggin,63.13,137,80,-72,+4
21,0,31323,Gary Woodland,63.12,89,52,-40,+9
22,0,26289,Boo Weekley,62.77,145,86,-82,-3
23,0,24140,Sean O'Hair,62.44,128,77,-88,-5
24,0,26596,Ryan Moore,62.06,175,107,-92,E
25,0,25818,Scott Piercy,61.77,181,112,-117,-1
26,0,21805,Harrison Frazar,61.36,181,114,-100,+3
27,0,01706,Davis Love III,60.79,169,109,-103,-14
28,0,28780,Nicholas Thompson,60.74,198,128,-102,-9
29,0,06522,Ernie Els,60.62,117,76,-65,E
30,0,27141,J.B. Holmes,60.61,140,91,-81,+17
31,0,23320,Ryan Palmer,60.37,163,107,-86,+8
32,0,24502,Adam Scott,60.13,92,61,-60,-2
32,0,23623,Bo Van Pelt,60.13,181,120,-105,-13
34,0,06567,Vijay Singh,59.24,109,75,-56,-4
35,0,25900,Lucas Glover,59.18,158,109,-83,-5
36,0,01707,Steve Lowery,59.11,172,119,-75,E
37,0,20691,Greg Owen,59.06,176,122,-99,-9
38,0,27214,Kevin Streelman,58.75,178,125,-90,-19
39,0,28158,Steve Marino,58.74,168,118,-86,-26
40,0,20850,Daniel Chopra,58.51,189,134,-94,-7
41,0,24924,Bill Haas,58.42,177,126,-101,-17
42,0,22913,John Rollins,58.23,184,132,-100,-4
43,0,28118,Peter Tomasulo,58.19,103,74,-60,+6
44,0,24912,Will MacKenzie,58.08,133,96,-68,-1
45,0,26695,Michael Letzig,58.07,187,135,-109,+11
46,0,20070,Matt Bettencourt,58.05,191,138,-109,+5
47,0,28089,Jason Day,57.53,107,79,-61,-8
48,0,21959,Ted Purdy,56.67,187,143,-100,-9
49,0,24663,Y.E. Yang,56.54,147,113,-90,-4
50,0,26300,Matt Jones,55.93,99,78,-69,-8
51,0,28475,Jeff Overton,55.68,152,121,-89,-1
52,0,26851,Marc Leishman,55.67,162,129,-96,+8
53,0,26951,Johnson Wagner,55.64,153,122,-82,-8
54,0,20645,John Senden,55.49,182,146,-119,-25
55,0,21961,Charles Howell III,55.41,164,132,-94,-11
55,0,24361,Pat Perez,55.41,128,103,-74,-13
57,0,23638,Brendon de Jonge,55.00,165,135,-84,-9
58,0,23548,Bill Lunde,54.98,149,122,-63,+2
59,0,26301,James Nitties,54.81,148,122,-74,+2
60,0,22371,Aaron Baddeley,54.76,115,95,-70,+2
61,0,22892,Jason Gore,54.27,127,107,-51,-16
62,0,24846,Ricky Barnes,54.24,96,81,-42,+4
63,0,27120,Troy Matteson,54.22,180,152,-91,-10
64,0,24490,George McNeill,53.73,144,124,-93,-4
65,0,10885,Robert Allenby,53.68,102,88,-60,+5
66,0,27933,John Merrick,53.63,133,115,-60,-2
67,0,12782,Tim Herron,53.62,148,128,-75,-12
68,0,10585,Scott McCarron,53.54,159,138,-100,-11
69,0,25632,Jimmy Walker,53.36,127,111,-87,+1
