RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,27141,J.B. Holmes,33.77,51,151,-48,+17.00
2,0,08793,Tiger Woods,33.60,42,125,-45,-10.00
3,0,26679,Kevin Stadler,32.98,31,94,-34,-5.00
4,0,28118,Peter Tomasulo,30.77,32,104,-30,+6.00
5,0,20157,Retief Goosen,30.69,31,101,-39,-13.00
6,0,20691,Greg Owen,30.68,54,176,-49,-9.00
6,0,27095,Nick Watney,30.68,54,176,-59,-5.00
8,0,26300,Matt Jones,30.30,30,99,-29,-8.00
9,0,20645,John Senden,30.22,55,182,-64,-25.00
10,0,01226,Fred Couples,29.49,23,78,-25,-9.00
11,0,24502,Adam Scott,29.35,27,92,-26,-2.00
12,0,24663,Y.E. Yang,29.25,43,147,-46,-4.00
13,0,01706,Davis Love III,29.24,50,171,-50,-14.00
14,0,29718,Anthony Kim,29.01,47,162,-48,-8.00
15,0,24140,Sean O'Hair,28.91,37,128,-39,-5.00
16,0,23788,D.J. Trahan,28.71,58,202,-59,-17.00
17,0,23135,Tim Clark,28.17,20,71,-22,-23.00
18,0,23497,Tag Ridings,28.04,30,107,-33,-1.00
19,0,27214,Kevin Streelman,27.78,50,180,-47,-19.00
20,0,23349,Charles Warren,27.74,38,137,-35,-2.00
21,0,20498,Briny Baird,27.73,33,119,-33,-14.00
22,0,26498,Matt Weibring,27.37,26,95,-26,-17.00
23,0,12716,Charley Hoffman,26.94,59,219,-59,-1.00
24,0,21959,Ted Purdy,26.84,51,190,-49,-9.00
25,0,06621,Joe Durant,26.67,20,75,-18,-11.00
26,0,25804,Bubba Watson,26.58,42,158,-46,-10.00
27,0,27963,Chris Stroud,26.57,38,143,-41,-12.00
28,0,06527,Steve Stricker,26.32,25,95,-28,-45.00
29,0,10885,Robert Allenby,26.21,27,103,-27,+5.00
29,0,26289,Boo Weekley,26.21,38,145,-38,-3.00
31,0,22371,Aaron Baddeley,25.86,30,116,-34,+2.00
32,0,01810,Phil Mickelson,25.81,32,124,-34,+8.00
32,0,31323,Gary Woodland,25.81,24,93,-23,+9.00
